DHSID_EA,asset_index,sanitation_index,water_index,women_edu
CD-2007-5#-00000280,2.201632570428163,3.4827586206896552,5.0,9.0
CD-2013-6#-00000478,-2.6036147489519146,2.5,1.0,5.5588235294117645
CD-2013-6#-00000025,-2.7975018080087057,2.5588235294117645,1.0,3.4545454545454546
CD-2013-6#-00000412,2.796902406811291,4.9393939393939394,4.96969696969697,12.196078431372548
CD-2013-6#-00000101,1.6446035051848606,3.323529411764706,4.970588235294118,9.547619047619047
CD-2013-6#-00000459,0.5811190257838764,2.5294117647058822,4.323529411764706,9.130434782608695
CD-2013-6#-00000396,-0.4842924374465857,2.764705882352941,3.294117647058824,8.029411764705882
CD-2007-5#-00000249,1.0225100857587777,3.034482758620689,5.0,9.736842105263158
CD-2007-5#-00000248,0.379176594425962,3.333333333333333,5.0,6.689655172413793
CD-2013-6#-00000443,0.7999138998491626,3.0,4.484848484848484,8.407407407407407
CD-2007-5#-00000249,1.0225100857587777,3.034482758620689,5.0,9.736842105263158
CD-2007-5#-00000208,1.991206895693824,3.733333333333333,5.0,10.157894736842104
CD-2013-6#-00000530,-0.0868926592986266,2.8529411764705883,4.029411764705882,8.574468085106384
CD-2013-6#-00000101,1.6446035051848606,3.323529411764706,4.970588235294118,9.547619047619047
CD-2013-6#-00000264,-1.1620437680589015,2.117647058823529,4.764705882352941,5.766666666666667
CD-2007-5#-00000248,0.379176594425962,3.333333333333333,5.0,6.689655172413793
CD-2013-6#-00000101,1.6446035051848606,3.323529411764706,4.970588235294118,9.547619047619047
CD-2013-6#-00000187,-1.588303613585211,2.0294117647058822,2.176470588235294,9.857142857142858
CD-2007-5#-00000280,2.201632570428163,3.4827586206896552,5.0,9.0
CD-2013-6#-00000107,-2.308091303000046,1.9696969696969693,2.4545454545454546,6.102564102564102
CD-2007-5#-00000136,-1.8648686460739816,3.2413793103448274,2.0689655172413794,2.25
CD-2007-5#-00000092,-2.042503307299264,3.866666666666666,1.0,1.8333333333333333
CD-2013-6#-00000212,-2.3476047663897703,2.147058823529412,2.411764705882353,1.135135135135135
CD-2013-6#-00000494,-3.574147587039584,1.1764705882352942,1.0,5.965517241379311
CD-2013-6#-00000058,-2.888778070476062,1.2058823529411764,2.235294117647059,6.0
CD-2013-6#-00000054,-1.6089448621932845,1.7352941176470589,4.205882352941177,7.487804878048781
CD-2013-6#-00000466,-2.2958071116819525,1.9705882352941173,2.8529411764705883,7.166666666666667
CD-2007-5#-00000144,-1.5036249127449028,4.0,1.0,6.7727272727272725
CD-2007-5#-00000144,-1.5036249127449028,4.0,1.0,6.7727272727272725
CD-2007-5#-00000092,-2.042503307299264,3.866666666666666,1.0,1.8333333333333333
CD-2013-6#-00000040,-3.068037408686514,1.9705882352941173,1.0,4.1923076923076925
CD-2013-6#-00000250,0.236170706564575,3.264705882352941,4.147058823529412,8.30952380952381
CD-2013-6#-00000120,-2.0976786910012075,2.647058823529412,1.5588235294117647,6.872727272727273
CD-2013-6#-00000456,-1.616910647053091,2.875,2.125,7.815789473684211
CD-2007-5#-00000013,-2.2463628172511263,3.310344827586207,1.0344827586206895,3.1739130434782608
CD-2007-5#-00000123,-2.3199765710637776,3.1666666666666665,1.0,2.727272727272727
CD-2007-5#-00000122,-1.6530601743354276,3.8620689655172415,1.4827586206896552,8.564102564102564
CD-2007-5#-00000130,-0.1591978565444071,3.4642857142857144,1.5666666666666669,9.666666666666666
CD-2013-6#-00000219,-2.577417409981785,2.264705882352941,1.2647058823529411,6.630434782608695
CD-2013-6#-00000198,-1.1725539776758869,2.117647058823529,4.411764705882353,6.238095238095238
CD-2007-5#-00000211,-1.0023069433073009,3.6206896551724137,2.533333333333333,6.3
CD-2007-5#-00000021,-2.2387798910318217,3.3,1.0,1.9714285714285715
CD-2007-5#-00000126,0.912909771893631,2.8666666666666667,5.0,7.212121212121212
CD-2013-6#-00000362,-1.8367609701074337,2.4411764705882355,2.0588235294117645,8.729166666666666
CD-2013-6#-00000517,0.3297149754898174,2.71875,5.0,10.102564102564102
CD-2007-5#-00000099,-2.716417092876591,2.655172413793104,1.0,5.392857142857143
CD-2013-6#-00000167,-3.1267910966032884,1.9705882352941173,1.088235294117647,2.592592592592593
CD-2013-6#-00000460,-1.6519819293825768,2.9411764705882355,2.9411764705882355,4.257142857142857
CD-2013-6#-00000390,-2.554134188776681,2.8529411764705883,1.088235294117647,3.15625
CD-2013-6#-00000234,-1.84806042890648,1.8529411764705883,3.735294117647059,8.105263157894736
CD-2007-5#-00000005,-1.0851884357188162,3.6666666666666665,1.6333333333333333,5.953488372093023
CD-2013-6#-00000472,-2.446371176720948,2.0588235294117645,2.088235294117647,3.966666666666667
CD-2013-6#-00000500,0.3801835922340845,3.117647058823529,4.911764705882353,8.714285714285714
CD-2013-6#-00000295,-2.978487157529357,2.117647058823529,1.0,1.5757575757575757
CD-2013-6#-00000280,-2.9512724291932613,1.9411764705882355,1.0,5.433333333333334
CD-2007-5#-00000008,-0.8086538926789649,3.6,1.1,7.472222222222222
CD-2007-5#-00000055,-2.637826347165281,2.566666666666667,1.0666666666666669,1.2272727272727273
CD-2013-6#-00000097,-1.9761120605509952,2.088235294117647,1.8823529411764703,8.4
CD-2013-6#-00000335,-2.405652443808365,2.588235294117647,1.1764705882352942,5.25
CD-2007-5#-00000092,-2.042503307299264,3.866666666666666,1.0,1.8333333333333333
CD-2007-5#-00000092,-2.042503307299264,3.866666666666666,1.0,1.8333333333333333
CD-2007-5#-00000232,-1.6873379031930609,2.8,2.9,7.5
CD-2013-6#-00000300,-2.834887679894845,2.0,1.2058823529411764,6.735294117647059
CD-2013-6#-00000372,-2.52635001361502,2.794117647058824,1.088235294117647,3.2972972972972974
CD-2013-6#-00000072,-2.442434415277899,1.7058823529411764,2.411764705882353,2.65
CD-2007-5#-00000221,-2.5079312840900805,2.862068965517241,1.0,4.75
CD-2013-6#-00000158,2.3288373537567915,4.470588235294118,4.588235294117647,12.254901960784316
CD-2007-5#-00000217,2.348222446295231,3.533333333333333,5.0,10.534883720930232
CD-2013-6#-00000325,2.2791465715419155,4.705882352941177,4.588235294117647,10.953846153846154
CD-2013-6#-00000451,-3.202249156524681,1.5588235294117647,1.088235294117647,4.6571428571428575
CD-2007-5#-00000035,-2.0012683662399176,3.5172413793103448,1.0,2.365853658536585
CD-2013-6#-00000290,-3.0075671879579904,1.8823529411764703,1.2058823529411764,5.2
CD-2007-5#-00000123,-2.3199765710637776,3.1666666666666665,1.0,2.727272727272727
CD-2013-6#-00000280,-2.9512724291932613,1.9411764705882355,1.0,5.433333333333334
CD-2013-6#-00000179,-2.929671643232422,1.9411764705882355,1.2058823529411764,5.448979591836735
CD-2007-5#-00000174,-1.2118207673341872,3.607142857142857,1.0,5.178571428571429
CD-2013-6#-00000012,2.505350881938621,4.382352941176471,4.941176470588236,12.0188679245283
CD-2013-6#-00000370,1.3216382847161878,3.0294117647058822,4.588235294117647,9.83673469387755
CD-2013-6#-00000156,-2.636694337330725,2.0,1.8529411764705883,1.911764705882353
CD-2007-5#-00000189,-1.686240650632458,3.8,1.4333333333333331,3.9444444444444446
CD-2013-6#-00000212,-2.3476047663897703,2.147058823529412,2.411764705882353,1.135135135135135
CD-2007-5#-00000217,2.348222446295231,3.533333333333333,5.0,10.534883720930232
CD-2007-5#-00000059,1.646943531521591,3.1785714285714284,5.0,7.184210526315789
CD-2013-6#-00000305,-3.252326273101047,1.7647058823529411,1.0,1.4583333333333333
CD-2013-6#-00000506,-2.8194635184372245,2.411764705882353,1.0,7.0
CD-2007-5#-00000208,1.991206895693824,3.733333333333333,5.0,10.157894736842104
CD-2007-5#-00000217,2.348222446295231,3.533333333333333,5.0,10.534883720930232
CD-2007-5#-00000194,-1.6829584659795576,4.0,1.0,6.775
CD-2013-6#-00000524,-3.135210422176721,1.9705882352941173,1.0,5.419354838709677
CD-2013-6#-00000227,-2.987140365427627,1.8823529411764703,1.3529411764705883,6.7727272727272725
CD-2013-6#-00000470,-3.178179441924962,1.9411764705882355,1.0,3.3846153846153846
CD-2013-6#-00000511,-2.609309814235464,2.588235294117647,1.1764705882352942,5.576923076923077
CD-2013-6#-00000389,-3.14296924883289,1.9411764705882355,1.0,6.068965517241379
CD-2007-5#-00000139,1.11291797712551,3.5,5.0,9.35135135135135
CD-2007-5#-00000239,-1.8464723843912,3.6,1.1,5.148148148148148
CD-2013-6#-00000050,0.416080557162948,2.176470588235294,4.352941176470588,8.709090909090909
CD-2013-6#-00000525,2.1294207954820674,3.647058823529412,4.970588235294118,12.025974025974026
CD-2013-6#-00000261,2.496916320779528,4.8125,4.78125,10.028571428571428
CD-2007-5#-00000035,-2.0012683662399176,3.5172413793103448,1.0,2.365853658536585
CD-2013-6#-00000258,-3.397978963785917,1.588235294117647,1.0,2.071428571428572
CD-2013-6#-00000258,-3.397978963785917,1.588235294117647,1.0,2.071428571428572
CD-2007-5#-00000024,2.024697400625921,3.7,4.966666666666667,8.130434782608695
CD-2007-5#-00000208,1.991206895693824,3.733333333333333,5.0,10.157894736842104
CD-2013-6#-00000401,-0.2016376165993118,3.0588235294117645,4.205882352941177,7.957446808510638
CD-2007-5#-00000099,-2.716417092876591,2.655172413793104,1.0,5.392857142857143
CD-2013-6#-00000187,-1.588303613585211,2.0294117647058822,2.176470588235294,9.857142857142858
