DHSID_EA,asset_index,sanitation_index,water_index,women_edu
JO-2012-6Z-00000006,,,,9.0
JO-2007-5#-00000604,,,,6.9
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000351,,,,6.75
JO-2007-5#-00000352,,,,10.77777777777778
JO-2007-5#-00000352,,,,10.77777777777778
JO-2012-6Z-00000127,,,,10.615384615384617
JO-2012-6Z-00000127,,,,10.615384615384617
JO-2002-4#-00000047,,,,4.4375
JO-2012-6Z-00000127,,,,10.615384615384617
JO-2012-6Z-00000119,,,,4.45
JO-2012-6Z-00000127,,,,10.615384615384617
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000604,,,,6.9
JO-2002-4#-00000100,,,,10.2
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000351,,,,6.75
JO-2012-6Z-00000506,,,,11.75
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000151,,,,7.1
JO-2002-4#-00000100,,,,10.2
JO-2007-5#-00000352,,,,10.77777777777778
JO-2002-4#-00000047,,,,4.4375
JO-2002-4#-00000100,,,,10.2
JO-2002-4#-00000047,,,,4.4375
JO-2007-5#-00000352,,,,10.77777777777778
JO-2002-4#-00000100,,,,10.2
JO-2007-5#-00000151,,,,7.1
JO-2002-4#-00000100,,,,10.2
JO-2007-5#-00000458,,,,1.4444444444444444
JO-2012-6Z-00000127,,,,10.615384615384617
JO-2017-7#-00000413,,,,10.666666666666666
JO-2002-4#-00000100,,,,10.2
JO-2002-4#-00000100,,,,10.2
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000352,,,,10.77777777777778
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000352,,,,10.77777777777778
JO-2007-5#-00000352,,,,10.77777777777778
JO-2007-5#-00000458,,,,1.4444444444444444
JO-2007-5#-00000351,,,,6.75
JO-2007-5#-00000151,,,,7.1
JO-2007-5#-00000351,,,,6.75
JO-2007-5#-00000458,,,,1.4444444444444444
JO-2007-5#-00000458,,,,1.4444444444444444
