DHSID_EA,asset_index,sanitation_index,water_index,women_edu
MW-2000-4#-00001090,,,,5.933333333333334
MW-2017-7Z-00000095,2.7153574136393184,4.24,5.0,10.794871794871796
MW-2012-6Z-00000069,-0.6286219775934959,2.12,4.6,5.166666666666667
MW-2000-4#-00003053,,,,3.1666666666666665
MW-2015-7Z-00000209,-1.9390642654528767,2.59375,3.0,1.826086956521739
MW-2010-6#-00000293,-0.1794258786433501,2.05,5.0,7.3125
MW-2010-6#-00000262,-1.4339926332291535,1.933333333333333,4.166666666666667,6.44
MW-2010-6#-00000674,-1.8260757260459208,1.9,3.3,6.5
MW-2010-6#-00000795,-1.7132736510022744,2.09375,3.1875,7.081081081081081
MW-2004-4Z-00000309,,,,5.869565217391305
MW-2004-4Z-00000335,,,,7.3
MW-2015-7Z-00000379,-1.924675716365273,2.1818181818181817,3.060606060606061,3.739130434782609
MW-2014-7#-00000107,-0.4458024621604819,2.25,3.333333333333333,7.545454545454546
MW-2010-6#-00000236,-1.6607724628280909,2.057142857142857,3.057142857142857,5.666666666666667
MW-2004-4Z-00000044,,,,1.56
MW-2004-4Z-00000051,,,,8.526315789473685
MW-2004-4Z-00000333,,,,1.7142857142857142
MW-2017-7Z-00000082,-1.0743025759833762,2.08,4.48,6.0
MW-2017-7Z-00000085,2.5596060220426744,4.84,5.0,9.526315789473683
MW-2015-7Z-00000649,1.285145227673418,3.3703703703703702,4.7407407407407405,8.857142857142858
MW-2015-7Z-00000043,-2.6875531058808373,2.1515151515151514,1.4545454545454546,2.071428571428572
MW-2010-6#-00000262,-1.4339926332291535,1.933333333333333,4.166666666666667,6.44
MW-2010-6#-00000556,0.7944037275304856,2.7,5.0,8.678571428571429
MW-2000-4#-00002126,,,,9.571428571428571
MW-2015-7Z-00000599,-0.441941743909187,2.909090909090909,3.0,8.378378378378379
MW-2015-7Z-00000017,-2.79393880377018,2.121212121212121,1.4545454545454546,2.1923076923076925
MW-2010-6#-00000603,-1.2012856777458223,1.8484848484848484,3.212121212121212,6.645161290322581
MW-2000-4#-00001016,,,,3.1538461538461537
MW-2010-6#-00000305,-0.6793229628265216,2.3548387096774195,3.6774193548387095,6.709677419354839
MW-2015-7Z-00000583,-2.048943697803024,2.096774193548387,3.0,3.2333333333333334
MW-2010-6#-00000663,-0.9955217229921391,2.5,3.4,4.7407407407407405
MW-2000-4#-00001090,,,,5.933333333333334
MW-2004-4Z-00000008,,,,4.111111111111111
MW-2015-7Z-00000490,-1.4397373028285794,3.0,3.4,4.25925925925926
MW-2010-6#-00000699,-1.961063933977468,1.5666666666666669,4.066666666666666,3.6666666666666665
MW-2010-6#-00000151,0.7493217068804279,2.6,5.0,8.478260869565217
