DHSID_EA,asset_index,sanitation_index,water_index,women_edu
RW-2015-7#-00000029,1.4573801745468316,3.1538461538461537,5.0,8.2
RW-2015-7#-00000060,2.134675498065597,3.84,5.0,10.382978723404255
RW-2015-7#-00000233,-0.4227635110797283,2.923076923076923,3.0,7.206896551724138
RW-2015-7#-00000050,-2.0065980594105683,2.8461538461538463,1.7307692307692308,5.142857142857143
RW-2010-6#-00000128,0.5288374992390263,2.8076923076923075,5.0,7.333333333333333
RW-2015-7#-00000389,2.893181358074145,5.0,5.0,10.564102564102564
RW-2015-7#-00000226,-1.5664028682874531,2.269230769230769,3.3076923076923075,5.090909090909091
RW-2005-5#-00000264,,,,3.56
RW-2005-5#-00000144,,,,3.724137931034482
RW-2010-6#-00000354,-1.1820435342867996,2.923076923076923,3.730769230769231,3.9583333333333335
RW-2005-5#-00000209,,,,2.727272727272727
RW-2005-5#-00000144,,,,3.724137931034482
RW-2015-7#-00000015,-0.8916248066839633,2.6153846153846154,1.4615384615384617,7.566666666666666
RW-2005-5#-00000136,,,,4.0344827586206895
RW-2015-7#-00000164,-1.5923746860673222,2.423076923076923,3.0,5.75
RW-2015-7#-00000247,0.0881864732307625,3.0384615384615383,4.538461538461538,5.2
RW-2015-7#-00000322,-2.377071592013764,2.875,1.1666666666666667,4.15
RW-2010-6#-00000235,1.5792114566401063,3.2916666666666665,4.666666666666667,8.82857142857143
RW-2010-6#-00000103,-1.5548812451090492,2.730769230769231,2.8461538461538463,5.416666666666667
RW-2005-5#-00000251,,,,4.3478260869565215
RW-2010-6#-00000354,-1.1820435342867996,2.923076923076923,3.730769230769231,3.9583333333333335
RW-2010-6#-00000416,-1.9119555089805071,2.409090909090909,2.636363636363636,3.823529411764706
RW-2015-7#-00000264,0.6493955309606986,3.1153846153846154,3.1538461538461537,8.282051282051283
RW-2015-7#-00000395,-0.5198853554581491,2.9166666666666665,4.0,4.565217391304348
RW-2015-7#-00000339,-0.7200195918728695,2.5384615384615383,4.230769230769231,5.666666666666667
RW-2015-7#-00000046,1.5142485041882798,3.1923076923076925,5.0,6.757575757575758
RW-2015-7#-00000352,1.0604790057911002,2.8846153846153846,5.0,7.428571428571429
RW-2005-5#-00000040,,,,2.636363636363636
RW-2015-7#-00000476,-1.6652622180739098,3.0,1.64,5.681818181818182
RW-2005-5#-00000144,,,,3.724137931034482
RW-2005-5#-00000144,,,,3.724137931034482
RW-2010-6#-00000486,-1.6120813681506747,2.92,2.8,2.973684210526316
RW-2010-6#-00000061,0.0198296865586891,2.923076923076923,4.884615384615385,6.225
RW-2010-6#-00000126,-2.870076579379023,2.1923076923076925,1.1153846153846154,3.6666666666666665
RW-2005-5#-00000360,,,,4.727272727272728
RW-2015-7#-00000305,-2.058996410159787,2.8846153846153846,1.6153846153846154,5.206896551724138
RW-2015-7#-00000064,-1.855238707904869,3.076923076923077,1.0,3.9130434782608696
RW-2015-7#-00000064,-1.855238707904869,3.076923076923077,1.0,3.9130434782608696
RW-2015-7#-00000461,1.5245262066086591,3.3846153846153846,5.0,7.642857142857143
RW-2010-6#-00000424,1.5732844873269085,3.423076923076923,4.6923076923076925,9.27777777777778
RW-2010-6#-00000423,1.3354906148026509,3.083333333333333,5.0,8.085714285714285
RW-2015-7#-00000259,-2.2535507203627945,3.0384615384615383,1.4615384615384617,4.095238095238095
RW-2005-5#-00000423,,,,2.8260869565217392
RW-2015-7#-00000461,1.5245262066086591,3.3846153846153846,5.0,7.642857142857143
RW-2015-7#-00000006,0.8199611443229183,3.0384615384615383,4.384615384615385,7.432432432432432
RW-2010-6#-00000419,1.1990167684049935,3.3846153846153846,4.538461538461538,6.724137931034483
RW-2010-6#-00000426,-2.3731897741289654,2.769230769230769,1.1538461538461535,3.633333333333333
RW-2015-7#-00000157,-1.4520901570984883,2.769230769230769,2.6538461538461537,6.34375
RW-2015-7#-00000029,1.4573801745468316,3.1538461538461537,5.0,8.2
RW-2015-7#-00000029,1.4573801745468316,3.1538461538461537,5.0,8.2
RW-2015-7#-00000275,-1.2328296037049162,2.6923076923076925,3.4615384615384617,4.55
RW-2010-6#-00000204,-2.240998747932172,2.4615384615384617,1.6153846153846154,5.896551724137931
RW-2005-5#-00000079,,,,4.333333333333333
RW-2005-5#-00000243,,,,2.1923076923076925
RW-2010-6#-00000396,-1.7256232224609065,2.8461538461538463,2.076923076923077,4.565217391304348
RW-2015-7#-00000100,0.0162519048205245,2.92,3.56,6.842105263157895
RW-2010-6#-00000430,-2.479388950648672,2.769230769230769,1.0,2.8
RW-2005-5#-00000165,,,,2.9473684210526314
RW-2005-5#-00000171,,,,3.75
RW-2005-5#-00000144,,,,3.724137931034482
RW-2015-7#-00000029,1.4573801745468316,3.1538461538461537,5.0,8.2
RW-2015-7#-00000322,-2.377071592013764,2.875,1.1666666666666667,4.15
RW-2010-6#-00000150,-1.3328919606522711,2.4615384615384617,3.4615384615384617,4.24
RW-2015-7#-00000352,1.0604790057911002,2.8846153846153846,5.0,7.428571428571429
RW-2005-5#-00000209,,,,2.727272727272727
RW-2005-5#-00000250,,,,7.033333333333333
RW-2010-6#-00000223,0.083204193616847,2.9565217391304346,3.652173913043478,7.518518518518518
RW-2005-5#-00000032,,,,2.060606060606061
RW-2010-6#-00000040,-2.018397617079434,2.4,2.32,4.615384615384615
RW-2010-6#-00000133,-2.573657790001496,2.76,1.0,3.0
