DHSID_EA,asset_index,sanitation_index,water_index,women_edu
SL-2013-6#-00000402,-0.1284156905190276,1.565217391304348,4.0,4.045454545454546
SL-2013-6#-00000303,2.0865429798618904,4.033333333333333,4.8,8.282051282051283
SL-2008-5#-00000106,1.7315990716372176,3.95,5.0,5.769230769230769
SL-2013-6#-00000061,-1.7370075340662297,2.862068965517241,1.4137931034482758,0.2666666666666666
SL-2019-7Z-00000239,-0.5648763259619178,2.583333333333333,3.458333333333333,4.409090909090909
SL-2008-5#-00000318,2.279795405688429,4.227272727272728,4.181818181818182,7.315789473684211
SL-2019-7Z-00000091,-2.864682014865565,1.0,2.0,2.1904761904761907
SL-2019-7Z-00000091,-2.864682014865565,1.0,2.0,2.1904761904761907
SL-2016-7#-00000039,-0.7651507029131727,2.7,4.25,2.6666666666666665
SL-2019-7Z-00000393,-2.696585617936137,2.5,1.0,0.4090909090909091
SL-2008-5#-00000243,-1.0889061976597894,2.409090909090909,4.0,1.1851851851851851
SL-2008-5#-00000093,-1.5121393921787445,2.409090909090909,3.4545454545454546,1.1666666666666667
SL-2013-6#-00000389,1.1484754771852672,3.333333333333333,4.0,2.7241379310344827
SL-2019-7Z-00000154,1.488770753234602,3.363636363636364,4.5,6.428571428571429
SL-2019-7Z-00000020,-2.6265460469852613,2.0,1.0,0.2857142857142857
SL-2019-7Z-00000186,0.6255459378644251,3.1666666666666665,4.25,6.4324324324324325
SL-2008-5#-00000153,-0.9188754475390056,3.0526315789473686,2.6842105263157894,0.5151515151515151
SL-2016-7#-00000261,-0.4951805671510019,2.4,3.6,4.567567567567568
SL-2019-7Z-00000336,1.2287960490891692,3.375,4.041666666666667,7.487179487179487
SL-2016-7#-00000314,0.5090022099969945,2.2,4.25,4.925925925925926
SL-2008-5#-00000262,1.4024410192219472,3.1052631578947367,4.789473684210527,5.555555555555555
SL-2008-5#-00000332,0.8697694567337103,3.6,3.8,4.421052631578948
SL-2008-5#-00000173,-1.179671274338895,1.9545454545454544,2.909090909090909,5.444444444444445
SL-2013-6#-00000298,-1.244821982505042,2.206896551724138,3.586206896551724,4.448275862068965
SL-2013-6#-00000117,1.478797009986623,3.5,5.0,8.155555555555555
SL-2016-7#-00000076,1.3743434815025573,3.35,4.1,5.909090909090909
SL-2019-7Z-00000254,0.8956954817042564,2.6666666666666665,5.0,5.318181818181818
SL-2019-7Z-00000355,0.1759143312070105,2.608695652173913,3.4347826086956523,5.0
SL-2016-7#-00000189,0.3043616690753399,2.0,4.65,2.65625
SL-2013-6#-00000263,2.1357146411215515,4.178571428571429,5.0,9.166666666666666
SL-2013-6#-00000163,0.9851148228104816,3.633333333333333,3.333333333333333,6.756756756756757
SL-2019-7Z-00000344,0.161280069164052,2.708333333333333,3.9166666666666665,6.303030303030303
SL-2019-7Z-00000501,0.8143766672344583,3.0416666666666665,3.875,6.357142857142857
SL-2016-7#-00000314,0.5090022099969945,2.2,4.25,4.925925925925926
SL-2013-6#-00000402,-0.1284156905190276,1.565217391304348,4.0,4.045454545454546
SL-2013-6#-00000009,-2.4733171836743697,1.0,3.4,0.64
SL-2016-7#-00000132,-2.779148566934813,2.0,1.0,1.5
SL-2019-7Z-00000297,-2.168688622686588,1.4782608695652173,2.8260869565217392,2.4285714285714284
SL-2016-7#-00000132,-2.779148566934813,2.0,1.0,1.5
