DHSID_EA,asset_index,sanitation_index,water_index,women_edu
TG-2013-6#-00000037,2.3669824865050164,4.344827586206897,5.0,7.161290322580645
TG-1998-3#-00000054,,,,4.578947368421052
TG-2013-6#-00000086,0.5749811083341873,2.7142857142857144,3.678571428571429,5.2727272727272725
TG-1998-3#-00000418,,,,1.826086956521739
TG-2013-6#-00000180,2.6289467216891493,4.857142857142857,5.0,8.057142857142857
TG-1998-3#-00000029,,,,5.5
TG-2017-7#-00000005,1.636871244964027,3.857142857142857,4.321428571428571,6.033333333333333
TG-2013-6#-00000136,2.392063548936066,4.444444444444445,4.925925925925926,9.130434782608695
TG-1998-3#-00000244,,,,4.020408163265306
TG-1998-3#-00000513,,,,0.8085106382978723
TG-2013-6#-00000220,-1.6197076680699989,1.1724137931034482,2.3448275862068964,0.2058823529411764
TG-2013-6#-00000001,2.1724813949047803,4.333333333333333,4.933333333333334,7.4
TG-2013-6#-00000234,1.2653364944495482,2.896551724137931,5.0,5.727272727272728
TG-2013-6#-00000003,1.2668017113871466,3.413793103448276,4.448275862068965,8.580645161290322
TG-1998-3#-00000342,,,,2.526315789473684
TG-1998-3#-00000239,,,,5.225
TG-2013-6#-00000232,-1.0209226809674423,1.1071428571428572,2.857142857142857,3.65
TG-2017-7#-00000086,1.65737307866951,3.6296296296296298,4.62962962962963,7.461538461538462
TG-1998-3#-00000052,,,,6.526315789473684
TG-2013-6#-00000058,-1.081576402675014,1.6666666666666667,1.8666666666666667,6.681818181818182
TG-1998-3#-00000342,,,,2.526315789473684
TG-1998-3#-00000137,,,,2.25
TG-2013-6#-00000275,-1.4757454421072254,1.9642857142857144,1.0,4.534883720930233
