DHSID_EA,relevance_score,most_relevant_sentences
AL-2017-7#-00000435,1.0,"The lowest depth of the water is . It is popular in the summer, when the water temperature reaches  and it has two beaches."
AL-2017-7#-00000378,1.0,"Ionospheric Station – Athens Digisonde   The Athens Digisonde is an infrastructure for remote sensing of the Earth's Ionosphere, operated by NOA in Penteli since September 2000. Atmospheric Remote Sensing Station   Since February 2009, IAASARS has been operating a ground-based Atmospheric Remote Sensing Station (ARSS) to monitor ground solar radiation levels and particulate pollution over the city of Athens, Greece. Those ground segment facilities foster the development of a wide range of environmental monitoring services, such as: aerosol pollution indexes assessment, dust and volcanic ash alerts, smoke dispersion forecasts, wildfire detection and monitoring, geo-hazard activity monitoring and assessment (earthquakes/volcanoes/landslides), and urban heat Island mapping.I."
AL-2017-7#-00000349,1.0,"thumb|200px|A photo  The Yahudi Hamam () is an Ottoman-era bath in Thessaloniki, Greece. Located at the intersection of Vasileos Irakleiou and Frangini streets, the bath dates to the 16th century."
AL-2017-7#-00000378,1.0,"The station had a water tower of 50 cubic meters and rotary plate. In 1999 a new water fountain was instilled on platform 1, engraved with its date."
AL-2017-7#-00000378,1.0,"In 1970 OSE became the legal successor to the SEK, taking over responsibilities for most of Greece's rail infrastructure. On 1 January 1971 the station, and most of Greek rail infrastructure where transferred to the Hellenic Railways Organisation S.A., a state-owned corporation. In 2017 OSE's passenger transport sector was privatised as TrainOSE, currently, a wholly-owned subsidiary of Ferrovie dello Stato Italiane infrastructure, including stations, remained under the control of OSE. It has 1 side platform and 2 island platforms, with the main station buildings located on the eastbound platform, (As of 2020) the station has a staffed booking office, a buffet, as well as toilets and waiting shelters are available, with access to the platforms by stairs or lifts."
AL-2017-7#-00000378,1.0,"https://thessalyrailways.gr/?page_id=2768&lang=en In 1970 OSE became the legal successor to the SEK, taking over responsibilities for most of Greece's rail infrastructure. In 1971, the Hellenic State Railways was reorganised into the OSELaw 674/1971, Government Gazette A-192/1970 taking over responsibilities for most for Greece's rail infrastructure. In 2017 OSE's passenger transport sector was privatised as TrainOSE, currently, a wholly owned subsidiary of Ferrovie dello Stato Italiane infrastructure, including stations, remained under the control of OSE. As of (2008) the station is unstaffed, with no staffed booking office, however, there are waiting rooms, and is equipped with toilets."
AL-2008-5#-00000035,2.0,"The station has toilets, with plans for upgrades and improved cleaning routes.https://ypodomes.com/schedio-anakainisis-ton-kentrikon-sidirodromikon-stathmon-athinas-thessalonikis-larisas/ Luggage lockers are available (24 hours)."
AL-2017-7#-00000349,1.0,"In 1970 OSE became the legal successor to the SEK, taking over responsibilities for most of Greece's rail infrastructure. On 1 January 1971 the station, and most of Greek rail infrastructure where transferred to the Hellenic Railways Organisation S.A., a state-owned corporation. In 2017 OSE's passenger transport sector was privatised as TrainOSE, currently, a wholly owned subsidiary of Ferrovie dello Stato Italiane infrastructure, including stations, remained under the control of OSE."
AL-2008-5#-00000279,1.0,"Today can only some of them be found, like stone water cistern, hewn stone stairway and  fragments of gothic glazed ceramics."
AL-2017-7#-00000349,1.0,"What remains of the old city walls still surround Ano Poli and many Ottoman and Byzantine structures such as the church of Profitis Elias, the Church of Saint Nicholas Orphanos, the Byzantine bath, the Church of Saint Catherine, the Vlatades Monastery, the Atatürk Museum, and the Alaca Imaret Mosque still stand in the neighborhood."
AL-2008-5#-00000279,1.0,On the road to Brgat the Royal Marines cut off the French water supply and also took the Monastery of St. Jacob east of the City.
AL-2017-7#-00000657,1.0,"Following the failed uprising of Dionysius the Philosopher in 1611 and the subsequent expulsion of the Christian population from the walled town, the church of St. John was torn down and replaced in 1618 by the Aslan Pasha Mosque complex, comprising the mosque, the founder's tomb (türbe), a madrasah and a kitchen, which survive to this day. Outside the citadel but in close proximity lie the Turkish Library, probably attached to the madrasah, an Ottoman bath (hamam) and the Soufari Sarai (""horsemen's palace""), a cavalry barracks built in the last years of Ali Pasha's rule (1815–20). There is also a Byzantine bath complex in the vicinity. Other surviving or excavated structures are the kitchens, dating to the early 19th century, located in the northwestern part of the citadel, which now serve as a refectory; the gunpowder store to the northeast of the Fethiye Mosque, which today serves as an educational space, with a ruined building of unknown purpose between it and the kitchens, as well as the ruined base of another large Byzantine-era circular tower; a large two-storey building northeast of the Treasury, possibly a barracks or an unidentified part of the palace, which survives only in half its original length, and now serves as a cultural and exhibition space; and a small bath complex to the north."
AL-2017-7#-00000443,5.0,"A high portion of the data and information is unreliable, including the data and information on the growth of population, demand for water, usage of water, quality of water, pollution of water and climate change."
