DHSID_EA,relevance_score,most_relevant_sentences
AL-2017-7#-00000443,1.0,"This extensive study indicates her fate, the cemetery in the complex, jewelry from the graves, remnants of cloth, ceramics, stone sculptures, the relationship with the Moravian school, money, but is basically based on research of architectural remains and masonry tomb structures, as well as available documentation. News about the events in Novo Brdo came through the local clergy and historian Miloš Ković, who informed colleagues and students with whom he recently stayed in Kosovo and Metohija, the Diocese of Raska and Prizren and the public."
AL-2017-7#-00000352,1.0,"Panepirotiko Stadio is part of the Panepirotiko Sports Center of the East, 50 games are held every year in various sports, it is open for use to the public and in amateur clubs as well as in sports activities and school championships."
AL-2008-5#-00000131,1.0,"In 1956, students from the University of Tirana discovered a 1576 fresco by icon painter Nikolla, son of Onufri, and his apprentice Joan."
AL-2017-7#-00000435,1.0,"The ktetors were a boyar couple, Ioan Stoian Grecescu and his wife Ioana."
AL-2017-7#-00000327,3.0,Greek education was expanded during the late Ottoman era with the establishment of a female school.
AL-2017-7#-00000435,1.0,"Over time, it served as a monastery, as the city’s first library and as a deacons’ school."
AL-2008-5#-00000163,3.0,"The girls school was inaugurated on September 20 and the boys agriculture school opened on October 10 of that same year. 42 primary public schools (9-year public schools), 6 within the municipality of Kavajë and 36 in the remaining communes;additionally there are 2 private primary schools."
AL-2017-7#-00000548,1.0,"The people of Bosnia and Herzegovina have the highest recorded average of any single country, with 183.9 cm average for men and 172.72 cm for women."
AL-2017-7#-00000459,7.0,"In its printed report, High School “Jovan Jovanović-Zmaj” announced the following:” In accordance to the reform of secondary school education in the Socialist Autonomous province of Vojvodina, starting from the following school year this school will work under the name Centre for the education of staff in social activities “Jovan Jovanović-Zmaj” and will be teaching the future professionals in law, mathematics, IT, biology, physics, chemistry and geography.” Six years after this careless and unsuccessful reform it again became Secondary school for science “Jovan Jovanović-Zmaj”."
AL-2008-5#-00000175,5.0,"Avramidis two schools of the Hellenic type, a girls' school, and three primary schools were founded"" Greek education was also financed by members of the diaspora in Egypt."
AL-2017-7#-00000663,3.0,"During the struggle for the re-establishment of Greek education in the area (1934-1936) even the Albanian-speaking villages asked for the reopening of Greek schools, however their demand was rejected by the Albanian government.Nitsiakos, 2010, p. 98 In the spring of 2006, a private Greek-language school opened in the town of Himarë,Gregorič, 2008: p. 68 at the precise location where the Orthodox missionary Cosmas the Aetolian founded the Acroceraunian School in 1770."
AL-2017-7#-00000378,1.0,"However, the Peloponnesian cities made fall-back plans to defend the Isthmus of Corinth, should it come to that, whilst the women and children of Athens would evacuate en masse to the Peloponnesian city of Troezen.Herodotus VIII, 40  Prelude [[File:Thermopylae & Artemisium campaign map.png|thumb|350px|right|Map showing Greek and Persian advances to Thermopylae and Artemisium]] The Persian army seems to have made slow progress through Thrace and Macedon. Far from labelling Thermopylae as a Pyrrhic victory, modern academic treatises on the Greco-Persian Wars tend to emphasise the success of Xerxes in breaching the formidable Greek position and the subsequent conquest of the majority of Greece. For instance, Plutarch recounts, in his Sayings of Spartan Women, upon his departure, Leonidas' wife Gorgo asked what she should do if he did not return, to which Leonidas replied, ""Marry a good man and have good children."
AL-2017-7#-00000425,1.0,"Demography   As of the 2011 census, the administrative unit of Bajram Curri had an estimated population of 5,340 of whom 2,717 were men and 2,623 women. Notable people  thumb|Azem Hajdari Square recently renovated in central Bajram Curri  Sheh Ali Nimani – invented first school in Tropoja in village called Tpla  Sali Berisha – President of Albania from 1992 to 1997 and its Prime Minister from 2005 to 2013  Zhaneta Byberi – Miss Universe Albania 2014  Azem Hajdari – anti-Communist activist  Besnik Mustafaj – 62nd Minister of Foreign Affairs of Albania  Gerhard Progni – footballer  Fatime Sokoli – folk singer  Fatmira Breçani – folk singer   Ibrahim Kadri Malaj – intellectual  Tahir Sinani – commander of Kosovo Liberation Army (KLA)  Bajram Mal Gjongecaj – intellectual, sports trainer, basketball coach   Notes    References    External links   Category:Towns in Albania Category:Administrative units of Tropojë Category:Former municipalities in Kukës County"
AL-2017-7#-00000349,2.0,"Empress Helena, wife of the Emperor Stefan Dušan, was among the very few women allowed to visit and stay in Mount Athos."
AL-2008-5#-00000426,1.0,"In 1802 the academic painter Jakov Orfelin painted a completely new iconostasis,http://www.ejst.tuiasi.ro/Files/38/13_Petrovici.pdfand in 1833 important repair works were carried out. Furthermore, a school was established at Bezdin in 1921."
AL-2008-5#-00000104,2.0,"thumb|right|Elbasan Castle  The very first teachers' training college in Albania, the Shkolla Normale e Elbasanit, was established in Elbasan. Shefqet Daiu – Signatories of the Albanian Declaration of Independence Mahir Domi – Albanian linguist, professor, and academic Shefqet Stringa – Banking pioneer in Albania Abdullah Pashe Taushani – Member of the Ali Pasha Tepelena's Supreme Council of the Armed Forces Eva Murati –  Albanian actress and TV host Saimir Pirgu –  Albanian international opera singer  Miriam Cani –  Albanian singer-songwriter and television host Armando Sadiku –  Albanian professional footballer who plays as a forward for Levante in La Liga and the Albania national team Elton Basriu –  Albanian professional footballer Kostandin Kristoforidhi –   Albanian translator and scholar Fatos Kongoli –  Recently become one of the most forceful and convincing representatives of contemporary Albanian prose Klara Buda –  Albanian journalist and writer Luljeta Lleshanaku –  Albanian poet Dhimitër Shuteriqi –  Albanian scholar, literary historian, and writer."
AL-2017-7#-00000691,4.0,"Besides the state university there are two private universities, namely Universiteti Pavarësia Vlorë and Akademia e Studimeve të Aplikuara ""Reald"", which started as primary school and high school, and since 2011 operates also as a university."
AL-2017-7#-00000378,1.0,"Much more controversial is whether women were also present. All arguments on the subject are ex silentio since there is no direct evidence that women attended the Theatre of Dionysus. Jeffrey Henderson argues that since women participated in other rites and festivals they could certainly have attended the theatre.J. 133- 147 In contrast, Simon Goldhill maintains that the City Dionysia was a socio-political event similar to the courts or the assembly which women were excluded from.Simon Goldhill, Representing Democracy: Women at the Great Dionysia in Ritual, Finance, Politics: Athenian Democratic Accounts Presented to David Lewis, R. Osborne, S. Hornblower (eds), Oxford, 1994."
AL-2017-7#-00000396,2.0,"However, a new school was established at the end of the 18th century whose headmaster in 1802 was Daniel Moscopolites. Moscopolites  Ioannis Chalkeus, Aromanian Greek scholar and philosopher   Theophrastos Georgiadis, Greek author and teacher  Daniel Moscopolites, Aromanian Greek scholar   Theodore Kavalliotis, Greek Aromanian priest and teacher  Dionysios Mantoukas, Orthodox bishop  Ioakeim Martianos, Orthodox bishop  Sinas family (notable members of this family were: Georgios Sinas and Simon Sinas), Greek bankers  Nektarios Terpos, Greek religious scholar and monk  Konstantinos Tzechanis, Greek, Aromanian or Albanian philosopher, mathematician and poet  Gallery  See also  Aromanians in Albania  Tourism in Albania  References  Bibliography  Asterios Koukoudis Studies on the Vlachs (in Greek and English)  Românii din Albania – Aromânii(in Romanian)  Steliu Lambru, Narrating National Utopia – The Case Moschopolis in the Aromanian National Discourse (in English)    Nicolas Trifon, Des Aroumains aux Tsintsares - Destinées Historiques Et Littéraires D’un Peuple Méconnu (in French)  Ewa Kocój, The Story of an Invisible City."
AL-2017-7#-00000349,4.0,"Department of Economics (2014)HQAA Final Report - Department of Economics, University of Macedonia, 2014  Department of Business Administration (2010)HQAA Final Report - Department of Business Administration, University of Macedonia, 2010  Department of Accounting and Finance (2014)HQAA Final Report - Department of Accounting and Finance, University of Macedonia, 2014  Department of International and European Studies (2014)HQAA Final Report - Department of International and European Studies, University of Macedonia, 2014  Department of Balkan Slavic and Oriental Studies (2014)HQAA Final Report - Department of Balkan Slavic and Oriental Studies, University of Macedonia, 2014  Department of Music Science and Art (2014)HQAA Final Report - Department of Music Science and Art, University of Macedonia, 2014  Department of Educational and Social Policy (2013)HQAA Final Report - Department of Educational and Social Policy, University of Macedonia, 2013  Department of Applied Informatics (2013)HQAA Final Report - Department of Applied Informatics, University of Macedonia, 2013  Student Life Student body  Dormitories and student housing thumb|A building at the student dormitories in Kalamaria The university has its own university recidencies in Nea Krini neighborhood of Kalamaria, in the south suburbs of Thessaloniki."
