DHSID_EA,relevance_score,most_relevant_sentences
AM-2016-7#-00000112,1.0,References  External links  Category:Dams completed in 2011 Category:Energy infrastructure completed in 2013 Category:Dams in Siirt Province Category:Hydroelectric power stations in Turkey Category:Run-of-the-river power stations Category:Dams on the Botan River
AM-2016-7#-00000308,1.0,"The park has carousels, water slides, a roller-coaster, dark ride, funicular, and a big Ferris Wheel at the edge of the mountain, offering a splendid view over the city. Badri owned the park as a charitable project alongside a number of commercial assets in Georgia, included the Rustavi Steel Plant, Borjomi water, and Imedi TV station."
AM-2016-7#-00000234,2.0,"It is  long, and has a drainage basin of .Statistical Yearbook of Georgia: 2020, National Statistics Office of Georgia, Tbilisi, 2020, p. 12.Хоби (река), Great Soviet Encyclopedia  The source of water is mainly rain."
AM-2016-7#-00000233,3.0,The negative change of the ecosystem was caused mostly by water levels dropping due to insufficient water inflow and excessive extraction of groundwater from local wells drilled by the villagers.
AM-2016-7#-00000112,1.0,The dam started impounding water in January 2020.
AM-2010-6#-00000028,1.0,"History The building was constructed by Elite Group, completed in January 2013 and opened on 16 February 2013. International Finance Corporation (IFC), a member of the World Bank Group, joined forces with the European Bank for Reconstruction and Development (EBRD) to facilitate development of business infrastructure and create employment in Armenia by supporting construction of Elite Plaza, the first high-class multipurpose office building in Yerevan."
AM-2016-7#-00000112,1.0,This would include construction of a water supply tunnel under Jabal Zambar.
AM-2016-7#-00000112,1.0,"To the south of Tel Afar in the gap between Jebel Sasan and Jebel Ibrahim there is lower rainfall than to the north, but more groundwater, with many springs along the southern edge of the hills behind Tel Afar."
AM-2010-6#-00000244,2.0,thumb|200px|right|Match of under-16 between Iran & India The second phase of standardization of stadium optimized lawn irrigation and drainage system started on 22 July 2011.
AM-2016-7#-00000112,1.0,"The late-10th-century Arab geographer al-Muqaddasi describes Hisn Kayfa as a ""place of abundance"" with a strong citadel and many churches, whose residents get their drinking water from the Tigris, but makes no mention of a bridge. The artist Tristram James Ellis traveled down the Tigris on a raft from Diyarbakır in March 1880 and at ""Hassan-Keyf"" noted ""some high towers standing in the river, with a minaret on one side, and huge precipices rising from the water just in front."""
AM-2010-6#-00000205,1.0,"The lake, with a water surface of 8 hectares, is frequently used for windsurfing ."
AM-2016-7#-00000265,1.0,There is a lake with a 16 ha area is remarkable with a peaty island floating on the surface of the water.
AM-2016-7#-00000068,1.0,See also  Yusufeli Dam – under construction upstream Deriner Dam – downstream  References  Category:Dams in Artvin Province Category:Arch-gravity dams Category:Hydroelectric power stations in Turkey Category:Dams on the Çoruh River Category:Dams completed in 2016 Category:Energy infrastructure completed in 2016 Category:2016 establishments in Turkey
AM-2016-7#-00000068,1.0,See also  Yusufeli Dam – under construction downstream  References  Category:Dams in Erzurum Province Category:Earth-filled dams Category:Hydroelectric power stations in Turkey Category:Dams on the Çoruh River Category:Dams completed in 2014 Category:2014 establishments in Turkey Category:Energy infrastructure completed in 2014
AM-2016-7#-00000068,1.0,See also  Aksu Dam – under construction downstream  References  Category:Dams in Erzurum Province Category:Hydroelectric power stations in Turkey Category:Dams on the Çoruh River Category:Gravity dams Category:Dams completed in 2012 Category:Roller-compacted concrete dams Category:2012 establishments in Turkey Category:Energy infrastructure completed in 2013
