DHSID_EA,relevance_score,most_relevant_sentences
AM-2016-7#-00000234,2.0,"Apparently, this section was a water reservoir."
AM-2016-7#-00000234,1.0,History  The castle sits on a cliff overlooking a waterfall in the depth of a small river valley.
AM-2016-7#-00000234,1.0,"Mtiskalta Church ()  is the church ruins on the left bank of the river East Gumist in the village of , Sokhumi municipality, Autonomous Republic of Abkhazia, Georgia."
AM-2016-7#-00000234,2.0,It is located near the estuary of the Okumi river in the historical district of Samurzakano in southeastern Abkhazia.
AM-2016-7#-00000234,1.0,"The ruins lie on the Kiachi hill, near the modern-day village of Jgerda, 8 km south of the Kodori river, in the Tsebelda valley."
AM-2016-7#-00000234,1.0,"The Chlou Holy Cross Church () is a ruined medieval church on the right bank of the Duabi river in the village of Chlou in Ochamchire Municipality, Abkhazia, an entity in the South Caucasus with a disputed political status. Description of the ruins  The church stands 20 km north of the town of Ochamchire on a hill overlooking the Duabi river and is surrounded by a large defensive wall built of large cobblestone. The western wall of the fence runs through the river."
AM-2016-7#-00000234,1.0,"Chkhortoli Church (XI-XIX Centuries) () is a church on right bank of Chkhortoli river in the village of Chkhortoli, Gali Municipality, Autonomous Republic of Abkhazia, Georgia."
AM-2016-7#-00000234,1.0,"Ghumurishi Church (, ) of St. John the Baptist is a 19th century Eastern Orthodox church on left bank of Okumi river in the village of Zemo Ghumurishi,Zemo Ghumurishi, Abkhazia, Georgia Mindat.org north of the town of Gali, in Abkhazia, an entity in the South Caucasus with a disputed political status."
AM-2016-7#-00000234,1.0,"It is located 3 km north-west of the village, on a small mountainous plateau locally known as Sagergaio on the right bank of the Okumi river, north of the town of Gali."
AM-2016-7#-00000234,1.0,"The Anukhva church (; ) is a ruined medieval church on the right bank of Psirtskha river at the village of Anukhva (Ankhua) in Gudauta District in Abkhazia, an entity in the South Caucasus with a disputed political status."
AM-2016-7#-00000234,1.0,"It is located on the eponymous hill in the Tskuara river valley, immediately west of the town of New Athos, at the Black Sea coastline.Mountain church in Phsygkhva village Historical monuments of Abkhazia — Government of the Autonomous Republic of Abkhazia."
AM-2016-7#-00000234,1.0,"The monument is perched on a hill at the altitude of 1379 meters above sea level, on the east bank of the Otskhe river."
AM-2010-6#-00000244,1.0,"Shahid Kazemi Dam  (originally named Kourosh Dam and also known as the Saqqez Shahid Kazemi Dam, Legzi Dam) is a clay core dam on the Zarrineh River in the Zagros Mountains range, located near Saqqez in Kurdistan Province, western Iran.Conflict Resolution on Water Demands from Shahid Kazemi Reservoir by a Cooperative Game Theory, CIVILCASaqqez Water Resources, Saqqezrudaw   References   Category:Dams in Iran Category:Saqqez County Category:Dams completed in 1971 Category:1971 establishments in Iran"
AM-2016-7#-00000184,1.0,"The ridge has steep, in places vertical, southern slopes, while the northern slopes are gentler, though broken by numerous narrow river valleys from the basins of the Kuban and Terek rivers."
AM-2016-7#-00000234,2.0,"The river is mainly fed by rain, snow, and glacier runoff of the Caucasus Mountains as well as by underground water sources."
AM-2016-7#-00000081,2.0,"300px|thumb|right|Mount Ararat 3D  Summit ice cap  The ice cap on the summit of Mount Ararat has been shrinking since at least 1957. They calculated that between 1976 and 2011, the ice cap on top of Mount Ararat had lost 29% of its total area at an average rate of ice loss of  per year over 35 years. Abovian also picked up a chunk of ice from the summit and carried it down with him in a bottle, considering the water holy."
AM-2010-6#-00000252,1.0,"Each quarter had its own mosque, Turkish bath, water-spring and also a quarter representative, who would be elected among the elders (aksakals), and who would function as a sort of head of the present-day municipality."
AM-2016-7#-00000153,1.0,This toponym is derived from the word Gerani (the river flowing through the city) and Boyahmedli (former name of the city).
AM-2010-6#-00000252,2.0,It provides the surrounding areas and capital of country with drinking water.
AM-2010-6#-00000252,2.0,"The Kura river forms the northern border of the district, while Aras river forms part of the southern border and flows through the centre of the district."
AM-2016-7#-00000252,1.0,"The Vilesh River is the longest and full-flowing river of the rayon. The Vilash Stream is the biggest waterway in the district. The average yearly temperature is +11.9 degrees C, the rainfall is 586 mm, the wind is west-south, the average speed is 1.6meters per second, the depth of groundwater is 4,5 meters, and the seismic rating is 7 points."
AM-2016-7#-00000288,1.0,"Like the rest of the republic, many groundwaters flow in the region, such as badamli, batabat, caravansarai, bichanak and other mineral waters. The district has the river Nakhchivanchay River and its tributaries - Kuku, Shahbuz, Salvarti - and Ganligol and Batabat Lakes. ""Badamli"" resort was built near the Badamli mineral water plant."
AM-2016-7#-00000184,4.0,"By the end of 18th century, the ultimate sites of Ossetian settlement on the territory of modern South Ossetia were in Kudaro (Jejora river estuary), Greater Liakhvi gorge, the gorge of Little Liakhvi, Ksani River gorge, Guda (Tetri Aragvi estuary) and Truso (Terek estuary)."
AM-2010-6#-00000244,1.0,"Halabja is surrounded by Hawraman and Shnrwe range in the northeast, Balambo range in the south and Sirwan river in the west."
AM-2016-7#-00000288,1.0,"Fissure eruptions from Vaiyots-Sar dammed the Arpa river at Vayk and continued down the valley for 6 km. These lava flows are considered Holocene in age given the lack of a soil cover and their placement above a Pleistocene river terrace. Smbatassar cinder cones likewise generated two lava flows of 11 and 17 km length that overlie Pleistocene Yeheghis river terraces, thus also dating to the Holocene."
