DHSID_EA,relevance_score,most_relevant_sentences
AO-2015-7#-00000044,2.0,"The Technical University of Angola ( also called UTANGA) is a higher education university in Luanda, Angola."
AO-2015-7#-00000496,2.0,It serves levels maternelle (preschool) through lycée (senior high school).
AO-2011-6#-00000197,3.0,In the academic year 2007/2008 it had eighty-one teachers and one thousand two hundred and six students.
AO-2015-7#-00000044,2.0,"The Technical University of Angola ( also called UTANGA) is a higher education university in Luanda, Angola."
AO-2015-7#-00000496,2.0,It serves levels maternelle (preschool) through lycée (senior high school).
AO-2011-6#-00000197,3.0,In the academic year 2007/2008 it had eighty-one teachers and one thousand two hundred and six students.
AO-2015-7#-00000044,2.0,"The Technical University of Angola ( also called UTANGA) is a higher education university in Luanda, Angola."
AO-2015-7#-00000266,1.0,"They had been trained by the Chinese at Kinkusu in Zaire and spent their time learning...slogans rather than training with their weapons, which they hardly fired, even on the range."" This was reflective of a particular school of Marxist-Leninist political thought which considered a people's militia to be the most appropriate local defence force under a socialist system. There were at least 88 Cubans in the first line of defence, including the training instructors from Vila Salazar; following Cuban military tradition, they were expected to fight alongside their students."
AO-2015-7#-00000010,4.0,"Since independence from Portugal in 1975, a number of Angolan students continued to be admitted every year at high schools, polytechnical institutes and universities in Portugal and Brazil through bilateral agreements; in general, these students belong to the elites."
AO-2006-5#-00000077,1.0,"As the 32 Battalion company moved in to mop up, they discovered the bodies of four Russians, two Soviet officers and two civilian women. One Soviet soldier, Warrant Officer Nikolai Feodorovich Pestretsov, was captured when he remained behind with his wife's body."
AO-2015-7#-00000044,2.0,"The Technical University of Angola ( also called UTANGA) is a higher education university in Luanda, Angola."
AO-2015-7#-00000044,2.0,"The Technical University of Angola ( also called UTANGA) is a higher education university in Luanda, Angola."
AO-2015-7#-00000010,4.0,"Since independence from Portugal in 1975, a number of Angolan students continued to be admitted every year at high schools, polytechnical institutes and universities in Portugal and Brazil through bilateral agreements; in general, these students belong to the elites."
AO-2006-5#-00000077,1.0,"As the 32 Battalion company moved in to mop up, they discovered the bodies of four Russians, two Soviet officers and two civilian women. One Soviet soldier, Warrant Officer Nikolai Feodorovich Pestretsov, was captured when he remained behind with his wife's body."
AO-2015-7#-00000571,4.0,"Faculties offered It currently offers the following faculties:  Law Economics and Management Computer sciences Sociology Civil engineering Nursing  Medicine  Electromec engineering  Petroleum sciences The university currently has 17 undergraduate and 5 postgraduate courses.https://www.unipiaget-angola.org/about?historial  Planned expansion An estimated 8 million USD are planned to be spent in an upcoming university expansion project that will add four buildings with three floors each, in an area of 35 hectares to accommodate 2,500 students."
AO-2015-7#-00000010,4.0,"Since independence from Portugal in 1975, a number of Angolan students continued to be admitted every year at high schools, polytechnical institutes and universities in Portugal and Brazil through bilateral agreements; in general, these students belong to the elites."
AO-2006-5#-00000077,1.0,"As the 32 Battalion company moved in to mop up, they discovered the bodies of four Russians, two Soviet officers and two civilian women. One Soviet soldier, Warrant Officer Nikolai Feodorovich Pestretsov, was captured when he remained behind with his wife's body."
AO-2015-7#-00000266,1.0,"They had been trained by the Chinese at Kinkusu in Zaire and spent their time learning...slogans rather than training with their weapons, which they hardly fired, even on the range."" This was reflective of a particular school of Marxist-Leninist political thought which considered a people's militia to be the most appropriate local defence force under a socialist system. There were at least 88 Cubans in the first line of defence, including the training instructors from Vila Salazar; following Cuban military tradition, they were expected to fight alongside their students."
AO-2015-7#-00000010,4.0,"Since independence from Portugal in 1975, a number of Angolan students continued to be admitted every year at high schools, polytechnical institutes and universities in Portugal and Brazil through bilateral agreements; in general, these students belong to the elites."
AO-2006-5#-00000077,1.0,"As the 32 Battalion company moved in to mop up, they discovered the bodies of four Russians, two Soviet officers and two civilian women. One Soviet soldier, Warrant Officer Nikolai Feodorovich Pestretsov, was captured when he remained behind with his wife's body."
AO-2015-7#-00000571,4.0,"Faculties offered It currently offers the following faculties:  Law Economics and Management Computer sciences Sociology Civil engineering Nursing  Medicine  Electromec engineering  Petroleum sciences The university currently has 17 undergraduate and 5 postgraduate courses.https://www.unipiaget-angola.org/about?historial  Planned expansion An estimated 8 million USD are planned to be spent in an upcoming university expansion project that will add four buildings with three floors each, in an area of 35 hectares to accommodate 2,500 students."
AO-2015-7#-00000010,4.0,"Since independence from Portugal in 1975, a number of Angolan students continued to be admitted every year at high schools, polytechnical institutes and universities in Portugal and Brazil through bilateral agreements; in general, these students belong to the elites."
AO-2006-5#-00000077,1.0,"As the 32 Battalion company moved in to mop up, they discovered the bodies of four Russians, two Soviet officers and two civilian women. One Soviet soldier, Warrant Officer Nikolai Feodorovich Pestretsov, was captured when he remained behind with his wife's body."
AO-2015-7#-00000571,4.0,"Faculties offered It currently offers the following faculties:  Law Economics and Management Computer sciences Sociology Civil engineering Nursing  Medicine  Electromec engineering  Petroleum sciences The university currently has 17 undergraduate and 5 postgraduate courses.https://www.unipiaget-angola.org/about?historial  Planned expansion An estimated 8 million USD are planned to be spent in an upcoming university expansion project that will add four buildings with three floors each, in an area of 35 hectares to accommodate 2,500 students."
