DHSID_EA,relevance_score,most_relevant_sentences
BD-2014-7#-00000164,1.0,"Club facilities Several club facilities guest house, restaurant, convention centre, mini hall room, Ballroom, bar, swimming pool, cruise vessel, club house, water sports, holiday resort, coffee and cream Corner."
BD-2014-7#-00000339,1.0,Retrieved 6 May 2013 Petrapole infrastructure to be beefed up thehindubusinessline.com.
BD-2014-7#-00000123,1.0,"thumb|A view of the Meghna from a bridge  In Daudkandi, (Comilla District), the Meghna is joined by the Gumti River, which increases the Meghna's water flow considerably."
BD-2007-5#-00000055,1.0,"It carries immense volumes of water and is very wide at places, constantly shifting its main channel, eroding vast areas on one bank, throwing chars on the other, giving rise to many disputes as to the possession of the chars and islands which are thrown up."
BD-2011-6#-00000197,1.0,"Further projects include: primary and secondary radar, a new control tower and a modern drainage system. In the recent years, the internal designs such as concourse, toilets and others parts were also upgraded."
BD-2014-7#-00000159,2.0,The water supply and sewage systems are managed by the Chittagong Water Supply and Sewerage Authority (Chittagong WASA).
BD-2017-7Z-00000269,3.0,"The Sundarbans freshwater swamp forests ecoregion lies closer to the Bay of Bengal; this ecoregion is flooded with slightly brackish water during the dry season, and fresh water during the monsoon season."
BD-2017-7Z-00000423,1.0,"Infrastructure  Two administrative buildings  Six faculty complexes  Thirteen halls for students  three-storied central library  modern auditorium (Shilpacharya Zainul Abedin Auditorium, 2,000 seats)  conference hall  central laboratory  Research field for every faculty  gymnasium  stadium  sports complex  healthcare centre (free care service for students, university staff and their families)  project complex  657 units of residential facilities for teachers, officers and employees  TSC  Botanical garden  Fish museum & Biodiversity centre  Agriculture museum  GTI complex  Computer lab & wifi zone  Horticulture farm  Agriculture university school & college  Farmer auditorium  Community centre  Guest house  Central mosque  Bank & ATM booth  KR market  Halls of residence (student dormitories)  Boys' halls  Isha Khan Hall  Shahjalal Hall  Shaheed Shamsul Haque Hall  Shaheed Nazmul Ahsan Hall  Ashraful Haque Hall  Shaheed Jamal Hossain Hall  Hossain Shaheed Shuhrawardy Hall  Fazlul Haque Hall  Bangabandhu Sheikh Mujib Hall  Girls' halls  Sultana Razia Hall  Taposhi Rabeya Hall  Sheikh Fazilatunnesa Mujib hall  Begum Rokeya Hall  Administration Partial list of the vice-chancellors of the university:   List of Vice-Chancellors   M Osman Ghani (2 September 1961 – 1963)  S.D. The aim of teaching, for example, is the creation of professional and technical manpower in animal production and related fields such as animal breeding and reproduction, animal nutrition, in dairy, poultry, meat and draught animal production."
BD-2014-7#-00000143,1.0,"In ancient times, maximum area of the Noakhali region was under water except this area."
BD-2011-6#-00000151,1.0,"Rajts, T. Huntington & M. G. Hussain, Carp Brood Stock Management and Genetic Improvement Programme under Fourth Fisheries Project, Department for International Development (DFID), 2002, Retrieved: 2008-07-30 In 1982, the Raipur Hatchery started artificial spawning in Bangladesh.Monirul Qader Mirza & Neil J. Ericksen, Impact of water control projects on fisheries resources in Bangladesh, Centre for Environmental and Resource Studies (CEARS), University of Waikato, 2005, Retrieved: 2008-07-30 In 2001, the Greater Noakhali Aquaculture Extension Component (GNAEC), a sub-program of DANIDA's Agricultural Sector Program in Bangladesh, shifted from the hatchery development strategy of hatched at the Raipur Hatchery."
