DHSID_EA,most_relevant_sentences
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2003-4#-00000214,"Due to its strong economic contributions, following the nation's gaining independence in 1960, the city was called ""the economic capital of the country"" (as opposed to the administrative capital, Ouagadougou)"
BF-2010-6#-00000012,"It was originally expected to be completed around 2018, and the government of Burkina Faso has an $85 million loan from the World Bank to help finance the construction"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2010-6#-00000022,"The solar farm is under development by the French IPP, Africa Ren, with funding from European financial institutions, led by FMO Entrepreneurial Development Bank of the Netherlands"
BF-2014-7#-00000043,"The government was continuing to get financial aid and loans to finance the debt. World Bank The World Bank was established in 1944, and comprises five institutions whose shared goals are to end extreme poverty by 2030 and to promote shared prosperity by fostering income growth of the lower forty percent of every country"
BF-2010-6#-00000185,"Crafts are the second most important urban employment sector (which itself includes so-called artisan activities). The craftsmanship of art is varied in all the localities of the municipality; it is mainly represented by professionals in leather, woodworking, natural resource processing and recovery, decoration"
