DHSID_EA,relevance_score,most_relevant_sentences
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000399,2.0,"2003  Location: Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo  Geographic coordinates:  Continent: Africa  Area: total: 112 622 km2  country comparison to the world: 102 land: 110 622 km2 water: 2 000 km2  Area comparative Australia comparative: about half the size of Victoria Canada comparative: 1.5 times larger than New Brunswick United Kingdom comparative: smaller than England United States comparative: slightly smaller than Pennsylvania  Land boundaries: total: 2 123 km border countries: Burkina Faso 386 km, Niger 277 km, Nigeria 809 km, Togo 651 km  Coastline: 121 km  Maritime claims: territorial sea: 200 nautical miles (370.4 km)  Climate: tropical; hot, humid in south; semiarid in north  Terrain: mostly flat to undulating plain; some hills and low mountains  Elevation extremes: lowest point: Atlantic Ocean 0 m highest point: Mont Sokbaro 658 m  Natural resources: small offshore oil deposits, limestone, marble, timber  Land use: arable land: 23.94% permanent crops: 3.99% other: 72.06% (2012)  Irrigated land: 230.4 km2 (2012)  'Total renewable water resources: 26.39 km3 (2011)  Freshwater withdrawal (domestic/industrial/agricultural):  total: 0.13 km³/a (32%/23%/45%)  per capita: 18.74 m³/a (2001)  Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March  Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification  Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling  Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands."
BJ-2012-6#-00000150,1.0,"Each year, the directors of the three forts were required to travel to Abomey, 100 km north of Ouidah, to pay their respect to the king during the annual festivities called “customs”."
BJ-2012-6#-00000150,1.0,"Each year, the directors of the three forts were required to travel to Abomey, 100 km north of Ouidah, to pay their respect to the king during the annual festivities called “customs”."
