DHSID_EA,relevance_score,most_relevant_sentences
BO-2008-5#-00005084,1.0,"Following Abengoa financial woes, construction halted on January 2016, after about 1,500 workers were fired from the project, leaving only maintenance personnel on site.Abengoa Said to Plan Return to Work on Giant Chilean Solar Plant. The construction, operation and maintenance of the plant will also act as a catalyst for regional socio-economic development, creating a large number of direct and indirect jobs in construction, development, commissioning and plant operation as well as a network of services that will promote economic growth in the region.Abengoa to develop South America’s largest solar-thermal plant in Chile www.abengoa.com retived January 9, 2014  See also   Antofagasta  Atacama Desert  Concentrated solar power  List of solar thermal power stations  María Elena  María Elena Solar Power Plant  Renewable energy  Solar thermal energy  References  External links   Municipality of María Elena   Chile Environmental Authority  EIG Global Energy Partners  Category:Solar power stations in Chile Category:Solar thermal energy Category:Proposed solar power stations Category:Energy infrastructure in Antofagasta Region Category:Proposed renewable energy power stations in Chile"
BO-2008-5#-00006046,1.0,"Continuing onto the mix of brown and purples, which are composed of lead, and rich in calcium carbonate, and is 80 to 90 million years of age."
BO-2008-5#-00008024,2.0,"Households with monthly income of up to half a minimum wage per person represent 41.2% of the population. Deaths per 1,000 live births:  Municipal finances Recent figures for committed municipal expenditure: Recent figures for realized municipal revenue:  References  Sources  Category:Municipalities in Rondônia"
BO-2008-5#-00007167,1.0,"The soils of the Chaco are very deep sedimentary soils rich in nutrients, including luvisols, cambisols, and regosols, and are in general very fertile and apt for agriculture and pasture (always presuming responsible and sustainable techniques), more so than most of the world's semi-arid tropics."
BO-2008-5#-00005084,1.0,The Azufrera stage edifice was subject to the most alteration; especially in the summit area and between the Angulo and Azufrera summits lie sulfur rich talus deposits.
BO-2008-5#-00005084,2.0,"Large-scale exploitation of natural resources in the area commenced in the late 19th century, when after the Saltpeter War Chile acquired the territories, began to exploit them and capitalism and industrialization came to the region."
BO-2008-5#-00004083,1.0,"Mythology and archeology  Also named Laram Qhawani, the volcano dominating the village of Enquelca is a sacred mountain, responsible for health, wealth and rain."
BO-2008-5#-00008053,2.0,Households with monthly income of up to half a minimum wage per person represent 35.6% of the population. Municipal finances Committed municipal expenditure by year: Realized municipal revenue by year:  References  Sources  Category:Municipalities in Rondônia
BO-2008-5#-00002132,1.0,The population in this neighborhood has a medium to high income level on average .
BO-2008-5#-00005085,2.0,"The ignimbrite features three facies, one rich in breccia, another rich in pumice, and a normal ignimbrite."
BO-2008-5#-00003033,1.0,Large parts of Cordillera Oriental are forested and humid areas rich in agricultural and livestock products.
BO-2008-5#-00004067,1.0,"Geology  Andesites from the Lauca volcano, active in the Late Miocene as of 10.5 million years ago,Kött et al., 1995 exist in two groups, plagioclase rich ones which underwent alteration and fine grained silicic ones that are fresher. The territory is underpinned with a crust formed from rocks of Precambrian to Cretaceous age, with thicknesses up to .Wörner et al., 1992 Amphibole rich lava flows formed a uniform volcanic cone."
BO-2008-5#-00008024,1.0,These were released at the lake edge where they caused critical overpopulation.
BO-2008-5#-00005085,1.0,"Hydrothermal alterations have generated Sb-Au and Pb-Ag-Zn deposits that may be of economic importance. Its deposit, the Verde Ignimbrite, is pumice rich and green in colour."
BO-2008-5#-00006068,2.0,"It is one of the richest and richest districts of the Chaco in terms of its nature as well as in the number of forts and historical sites of the War that are within its more than 13,000 km² of surface."
BO-2008-5#-00005085,1.0,"References    External links  Interactive scholarly application, multimodal resources mashup (publications, images, videos)."
BO-2008-5#-00002040,2.0,"Later it became the property of the Counts of Arana, subsequently during the La Paz revolution it became the property of the Marquises of Villaverde."
BO-2008-5#-00004026,1.0,"Gradually, as this resource became less plentiful, Oruro again went into a decline. In the early 21st century, Oruro's economy grew through trade and economic connections with Chile, especially for exporting products to Pacific markets. Culture and education Despite its economic decline, the city attracts numerous tourists to its Carnaval de Oruro, considered one of the great folkloric events in South America for its masked ""diablada"" and Anata.G."
BO-2008-5#-00007162,1.0,"The biologically rich Pantanal, one of the world's largest wetland/prairie ecosystems, is also located within this state. Culture [[File:Índios da etnia Kuikuro.jpg|thumb|Kuikuro Indians from Mato Grosso]] The local culture is very rich due to the influences of and encounters with various cultures, such as indigenous peoples, colonial Spanish and other European settlers, Africans enslaved and transported there in the Atlantic slave trade, originally by the Portuguese, and other Europeans; and immigrants and settlers since the late 19th century. Cuiabá has a rich cuisine influenced by natives."
BO-2008-5#-00007167,1.0,"It is home to one of the richest ecosystems ever found to date, with periodically flooded seasonal forests. White symbolizes hope, green is an allusion to the state's rich flora, blue represents its vast sky, while the yellow star adds balance, force and serenity."
BO-2008-5#-00007167,2.0,"The city's GDP was R$ 20,7 billion (about of US$ 9,59 billions) in 2013, ranks as the richest city in the state, the third in the Central-West region of the country, and the 33rd richest in Brazil (2013)."
BO-2008-5#-00001053,1.0,"When the center of political and economic power shifted north, to the tin-producing regions of Oruro and La Paz, Sucre's importance waned, leading to the displacement of the legislative and executive powers to La Paz."
BO-2008-5#-00003068,2.0,"It was to be an agricultural production centre to provide food for the mining towns of the relatively nearby Altiplano region, particularly the city of Potosí which became one of the largest and richest cities in the world during the 17th century – funding the vast wealth that ultimately made Spain a world power at the time."
BO-2008-5#-00007150,1.0,"The following table shows the number of speakers per municipality:   Language Concepción Municipality (%) San Javier Municipality (%) San Ramón Municipality (%) San Julián Municipality (%) San Antonio de Lomerío Municipality (%) Cuatro Cañadas Municipality (%)Quechua36324746814,855464,782Aymara simi120104758047252Guaraní53142256821486Another native 901128291382.221202Spanish13,37010,4145,27832,1825.48012.637Foreign 134102841,2091993,864Only native13831462,430162628Native and Spanish1,26455952213,4692,1184,558Only Spanish 12,1199,8654,76919,4053,47411,018   Economy  The principal economic activities are devoted to animal husbandry, dairy farming, forestry and tourism."
BO-2008-5#-00006045,1.0,"Belgrano declined, asking that the money be used instead to build schools in Tucumán, Salta, Jujuy and Tarija."
BO-2008-5#-00003126,1.0,Other important economic goods are cocoa and timber.
BO-2008-5#-00005055,2.0,"The main economic activity of Macha is subsistence agriculture.La Nación newspaper, 16 June 2002 (cited on this website)   Every 3 May, Santiago de Macha hosts the religious festival of Tinku, an aymará ritual consisting in a fist fighting challenge between two rival  groups.Tinku, the ritualistic combat   Rebel leader Túpac Katari was born in Macha in 1750."
