DHSID_EA,relevance_score,most_relevant_sentences
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
BU-2016-7#-00000170,1.0,"It was involved with several ""quick effect"" projects, including rehabilitating and building schools, orphanages, health clinics and rebuilding infrastructure such as water lines. Lake Victoria is also an important water source, which serves as a fork to the Kagera River.Klohn, Wulf and Mihailo Andjelic. Another major lake is Lake Tanganyika, located in much of Burundi's southwestern corner. When several Burundians of close acquaintance meet for a gathering they drink impeke, a beer, together from a large container to symbolise unity. Science and technology  Burundi's Strategic Plan for Science, Technology, Research and Innovation (2013) covers the following areas: food technology; medical sciences; energy, mining and transportation; water; desertification; environmental biotechnology and indigenous knowledge; materials science; engineering and industry; ICTs; space sciences; mathematical sciences; and social and human sciences."
