DHSID_EA,relevance_score,most_relevant_sentences
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-1998-3Z-00000177,1.0,"thumb|The N'Zi near Dimbokro The Nzi River or N'zi River is a river in Ivory Coast. On 6 September 2016, the railway bridge over this river near Dimbokro collapsed.Railways Africa Nzi River bridge     References   Category:Rivers of Ivory Coast"
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
CI-1998-3Z-00000011,1.0,"The heat recovery boiler extract some of he heat from the first cycle and uses it to heat water, producing steam. Eranove is a French water and electricity development and management conglomerate, headquartered in Paris, France. See also  List of power stations in Ivory Coast  References  External links   Impact study of the intake and discharge of water from the thermal power plant on fishing activity and fishermen of Taboth – CIPREL 5  Ivory Coast secures financial closure for Atinkou power plant project As of 26 March 2020."
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
CI-1998-3Z-00000011,1.0,"The heat recovery boiler extract some of he heat from the first cycle and uses it to heat water, producing steam. Eranove is a French water and electricity development and management conglomerate, headquartered in Paris, France. See also  List of power stations in Ivory Coast  References  External links   Impact study of the intake and discharge of water from the thermal power plant on fishing activity and fishermen of Taboth – CIPREL 5  Ivory Coast secures financial closure for Atinkou power plant project As of 26 March 2020."
CI-1998-3Z-00000162,1.0,"The power station will burn palm oil waste, sourced from 12,000 Ivorian farmers, to heat water and produce steam."
CI-1998-3Z-00000177,1.0,"thumb|The N'Zi near Dimbokro The Nzi River or N'zi River is a river in Ivory Coast. On 6 September 2016, the railway bridge over this river near Dimbokro collapsed.Railways Africa Nzi River bridge     References   Category:Rivers of Ivory Coast"
CI-1998-3Z-00000177,1.0,"thumb|The N'Zi near Dimbokro The Nzi River or N'zi River is a river in Ivory Coast. On 6 September 2016, the railway bridge over this river near Dimbokro collapsed.Railways Africa Nzi River bridge     References   Category:Rivers of Ivory Coast"
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-2012-6#-00000217,1.0,"Following is a list of the nationalities of the deceased:   Nationality NumberNigeria  84 Kenya  20 India  8 ""Congo"" (specific country undisclosed)  5 Uganda  5 Madagascar  4 Senegal  3 Togo  3 Canada  2 Ivory Coast  2 Ethiopia  2 France  2 Ghana  2 Iran  2 Mali  2 Netherlands  2 Philippines  2 Rwanda  2 United States  2 Zambia  2 Belgium  1 Burkina Faso  1 Burundi  1 Chad  1 Gambia  1 Guinea  1 Ireland  1 Liberia  1 Mauritania  1 Spain  1 Tanzania  1 Zimbabwe  1 Undetermined  1 Total (33 nationalities)  169  Powerboat operators and fishermen extracted at least seven of the survivors from the water. Four survivors received first-degree burns from contact with jet fuel in the water. Forty-three of the deceased received first-degree burns due to contact with the jet fuel spilled in the water."
CI-2012-6#-00000349,2.0,"250px|thumbnail|Kossou dam power plant The Kossou Dam is an embankment dam that impounds the Bandama River about  northwest of Yamoussoukro in  Côte d'Ivoire. The dam impounds the largest lake in Côte d'Ivoire, Lake Kossou."
CI-2012-6#-00000103,1.0,The Buyo Dam is an embankment dam on the Sassandra River in the Bas-Sassandra district of Côte d'Ivoire.
CI-2012-6#-00000016,3.0,"The 44 megawatt power station involves the construction of a ""mixed rockfill and concrete dam"", measuring  in height and  in length, creating a reservoir that can store  of water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-1998-3Z-00000051,2.0,The waters around Île Boulay have also been affected by bacterial and chemical pollution.
CI-1998-3Z-00000110,2.0,"WASH focuses on safe drinkable water, hygiene, and proper sanitation. By 2030, they plan to have universal and equal access to safe and affordable drinking water."
CI-2012-6#-00000089,2.0,"The south-flowing river is a tributary of the Bandama River, joining it south of Lake Kossou, a large artificial lake created in 1973 by the construction of the Kossou Dam at Kossou."
CI-1998-3Z-00000011,2.0,These alternating wet and dry seasons causes great variations in the volume of water in the river.
