DHSID_EA,relevance_score,most_relevant_sentences
CM-2018-7#-00000106,2.0,"The main benefits of Grand Eweng will include energy production, improving Sanaga River water regulation, decreasing the cost of electricity, reducing pollution, and contributing to the economic development of the project area and country as a whole."
CM-2011-6#-00000376,4.0,References  External links Worldstatesmen  Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,2.0,"Lake Nyos is thermally stratified, with layers of warm, less dense water near the surface floating on the colder, denser water layers near the lake's bottom. The huge amount of water rising suddenly caused much turbulence in the water, spawning a wave of at least  that would scour the shore of one side. Estimates of the rate of carbon dioxide entering the lake suggested that outgassings could occur every 10–30 years, though a recent study shows  that release of water from the lake, caused by erosion of the natural barrier that keeps in the lake's water, could in turn reduce pressure on the lake's carbon dioxide and cause a gas escape much sooner. Engineers could also introduce a channel to allow excess water to drain; if the water level were lowered by about , the pressure on the wall would be reduced significantly.United nations report on the dam   Return of population Despite the risks from carbon dioxide and collapse of the lake's retaining wall, the area is being resettled."
CM-2004-4#-00000284,2.0,"All of these fall into a tropical regime, with a period of high water from May to September during the rainy season, and a period of low water – or even complete dryness – from October to April."
CM-2011-6#-00000229,1.0,"[[File:Sanghabasinmap.png|thumb|Map of the Sangha.Likouala drainage basin Likouala-aux-Herbes to the east and Likouala-Mossaka to the west]]  thumb|The Sangha River in the Central African Republic in 2010 The Sangha River, a tributary of the Congo River, is located in Central Africa."
CM-2018-7#-00000052,1.0,Publications   References   Category:Museums in Cameroon Category:Yaoundé Category:Cultural infrastructure completed in 2000 Category:Ethnographic museums
CM-2018-7#-00000336,1.0,The purpose of the dam is to produce hydroelectric power and to regulate water flows along the Sanaga River.
CM-2011-6#-00000329,1.0,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon.
CM-2018-7#-00000074,1.0,"This renovation added 22 benches, 16 lamps, toilet blocks, commercial buildings, the installation of tiles and the construction of offices for the Commissioner of Railways. While a true dry port, the railway station in Ngaoundere lacks the appropriate infrastructure for the storage of fresh food."
CM-2018-7#-00000052,1.0,Publications   References   Category:Museums in Cameroon Category:Yaoundé Category:Cultural infrastructure completed in 2000 Category:Ethnographic museums
CM-2018-7#-00000336,1.0,The purpose of the dam is to produce hydroelectric power and to regulate water flows along the Sanaga River.
CM-2011-6#-00000329,1.0,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon.
CM-2018-7#-00000074,1.0,"This renovation added 22 benches, 16 lamps, toilet blocks, commercial buildings, the installation of tiles and the construction of offices for the Commissioner of Railways. While a true dry port, the railway station in Ngaoundere lacks the appropriate infrastructure for the storage of fresh food."
CM-2011-6#-00000376,7.0,"These include drinking water and others public sources, lighting, paving of roads, cemeteries, cleaning and sanitation, the sanitary waste treatment and waste, disinfecting, emergency first aid, health inspections and drinks, health inspection of poor housing, sanitation, public banks, slaughterhouses, markets and the elimination of stagnant water."
CM-2004-4#-00000109,2.0,"The endemics are threatened by pollution and sedimentation from human activities, and ""turning"" of the lake's water because of deforestation of the surroundings (this may allow more wind, and the lake is stratified with oxygen-poor lower levels)."
CM-2011-6#-00000215,1.0,"All the Bermin cichlids are critically endangered by pollution and sedimentation from human activities, and potentially also by large emissions of carbon dioxide (CO2) from the lake's bottom (compare Lake Nyos), although Bermin is too shallow to contain very high amounts of this gas.Freeth, S.J."
CM-2004-4#-00000005,1.0,"Between January and March the water retreats, the ponds are drained and the fish harvested."
CM-2018-7#-00000106,2.0,"The main benefits of Grand Eweng will include energy production, improving Sanaga River water regulation, decreasing the cost of electricity, reducing pollution, and contributing to the economic development of the project area and country as a whole."
CM-2011-6#-00000376,4.0,References  External links Worldstatesmen  Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2018-7#-00000106,2.0,"The main benefits of Grand Eweng will include energy production, improving Sanaga River water regulation, decreasing the cost of electricity, reducing pollution, and contributing to the economic development of the project area and country as a whole."
CM-2011-6#-00000376,4.0,References  External links Worldstatesmen  Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,2.0,"Lake Nyos is thermally stratified, with layers of warm, less dense water near the surface floating on the colder, denser water layers near the lake's bottom. The huge amount of water rising suddenly caused much turbulence in the water, spawning a wave of at least  that would scour the shore of one side. Estimates of the rate of carbon dioxide entering the lake suggested that outgassings could occur every 10–30 years, though a recent study shows  that release of water from the lake, caused by erosion of the natural barrier that keeps in the lake's water, could in turn reduce pressure on the lake's carbon dioxide and cause a gas escape much sooner. Engineers could also introduce a channel to allow excess water to drain; if the water level were lowered by about , the pressure on the wall would be reduced significantly.United nations report on the dam   Return of population Despite the risks from carbon dioxide and collapse of the lake's retaining wall, the area is being resettled."
CM-2011-6#-00000376,1.0,"LNG plant thumb| The plant's train (liquefaction and purification facility) 1 has a capacity of 3.4 million metric tonnes per annum. Several systems are in places such as feed gas metering, liquefaction, refrigeration, ethylene storage, boil off gas compression, product transfer to storage and LNG product metering. See also   Energy in Equatorial Guinea  References  External links Equatorial Oil's EG LNG page  Category:Oil and gas companies of Equatorial Guinea Category:Energy infrastructure in Equatorial Guinea Category:Liquefied natural gas plants Category:Bioko Category:Marubeni Category:Non-renewable resource companies established in 2007 Category:2007 establishments in Equatorial Guinea"
