DHSID_EA,most_relevant_sentences
CM-2018-7#-00000336,A coffer dam to divert the river around the dam foundation was completed in July 2013
CM-2011-6#-00000329,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
CM-2011-6#-00000403,"Total renewable water resources: 26 km3 (2011) Natural hazards: violent windstorms, flash floods Environment - current issues: tap water is not potable; deforestation Environment - international agreements: party to: Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands Geography - note: insular and continental regions rather widely separated Extreme points This is a list of the extreme points of Equatorial Guinea, the points that are farther north, south, east or west than any other location"
CM-2018-7#-00000159,"The river rises from the eastern Adamawa Plateau, southeast of Garoua-Boulaï () in Cameroon's East Province"
CM-2011-6#-00000180,"44 The lake shores are often steep, sloping 70 to 80 meters above the surface of the lake. There is a freshwater swamp forest at the southeastern end of the lake around the outflow channel, with the trees Pandanus, Raphia, Mitragyna, and Uapaca"
CM-2011-6#-00000323,In 1994 a pilot program was started to drain some water back into the floodplain. The outcome of the dam diverting vast amounts of water has negatively impacted communities downstream
CM-2011-6#-00000376,"Bioko used to be the end of a peninsula attached to the mainland in what is now the Ambazonian region of Cameroon, but it was cut off when sea levels rose 10,000 years ago at the end of the last ice age"
CM-2004-4#-00000047,"thumb|Fishing in Guere lake thumb|alt=Brightly lit by the setting sun, a boat sailing on the lake and carrying two men seems to turn into gold"
CM-2011-6#-00000376,LNG plant thumb| The plant's train (liquefaction and purification facility) 1 has a capacity of 3
CM-2018-7#-00000106,"The proposed Grand Eweng Hydroelectric Power Station consists of a dam and reservoir with a hydroelectric facility with an installed power of about 1,000 MW in the first phase to be financed as an independent power producer"
CM-2011-6#-00000530,The lake was formed by the construction of a dam and is fed by the Sanaga River
CM-2011-6#-00000376,References External links Worldstatesmen Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,"A volcanic dam impounds the lake waters. The lake waters are held in place by a natural dam composed of volcanic rock. The normally blue waters of the lake turned a deep red after the outgassing, due to iron-rich water from the deep rising to the surface and being oxidised by the air. Weakening dam In 2005, Isaac Njilah, a geologist at the University of Yaoundé, suggested that the natural dam of volcanic rock that keeps in the lake's waters could collapse in the near future"
CM-2011-6#-00000376,"These include drinking water and others public sources, lighting, paving of roads, cemeteries, cleaning and sanitation, the sanitary waste treatment and waste, disinfecting, emergency first aid, health inspections and drinks, health inspection of poor housing, sanitation, public banks, slaughterhouses, markets and the elimination of stagnant water"
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
CM-2011-6#-00000403,"Total renewable water resources: 26 km3 (2011) Natural hazards: violent windstorms, flash floods Environment - current issues: tap water is not potable; deforestation Environment - international agreements: party to: Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands Geography - note: insular and continental regions rather widely separated Extreme points This is a list of the extreme points of Equatorial Guinea, the points that are farther north, south, east or west than any other location"
CM-2018-7#-00000159,"The river rises from the eastern Adamawa Plateau, southeast of Garoua-Boulaï () in Cameroon's East Province"
CM-2011-6#-00000180,"44 The lake shores are often steep, sloping 70 to 80 meters above the surface of the lake. There is a freshwater swamp forest at the southeastern end of the lake around the outflow channel, with the trees Pandanus, Raphia, Mitragyna, and Uapaca"
CM-2011-6#-00000323,In 1994 a pilot program was started to drain some water back into the floodplain. The outcome of the dam diverting vast amounts of water has negatively impacted communities downstream
CM-2018-7#-00000441,It is the junction for a short branch line to the river port of Mbalmayo
CM-2004-4#-00000341,"thumb|Bakundu Forest Reserve, Lake Barombi Lake Barombi Mbo or Barombi-ma-Mbu is a lake near Kumba in the Southwest Region of Cameroon. It is located in the Cameroon volcanic chain, and is the largest volcanic lake in this region. Biology Until now, 15 species of fishes have been recorded from the lake. Perhaps most noteworthy are the 11 species of cichlids that are endemic to the lake (Konia spp. Sympatric speciation suggested by monophyly of crater lake cichlids. Complex histories of repeated gene flow in Cameroon crater lake cichlids cast doubt on one of the clearest examples of sympatric speciation. The lake is strongly stratified with essentially no oxygen deeper than , meaning that fish are restricted to the upper parts closer to the surface. However, one of the cichlid species, Konia dikume, has an unusually high level of hemoglobin in its blood, allowing it to briefly enter low-oxygen water to feed on glassworms (Chaoborus). Other cichlid species in the lake include both generalist and specialist feeders. In addition to the sponge, the lake is home to an endemic species of Caridina shrimp. All the endemic fish are seriously threatened by pollution and sedimentation from human activities. Commercial fishing is forbidden in the lake"
CM-2018-7#-00000162,JPG|thumb|Water mouth of the Mbam river (left) into the Sanaga river near Ebebda]]It flows from the Adamawa Plateau and receives the Kim and Ndjim rivers on its left bank and later the Noun River at its right bank before its confluence with the Sanaga River
CM-2004-4#-00000341,"thumb|Bakundu Forest Reserve, Lake Barombi Lake Barombi Mbo or Barombi-ma-Mbu is a lake near Kumba in the Southwest Region of Cameroon. It is located in the Cameroon volcanic chain, and is the largest volcanic lake in this region. Biology Until now, 15 species of fishes have been recorded from the lake. Perhaps most noteworthy are the 11 species of cichlids that are endemic to the lake (Konia spp. Sympatric speciation suggested by monophyly of crater lake cichlids. Complex histories of repeated gene flow in Cameroon crater lake cichlids cast doubt on one of the clearest examples of sympatric speciation. The lake is strongly stratified with essentially no oxygen deeper than , meaning that fish are restricted to the upper parts closer to the surface. However, one of the cichlid species, Konia dikume, has an unusually high level of hemoglobin in its blood, allowing it to briefly enter low-oxygen water to feed on glassworms (Chaoborus). Other cichlid species in the lake include both generalist and specialist feeders. In addition to the sponge, the lake is home to an endemic species of Caridina shrimp. All the endemic fish are seriously threatened by pollution and sedimentation from human activities. Commercial fishing is forbidden in the lake"
CM-2018-7#-00000162,JPG|thumb|Water mouth of the Mbam river (left) into the Sanaga river near Ebebda]]It flows from the Adamawa Plateau and receives the Kim and Ndjim rivers on its left bank and later the Noun River at its right bank before its confluence with the Sanaga River
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
CM-2011-6#-00000403,"Total renewable water resources: 26 km3 (2011) Natural hazards: violent windstorms, flash floods Environment - current issues: tap water is not potable; deforestation Environment - international agreements: party to: Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands Geography - note: insular and continental regions rather widely separated Extreme points This is a list of the extreme points of Equatorial Guinea, the points that are farther north, south, east or west than any other location"
CM-2018-7#-00000159,"The river rises from the eastern Adamawa Plateau, southeast of Garoua-Boulaï () in Cameroon's East Province"
CM-2011-6#-00000180,"44 The lake shores are often steep, sloping 70 to 80 meters above the surface of the lake. There is a freshwater swamp forest at the southeastern end of the lake around the outflow channel, with the trees Pandanus, Raphia, Mitragyna, and Uapaca"
CM-2011-6#-00000323,In 1994 a pilot program was started to drain some water back into the floodplain. The outcome of the dam diverting vast amounts of water has negatively impacted communities downstream
CM-2018-7#-00000441,It is the junction for a short branch line to the river port of Mbalmayo
CM-2011-6#-00000376,"These include drinking water and others public sources, lighting, paving of roads, cemeteries, cleaning and sanitation, the sanitary waste treatment and waste, disinfecting, emergency first aid, health inspections and drinks, health inspection of poor housing, sanitation, public banks, slaughterhouses, markets and the elimination of stagnant water"
CM-2004-4#-00000109,"The endemics are threatened by pollution and sedimentation from human activities, and ""turning"" of the lake's water because of deforestation of the surroundings (this may allow more wind, and the lake is stratified with oxygen-poor lower levels)"
CM-2004-4#-00000119,"Lake Dissoni, also known as Lake Soden, is a small lake in the volcanic chain in the Southwest Region of Cameroon. This volcanic lake has diameter of about and is at the southeastern foot of the Rumpi Hills. Accessed 5 February 2012 The atyid shrimp Caridina sodenensis is also endemic to the lake"
CM-2011-6#-00000215,"Lonelydarksky (暗無天日) contact me (聯絡) 07:52, 5 February 2012 (UTC) Map coordinates, no seconds? I've added the geographic coordinates 5°10′N, 9°38'E to Lake Bermin, but if you click on the link to the map it doesn't match exactly (the lake only appears when zoomed greatly in). The lake is a bit to the south. The nearest coordinates using only degrees and minutes, 5°09′N, 9°38'E are about the same distance to the south of the lake. To get the pointer in the lake I need seconds in the coordinates (coordinates are degrees, minutes, seconds; see minute of arc), but I can only get the coordinate template to work with degrees and minutes"
CM-2011-6#-00000215,"Lake Bermin (sometimes spelled Bemin or Beme) is a small lake in the volcanic chain in the Southwest Region of Cameroon. It is a volcanic lake with a diameter of about Martin; Cutler; Friel; Touokong; Coop; and Wainwright (2015). Complex histories of repeated gene flow in Cameroon crater lake cichlids cast doubt on one of the clearest examples of sympatric speciation. (NY): 15–16 This highly isolated lake is roughly circular in shape, lacks an inflow, but has an outflow into the Cross River system. Sympatric speciation suggested by monophyly of crater lake cichlids. spongotroktis that eat pierces of the large sponges that grow in the lake. All the Bermin cichlids are critically endangered by pollution and sedimentation from human activities, and potentially also by large emissions of carbon dioxide (CO2) from the lake's bottom (compare Lake Nyos), although Bermin is too shallow to contain very high amounts of this gas"
CM-2018-7#-00000106,"The proposed Grand Eweng Hydroelectric Power Station consists of a dam and reservoir with a hydroelectric facility with an installed power of about 1,000 MW in the first phase to be financed as an independent power producer"
CM-2011-6#-00000530,The lake was formed by the construction of a dam and is fed by the Sanaga River
CM-2011-6#-00000376,References External links Worldstatesmen Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,"A volcanic dam impounds the lake waters. The lake waters are held in place by a natural dam composed of volcanic rock. The normally blue waters of the lake turned a deep red after the outgassing, due to iron-rich water from the deep rising to the surface and being oxidised by the air. Weakening dam In 2005, Isaac Njilah, a geologist at the University of Yaoundé, suggested that the natural dam of volcanic rock that keeps in the lake's waters could collapse in the near future"
CM-2011-6#-00000376,"Bioko used to be the end of a peninsula attached to the mainland in what is now the Ambazonian region of Cameroon, but it was cut off when sea levels rose 10,000 years ago at the end of the last ice age"
CM-2004-4#-00000047,"thumb|Fishing in Guere lake thumb|alt=Brightly lit by the setting sun, a boat sailing on the lake and carrying two men seems to turn into gold"
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
CM-2011-6#-00000403,"Total renewable water resources: 26 km3 (2011) Natural hazards: violent windstorms, flash floods Environment - current issues: tap water is not potable; deforestation Environment - international agreements: party to: Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands Geography - note: insular and continental regions rather widely separated Extreme points This is a list of the extreme points of Equatorial Guinea, the points that are farther north, south, east or west than any other location"
CM-2018-7#-00000159,"The river rises from the eastern Adamawa Plateau, southeast of Garoua-Boulaï () in Cameroon's East Province"
CM-2011-6#-00000180,"44 The lake shores are often steep, sloping 70 to 80 meters above the surface of the lake. There is a freshwater swamp forest at the southeastern end of the lake around the outflow channel, with the trees Pandanus, Raphia, Mitragyna, and Uapaca"
CM-2011-6#-00000323,In 1994 a pilot program was started to drain some water back into the floodplain. The outcome of the dam diverting vast amounts of water has negatively impacted communities downstream
CM-2018-7#-00000336,A coffer dam to divert the river around the dam foundation was completed in July 2013
CM-2011-6#-00000329,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon
CM-2018-7#-00000336,A coffer dam to divert the river around the dam foundation was completed in July 2013
CM-2011-6#-00000329,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon
CM-2004-4#-00000005,The Makombé River is a river in Cameroon
CM-2018-7#-00000336,A coffer dam to divert the river around the dam foundation was completed in July 2013
CM-2011-6#-00000329,thumb|330px|Rio Del Rey estuary (right) The Rio del Rey (also called Rio del Ray) is an estuary of a drainage basin in West Africa in Cameroon
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
CM-2011-6#-00000403,"Total renewable water resources: 26 km3 (2011) Natural hazards: violent windstorms, flash floods Environment - current issues: tap water is not potable; deforestation Environment - international agreements: party to: Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands Geography - note: insular and continental regions rather widely separated Extreme points This is a list of the extreme points of Equatorial Guinea, the points that are farther north, south, east or west than any other location"
CM-2018-7#-00000159,"The river rises from the eastern Adamawa Plateau, southeast of Garoua-Boulaï () in Cameroon's East Province"
CM-2011-6#-00000180,"44 The lake shores are often steep, sloping 70 to 80 meters above the surface of the lake. There is a freshwater swamp forest at the southeastern end of the lake around the outflow channel, with the trees Pandanus, Raphia, Mitragyna, and Uapaca"
CM-2011-6#-00000323,In 1994 a pilot program was started to drain some water back into the floodplain. The outcome of the dam diverting vast amounts of water has negatively impacted communities downstream
CM-2011-6#-00000376,LNG plant thumb| The plant's train (liquefaction and purification facility) 1 has a capacity of 3
CM-2011-6#-00000376,",  28 March 1887Ambas Bay becomes part of German possessions See also Communes of Cameroon References Category:Bays of the Atlantic Ocean Category:Bodies of water of Cameroon Category:Gulf of Guinea Category:British colonial people in the Cameroons Category:Government of Cameroon Colonial heads Category:Southwest Region (Cameroon)"
CM-2018-7#-00000262,"thumb|238x238px|Ntem River,Cameroon|alt= The Campo (in Spanish: Río Campo) or Ntem River is a border river in Cameroon, mainland Equatorial Guinea and Gabon"
CM-2018-7#-00000106,"The proposed Grand Eweng Hydroelectric Power Station consists of a dam and reservoir with a hydroelectric facility with an installed power of about 1,000 MW in the first phase to be financed as an independent power producer"
CM-2011-6#-00000530,The lake was formed by the construction of a dam and is fed by the Sanaga River
CM-2011-6#-00000376,References External links Worldstatesmen Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,"A volcanic dam impounds the lake waters. The lake waters are held in place by a natural dam composed of volcanic rock. The normally blue waters of the lake turned a deep red after the outgassing, due to iron-rich water from the deep rising to the surface and being oxidised by the air. Weakening dam In 2005, Isaac Njilah, a geologist at the University of Yaoundé, suggested that the natural dam of volcanic rock that keeps in the lake's waters could collapse in the near future"
CM-2004-4#-00000284,"All of these fall into a tropical regime, with a period of high water from May to September during the rainy season, and a period of low water – or even complete dryness – from October to April"
CM-2011-6#-00000229,"Its river mouth and confluence with the Sangha is at Ouésso, in the Republic of the Congo"
CM-2018-7#-00000362,"Other herbivores include red river hog (Potamochoerus porcus), bushbuck (Tragelaphus scriptus), bay duiker (Cephalophus dorsalis), blue duiker (Philantomba monticola), and yellow-backed duiker (Cephalophus sylvicultor)"
CM-2011-6#-00000376,"These include drinking water and others public sources, lighting, paving of roads, cemeteries, cleaning and sanitation, the sanitary waste treatment and waste, disinfecting, emergency first aid, health inspections and drinks, health inspection of poor housing, sanitation, public banks, slaughterhouses, markets and the elimination of stagnant water"
CM-2004-4#-00000109,"The endemics are threatened by pollution and sedimentation from human activities, and ""turning"" of the lake's water because of deforestation of the surroundings (this may allow more wind, and the lake is stratified with oxygen-poor lower levels)"
CM-2004-4#-00000119,"Lake Dissoni, also known as Lake Soden, is a small lake in the volcanic chain in the Southwest Region of Cameroon. This volcanic lake has diameter of about and is at the southeastern foot of the Rumpi Hills. Accessed 5 February 2012 The atyid shrimp Caridina sodenensis is also endemic to the lake"
CM-2011-6#-00000215,"Lonelydarksky (暗無天日) contact me (聯絡) 07:52, 5 February 2012 (UTC) Map coordinates, no seconds? I've added the geographic coordinates 5°10′N, 9°38'E to Lake Bermin, but if you click on the link to the map it doesn't match exactly (the lake only appears when zoomed greatly in). The lake is a bit to the south. The nearest coordinates using only degrees and minutes, 5°09′N, 9°38'E are about the same distance to the south of the lake. To get the pointer in the lake I need seconds in the coordinates (coordinates are degrees, minutes, seconds; see minute of arc), but I can only get the coordinate template to work with degrees and minutes"
CM-2011-6#-00000215,"Lake Bermin (sometimes spelled Bemin or Beme) is a small lake in the volcanic chain in the Southwest Region of Cameroon. It is a volcanic lake with a diameter of about Martin; Cutler; Friel; Touokong; Coop; and Wainwright (2015). Complex histories of repeated gene flow in Cameroon crater lake cichlids cast doubt on one of the clearest examples of sympatric speciation. (NY): 15–16 This highly isolated lake is roughly circular in shape, lacks an inflow, but has an outflow into the Cross River system. Sympatric speciation suggested by monophyly of crater lake cichlids. spongotroktis that eat pierces of the large sponges that grow in the lake. All the Bermin cichlids are critically endangered by pollution and sedimentation from human activities, and potentially also by large emissions of carbon dioxide (CO2) from the lake's bottom (compare Lake Nyos), although Bermin is too shallow to contain very high amounts of this gas"
CM-2011-6#-00000485,"Ecology A small sphagnum community with associated wetland plant species was discovered at 2,900 m in 1997, near the summit of the volcano, the highest sphagnum bog in West Africa"
CM-2004-4#-00000005,"thumb|alt=A split waterfall flows into the river in a steep-sided canyon, with lush green vegetation all around|Chutes d'Ekom The Nkam River rises in the Western High Plateau in the West Region of Cameroon, and joins the Makombé River to become the Wouri River. To the south of the town of Dschang, the Santchou Faunal Reserve lies to the east of the river. Fish farming thumb|Nkam River Annual flooding in the river valley provides millions of catfish juveniles. Normally, the Nkam river floods from July to October, when fish migrate to the ponds. Between January and March the water retreats, the ponds are drained and the fish harvested"
CM-2004-4#-00000113,"Naval operations In September 1914, the Germans had mined the Kamerun or Wouri estuary and scuttled naval vessels there to protect Douala, the colony's largest city and commercial centre"
CM-2011-6#-00000376,"These include drinking water and others public sources, lighting, paving of roads, cemeteries, cleaning and sanitation, the sanitary waste treatment and waste, disinfecting, emergency first aid, health inspections and drinks, health inspection of poor housing, sanitation, public banks, slaughterhouses, markets and the elimination of stagnant water"
CM-2004-4#-00000109,"The endemics are threatened by pollution and sedimentation from human activities, and ""turning"" of the lake's water because of deforestation of the surroundings (this may allow more wind, and the lake is stratified with oxygen-poor lower levels)"
CM-2004-4#-00000119,"Lake Dissoni, also known as Lake Soden, is a small lake in the volcanic chain in the Southwest Region of Cameroon. This volcanic lake has diameter of about and is at the southeastern foot of the Rumpi Hills. Accessed 5 February 2012 The atyid shrimp Caridina sodenensis is also endemic to the lake"
CM-2011-6#-00000215,"Lonelydarksky (暗無天日) contact me (聯絡) 07:52, 5 February 2012 (UTC) Map coordinates, no seconds? I've added the geographic coordinates 5°10′N, 9°38'E to Lake Bermin, but if you click on the link to the map it doesn't match exactly (the lake only appears when zoomed greatly in). The lake is a bit to the south. The nearest coordinates using only degrees and minutes, 5°09′N, 9°38'E are about the same distance to the south of the lake. To get the pointer in the lake I need seconds in the coordinates (coordinates are degrees, minutes, seconds; see minute of arc), but I can only get the coordinate template to work with degrees and minutes"
CM-2011-6#-00000215,"Lake Bermin (sometimes spelled Bemin or Beme) is a small lake in the volcanic chain in the Southwest Region of Cameroon. It is a volcanic lake with a diameter of about Martin; Cutler; Friel; Touokong; Coop; and Wainwright (2015). Complex histories of repeated gene flow in Cameroon crater lake cichlids cast doubt on one of the clearest examples of sympatric speciation. (NY): 15–16 This highly isolated lake is roughly circular in shape, lacks an inflow, but has an outflow into the Cross River system. Sympatric speciation suggested by monophyly of crater lake cichlids. spongotroktis that eat pierces of the large sponges that grow in the lake. All the Bermin cichlids are critically endangered by pollution and sedimentation from human activities, and potentially also by large emissions of carbon dioxide (CO2) from the lake's bottom (compare Lake Nyos), although Bermin is too shallow to contain very high amounts of this gas"
CM-2011-6#-00000485,"Ecology A small sphagnum community with associated wetland plant species was discovered at 2,900 m in 1997, near the summit of the volcano, the highest sphagnum bog in West Africa"
CM-2004-4#-00000005,"thumb|alt=A split waterfall flows into the river in a steep-sided canyon, with lush green vegetation all around|Chutes d'Ekom The Nkam River rises in the Western High Plateau in the West Region of Cameroon, and joins the Makombé River to become the Wouri River. To the south of the town of Dschang, the Santchou Faunal Reserve lies to the east of the river. Fish farming thumb|Nkam River Annual flooding in the river valley provides millions of catfish juveniles. Normally, the Nkam river floods from July to October, when fish migrate to the ponds. Between January and March the water retreats, the ponds are drained and the fish harvested"
CM-2004-4#-00000113,"Naval operations In September 1914, the Germans had mined the Kamerun or Wouri estuary and scuttled naval vessels there to protect Douala, the colony's largest city and commercial centre"
CM-2018-7#-00000106,"The proposed Grand Eweng Hydroelectric Power Station consists of a dam and reservoir with a hydroelectric facility with an installed power of about 1,000 MW in the first phase to be financed as an independent power producer"
CM-2011-6#-00000530,The lake was formed by the construction of a dam and is fed by the Sanaga River
CM-2011-6#-00000376,References External links Worldstatesmen Category:Bays of the Atlantic Ocean Category:Gulf of Guinea Category:Biafra Category:Regions of Africa Category:Bodies of water of Cameroon Category:Bodies of water of Equatorial Guinea Category:Bodies of water of Gabon Category:Bodies of water of Nigeria Category:Cameroon–Equatorial Guinea border Category:Cameroon–Nigeria border Category:Equatorial Guinea–Gabon border Category:Equatorial Guinea–São Tomé and Príncipe border Category:Gabon–São Tomé and Príncipe border Category:Nigeria–São Tomé and Príncipe border Category:Equatorial Guinea–Nigeria border Category:Bights (geography)
CM-2011-6#-00000053,"A volcanic dam impounds the lake waters. The lake waters are held in place by a natural dam composed of volcanic rock. The normally blue waters of the lake turned a deep red after the outgassing, due to iron-rich water from the deep rising to the surface and being oxidised by the air. Weakening dam In 2005, Isaac Njilah, a geologist at the University of Yaoundé, suggested that the natural dam of volcanic rock that keeps in the lake's waters could collapse in the near future"
CM-2004-4#-00000284,"All of these fall into a tropical regime, with a period of high water from May to September during the rainy season, and a period of low water – or even complete dryness – from October to April"
CM-2011-6#-00000229,"Its river mouth and confluence with the Sangha is at Ouésso, in the Republic of the Congo"
CM-2018-7#-00000362,"Other herbivores include red river hog (Potamochoerus porcus), bushbuck (Tragelaphus scriptus), bay duiker (Cephalophus dorsalis), blue duiker (Philantomba monticola), and yellow-backed duiker (Cephalophus sylvicultor)"
CM-2011-6#-00000376,LNG plant thumb| The plant's train (liquefaction and purification facility) 1 has a capacity of 3
CM-2011-6#-00000376,",  28 March 1887Ambas Bay becomes part of German possessions See also Communes of Cameroon References Category:Bays of the Atlantic Ocean Category:Bodies of water of Cameroon Category:Gulf of Guinea Category:British colonial people in the Cameroons Category:Government of Cameroon Colonial heads Category:Southwest Region (Cameroon)"
CM-2018-7#-00000262,"thumb|238x238px|Ntem River,Cameroon|alt= The Campo (in Spanish: Río Campo) or Ntem River is a border river in Cameroon, mainland Equatorial Guinea and Gabon"
CM-2011-6#-00000376,"Bioko used to be the end of a peninsula attached to the mainland in what is now the Ambazonian region of Cameroon, but it was cut off when sea levels rose 10,000 years ago at the end of the last ice age"
CM-2004-4#-00000113,") for the abundance of these they found in its broad estuary. It was built on the estuary of the Wouri River. 33 Export beer is the official drink of the national football team and one of the most popular brands, joining Castel, Amstel Brewery, and Guinness"
CM-2011-6#-00000376,"The country ranks 144th on the 2019 Human Development Index, with less than half the population having access to clean drinking water and around 1 in 12 children dying before the age of five. Around 1 in 12 children die before the age of 5 and more than 50% of the population lacks access to clean drinking water"
