DHSID_EA,relevance_score,most_relevant_sentences
EG-2008-5Z-00000615,2.0,"Persons carrying cabin-sized pieces of luggage can use most of the public buses in Cairo without having to pay for an extra ticket (unless they block the seat next to them with the bag, in which case they might be asked to pay for another ticket ranging from 5 to 10 LE)."
EG-2005-5#-06710203,1.0,"In the 1596 tax registers, Iraq Suwaydan was listed as an entirely Muslim village called ""Iraq"", located in the nahiya of Gazza, part of Gaza Sanjak, with a population of 45 families and 16 bachelors. The inhabitants paid a fixed tax rate of 33,3% on agricultural products, including wheat, barley, summer crops, vineyards, fruit trees, sesame, goats and beehives, in addition to occasional revenues; a total of 5,000 akçe. 1/4 of the revenue went to a Waqf.Hütteroth  and Abdulfattah, 1977, p. 145  In 1838 Edward Robinson noted it on his travels in the area,Robinson and Smith, 1841, vol 2, p. 392 as a Muslim village in the Gaza district.Robinson and Smith, 1841, vol 3, Appendix 2, p. 119  Socin found from an official Ottoman village list from about 1870 that Arak es-Sudan counted 29 houses and a population of 112, though the population count included men only.Socin, 1879, p. 144 Hartmann found that the village had 94 houses.Hartmann, 1883, p. 133  In 1883, the PEF's Survey of Western Palestine described it as a moderate-sized village situated on a plain.Conder and  Kitchener, 1883, SWP III, p. 259."
EG-2005-5#-06710203,1.0,"Later Hamama passed into Muslim Mamluk hands, and by 1333/4 CE (734 H.) some of the income from the village formed part of a waqf of the tomb (turba) and madrasa of Aqbugha b. Abd Allah in Cairo.MPF, 10 No. Ottoman era Hamama, like the rest of Palestine, was incorporated into the Ottoman Empire in 1517, and in the tax registers of 1596 it appeared as being in the a village in the nahiya of Gaza (Gaza Sanjak), with a population of 84 Muslim households, an estimated 462 persons. All of the revenue went to a waqf.Hütteroth and Abdulfattah, 1977, p. 142."
EG-2005-5#-06710203,1.0,"Ottoman era Kawkaba was incorporated into the Ottoman Empire in 1517 with the rest of Palestine, and by 1596 tax record it was  known as Kawkab, with a population of 16 Muslim households; an estimated 88 persons. The villagers paid  a fixed tax rate of 33,3%  on a number of crops, including wheat, barley, sesame, fruit trees and vineyards; a total of 2,640 akçe. 6/24 of the revenue went to a waqf.Hütteroth and  Abdulfattah, 1977,  p. 145."
EG-2014-6#-00510404,1.0,"When the waters receded, around September or October, they left behind a rich alluvial deposit of exceptionally fertile black silt over the croplands. The same skill also played a political and administrative role, since the quality of the year's flood was used to determine the levels of tax to be paid. ʿAdī, who was in charge of collecting the land tax (kharaj) in Egypt for the Umayyad caliph Sulaymān ibn ʿAbd al-Malik."
EG-2008-5Z-00000620,1.0,"81, 1995, p. 57-76 Some, like R. S. Bianchi, think that it is a work of archaizing literature and dates to the 25th Dynasty referring to Shabaka Neferkare, a Kushite pharaoh.Robert Steven Bianchi, Daily Life Of The Nubians, Greenwood Press, 2004. p.164  Decline of the Old Kingdom [[Image:PepiII-DecreeOfOfficialExactionForTempleOfMin MetropolitanMuseum.png|thumb|right|A decree from Pepi II, granting tax immunity to the temple of Min, on display at the Metropolitan Museum of Art, New York City]]  The decline of the Old Kingdom arguably began before the time of Pepi II, with nomarchs (regional representatives of the king) becoming more and more powerful and exerting greater influence. Increasing wealth and power appears to have been handed over to high officials during Pepi II's reign. Nomarchs were traditionally free from taxation and their positions became hereditary. Their increasing wealth and independence led to a corresponding shift in power away from the central royal court to the regional nomarchs. The admonitions are thought to harken back to the First Intermediate Period and record a decline in international relations and a general impoverishment in Egypt."
EG-2005-5#-06480103,2.0,"During this period 11 large-scale projects were implemented with financial support from World Bank and other donors.Ministry of Water Resources and Irrigation, Egyptian Public Authority for Drainage Projects, Drainage Research Institute, 2006: The National Drainage and Drainage Water Reuse Programs, Egypt, Local Actions at the 4th World Water Forum, 2 March 2007, accessed 28 April 2010  Effects The High Dam has resulted in protection from floods and droughts, an increase in agricultural production and employment, electricity production, and improved navigation that also benefits tourism."
EG-2005-5#-06710203,1.0,"The villagers paid a fixed tax rate of 25% on a number of crops, including wheat, barley, summer crops, sesame seeds and fruits, as well as goats, beehives and vineyards; a total of 34,000 Akçe. 16/24 of the revenue went to a waqf.Hütteroth and Abdulfattah, 1977, p. 143."
EG-2005-5#-06710203,1.0,"The court upheld the complaint on 19 October 2006, fining Karsenty €1,000 and ordering him to pay €3,000 in costs. France 2's lawyer, Francis Szpiner, counsel to former President of France Jacques Chirac, called Karsenty ""the Jew who pays a second Jew to pay a third Jew to fight to the last drop of Israeli blood,"" comparing him to 9/11 conspiracy theorist Thierry Meyssan and Holocaust denier Robert Faurisson."
EG-2008-5Z-00000130,1.0,Herds of sheep and goats added to their livelihood. The initial agreement between Israel and Egypt stipulated that Egypt would pay $80 million for the houses and infrastructure of Yamit.
EG-2005-5#-06710203,1.0,"Ottoman era Hatta, like the rest of Palestine, was incorporated into the Ottoman Empire in 1517, and in the tax registers of 1596 it appeared under the name of Hatta as-Sajara as being  in the nahiya of Gazza, part of the  Sanjak of Gaza. The inhabitants  paid a fixed tax rate of 25% on wheat, barley, sesame, goats and/or beehives; a total of 5,600 akçe.Hütteroth and Abdulfattah, 1977, p. 147  Edward Robinson passed by the village in 1838, and described its houses as being made of adobe bricks.Robinson and Smith, 1841, vol 2, p. 370 It was also  noted as a Muslim village in the  Gaza district.Robinson and Smith, 1841, vol 3, 2nd appendix, p. 118  In 1863  Victor Guérin visited the village, which  he estimated it to have 600 inhabitants."
EG-2008-5Z-00000313,1.0,"Nile Club: The club was established by decision of the University Council in its session held on 12/27/1993, provided that it has financial, administrative and technical resignation, and it is located in Rose Island in the lower walkway in Mansoura."
EG-2005-5#-06710203,1.0,"40-41Delaville Le Roulx, 1894, vol I, p. 98 Ottoman period In 1517, Al-Qubayba was incorporated into the Ottoman Empire with the rest of  Palestine, and in 1596  it appeared in the  tax registers as being in the nahiya (subdistrict) of Gaza under the liwa' (district) of Gaza. 11/24 of  the revenue went to a Waqf. The village mostly bartered with surrounding villages such as Al-Dawayima and Beit Gibrin, most of the cereals harvest was used to sustain sheep herds, from where in most of the village income is derived."
EG-2008-5Z-00000295,1.0,"The area is especially rich in coral and other marine biodiversity and has accidental shipwrecks and vessels deliberately sunk in an effort to provide a habitat for marine organisms and bolster the local dive tourism industry. About 250,000 dives are performed annually in Eilat's 11 km coastline, and diving represents 10% of the tourism income of this area.Artificial Reefs and Dive Tourism in Eilat, Israel."
EG-2000-4#-04340301,1.0,"It is renowned for the wealth of valuable antiquities that it contained. Certain cartouches where a king's name should appear have been altered, as if to reuse the property of a previous pharaoh—has often occurred."
EG-2008-5Z-00000827,1.0,Karkur Talh and Karkur Murr: major eastern valleys of the Uweinat contain one of the richest concentrations of rock art in the whole Sahara.
EG-2014-6#-00490102,1.0,"This was to become the first ever Egyptian real estate property owned by the American government. Like the latter villa, it too belonged to a wealthy merchant-businessman, this time a Syrian called Alexander Chedid Bey. Behind Villa Casdagli stood, until recently, Villa (Polychroni) Cozzica which belonged to a wealthy Greek family by the same name. The positive fallout from such an effort would be enormous striking a rich chord in this highly visible section of Cairo where it counts most. Midan Kasr al-Dubara (now Simón Bolívar) could become one of Cairo's most creditable landmarks bringing together the great liberator of South America, a restored Central European hotel particulier, the Mosque of Omar Makram where Egypt's rich and famous are chronically mourned, several infitah banks, the Semiramis Intercontinental Hotel and the dreaded Mogamaa building, a potent symbol of Egypt's titanic bureaucracy."
EG-2005-5#-00220102,1.0,"Faculties and Institutes  Faculty of Medicine The Faculty of Medicine serves more than 6000 undergraduate students over the 6 years of undergraduate teaching, and more than 1500 post-graduate students (Diplomas, Master of Science in medicine & Medical Doctorate) in various academic and clinical departments.50th anniversary book Not only one of the medical schools, but a free (not for profit) hospital serving more than one million patients annually.thumbnail|Stamp of Abbassia Faculty of medicine- Ibrahim Pasha University (1950-1952) on Microbiology examination booklet   Faculty of Dentistry In addition to the educational role, the Faculty of Dentistry provides dental community services."
