DHSID_EA,relevance_score,most_relevant_sentences
EG-2014-6#-00510404,1.0,Only the public halls - selamlik - of the governor's palace are still standing while his private residence – harem - has been demolished to make way for a water station.Official website of the palace Retrieved 2020-04-14.
EG-2008-5Z-00000615,1.0,"There will also be parks, an artificial lake, game courts, a water park, 18 cinemas, and several restaurants."
EG-2005-5#-06710203,1.0,"The village infrastructure, with the exception of the police station built by the British Mandate authorities, was destroyed."
EG-2005-5#-06710203,1.0,On its eastern site were two water sources: a spring and a 70-meter deep well.
EG-2008-5Z-00000742,2.0,"The water supply of Lake Nasser produces electricity, and there is concern that diminishing water flowing into Lake Nasser will adversely affect the Aswan Dam's ability to generate electricity."
EG-2014-6#-00510404,2.0,"A moderate inundation was a vital part of the agricultural cycle; however, a lighter inundation than normal would cause famine, and too much flood water would be equally disastrous, washing away much of the infrastructure built on the flood plain."
EG-2003-4Z-02920104,1.0,"The line was built at the Suez Canal, a unique water barrier that Moshe Dayan described as ""one of the best anti-tank ditches in the world."" To take advantage of the water obstacle, the Israelis installed an underwater pipe system to pump flammable crude oil into the Suez Canal, thereby creating a sheet of flame. To deal with the massive earthen ramparts, the Egyptians used water cannons fashioned from hoses attached to dredging pumps in the canal. These cannons pumped out powerful jets of water, creating 81 breaches in the line and removing three million cubic metres of packed dirt on the first day of the war. With hoses attached to water pumps, they began attacking the sand obstacle."
EG-2005-5#-06500401,1.0,"There was a general air of calm and normality on board until about 2 a.m. on the 14th, when the rising water engulfed the ship's boilers and the ship was left without power or light."
EG-2008-5Z-00000546,1.0,"On 30 May,  from the 3rd Indian Motor Brigade, captured by the Axis and then released in the desert, reached the fort and added to the  already there, making the water shortage worse. 31 May–1 June  On 31 May, during a two-day sandstorm, fifty supply trucks of the 101st Transport Company ( Dulau), reached Bir Hakeim with water and took the Indians, prisoners and seriously wounded back to the British lines."
EG-2005-5#-06480103,3.0,"The following table shows the distribution of irrigation water over the branch canals taking off from the one main irrigation canal, the Mansuriya Canal near Giza.Impacts of the Irrigation Improvement Projects in Egypt. While about 10 km3 of the water saved is lost due to evaporation in Lake Nasser, the amount of water available for irrigation still increased by 22 km3.M.A. Soil salinity also increased because the distance between the surface and the groundwater table was small enough (1–2 m depending on soil conditions and temperature) to allow water to be pulled up by evaporation so that the relatively small concentrations of salt in the groundwater accumulated on the soil surface over the years. See also   Energy in Egypt  Egyptian Public Works  List of conventional hydroelectric power stations  List of largest dams  List of power stations in Egypt  Water politics in the Nile Basin  References  External links   View the official opening of the Aswan Dam in 1971  Aswan Dam Sixth biggest dam  LIFE Magazine Feb. 12, 1971 Overview of problems created by Aswan Dam  Category:Dams completed in 1970 Category:Energy infrastructure completed in 1967 Category:Energy infrastructure completed in 1971 Category:Aswan Category:Buildings and structures in Aswan Governorate Category:Dams on the Nile Category:Rock-filled dams Category:Gravity dams Category:Dams in Egypt Category:Hydroelectric power stations in Egypt Category:Environment of Egypt Category:Lake Nasser Category:Nubia Category:Soviet architecture Category:Irrigation in Egypt Category:River regulation in Egypt Category:Egypt–Soviet Union relations Category:Egypt–United States relations Category:1970 establishments in Egypt Category:Energy infrastructure completed in 1902 Category:1902 establishments in Egypt Category:Soviet foreign aid Category:Tourist attractions in Egypt Category:Forced migration"
EG-2003-4Z-00660809,1.0,"It had no mouth connecting it to the Mediterranean, being fed with Nile water via a number of canals. At least 250 years ago, the lake was fresh water, and much of it would dry up during the period just before the Nile flooded again. The salt waters were kept separate from Lake Mariout by the canal that allowed fresh water to travel from the Nile to Alexandria. As part of the Siege of Alexandria, on 13 March 1801, the British cut the canal, allowing a great rush of sea water from Lake Abu Qir into Lake Mariout. The cutting of the dykes by the British in 1801 refilled Lake Mariout so that it suddenly regained its ancient area, became filled with salt water instead of the former fresh, and was too shallow for navigation. Fish species  The fish species Nile perch lives in the lake although its principal habitat is fresh water, and the lake contains some salt."
