DHSID_EA,relevance_score,most_relevant_sentences
ET-2016-7#-00000004,1.0,"Koussour Koussour (, ) is a drinking water well in the Arta Region of Djibouti."
ET-2016-7#-00000138,1.0,"The national postal infrastructure was later completely destroyed during the civil war, with Somali Postal officially suspending operations in October 1991."
ET-2011-6#-00000299,1.0,It has several purpose to include irrigation and flood control. Water released from the dam is distributed by two diversion dams downstream for the irrigation of  of land.
ET-2005-5#-00000269,1.0,About 54.6% of the urban and 10.9% of the rural population have access to drinking water.
ET-2005-5#-00000269,1.0,About 75% of the urban and 5.9% of the rural population have access to drinking water.
ET-2005-5#-00000395,1.0,About 41% of the urban and 15.9% of the rural population has access to drinking water.
ET-2000-4#-00000179,1.0,About 20.4% of the urban and 17.2% of the rural population has access to drinking water.
ET-2016-7#-00000142,1.0,About 72% of the urban population and 10.1% of the rural has access to drinking water.
ET-2019-8#-00000095,1.0,About 71.5% of the urban and 9.8% of the rural population has access to drinking water.
ET-2000-4#-00000177,1.0,About 55% of the urban and 11.35% of the rural population has access to drinking water.
ET-2005-5#-00000328,1.0,About 61% of the urban and 17% of the rural population has access to drinking water.
ET-2011-6#-00000301,1.0,About 44% of the urban and 5.2% of the rural population has access to drinking water.
ET-2016-7#-00000447,1.0,About 73% of the urban and 5.7% of the rural population has access to drinking water.
ET-2016-7#-00000586,1.0,About 62% of the urban and 9.6% of the rural population has access to drinking water.
ET-2019-8#-00000097,1.0,About 60% of the urban and 9.6% of the rural population has access to drinking water.
ET-2016-7#-00000138,1.0,Islamist fighters used irrigation canals as fortifications in defending the town in a bid to halt a general retreat.
ET-2016-7#-00000479,2.0,"Irrigated land: 215.9 km2 (2003)  Total renewable water resources: 6.3 km3  Freshwater withdrawal (domestic/industrial/agricultural): total: 0.58 km3/yr (5%/0%/95%) per capita: 121.3 m3/yr (2004)  Natural hazards: frequent droughts, rare earthquakes and volcanic activity, and locust storms  Environment - current issues: deforestation; desertification; soil erosion; overgrazing; loss of infrastructure from civil warfare;  Environment - international agreements: party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection  Geography - note: strategic geopolitical position along world's busiest shipping lanes; Eritrea retained the entire coastline of Ethiopia along the Red Sea upon de jure independence from Ethiopia on 24 May 1993."
ET-2005-5#-00000243,1.0,"Other bodies of water include the five crater lakes around Debre Zeyit: Lake Bishoftu, Lake Hora, Lake Bishoftu Guda, Lake Koriftu and the seasonal Lake Cheleklaka. About 27% of the rural, 100% of the urban and 52% of the total population has access to drinking water."
ET-2005-5#-00000538,1.0,"Academics  Agriculture and environment The faculty has microbiology, biochemistry and soil labs."
ET-2011-6#-00000292,1.0,"Rivers include the Awash and the Germama; Lake Basaka is an important body of water in this woreda. About 100% of the urban, 22% of rural and 38% of the total population has access to drinking water."
ET-2005-5#-00000522,1.0,"About 87% of the urban, 36% of the rural and 45% of the total population have access to drinking water."
ET-2005-5#-00000190,1.0,"The water has a pH that is neutral to somewhat alkaline and its transparency is quite low. Because of the large seasonal variations in the inflow of its tributaries, rain and evaporation, the water levels of Lake Tana typically vary by  in a year, peaking in September–October just after the main wet season. When the water levels are high, the plains around the lake often are flooded and other permanent swamps in the region become connected to the lake. Other serious threats are habitat destruction and pollution. Bahir Dar has become a large city and it is rapidly growing; its wastewater is generally released directly into the lake. Other fauna [[File:Pelicans on the lake Tana, Ethiopia.jpg|thumb|Great white pelicans on Lake Tana]]  Among other fauna, the lake supports relatively few invertebrates: There are fifteen species of molluscs, including one endemic, and also an endemic freshwater sponge."
ET-2011-6#-00000638,3.0,"Concerning sanitary conditions, about 86% of the urban houses and 17% of all houses had access to safe drinking water at the time of the census; 11% of the urban and 3% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Southern Nations, Nationalities and Peoples' Region, Vol. Part of the water that could be used for irrigation is lost through seepage; the positive side-effect is that this contributes to groundwater recharge."
ET-2005-5#-00000032,2.0,"Locals believed the weed was introduced to the woreda through the 1996 flood of the Awash, which brought plants from the Koka Reservoir into both residential areas and the Wonji Sugar Plantation, where it has infested 116.4 hectares of irrigation structures, causing water loss, increased labor, and providing an environment that encourages malaria-carrying mosquitos and schistosomiasis.Firehun Yirefu1, Abera Tafesse, Tariku Gebeyehu, and Taye Tessema, ""Distribution, Impact and Management of Water Hyacinth at Wonji-Shewa Sugar Factory"", Ethiopian Journal of Weed Management, 1 (1), 41 – 52 (2007)."
ET-2016-7#-00000290,1.0,"About 48% of the rural, 83% of the urban and 60% of the total population has access to drinking water."
ET-2016-7#-00000040,1.0,"About 6% of the rural, 100% of the urban and 11% of the total population has access to drinking water."
ET-2019-8#-00000175,1.0,"About 67% of the rural, 100% of the urban and 74% of the total population has access to drinking water."
ET-2016-7#-00000522,1.0,"About 84% of the rural, 88% of the urban and 85% of the total population have access to drinking water. In October 2009, district authorities announced that 4,300 hectares of land was being developed for irrigation, involving over 2,000 farmers who would plant the land in various fruits and vegetables, which could then be harvested more than twice a year. ""Woreda developing over 4,300 hectares of land through irrigation"", Ethiopian News Agency 20 October 2009 (accessed 2 November 2009)  Demographics The 2007 national census reported a total population for this district of 141,405, of whom 71,167 were men and 70,238 were women; 20,923 or 14.8% of its population were urban dwellers."
ET-2000-4#-00000240,1.0,About 22% of the total population has access to drinking water.
ET-2005-5#-00000363,1.0,"About 9% of the rural, 100% of the urban and 33% of the total population has access to drinking water. They lost most of their cattle during the drought due to lack of pasture and water in the fields, but did not receive relief during that famine."
ET-2005-5#-00000190,3.0,"The Bahr al Ghazal's drainage basin is the largest of any of the Nile's sub-basins, measuring  in size, but it contributes a relatively small amount of water, about  annually, due to tremendous volumes of water being lost in the Sudd wetlands."
ET-2016-7#-00000103,3.0,"Concerning sanitary conditions, all of the urban houses and 10.3% of all houses had access to safe drinking water at the time of the census; none of the urban and about 2% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Southern Nations, Nationalities and Peoples' Region, Vol."
ET-2019-8#-00000213,1.0,Major bodies of water in this woreda include Lake Alwero.
ET-2019-8#-00000206,1.0,Major bodies of water in this woreda include the Gilo River and Lake Tata.
ET-2016-7#-00000138,2.0,"Although healthcare is now largely concentrated in the private sector, the country's public healthcare system is in the process of being rebuilt, and is overseen by the Ministry of Health."
ET-2005-5#-00000334,1.0,About 19% of the total population has access to drinking water.
ET-2005-5#-00000014,1.0,About 22.7% of the total population has access to drinking water.
ET-2019-8#-00000102,1.0,It is one of two woredas in this Zone where the population has no access to drinking water.
ET-2005-5#-00000032,1.0,"About 35.2% of the total population has access to drinking water. 4f  Until the early 1970s the inhabitants of Dodotana Sire, being Arsi Oromo, were in chronic conflict with Karayu pastoralists from Fentale, as well as with Jille Oromos from in the neighboring woreda, over rights to grazing land and drinking water for livestock."
ET-2016-7#-00000438,1.0,About 25.5% of the total population has access to drinking water.
ET-2016-7#-00000524,1.0,About 55.3% of the total population has access to drinking water.
ET-2016-7#-00000213,1.0,About 6.8% of the total population has access to drinking water.
ET-2005-5#-00000031,1.0,About 14.1% of the total population has access to drinking water.
ET-2019-8#-00000103,2.0,About 19.5% of the total population has access to drinking water; a water supply project is under construction.
ET-2016-7#-00000562,1.0,About 11.4% of the total population has access to drinking water.
ET-2011-6#-00000017,1.0,About 51.1% of the total population has access to drinking water.
ET-2011-6#-00000145,1.0,About 33.3% of the urban and 11.2% of the rural population has access to drinking water.
ET-2005-5#-00000136,1.0,About 53.7% of the total population has access to drinking water.
ET-2000-4#-00000201,1.0,About 4.9% of the total population has access to drinking water.
ET-2005-5#-00000471,1.0,"Industry in the woreda includes two edible oil mills, four flour factory, one purified water factory, 22 grain mills and one brick factory employing 104 people, rock quarries, as well as 722 registered businesses which include 284 wholesalers, 216 retailers and 222 service providers. About 42.5% of the total population has access to drinking water."
ET-2005-5#-00000194,3.0,"Concerning sanitary conditions, 12.6% of the urban houses and 2.9% of all houses had access to safe drinking water at the time of the census; 34% of the urban and about 7.4% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2019-8#-00000159,3.0,"Concerning sanitary conditions, 98% of the urban houses and 9.2% of all houses had access to safe drinking water at the time of the census; 33.3% of the urban and 3.8% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2005-5#-00000083,3.0,"Concerning sanitary conditions, 8.7% of the urban houses and 4.3% of all houses had access to safe drinking water at the time of the census, while 39.3% of the urban and 6.3% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2019-8#-00000162,3.0,"Concerning sanitary conditions, 82.6% of the urban houses and 7.7% of all houses had access to safe drinking water at the time of the census, while 38.4% of the urban and 7.6% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000320,3.0,"Concerning sanitary conditions, 6.6% of all houses had access to safe drinking water, and 2.7% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2011-6#-00000058,3.0,"Concerning sanitary conditions, 14.3% of the urban houses and 5.9% of all houses had access to safe drinking water at the time of the census; 57.6% of the urban and 7.1% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000183,3.0,"Concerning sanitary conditions, 12.6% of the urban houses and 3.6% of all houses had access to safe drinking water at the time of the census; 41.2% of the urban and 9.8% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2019-8#-00000149,3.0,"Concerning sanitary conditions, 92.3% of the urban houses and 2.3% of all houses had access to safe drinking water at the time of the census; 7.7% of the urban and 4.6% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000285,3.0,"Concerning sanitary conditions, 4.8% of the urban houses and 5.4% of all houses had access to safe drinking water at the time of the census; 39.2% of the urban and 8.4% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000508,3.0,"Concerning sanitary conditions, 63.8% of the urban houses and 50.7% of all houses had access to safe drinking water at the time of the census; 86.7% of the urban and 9.8% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2000-4#-00000300,3.0,"Concerning sanitary conditions, 56.8% of the urban houses and 26% of all houses had access to safe drinking water at the time of the census; 72.7% of the urban and 34.9% of the total had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2011-6#-00000204,3.0,"Concerning sanitary conditions, 1.8% of all houses had access to safe drinking water, and 2.4% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2011-6#-00000157,3.0,"Concerning sanitary conditions, 3.7% of all houses had access to safe drinking water, and 2.7% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2011-6#-00000157,3.0,"Concerning sanitary conditions, 0.6% of all houses had access to safe drinking water, and 0.8% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2019-8#-00000169,3.0,"Concerning sanitary conditions, 0.9% of all houses had access to safe drinking water, and 2.2% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000621,3.0,"Concerning sanitary conditions, 7.2% of all houses had access to safe drinking water, and 3.7% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2011-6#-00000607,3.0,"Concerning sanitary conditions, 1.9% of all houses had access to safe drinking water, and 2% had toilet facilities at the time of the census.1994 Population and Housing Census of Ethiopia: Results for Benishangul-Gumuz Region, Vol."
ET-2016-7#-00000138,1.0,"Moreover, grazing land, water sources and approximately 5,630 hectares of crop land were reportedly destroyed by flood waters in Mustahil and Kelafo, which further exacerbated the already fragile food security of the region."
ET-2016-7#-00000037,1.0,"Bodies of water include Lake Kadabassa, which lies in the swampy lowlands that stretch alongside the Awash and serve as an important pasture for nomadic pastoralists."
ET-2016-7#-00000253,3.0,"Concerning sanitary conditions, about 91% of the urban houses and 58% of all houses had access to safe drinking water at the time of the census; about 22% of the urban and 9% of all houses had toilet facilities.1994 Population and Housing Census of Ethiopia: Results for Southern Nations, Nationalities and Peoples' Region, Vol."
