DHSID_EA,relevance_score,most_relevant_sentences
GA-2012-6#-00000307,1.0,"France immediately opened mines operated by Comuf (Compagnie des Mines d'Uranium de Franceville) near Mounana village to exploit the vast mineral resources, and the State of Gabon was given a minority share in the company."
GA-2012-6#-00000215,1.0,"As a result, many turtles head off in the wrong direction and can die from starvation and dehydration.Artificial Lights as a Significant Cause of Morbidity of Leatherback Sea Turtles in Pongara National Park, Gabon, Sharon L. Deem et al."
GA-2012-6#-00000015,3.0,The slowdown in economic growth was caused by lower government spending due to decreased foreign loans and decreased revenue government tax.
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000318,1.0,It is one of many recent government initiatives intended to promote economic and infrastructure development throughout the region.
GA-2012-6#-00000015,3.0,The slowdown in economic growth was caused by lower government spending due to decreased foreign loans and decreased revenue government tax.
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000318,1.0,It is one of many recent government initiatives intended to promote economic and infrastructure development throughout the region.
GA-2012-6#-00000015,3.0,The slowdown in economic growth was caused by lower government spending due to decreased foreign loans and decreased revenue government tax.
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000015,3.0,The slowdown in economic growth was caused by lower government spending due to decreased foreign loans and decreased revenue government tax.
GA-2012-6#-00000015,3.0,The slowdown in economic growth was caused by lower government spending due to decreased foreign loans and decreased revenue government tax.
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000252,1.0,Schweitzer used the prize money to build a leper colony.
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000015,1.0,"It covers parts of the districts of Caué, Lemba, Lobata and Mé-Zóchi.Map of São Tomé and Príncipe, Instituto Nacional de Estatística  Geography  The Natural Park covers three geographically separated zones: the largest part is the central massif, including the mountains Pico de São Tomé and Pico Cão Grande the zone of Malanza, in the south of the island the zone of Praia das Conchas and Lagoa Azul, in the north of the island  The park is known internationally amongst conservationists for its biologically rich dense virgin rainforests."
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
GA-2012-6#-00000064,1.0,"Maritime claims  Territorial sea:   Contiguous zone:   Exclusive economic zone:   Terrain  Land Use (2012)• Arable land1.26%• Permanent crops0.66%• Other 98.08% Narrow coastal plain with patches of Central African mangroves; hilly interior; savanna in east and south. Irrigated land: 44.5 km2 (2003) Total renewable water resources: 164 km3 (2011)  Environment International agreements:  Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling   Extreme points  Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province  left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters   References   External links"
GA-2012-6#-00000209,2.0,"Natural resources   Natural resources include petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, and hydropower."
GA-2012-6#-00000307,1.0,"France immediately opened mines operated by Comuf (Compagnie des Mines d'Uranium de Franceville) near Mounana village to exploit the vast mineral resources, and the State of Gabon was given a minority share in the company."
GA-2012-6#-00000215,1.0,"As a result, many turtles head off in the wrong direction and can die from starvation and dehydration.Artificial Lights as a Significant Cause of Morbidity of Leatherback Sea Turtles in Pongara National Park, Gabon, Sharon L. Deem et al."
GA-2012-6#-00000111,1.0,"It will contain such information as: Area Coordinates Coastline Highest point Lowest point % Arable land % Forests Natural resources Geographic subregions etc. Climate:  Tropical add more  need ideas Natural resources  Petroleum, manganese, uranium, gold, timber, iron ore, hydropower Environmental issues  deforestation, poaching  See also: Status"
GA-2012-6#-00000015,1.0,"It covers parts of the districts of Caué, Lemba, Lobata and Mé-Zóchi.Map of São Tomé and Príncipe, Instituto Nacional de Estatística  Geography  The Natural Park covers three geographically separated zones: the largest part is the central massif, including the mountains Pico de São Tomé and Pico Cão Grande the zone of Malanza, in the south of the island the zone of Praia das Conchas and Lagoa Azul, in the north of the island  The park is known internationally amongst conservationists for its biologically rich dense virgin rainforests."
GA-2012-6#-00000146,1.0,History The government of Gabon signed a $84 million loan with China in 2008 to finance the construction of the dam.
GA-2012-6#-00000318,1.0,It is one of many recent government initiatives intended to promote economic and infrastructure development throughout the region.
GA-2012-6#-00000264,3.0,"The richest 20% of the population earn over 90% of the income while about a third of the Gabonese population lives in poverty. For many who live in rural areas without access to employment opportunity in extractive industries, remittances from family members in urban areas or subsistence activities provide income."
