DHSID_EA,most_relevant_sentences
GA-2012-6#-00000146,"com, 12 June 2015 References Category:Dams completed in 2013 Category:Energy infrastructure completed in 2013 Category:Dams in Gabon Category:Gravity dams Category:Hydroelectric power stations in Gabon Category:Haut-Ogooué Province Category:Roller-compacted concrete dams"
GA-2012-6#-00000318,References Category:Dams completed in 2012 Category:Energy infrastructure completed in 2012 Category:Dams in Equatorial Guinea Category:Hydroelectric power stations in Equatorial Guinea Category:Gravity dams Category:Wele-Nzas
GA-2012-6#-00000264,"In 2000, 70% of the population had access to safe drinking water and 21% had adequate sanitation"
GA-2012-6#-00000064,"5 km2 (2003) Total renewable water resources: 164 km3 (2011) Environment International agreements: Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling Extreme points Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters References External links"
GA-2012-6#-00000209,"Environmental issues Environmental issues include the high level of air pollution from vehicle emissions, water pollution from the dumping of raw sewage, tap water not being potable, and deforestation"
GA-2012-6#-00000026,The capital Libreville has a large port on the north bank of the estuary which collects water from the Komo River and River Ebe. thumb|Map showing the rivers of Gabon References Category:Bodies of water of Gabon Category:Estuaries of Africa
GA-2012-6#-00000015,References Category:Bodies of water of São Tomé and Príncipe Category:Straits of the Atlantic Ocean
GA-2012-6#-00000015,"jpg|thumb|left|Map of São Tomé by Johannes Vingboons (1665)]] Geological history The two islands that make up what is called São Tomé and Príncipe were formed 30 million years ago during the Oligocene era, due to volcanic activity beneath deep water along the Cameroon Line. The financial aid packages were designed to develop the country's infrastructure and improve its fiscal, tax and customs administration. The scenic islands have potential for tourism, and the government is attempting to improve its rudimentary tourist industry infrastructure. All children in São Tomé and Príncipe are enrolled in the education system, life expectancy has increased to 70 years, the infant mortality rate has decreased dramatically and the vast majority of the population already has access to piped water and access to electricity"
GA-2012-6#-00000264,"In 2000, 70% of the population had access to safe drinking water and 21% had adequate sanitation"
GA-2012-6#-00000064,"5 km2 (2003) Total renewable water resources: 164 km3 (2011) Environment International agreements: Party to: Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling Extreme points Northernmost point - unnamed location on the border with Cameroon on the Ntem River, Woleu-Ntem province Easternmost point - the unnamed location on the border with the Republic of Congo immediately south-west of the Congolese village of Mbeyi-Mbola, Haut-Ogooué province Southernmost point - the point at which the border with the Republic of Congo enters the Atlantic Ocean, Nyanga Province Westernmost point - the north-west point of Cape Lopez, Ogooué Maritime province left|thumb|Topography of Gabon left|thumb|Gabon's cities, towns and villages See also Bam Bam Amphitheaters References External links"
GA-2012-6#-00000209,"Environmental issues Environmental issues include the high level of air pollution from vehicle emissions, water pollution from the dumping of raw sewage, tap water not being potable, and deforestation"
GA-2012-6#-00000026,The capital Libreville has a large port on the north bank of the estuary which collects water from the Komo River and River Ebe. thumb|Map showing the rivers of Gabon References Category:Bodies of water of Gabon Category:Estuaries of Africa
GA-2012-6#-00000015,"jpg|thumb|left|Map of São Tomé by Johannes Vingboons (1665)]] Geological history The two islands that make up what is called São Tomé and Príncipe were formed 30 million years ago during the Oligocene era, due to volcanic activity beneath deep water along the Cameroon Line. The financial aid packages were designed to develop the country's infrastructure and improve its fiscal, tax and customs administration. The scenic islands have potential for tourism, and the government is attempting to improve its rudimentary tourist industry infrastructure. All children in São Tomé and Príncipe are enrolled in the education system, life expectancy has increased to 70 years, the infant mortality rate has decreased dramatically and the vast majority of the population already has access to piped water and access to electricity"
GA-2012-6#-00000005,"The work was entirely funded by China while Gabon developed the site, including bringing water and electricity, and building access roads"
GA-2012-6#-00000015,"jpg|thumb|left|Map of São Tomé by Johannes Vingboons (1665)]] Geological history The two islands that make up what is called São Tomé and Príncipe were formed 30 million years ago during the Oligocene era, due to volcanic activity beneath deep water along the Cameroon Line. The financial aid packages were designed to develop the country's infrastructure and improve its fiscal, tax and customs administration. The scenic islands have potential for tourism, and the government is attempting to improve its rudimentary tourist industry infrastructure. All children in São Tomé and Príncipe are enrolled in the education system, life expectancy has increased to 70 years, the infant mortality rate has decreased dramatically and the vast majority of the population already has access to piped water and access to electricity"
GA-2012-6#-00000005,"The work was entirely funded by China while Gabon developed the site, including bringing water and electricity, and building access roads"
GA-2012-6#-00000187,"The pilot, who had also flown the team from a match in Mauritius the previous day, then mistakenly shut down the right engine, causing the plane to lose all power during the climb out of Libreville Airport and fall into the water offshore"
