DHSID_EA,relevance_score,most_relevant_sentences
GA-2012-6#-00000307,1.0,"At that time the natural uranium had a concentration of about 3% 235U, and could have reached criticality with natural water as neutron moderator allowed by the special geometry of the deposit."
GA-2012-6#-00000327,1.0,"It has a beach and is the main border town for Equatorial Guinea, ferries sailing to Cogo across the river and the border."
GA-2012-6#-00000215,1.0,"Turtles find their way to the sea by using the light from the moon shimmering off the water as a reference. Man-made artificial lights at night disorientate the female turtles during laying season as well as the hatchlings trying to find their way to the water. Another problem is the pollution from the nearby town of Libreville. Turtles often mistake plastic bags in the water for jellyfish, their principal food source, and die if they ingest them."
GA-2012-6#-00000015,1.0,"History  [[File:Johannes Vingboons - 't eylant St. Thome (1665).jpg|thumb|left|Map of São Tomé by Johannes Vingboons (1665)]]   Geological history  The two islands that make up what is called São Tomé and Príncipe were formed 30 million years ago during the Oligocene era, due to volcanic activity beneath deep water along the Cameroon Line. All children in São Tomé and Príncipe are enrolled in the education system, life expectancy has increased to 70 years, the infant mortality rate has decreased dramatically and the vast majority of the population already has access to piped water and access to electricity. Petroleum exploration In 2001, São Tomé and Nigeria reached agreement on joint exploration for petroleum in waters claimed by the two countries of the Niger Delta geologic province."
GA-2012-6#-00000146,2.0,The dam diverts the river around the Poubara Falls where four  Francis turbine-generators are powered.
GA-2012-6#-00000318,1.0,"The Djibloho Dam is a gravity dam on the Wele River near Djibloho in Wele-Nzas, Equatorial Guinea. The primary purpose of the dam is hydroelectric power generation and it supports a  power station. Sinohydro constructed the dam and power station."
GA-2012-6#-00000318,2.0,"The airport has three turning loops, a parking esplanade of over , an access road, drinking water supply, fire safety, new-generation navigation equipment, etc."
GA-2012-6#-00000015,1.0,"History  [[File:Johannes Vingboons - 't eylant St. Thome (1665).jpg|thumb|left|Map of São Tomé by Johannes Vingboons (1665)]]   Geological history  The two islands that make up what is called São Tomé and Príncipe were formed 30 million years ago during the Oligocene era, due to volcanic activity beneath deep water along the Cameroon Line. All children in São Tomé and Príncipe are enrolled in the education system, life expectancy has increased to 70 years, the infant mortality rate has decreased dramatically and the vast majority of the population already has access to piped water and access to electricity. Petroleum exploration In 2001, São Tomé and Nigeria reached agreement on joint exploration for petroleum in waters claimed by the two countries of the Niger Delta geologic province."
GA-2012-6#-00000146,2.0,The dam diverts the river around the Poubara Falls where four  Francis turbine-generators are powered.
GA-2012-6#-00000318,1.0,"The Djibloho Dam is a gravity dam on the Wele River near Djibloho in Wele-Nzas, Equatorial Guinea. The primary purpose of the dam is hydroelectric power generation and it supports a  power station. Sinohydro constructed the dam and power station."
