DHSID_EA,relevance_score,most_relevant_sentences
GH-2016-7Z-00000023,1.0,"The Fosu Lagoon is a body of water, located in the area of Cape Coast in the Central Region of Ghana,Baffour-Awuah, Emmanuel, ""State of a 'Choked' Lagoon: A Two-decade Overview of Fosu Lagoon in Cape Coast, Ghana"", via Academia. A major source of livelihood for its surrounding communities over the years, the lagoon has been the subject of studies on the impact of pollution and ecological degradation.Essel, Bernard, Justice Kwame Gyesi, Richmond Kofi Addo, Wisdom Galley, and Gideon MacCarthy, ""The Tale of a Disappearing Lagoon: A Habitat Mapping and Ecological Assessment of Fosu Lagoon, Ghana"", International Journal of Ecology, Volume 2019."
GH-2003-4Z-00000309,3.0,"History This man-made lake is an expansion of the old Anwomasu river which was created initially as a dam for industrial and domestic purposes. After decades of use, a relatively smaller dam was created near the  Mim township at , a few meters away from the Ayum Forest Products Ltd.  With the new dam serving both industrial and domestic purposes, the old dam with its diverse natural scenes, was turned into tourist attraction."
GH-2019-8#-00000020,1.0,"The Bia is a river that is situated primarily in Ghana and flows through Ghana and Ivory Coast,Ghana: Rivers and Lakes emptying into Aby Lagoon. A hydroelectric dam was built across the Bia at Ayamé in 1959, causing the formation of Lake Ayame.Lake Ayame ."
GH-2014-7#-00000269,1.0,"It was designated as Ramsar wetland site of international importance on 14 August 1992. Physical features The site consists broadly of a coastal brackish lagoon whose main habitats are open lagoon, surrounding floodplains, freshwater marsh and coastal savanna grassland, with a narrow connection to the sea."
GH-1998-4#-00000208,1.0,"Background  The Wli waterfalls is the highest water fall in West Africa located in ghana The falls is known locally as Agoomatsa waterfalls - meaning, ""Allow Me to Flow."""
GH-1998-4#-00000127,2.0,The Environmental Protection Agency-Ghana and the United Nation Environment Programme initiated an afforestation project of planting trees in the wetland area using treated waste water as a way of reforesting and conserving the degraded areas.
GH-2014-7#-00000178,4.0,"Barekese Dam is a dam on the Ofin River that supports the main water treatment plant for Kumasi in the Ashanti Region of Ghana, supplying about 80 percent of the potable water for the city and its surrounding environs."
GH-2008-5Z-00000123,2.0,"Sea water, accessed through underground pipes will be used to cool the power station, with the hot water effluent being returned to the sea through similar underground pipes."
GH-2008-5Z-00000206,1.0,Resorts Senchi is well noted as the location of some resorts and guest houses south of the dam on the Volta River.
GH-2008-5Z-00000117,2.0, Weija Dam is a dam on the Densu River which supports the main water treatment plant for Accra in the Greater Accra Region of Ghana. It is operated by the Ghana Water Company.This supplies about 80 percent of the potable water for the entire city of Accra and its surrounding environs.
GH-2014-7#-00000070,1.0,The Daka River is a river of Ghana.
GH-2014-7#-00000280,1.0,The river flows through the Gbele Resource Centre from the west to the southeast.
GH-2003-4Z-00000223,2.0,"Due to the flooding, water had mixed in with the fuel, and when the tanks exploded, the water exacerbated the spread of the fire to nearby buildings, killing additional citizens."
