DHSID_EA,relevance_score,most_relevant_sentences
GU-2015-7#-00000182,2.0,Natalia Górriz de Morales then started teaching again and became one of the more representative women of the early 20th century in Guatemala.
GU-2015-7#-00000614,1.0,"In 1536 Nicaraguan governor Rodrigo de Contreras organized a military expedition, but Las Casas was able to postpone it by a couple of years after he notified queen Isabel de Portugal, wife of Carlos V. Given the authorities' hostility, Las Casas left Nicaragua and went to Guatemala. 1890, British archeologist Alfred Percival Maudslay and his wife moved to Guatemala, and visited Cobán. In 1888 a German club was founded and in 1935 a German school opened its doors in Cobán. The festivities include a beauty contest for Guatemala's Native American women, the winner of which is crowned with the title ""Rabin Ahau"", which means ""the Daughter of the King"" in Q'eqchi'."
GU-2015-7#-00000023,2.0,"The similarly gigantic Monument 65 is carved, on the front, with three seated, throned rulers, each one framed by two bound, kneeling, nude captives, each ruler and his paired victims vertically positioned within a lower, a central, and an upper register.Kaplan (2000) Almost annually, fragments of once very large sculptural monuments are found in Guatemala City often during unregulated municipal demolition and construction.See, e.g., Stela 67 and Throne 68 (Ugarte Rivera 2001) Many monuments were carved with Preclassic hieroglyphic texts (Kaplan 2011), underscoring the fact that, as Coe observes, ""the elite of [Kaminaljuyu] were fully literate at a time when other Maya were perhaps just learning that writing existed."
GU-2015-7#-00000680,3.0,"The only three schools that are not coed are on the Northside: Saint John's College (boys), Saint Catherine's Academy (girls) and Pallotti High School (girls). One Southside school that was previously all girls, Sadie Vernon Technical (Belize Continuation), became coed in 2005.http://www.7newsbelize.com/sstory.php?nid=1386&frmsrch=1  There are three other private schools in Belize City: Belize Elementary School and its continuation Belize High School behind it, both on Princess Margret Drive, and the Hummingbird Elementary School."
GU-2015-7#-00000680,1.0,"The proportion of voters increased slightly in 1945, partly because the minimum age for women voters was reduced from thirty to twenty-one years. Finally, in 1954 British Honduras achieved suffrage for all literate adults as a result of the emerging independence movement. The PUP concentrated on agitating for constitutional reforms, including universal adult suffrage without a literacy test, an all- elected Legislative Council, an Executive Council chosen by the leader of the majority party in the legislature, the introduction of a ministerial system, and the abolition of the Governor's reserve powers. When voters went to the polls on 28 April 1954, in the first election under universal literate adult suffrage, the main issue was clearly colonialism—a vote for the PUP was a vote in favour of self-government. They were the ancestors of the original Belizean-Creole population, who were, and still are, the biological offspring of European men and enslaved African women."
GU-2015-7#-00000655,1.0,In 2009 an excavation project of Slovak Archaeological and Historical Institute (SAHI) was started by professor Milan Kováč.
GU-2015-7#-00000655,1.0,"The dwarf's mother (a bruja, or witch) arranged the trial of strength and magic to compete against the king."
GU-2015-7#-00000680,1.0,"In 2020, an underwater archeological expedition led by Jerónimo Avilés again excavated the cave and revealed the skeleton of a female about 30 years of age that lived at least 9,900 years ago. Three different scars on the skull of the woman showed that she was hit with something hard and her skull bones were broken. According to study lead researcher Wolfgang Stinnesbeck, ""It really looks as if this woman had a very hard time and an extremely unhappy end of her life."
GU-2015-7#-00000680,1.0,"It also includes meeting rooms, library, kitchen, accommodation, boardroom and classroom."
GU-2015-7#-00000515,1.0,"Three years later, in 711, while Ruler 4 was still a child, Toniná gained an important victory over Palenque. The mother of K'inich Ich'aak Chapat is named as Lady Winik Timan K'awiil and his father may well have been K'inich B'aaknal Chaak himself. Aside from being broken, the stela is largely complete and only lightly eroded, it is a statue of a ruler with inscriptions describing the accession of K'inich Baaknal Chaak and the promotion to the priesthood of Aj Ch'aaj Naah.Peabody Museum of Archaeology and Ethnology (2).Monument 5 was recovered from a school in Ocosingo and moved to the site museum of Toniná. Stuart & Stuart 2008, p.215.Monument 99 is an undated fragment that depicts a female captive, which is rare in Maya art.Monument 101 has the last Long Count date from any Maya monument, it marks the K'atun ending of AD 909.Sharer & Traxler 2006, pp.471, 476.Monument 106 is the earliest securely dated monument at the site, dating to AD 593."
GU-2015-7#-00000677,2.0,"Excavations uncovered a mass burial (Burial 4) with parts of eleven people, including two women and a child."
GU-2015-7#-00000852,1.0,"The volcano was the inspiration for one of the active volcanoes in Antoine de Saint-Exupéry's famous French novella (The Little Prince), based on his life with his Salvadoran wife  Consuelo de Saint Exupéry, who was The Rose in the story."
GU-2015-7#-00000830,1.0,The horse and the cow represent the cattle; the books stand for educational and cultural advances.
GU-2015-7#-00000110,1.0,"By gender, 51.9% of the population are female, and 48.1% male. In 2013, 89.2% of the population were recorded as literate, with a year-on-year drop in illiteracy from 16.1% in 2009.INE 2014, p. 23."
GU-2015-7#-00000170,1.0,Additionally her fate became a cautionary tale about giving women positions in government particularly when many qualified men were available.
GU-2015-7#-00000661,2.0,"Pier C The standing figure on Pier C is thought to be a woman, possibly Pakal’s mother, Lady Zac-Kuk."
GU-2015-7#-00000456,1.0,"At least 50 houses were damaged in El Quetzal, 9 of which no longer inhabitable, and the dwellers had to take refuge in the community public school. Over a dozen of buildings in Chiapas had minor fissures; the city hall of Tapachula, the installations of the Desarrollo Integral de la Familia, along with a school in Ciudad Hidalgo, were among the places affected."
GU-2015-7#-00000514,1.0,"Because it was built by the Mexican government, it has many amenities that other towns do not have, such as paved roads, concrete sidewalks, schools, a community center, electricity and potable water."
GU-2015-7#-00000479,1.0,"It has 1,021 inhabitants, 492 men and 529 women (Census 2010), and 42.41% of the local population speaks an indigenous language."
GU-2015-7#-00000026,1.0,2012 – July: Teacher unrest over upscaled requirements of studying a University degree to become a teacher in the country.
GU-2015-7#-00000696,1.0,"Independence Junior College was established in 2007 to offer tertiary-level education opportunities in Independence Village, Stann Creek District, Belize."
GU-2015-7#-00000680,1.0,"In 1998, the Women's Conservation Group was formed with women from the 7 villages in the Belize River Valle, directed by Jessy Young from 1998."
GU-2015-7#-00000680,6.0,"The first generation of students from the three bachelor's programs of the DCS-UQROO began their first lectures on 31 August 2009 in the academic campus of Chetumal; it consisted of 97 medical students, 38 nursing students, and 26 pharmacy students."
GU-2015-7#-00000680,1.0,"Belize Christian Academy (BCA) is a private school in Belmopan, Belize serving Kindergarten through 12th grade. As of 2015 the student body, originating from over 15 countries, numbered at about 235. Several students are sons and/or daughters of staff members at the U.S., Salvadoran, and Mexican embassies and the British High Commission. The school was established in 1993. The school has bus services to Belmopan and other parts of Cayo District. See also  QSI International School of Belize  The Island Academy - School in San Pedro, Belize  St. Ann's Anglican Church - Church in Belmopan, Belize  References  External links    Category:Belmopan Category:Schools in Belize Category:Christian schools Category:1993 establishments in Belize Category:Educational institutions established in 1993"
GU-2015-7#-00000515,7.0,Public services    Education  The Zapatistas run hundreds of schools with thousands of teachers modeled around the principles of democratic education where students and communities collectively decide on school curriculum and students aren't graded.
GU-2015-7#-00000661,2.0,"Pier C The standing figure on Pier C is thought to be a woman, possibly Pakal’s mother, Lady Zac-Kuk."
GU-2015-7#-00000010,1.0,"The museum is housed on the campus of Francisco Marroquin University. The museum building, located on the campus of Francisco Marroquin University, is designed to display textiles and its exterior looks like a woven textile pattern."
GU-2015-7#-00000050,5.0,"In a speech at the inaugural academic ceremony of the university on 26 November 1997, Linda Paz Quezada, vice-rector, described the mission the university as follows: ""We aim to serve society, families and individuals by offering them a center of higher education and research, open to students of all backgrounds."
GU-2015-7#-00000029,1.0,External links Official site  Category:Universities and colleges in Guatemala Category:Cooking schools
GU-2015-7#-00000680,1.0,"Two girls, one from San Ignacio and one from Santa Elena, handed him a pair of scissors. He cut the ribbon saying,” I declare the Hawkesworth Bridge at El Cayo duly open” His Excellency and Mrs. Garvey were also given bouquets by the two girls ( Marina Urbina)."
GU-2015-7#-00000680,4.0,Athletics The Sydney Adventist College offer the following  sports: Soccer (boys and girls)  See also   List of Seventh-day Adventist secondary schools  Seventh-day Adventist education  Seventh-day Adventist Church  Seventh-day Adventist theology  History of the Seventh-day Adventist Church  References  Category:Schools in Belize Category:Secondary schools affiliated with the Seventh-day Adventist Church Corozal Category:Educational institutions established in 1999 Category:1999 establishments in Belize
GU-2015-7#-00000680,3.0,"Programs This vocational technical college teaches their students the theory part of the courses and the practical part where they engage in fun and exciting activities. The mathematics students have the opportunity to share their knowledge with the adjacent high school, as they are invited to teach for a day. This they put it into practice and students, teachers, parents, siblings and organizations go to see the activities and projects Centro's students have to display."
GU-2015-7#-00000680,2.0,"In 2014, the junior college had enrolled over 300 students. As the population increases for the high school, the population at the junior college also increases."
GU-2015-7#-00000007,3.0,"The American School of Guatemala is an independent, non profit, non-denominational, college preparatory institution offering an academic program modeled after the education practices and methodologies of the United States."
