DHSID_EA,relevance_score,most_relevant_sentences
IA-2015-7#-00310136,3.0,"In addition to using the reservoir's water for irrigation, a percentage of it would be consistently transferred via tunnel to the Moragahakanda Reservoir for further irrigation uses and hydroelectricity generation."
IA-2015-7#-00350185,1.0,But the project could not take off owing to certain problems relating to infrastructure and the considerable distance of the terminal from Kolkata proper.
IA-2015-7#-00250258,1.0,"Lying abandoned for decades much of the area was overgrown, and during the initial work some 1,000 trucks of rubble was removed, before the ground was levelled and subsequently classical Persian gardens were recreated, with fountains and water channels."
IA-2015-7#-00310136,1.0,"The dam was built in , and is used primarily for irrigation. After the completion of the Moragahakanda Dam, a percentage of water from the Bowatenna Reservoir would also be transferred to the new Moragahakanda Reservoir, to be located approximately  away, via tunnel."
IA-2015-7#-00160061,2.0,The main purpose of the dam is to provide drinking water and irrigation of 22 villages and 14 hamlets and also generate electricity.
IA-2015-7#-00311257,1.0,"Power station  A  penstock from the Maskeliya Reservoir, measuring  in diameter, transfers water directly to the  Canyon Hydroelectric Power Station, located further downstream."
IA-2015-7#-00311257,1.0,"Reservoir and power station  The dam creates the iconic Castlereigh Reservoir, which is almost entirely maintained by the inflow of water from the Kehalgamu Oya. The power station discharges the water into the Norton Reservoir, created by the Norton Dam, located at the same site."
IA-2015-7#-00311257,1.0,"The barrage is used to increase the volume of water, for transfer to the hydroelectric power station located  north, via penstock."
IA-2015-7#-00311257,2.0,"Reservoir and power station  The dam creates the relatively small Norton Reservoir, which is sustained by water from the Kehelgamu Oya, and water discharged from the Wimalasurendra Hydroelectric Power Station, which is located at the upstream side of the reservoir."
IA-2015-7#-00311257,2.0,"The reservoir's primary source of water is the Maskeliya Oya, with additional water discharged from the Canyon HPower Station, located at the same site."
IA-2015-7#-00311257,2.0,"Power station and reservoir  The dam creates the Laxapana Reservoir, which is sustained from water flowing in from the Kelani River, and discharged water from the Old Laxapana Hydroelectric Power Stations and New Laxapana Hydroelectric Power Stations."
IA-2015-7#-00170473,1.0,The purpose of the dam is irrigation and it left and right bank canals are still under construction.
IA-2015-7#-00201280,2.0,"It also supplies water for irrigation in the area. LocationPachoraYear of completion1994Estimated cost of project162,898,000Height of dam sanctioned (metres)15.21Canal sanctioned length (Km)12 KMMaximum capacity (million cubic metres)12.77Irrigated area in the year (hectares)4204Usage of water for drinking purposes (million cubic metres)1.13Usage of water for agricultural purposes (million cubic metres)7.74  See also  Dams in Maharashtra  List of reservoirs and dams in India  References  External links Water storage & Dam information of Khandesh Region  Category:Dams in Jalgaon district Category:Earth-filled dams Category:Dams completed in 1994 Category:1994 establishments in Maharashtra"
IA-2015-7#-00170168,2.0,"The following day, the Namboothiris of the temple collect water from tender coconuts in pure gold and silver pots and then the Chief Priest pours the collected coconut water on to the idol in what is known as 'Elaneeraattam', also called the 'Rashi velli'.http://kottiyoordevaswom.com/ilaneerattam.html Rohini Aaradhana is a very important ritual which is not seen in any other temple."
IA-2015-7#-00200542,1.0,"""Pune Loco Shed""   Type of section  Section origin Section terminal Double/Single line Traction Ghat Section Lonavla railway station Karjat railway station Double Electric Sharp Curvature & Stiff gradient Miraj Vasco da Gama Single Diesel Pune Jn Miraj Sharp Curvatures Daund Jn Manmad Jn   Future infrastructure development plans   In order to home the new generation, high horse power WDG4 Locos, Light schedule bay no. Roof ventilators will be provided for air ventilation. WDS-6 1300 3Total Locomotives Active as of August 2020187  References   External links    Railway Board - Official Website  Central Railway - Official Website  * PUNE Category:1981 establishments in Maharashtra Category:Rail transport in Maharashtra Category:Buildings and structures in Pune Category:Transport infrastructure completed in 1981"
IA-2015-7#-00350482,1.0,Category:Coal-fired power stations in West Bengal Category:Purba Medinipur district Category:Energy infrastructure completed in 1990 Category:1990 establishments in West Bengal  WBPDCL
IA-2015-7#-00051156,1.0,The area is lush green and free from pollution.
IA-2015-7#-00170312,1.0,"As this place was full of grass and pure water, the cow-herders from the neighbouring area would congregate there with their cattle."
IA-2015-7#-00110967,1.0,"Constructed in 1978, the dam is meant for irrigation, power generation and flood control."
