DHSID_EA,relevance_score,most_relevant_sentences
ID-2003-4#-53121024,1.0,"Bunaka suffered heavily from the 1997 East Asian financial crisis, and as a result a number of fishermen left the islands for better conditions during this period."
ID-2003-4#-14723521,1.0,"After about a month passed, the food in the fortress began to run low and the defenders were on the verge of starvation. The Perdana Menteri assisted Bendahara in administrating the internal affairs of the kingdom and usually sit opposite to Bendahara in the royal court, while Penghulu Bendahari was responsible to the financial affairs of the kingdom. Singapura also acted as a gateway into the regional and international economic system for its immediate region."
ID-2003-4#-64061008,1.0,"Antique mirrors are also installed throughout the building as a symbol of the rich culture of Islamic countries, and the building's centerpiece is a teardrop-shaped crystal chandelier which represents Brunei's major export, oil. The Embassy's activities center around providing to the needs and welfare of the large community of Overseas Filipino Workers and other Filipinos in Brunei, such as coordinating with the Bruneian government to mandate raises in the salaries of Filipino domestic helpers in the country, as well as providing training to local OFWs. In addition to its labor functions, it has also worked in facilitating the furthering of cultural and economic ties between the Philippines and Brunei."
ID-2003-4#-14091506,1.0,"Sunway College channels its surpluses to provide scholarships and financial support to deserving students. In the Malaysian Quality Evaluation System for Private Colleges (MyQuest) 2018/2019, Sunway College received 6 stars in 5 core quality criteria, which are student profile, programme recognition, graduate recognition, quality of resources and soundness of governance, further proving itself as a leading learning institution in Malaysia."
ID-2003-4#-71721514,1.0,"PT MMP and local government officials pressed ahead with the mining plan, insisting it would bring economic benefits. The Director of PT MMP, Yang Yongjian, accused a non-government organization of masterminding anti-mining protests in an effort to extort money from his company, but he did not name the NGO. PT MMP's production permit had been issued on 17 July 2014 by Energy and Mineral Resources Minister Jero Wacik, who in 2016 was jailed for corruption."
ID-2003-4#-34711537,1.0,"Bringing its motto educate and pleasant, the place that was firstly built in 2004 wants to increase the intention of kids and the young generation in science through imaginations, trials, and games in order to improve the human resources."
ID-2003-4#-14091506,2.0,Graduates who are not citizens of Malaysia are ineligible to enter pre-registration House Officer employment and must seek employment from their country of origin.
ID-2003-4#-14721527,1.0,Fraud By Ming Yi Venerable Ming Yi of Foo Hai Ch'an Monastery as of 2015 was also imprisoned in a high-profile corruption scandal for misappropriating funds and giving false information.
ID-2003-4#-14091506,1.0,It is also reputed to be the richest in the country.
ID-2003-4#-12751557,1.0,"Located in Penang's Little India, in the capital city of Georgetown, the Sri Maha Mariamman temple reflects the city's rich cultural heritage."
