DHSID_EA,relevance_score,most_relevant_sentences
ID-2003-4#-12081026,1.0,"In August 2019, the upgrading work for the mosque began with the construction of a hall for a development and education centre."
ID-2003-4#-14091506,2.0,"The faculty of agriculture was originally a faculty of Universiti Malaya, it then merge with the College of Agriculture and formed Universiti Pertanian Malaysia in 1971. The faculty is providing both undergraduate (7 bachelor programmes) and postgraduate programmes (Master and PhD). Departments  As of 2021, the faculty comprises seven departments:  Department of Aquaculture (Block A)  Department of Agribusiness and Bioresource Economics (Block B)  Department of Animal Science (Block C)  Department of Crop Science (Block D)  Department of Plant Protection (Block E)  Department of Land Management  Department of Agricultural Technology   List of deans of the faculty   No. Yusof Bin Hussein 9 April 1997 31 August 2001 7 Prof. Dr. Mohd Khanif Yusop 1 September 2001 8 August 2006 8 Prof. Dr. Ghizan Bin Saleh 9 August 2006 31 August 2009 9 Prof. Datuk Dr. Mad Nasir Bin Shamsudin 1 September 2009 31 August 2012   PERMATANI  PERMATANI (Malay: Persatuan Mahasiswa Fakulti Pertanian) is a student association of the faculty that legally registered under Student Affairs Division of UPM."
ID-2003-4#-14091506,2.0,"The faculty was formerly known as Faculty of Veterinary Medicine and Animal Science The first dean of faculty is Prof. The faculty is providing one undergraduate programme, which is Doctor of Veterinary Medicine, and postgraduate programmes (Master and PhD) in various field. Departments  As of 2021, the faculty comprises six departments:  Department of Veterinary Preclinical Sciences  Department of Veterinary Pathology & Microbiology  Department of Veterinary Clinical Studies  Department of Veterinary Laboratory Diagnosis  Department of Companion Animal Medicine & Surgery  Department of Farm and Exotic Animal Medicine and Surgery   University Veterinary Hospital (UVH)  UVH is a veterinary hospital which was established by the faculty in 1975, it is the only UVH in the country. As a teaching hospital, UVH equipped with diagnostic and laboratory equipment which are designed for training the students."
ID-2003-4#-32731571,9.0,"They have the following study programmes:  Education of Civics Education of History Education of Geography Mapping Survey and Geographical Information Education of Social Science (not to be confused with the other programmes, this programme aims to produce teachers that are competent in teaching Social Science in middle school) Management of Resort and Leisure Management of Tourism Marketing Management of Catering Industry Basic Study Fields (MKDU) (runs the education of Religion and Belief, Pancasila, Entrepreneurship, Social, Cultural and Technological Environment Education, Sport, Art and Indonesian for all UPI's graduate students) Education Science of Islam Religion Education Science of Communication Education of Sociologyhttp://www.upi.edu/profil/fakultas/fakultas-pendidikan-ilmu-pengetahuan-sosial  In Indonesian education system, Social Science is considered one subject in middle schools (Sekolah Menengah Pertama) and the teachers are supposed to be from the Education of Social Science programme."
ID-2003-4#-31711569,1.0,"On 23 August, Rois started to teach Heri Golun how to drive, and on 9 September, the new driver blew himself in front of the Australian embassy. Irun became a martial arts instructor in the military training sessions run by Kang Jaja and Rois."
ID-2003-4#-14723521,4.0,The college had also been ranked as the top junior college in Singapore in terms of academic performance for its Science stream students and in overall performance for a number of times.
ID-2003-4#-14723521,1.0,"Mariamman is a rural South Indian mother goddess who is especially worshipped for protection against diseases. Today, in addition to its religious services and functions, the temple promotes various social, cultural and educational activities."
ID-2003-4#-53061027,1.0,"Architecture The mosque consists of two floor, in which the ground floor is the main prayer hall and the upper floor is a school."
ID-2003-4#-14723521,1.0,"As of 2018, the demographics revealed that 45.1% are men, 54.9% are women, 34.1% are married, and 61.9% are single. 55.9% of them are working adults, while most of the rest are serving the military, non-salaried, students, and children. The church was founded by Kong Hee and his wife Sun Ho  on 7 May 1989, and held its first service at Peace Centre. From 2002, Kong began to teach on the Cultural Mandate and encourage the church members to excel in the marketplace. They used the money to fund the singing career of Kong's wife Ho Yeow Sun, as part of the Crossover Project, a church mission which they said was to evangelise through Ms Ho's music."
ID-2003-4#-14723521,1.0,"This two-storey stalwart packs a crowd that ranges from students to yuppies with its laid back atmosphere and nightly live music.http://www.visitsingapore.com/publish/stbportal/en/home/about_singapore/ezine_home/Apr06/fine_finds/Wala_Wala.htmlWala Wala Café Bar | Wala, Bar, Village, Ndash, Holland | SINGAPORESIGHTS   Holland Village has a reputation as an expatriate neighbourhood but nevertheless attracts a majority of locals to its pubs and restaurants. Unarmed, a male Caucasian entered the bank at 11.25am and handed a paper slip to a female bank teller."
