DHSID_EA,relevance_score,most_relevant_sentences
JO-2007-5#-00000352,1.0,The Hermon entry area Israeli Liberary of Technology for Education (in Hebrew) The Hermon Shoulder Israeli Ministry of Environment website (in Hebrew)  Water and flora The mountain forms one of the greatest geographic resources of the area.
JO-2012-6Z-00000127,1.0,"In 2013, Tel Aviv University and Ruppin Academic Center jointly created a study center at the Mediterranean Sea, where students will undertake advanced studies of issues impacting the coastal environment and its resources."
JO-2002-4#-00000100,1.0,"Its state vision is to ""maintain and enhance the leading position of the Faculty of Civil & Environmental Engineering amongst the top departments in the world... and to position the Faculty as the national center for research & development and human resources for the sustainable development. Technion in the Israeli society The Technion takes an active role in empowering students from unrepresented groups in the Israeli society, such as ultra orthodox Jew and Arabs, by giving dedicated scholarships, social programs, and additional financial support. Multimedia resource in English."
JO-2017-7#-00000862,1.0,"The oasis developed into a prosperous city, rich in water wells and handsome buildings. It was rich and proud enough in the 7th century BC for Jeremiah to prophesy against it (). al-Ṭabbā‘ in his Forward to Samaw’al 1997, p. 7  As late as the 6th century AD, Tayma was the home of the wealthy Jew, Samau’al ibn ‘Ādiyā."
JO-2002-4#-00000100,1.0,"Richard Pococke, who visited in 1727, writes that it is ""famous for some pleasant gardens of lemon and orange trees; and here the Turks have a mosque, to which they pay great veneration, having, as they say, a great sheik buried there, whom they call Sede Ishab, who, according to tradition (as a very learned Jew assured me) is Jethro, the father-in-law of Moses. 117-118  In 1863 H. B. Tristram, wrote about the ""bright faces and bright colours"" he saw there, and the ""peculiar"" costumes: ""long tight gowns, or cassocks, of scarlet silk, with diagonal yellow stripes, and generally a bright red and blue or yellow jacket over them; while their cheeks were encircled by dollars and piastres, after Nazareth fashion, and some of the more wealthy wore necklaces of gold coins, with a doubloon for pendant in front. The remaining 531 dunams were public property."
JO-2002-4#-00000100,2.0,"The inhabitants paid a fixed tax rate of 20%  on wheat, barley, fruit trees, cotton, goats and beehives, in addition to  ""occasional revenues""; total revenue was  6,045 akçe.Hütteroth and Abdulfattah, 1977, p. 193Note that Rhode, 1979, p. 6 writes that  the Safad register that  Hütteroth and  Abdulfattah  studied was not from 1595/6, but from 1548/9  Until the late 18th century the village was ruled by the Arab Zaydani clan, which rose to prominence in the Galilee through the campaigns of Sheikh Zahir al-Umar."
JO-2002-4#-00000100,1.0,"Lubya had a total land area of 39,629 dunams (3,963ha), of which 83% was Arab-owned and the remainder public property. Ottoman era Lubya belonged to the nahiya (""district"") of Tiberias in the 1596 tax records, a few decades after the Ottoman Empire won control over the region from the Mamluks. The village was required to pay taxes on its goats, beehives and its olive press, but most of the revenues (45,000 Akçe) were paid as a fixed amount."
JO-2002-4#-00000100,1.0,"Ottoman era Nimrin was incorporated into the Ottoman Empire in the early sixteenth century CE, and by the 1596 tax records the village was under the administration of the nahiya (""subdistrict"") of Tiberias, part of  Safad Sanjak. The villagers paid a fixed tax rate of 25% on agricultural products, such as  on wheat barley, wheat, olives, beehives, and goats; a total of 3,920 akçe. 1/3 of the revenue went to a waqf.Hütteroth and  Abdulfattah, 1977,  p. 189. A population list from about 1887 showed  Nimrin to have  about  300  inhabitants;  all Muslims.Schumacher, 1888, p.  185    British Mandate era In 1922, Nimrin became a part of the British Mandate of Palestine and in the 1922 census of Palestine,   Nemrin had a  population of 273; all Muslims,Barron, 1923,  Table XI, Sub-district of  Tiberias, p.  39 increasing in the 1931 census to 316, still all Muslims, in  a total of 71 houses.Mills,  1932, p. 84  The main economic sectors were farming and livestock, with grain being the most important crop, followed by vegetables."
JO-2007-5#-00000352,2.0,"In 1268 Master Hugues Revel complained that the area, previously home to around 10,000 people, now stood deserted and that the Order's property in the Kingdom of Jerusalem produced little income."
JO-2007-5#-00000352,1.0,"The growing city was evidently a wealthy one and seems to have been an ally (among ""those who are on his waters"") of Egypt for many centuries. Trade with Europe effectively dried up, and it was not until the coming of the First Crusade in 1098 that prosperity returned to Byblos, known then as Gibelet or Giblet. As Gibelet or Giblet, it came under the rule of the Genoese Embriaco family, who created for themselves  the Lordship of Gibelet, first as administrators of the city in the name of the Republic of Genoa, and then as a hereditary fief, undertaking to pay an annual fee to Genoa and to the church of San Lorenzo (Genoa's Cathedral)."
