DHSID_EA,relevance_score,most_relevant_sentences
JO-2007-5#-00000151,3.0,"According to archaeologist Eitan Klein, the cave walls were coated with gray plaster of the type characteristic of the Second Temple period, suggesting that this was a ritual bath from that period that was later converted into a burial cave.Klein (2018), Summary   Wine presses are noticeable on the site, cisterns, underground storage facilities, as well as a rock-cut, plastered ritual bath (mikveh), hewn in a trapezoidal manner and measuring approximately 3.1–3.6 x 3.6–4.1 m (10.1–11.8 x 11.8–13.4 ft.), connected to a large underground water reservoir (approximately 9 x 8 m).Zissu (2007), p. 1Umm er-Rus, Amud-anan The potsherds and fragments of a spindle-like bottle attest to a Jewish settlement in the 2nd century BCE to the 2nd century CE."
JO-2007-5#-00000352,2.0,"The river waters are used for agricultural irrigation and for sewage discharge, as well as municipal waste."
JO-2007-5#-00000352,1.0,"Melt water from the snow-covered mountain's western and southern bases seeps into the rock channels and pores, feeding springs at the base of the mountain, which form streams and rivers. Of Education)  Strategic importance The springs, and the mountain itself, are much contested by the nations of the area for the use of the water."
JO-2002-4#-00000100,1.0,"It was founded in 1979 through the philanthropy of Bruce Rappaport and is active in basic science research and pre-clinical medical training in anatomy, biochemistry, biophysics, immunology, microbiology, physiology, and pharmacology.rambam mourns baruch rappaport visionary and generous donor. Amos Shapira, former President of El Al Airlines, Cellcom, and the University of Haifa Zehev Tadmor (born 1937) - chemical engineer and president of the Technion  Yossi Vardi – For over 40 years he has founded and helped build over 60 high-tech companies in a variety of fields, among them software, energy, Internet, mobile, electro-optics and water technology."
JO-2017-7#-00000862,1.0,"The oasis developed into a prosperous city, rich in water wells and handsome buildings."
JO-2002-4#-00000100,1.0,"There is a mosque, a public bath and a caravanserei in it."""
JO-2002-4#-00000100,2.0,"Al-Damun bordered the al-Na'amin River (Belus River), which the village's inhabitants used as a source of irrigation and drinking water from installed wells."
JO-2007-5#-00000352,1.0,"Over the following two years a programme of cleaning and restoration was carried out by a force of 120 workers. It acted both as a moat and water supply for the castle. It extended for , and along its length were murder-holes which allowed defenders to shower attackers with missiles."
JO-2007-5#-00000352,1.0,Once it supplied the city with water.
JO-2002-4#-00000100,1.0,"thumb|left|Garrison officers' mess Dhekelia, 1969 In July and August 1961, there were a series of bomb attacks against the pipeline carrying fresh water to the Dhekelia Sovereign Base Area."
