DHSID_EA,relevance_score,most_relevant_sentences
JO-2002-4#-00000429,1.0,"Al-Hamadaniah Olympic Swimming and Diving Complex () is a water sports centre in Aleppo, Syria, featuring an outdoor Olympic size swimming and diving pools with a seating capacity of 1,340 spectators."
JO-2002-4#-00000429,1.0,"Al-Rastan Dam is an embankment dam on the Orontes River in the city of Al-Rastan, Homs Governorate, Syria."
JO-2007-5#-00000352,1.0,"The Mahardah Dam, also spelled Mhardeh Dam, is an embankment dam on the Orontes River in the city of Mahardah, Hama Governorate, Syria."
JO-2002-4#-00000047,1.0,"The school was situated on Mazeh Street in Tel Aviv, near the water tower."
JO-2002-4#-00000299,5.0,"The water it impounds is combined with desalinated water piped from brackish wells along the Dead Sea to the west in a reservoir holding 35 million m (1 billion US gallons) which primarily supplies Amman,  to the north helping to ease a very stressed national water supply."
JO-2012-6Z-00000127,1.0,"After 32 years of operations it was replaced by the new Roller Coaster.Cinema 1802012Replaced by Cinema Luna in 2013Safari Rally2010Replaced by Twistergo KartReplaced by SafariA glass maze2009Replaced by Black MambaFerris Wheel2013It replaced the 1970 original feriis wheel and then it was replaced by the new 2016 ferris wheel.Aerial tramway1980s1991Relocated to the SuperlandPlate2014A Round UpItalian carouselCarousel for toddlersThe hovercraft of death2005Replaced by the water slidesLoopRelocated to the SuperlandPlanes RideRelocated to the Superland  References  External links   Luna Park, Tel Aviv website  Category:Amusement parks in Israel Category:Buildings and structures in Tel Aviv Category:Tourist attractions in Tel Aviv Category:1970 establishments in Israel"
JO-2002-4#-00000047,1.0,"Two springs—one located in the north and another in the south—supplied water to the village.Conder and Kitchener, 1883, III:21."
JO-2002-4#-00000429,1.0,"One former detainee, Salam, a lawyer from Aleppo described the torture process:  ""The soldiers will practice their 'hospitality' with each new group of detainees during the 'welcome party'… You are thrown to the ground and they use different instruments for the beatings: electric cables with exposed copper wire ends – they have little hooks so they take a part of your skin – normal electric cables, plastic water pipes of different sizes and metal bars. The detainees were also deprived of food and water, and had been raped and forced to rape each other., Amnesty report, Syria: Human slaughterhouse: mass hangings and extermination at Saydnaya Prison, Syria, 2017, p. 33 One of the testifications states: ""They beat me until I was lying on the ground and then they kicked me with their military boots, in the places where I have had my hip operations, until I passed out. As there are no images of the prison and because the prisoners were held in darkness under brutally enforced silence, researchers had to depend entirely on their memories and acute experience of sound, footsteps, door opening and locking and water dripping in the pipes among other things."
JO-2007-5#-00000458,1.0,"In May 2007, new dancing water fountains were installed at the centre of the park."
JO-2007-5#-00000421,2.0,"Remains of dams have been found, the largest of which is a masonry gravity dam and the oldest known dam in the world. It is estimated the work would have taken a minimum workforce of 700.Helms p.77 alt=Photograph of remains of the city gate of Jawa, a Bronze Age city in the Black Desert, eastern Jordan.|left|thumb|Jawa (2013)  It is located on the southern edge of an area of basalt which runs across Syria and eastern Jordan and is an attempt to harness the major water resources of Wadi Rajil: a dry river bed which floods irregularly during the winter months.Helms, Svend (1981) Jawa. The third was an attempt at a reservoir dam, completely blocking the flow of the flood. The largest is a masonry gravity dam and the oldest known dam in the world, with recent carbon-14 dating putting initial construction between 3500-3400 BC."
