DHSID_EA,relevance_score,most_relevant_sentences
KE-2014-7#-00001489,1.0,"The remaining US$30 million will be borrowed as arranged by the selected financial arranger, the Emerging Africa Infrastructure Fund, a subsidiary of the Private Infrastructure Development Group. Construction It is anticipated that the project will reach financial close and construction will begin in the fourth quarter of 2020."
KE-2008-5#-00000034,1.0,"The Paradise Hotel was an Israeli owned beachfront property that many Israeli vacationers frequented. The Muslim community in Kenya has lost political and economic representation leading up to the attacks, which lead them to focus their loyalty on Islam and the Middle East, not the nation."
KE-2014-7#-00000776,1.0,"The Marehan in Gedo are split between the guri ('original inhabitants') and the galti ('new settlers').CEWERU 2013, p.19 Guri-Galti conflicts over power and resources are common, especially in Luuq, Belet Hawo, and Baardhere. The 1998 Nordic Fact Finding Mission prepared a report in Gedo region and found some encouraging economic figures. Davidson College assistant professor Ken Menkhaus said that ""Traders in Gedo region made more profit than, for instance, those in Hargeisa, in north-western Somalia."
KE-2014-7#-00000055,4.0,Diseases of poverty directly correlate with a country's economic performance and wealth distribution: Half of Kenyans live below the poverty level.
KE-2008-5#-00000173,1.0,"In the 19th Century, the German explorer, Ludwig Krapf, recorded the name as both Kenia and Kegnia believed by some to be a corruption of the Kamba version."
KE-2014-7#-00001523,1.0,"They supported the immediate funding, capacity building and human resource needs that would make this happen."
KE-2014-7#-00000010,1.0,"History The airport was established as Nairobi West Aerodrome in 1929, by Florence Kerr Wilson, a wealthy widow."
KE-2014-7#-00000452,2.0,"However, the construction of infrastructure like Christian missionary stations, energy extraction (wind, oil) and NGO aid distribution points have made the region more connected to and dependent on outside resources for subsistence."
KE-2014-7#-00000423,1.0,"Locations The film was shot mainly on location at Songimvelo Game Reserve in South Africa, rather than Kenya, due to tax laws."
KE-2014-7#-00000121,1.0,"Many higher-end tourists stay at these ranches, including celebrities such as Bill Gates.Cyrus Kinyungu, Cyrus ""Simple lodge that won the heart of richest man"",Bushdrums News, 30 August 2006."
KE-2014-7#-00000120,1.0,"The college land spans about  consisting of  of natural forest,  of mature coffee and  of open space for expansion  On 26 November 2008 construction of a multi-purpose resource centre began. alt=DeKUT Resource Centre Image|thumb|Dedan Kimathi University of Technology Resource Centre  Academic facilities The resource centre is divided into four phases with the two phases complete."
KE-2014-7#-00000376,1.0,"Initially it provided a base from which the Omanis consolidated their control of the East African coast but the town later lost its economic importance. With its strategic importance lost, Lamu soon declined in economic importance in comparison to Mombasa and Zanzibar."
KE-2014-7#-00000941,1.0,This is saving both students and staff time and money that they could have used to come physically on campus to participate in the exercise.
KE-2008-5#-00000054,2.0,"In April 2016 KWP was placed under receivership by Standard Bank of South Africa, which had lent the project debt finance."
