DHSID_EA,relevance_score,most_relevant_sentences
KE-2014-7#-00000633,1.0,In attendance at this exhibition were Joseph Murumbi and his wife Sheila.
KE-2014-7#-00000776,2.0,"There were some technical schools in Bardera and Garbaharreey, albeit without curriculum."
KE-2014-7#-00000055,4.0,"Primary school is free in public schools and those attending can join a vocational youth/village polytechnic, or make their own arrangements for an apprenticeship program and learn a trade such as tailoring, carpentry, motor vehicle repair, brick-laying and masonry for about two years. Those who complete high school can join a polytechnic or other technical college and study for three years, or proceed directly to university and study for four years."
KE-2008-5#-00000173,2.0,"In February, Miss C Carroll and Mtu Muthara became the first woman and African respectively to ascend Nelion, in an expedition with Noel Symington, author of The Night Climbers of Cambridge, and on 5 March Miss Una Cameron became the first woman to ascend Batian."
KE-2014-7#-00001523,6.0,"Faculties and schools The university offers undergraduate and post-graduate program at the following faculties and schools:  School of Arts and Social Sciences  School of Education  School of Biological and Physical Sciences  School of Public Health and Community Development  School of Environment and Earth Sciences  School of Development and Strategic Studies  School of Graduate Studies School of Nursing  School of Business and Economics  School of Medicine  School of Agriculture and Food Security  School of Mathematics, Statistics and Actuarial Science  School of Computing and Informatics  School of Planning and Architecture  Institute of Gender Studies  History Maseno University started in October 1990 as a constituent college of Moi University and became a full fledged university 11 years later in 2001."
KE-2014-7#-00000158,1.0,"Population   Learning Institutions  Currently, there is only one public university in the county, known as Murang’a University of Technology (MUT). Wangu wa Makeri - A woman colonial chief Peter Kagwanja - A Scholar, Presidential Adviser  See also Kikuyu people Dedan Kimathi Jomo Kenyatta Kiriaini  References  External links Office for the Coordination of Humanitarian Affairs – Kenya AdminLevels 1-4    Category:Counties of Kenya"
KE-2014-7#-00000010,1.0,"History The airport was established as Nairobi West Aerodrome in 1929, by Florence Kerr Wilson, a wealthy widow."
KE-2014-7#-00000423,2.0,"Patterson travels from England to Tsavo, promising his wife, Helena, he will complete the bridge and be back in London for the birth of their child."
KE-2014-7#-00000121,4.0,"The mission is composed of convents for nuns, schools, a teacher training college and other vocational colleges."
KE-2014-7#-00000120,4.0,It started as a middle-level national technical and business-oriented learning institution in 1972 and was elevated in 2007 to a constituent university college of Jomo Kenyatta University of Agriculture and Technology through a Kenya Gazette notice to become a full-fledged university in three years. Academics DeKUT offers academic programmes at the undergraduate and graduate levels through five schools and five institutes.
KE-2014-7#-00000201,4.0,"Retrieved 22 June 2015.   Notable alumni  Betty Gikonyo, medical entrepreneur, pediatric cardiologist and healthcare professional Lucy Kibaki, former First Lady of Kenya Sally Kosgei, first woman head of the Kenyan civil service Micere Mugo, poet, writer and educator Juliet Obanda Makanga, pharmacologist, neuroscientist and medical researcher Nyiva Mwendwa, Kenya's first woman cabinet minister Charity Ngilu, Kenya's first woman presidential candidate Asenath Bole Odaga, publisher and author* Margaret Ogola, novelist and pediatricianRoche, Margaret and Musyoka, Violet (2001). Effie Owuor, Kenya's first female judge Kagure Wamunyu, civil engineer and urban planner Charity Wayua, chemist and researcher   References    External links   www.alliancegirlshigh.sc.ke  Category:Schools in Nairobi Category:High schools and secondary schools in Kenya Category:Education in Central Province (Kenya) Category:1948 establishments in Kenya Category:Educational institutions established in 1948 Category:Girls' schools in Kenya"
KE-2008-5#-00000336,3.0,"The school is well known across the country for its high level of discipline among students, which is attributed to the school's motto: `Discipline Order Determination' or simply `DOD'. References   Category:Education in Central Province (Kenya) Category:Catholic secondary schools in Kenya Category:Murang'a Category:Boarding schools in Kenya Category:Boys' schools in Kenya Category:Educational institutions established in 1964 Category:1964 establishments in Kenya"
KE-2014-7#-00000038,4.0,The school has remained at the forefront of academic excellence throughout the year teaching students discipline and respect. References  Category:Schools in Nairobi Category:Educational institutions established in 1980 Category:Elementary and primary schools in Kenya Category:1980 establishments in Kenya Category:High schools and secondary schools in Kenya Category:Private schools in Kenya
KE-2014-7#-00000842,3.0,"Their illustrious administration styles coupled with discipline attracted other like minded teachers who propelled the school into an academic oasis not only in Kisumu, but the entire Nyanza Province. The school later gave rise to Xaverian Secondary School (), a result of the continued good performance of the standard eight pupils and the consequent imbalance between the numbers qualifying for secondary schools and the limited Form 1 places available within the surrounding secondary schools. Box 437 - 40100 Kisumu, Kenya  See also   Education in Kenya  List of schools in Kenya   References   Category:1950s establishments in Kenya Category:1955 establishments in Africa Category:Education in Nyanza Province Category:Educational institutions established in 1955 Category:Kisumu County Category:Elementary and primary schools in Kenya Category:Public schools in Kenya Category:1955 establishments in the British Empire"
KE-2008-5#-00000390,3.0,The student teacher ratio of 48:1 and this means there is 56:8 pupils per classroom in 11 classrooms. The school recently gave rise to the Gongo Warom Secondary School to cater for the consequent imbalance between the numbers qualifying for secondary schools and the limited Form 1 places available within the surrounding secondary schools.
