DHSID_EA,relevance_score,most_relevant_sentences
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000097,1.0,"India plans to invest $550 million in building the facility. The nature documentary of Jacques-Yves Cousteau and Louis Malle, The Silent World was partially shot on Assumption.Island guide  The island is known for its rich fish life."
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000097,1.0,"India plans to invest $550 million in building the facility. The nature documentary of Jacques-Yves Cousteau and Louis Malle, The Silent World was partially shot on Assumption.Island guide  The island is known for its rich fish life."
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000097,1.0,"India plans to invest $550 million in building the facility. The nature documentary of Jacques-Yves Cousteau and Louis Malle, The Silent World was partially shot on Assumption.Island guide  The island is known for its rich fish life."
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000074,1.0,France and the Comoros claim the Banc du Geyser as part of their exclusive economic zone (EEZ).
KM-2012-6#-00000198,3.0,", about half the population lived below the international poverty line of US$1.25 a day.Human Development Indices , Table 3: Human and income poverty, p. 35. The low educational level of the labour force contributes to a subsistence level of economic activity, high unemployment, and a heavy dependence on foreign grants and technical assistance."
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
KM-2012-6#-00000093,1.0,"In 2002, after Anjouan's reentry into the Union of the Comoros as an autonomous island, Anjouan's Offshore Finance Authority was established to promote the island as a tax haven to attract foreign capital. As mentioned on the official website of the Central Bank of Comoros, in the part ""Flash News"": ""The Central Bank of Comoros recalls that up to date, no license has been delivered for the exercise of financial offshore activities in one of the islands of the Union of the Comoros"". The Anjouan authorities have abandoned the development of the offshore financial sector since the summer of 2008."
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
KM-2012-6#-00000073,1.0,It is known for its rich history of wine making.
