DHSID_EA,relevance_score,most_relevant_sentences
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000198,5.0,"Prior to 2000, students seeking a university education had to attend school outside of the country, however in the early 2000s a university was created in the country."
KM-2012-6#-00000093,3.0,It is not uncommon for students to attend Quranic school in addition to their normal schooling.
