DHSID_EA,most_relevant_sentences
KY-2012-6#-00000235,During its existence Kyrgyzstan Airlines had its head office on the airport property
KY-2012-6#-00000016,"Nazarbayev appointed Chan-Young Bang, his former economic advisor president, as the institute's first executive director. How to Apply, KIMEP website KIMEP's financial aid has rapidly grown since 2004. Financial Services Official KIMEP Website 100 percent of applicants for the 2010-2011 year who applied for aid and demonstrated need and academic achievements received financial assistance. Another form of financial assistance at KIMEP is placement in the KIMEP Dormitory, which offers highly favorable rates to students from outside Almaty. His fields of specialization are game theory, public economics and the economic analysis of institutions. It offers KIMEP students access to dozens of major electronic libraries and electronic resources. The library has space for studying, an electronic resources laboratory and a large computer room. The facility was named the ExxonMobil Media Center after ExxonMobil Kazakhstan, which donated US$44,000 to pay for the center's equipment. According to a 2019 study, nearly 96% of KIMEP graduates had full-time employment within three months of graduation. kz/bcb/bcbresserv/faculty-profiles/ Kanat Kudaibergenov, mathematician Official KIMEP Website Tomas Balco, an internationally recognized tax expert and founder of the Central Asian Tax Research Center at KIMEP CATRC Website Roman Podoprigora, frequent consultant to the Supreme Court and Ministry of Justice of Kazakhstan; Deputy Chair, Financial & Tax Law Research Institute, since 2008. kz/admission/about/gradadm/academics/ddp/ KIMEP Dual Degrees This includes: Humboldt University Berlin, Germany (MA Economics/MSc in Economics and Management Science University of Glasgow, UK (MIR/Master in Russian, Central and Eastern European Studies IESEG School of Management/Catholic University of Lille, France (MBA/MIB) EM Strasbourg Business School/University of Strasbourg, France (BSc Business & Accounting/Bachelor in European Management Yonsei University, South Korea (MA Economics/Master in Global Economy & Strategy, MIR/Master is Global Affairs & Policy, MIR/MA Korean Studies, MIR/Master in Global Economy & Strategy) Criticism thumb|right|230px|Academic building of KIMEP In 2006 certain former faculty members published letters accusing the university of corruption and cronyism. In a letter to the Chronicle of Higher Education, the former faculty members claimed contracts and salaries were ""compromised"" at the institution"
KY-2012-6#-00000014,"Instruments Telescope Carl Zeiss-1000 Type: reflector Optical system: Ritchey–Chrétien Main mirror diameter: D = 1016 mm Equivalent focal length: F = 13300 mm English mount Year of exploitation beginning: 1981 Equipment: slit spectrograph UAGS, set of BVR-filters for photometry, CCD-cameras (SBIG ST-7, SBIG ST-8) Current status: no observations, under reconstruction Telescope AZT-20 Type: reflector Optical system: Cassegrain Main mirror diameter: D = 1560 mm Focal length with focus corrector: F = 5720 mm Maximal possible field of view: FOW = 60 х 60 arc min German type equatorial mount Year of exploitation beginning: 2017 Equipment: CCD-camera for photometry FLI Pro LIne with g’r’i’z’ - filters"
KY-2012-6#-00000202,The economic damage caused by the earthquake was estimated to be around US$120 million
KY-2012-6#-00000014,"References External Links Interactive scholarly application, multimodal resources mashup (publications, images, videos)"
KY-2012-6#-00000278,"""The Christian Science Monitor"", 2007-Jan-04 Dordoy Bazaar is a major shopping and employment centre for the Bishkek metropolitan area and entire Chuy River Valley region. com, 2008-04-09) According to some economists, this re-export (the other center for which, targeting Uzbekistan, is the Karasuu Bazar at Kara-Suu, Osh Province) is one of two largest economic activities of Kyrgyzstan"
KY-2012-6#-00000012,"Achieved Comprehensive Settlement of Disputes with the Kyrgyz Republic's Government"") Ownership controversy and nationalization movement Since 2012, advocates have called for the nationalization of the mine due to accusation against Centerra Gold's of environmental violations and corruption"
KY-2012-6#-00000016,"Faculties Faculty of Agrobiology and Phytosanitary Faculty of Technology and Bioresources Faculty of Veterinary Medicine Faculty of forestry, land resources and horticulture Faculty of Hydraulic Engineering, Land Reclamation and Business Faculty of Engineering Campus thumb|Kazakh Agricultural Institute campus building The main building of the university was built in two stages in 1934 and 1954"
KY-2012-6#-00000244,"]] In the Ferghana Valley, the first Dungans to appear in Central Asia originated from Kuldja and Kashgar, as slaves captured by raiders; they mostly served in private wealthy households. Millward in his economic history of the region, or by Kim Ho-dong in his monograph). "" Today the Dungans play a role as cultural ""shuttles"" and economic mediators between Central Asia and the Chinese world"
KY-2012-6#-00000281,Kyrgyzstan is rich in mineral resources but has negligible petroleum and natural gas reserves; it imports petroleum and gas
