DHSID_EA,relevance_score,most_relevant_sentences
KY-2012-6#-00000015,1.0,"Pik Talgar ( Talǵar shyńy; ) is a northern peak in the Tian Shan mountain range in Kazakhstan, named after Talgar river and city."
KY-2012-6#-00000065,3.0,There are two ways of reaching the village from Tashkent: via the dam of the Charvak water reservoir or via pass Melovoy and the Chimgan recreation area.
KY-2012-6#-00000016,1.0,"Afterwards the installation for making artificial ice was dismantled. In the early years, ice was prepared and skating competitions were held."
KY-2012-6#-00000003,1.0,"Other difficulties involved in the  route included technical rock and ice walls, and snow gullies up to 70 degrees in steepness."
KY-2012-6#-00000004,2.0,"He gave a good description of it, mentioning rocks of different colours in the lake, and the furious winds blowing around the lake. Thirty years later Alexander Schrenk explored the lake and its surroundings.Bretschneider, E. (1910), Mediæval researches from eastern Asiatic sources: Fragments towards the knowledge of the geography and history of central and western Asia from the 13th to the 17th century, p. 126, Michigan University  Literally, the name Ala-kul would mean 'variegated lake,' although it probably takes its name from the Ala-Таu mountains lying further north.Taylor, Issac (1898), Names and their histories: a handbook of historical geography and topographical nomenclature, p. 317, Rivingtons  See also Index of Kyrgyzstan-related articles  References  External links  Category:Lakes of Kyrgyzstan Category:Issyk-Kul Region Category:Tian Shan"
KY-2012-6#-00000245,1.0,dominate the hydrology.
KY-2012-6#-00000021,2.0,"The lake area extends with lakeside planes and river fans, sometimes interrupted by foothill ridges. The hydrological conditions are dominated by Tong river, Ak-Sai river, Ak-Terek River, and Tuura-Suu."
KY-2012-6#-00000026,2.0,"The topography varies from multiple-folded medium-altitude mountains featuring in erosional dissection to alluvial - proluvial planes with river fans, and lakeside planes of Issyk-Kul lake area."
KY-2012-6#-00000016,4.0,"The topography varies from multiple-folded medium-altitude mountains featuring in erosional dissection to alluvial - proluvial planes with river fans, river valleys, intermittent water streams, and lakeside planes of Issyk-Kul lake area."
KY-2012-6#-00000062,1.0,The Toktogul reservoir is a geographical feature of the district and the capital lies on the north shore.
KY-2012-6#-00000086,1.0,"The river Jumgal is situated in this district,Svetlana Jacquesson, « Au cœur du Tian Chan : histoire et devenir de la transhumance au Kirghizstan », Cahiers d’Asie centrale [En ligne], 11/12 | 2004, mis en ligne le 23 juin 2009, Consulté le 19 janvier 2010. URL : http://asiecentrale.revues.org/index700.html it is a tributary of Kökömeren River, the latter is tributary to Naryn river."
KY-2012-6#-00000104,1.0,"The district is characterized by the scenic Tian Shan Mountains, alpine pastures and Son-Kul lake which during summer months attracts large herds of sheep and horses with their herders and their yurts."
KY-2012-6#-00000141,2.0,"Ethnic composition According to the 2009 Census, the ethnic composition of the Alay District (de jure population) was:   Ethnic group  Population  Proportion of Alay District population Kyrgyzs    99.6%</tr> other groups    0.4%</tr>  Rural communities and villages [[File:Gulcha river valley.jpg|thumb|Gul'cha river valley south of Gul'cha close to the Taldyk Pass]]  In total Alay District include 62 settlements in 14 rural communities ().2012 Law on the transformation of individual urban settlements of the Kyrgyz Republic and relating them to the category of village or city Each rural community can consist of one or several villages."
KY-2012-6#-00000125,2.0,The hydrology is dominated by the river Kyzyl-Suu (flowing towards the west) and its tributaries.
KY-2012-6#-00000069,1.0,The Kurpsai Dam is a gravity dam on the Naryn River in Kyrgyzstan. It is  tall and it creates a  reservoir of which  is active (or useful) for power generation.
KY-2012-6#-00000061,1.0,There is a small lake here where shamans used to perform sacred rites.
KY-2012-6#-00000087,2.0,"The approximately 2.5 km long lake with SSE-NNW orientation has an area of 1.22 km2 and is located at an altitude of 1970 m. The Ukök, outflow of the lake, initially flows in a north-westerly and later in a northerly direction through the mountains before reaching a plateau, flowing through the town of Kochkor and flowing into the Chu River on the right."
KY-2012-6#-00000281,2.0,"thumb|upright=1.5|A map of Kyrgyzstan  Issyk-Kul Lake, or Ysyk-Köl in Kyrgyz, in the north-eastern Tian Shan is the largest lake in Kyrgyzstan and the second largest mountain lake in the world after Titicaca."
KY-2012-6#-00000003,1.0,"Glaciers in the Tian Shan Mountains have been rapidly shrinking and have lost 27%, or 5.4 billion tons annually, of its ice mass since 1961 compared to an average of 7% worldwide. The south side of the lake is the Terskey Alatau and the north side the Kyungey Ala-Too (shady and sunny Ala-Too). The outlet glacier tongues of the plateau glacier flowed to the north as far as down to Lake Issyk Kul (Lake) at 1605 (1609) m asl calving in this 160 km long lake. Down from the Kungey Alatau the glacial glaciers also calved into the Issyk Kul lake. The glacier snowline (ELA) between the glacier feeding area and melting zone was about 1200m lower during the last ice age than it is today."
KY-2012-6#-00000003,1.0,"It is part of the Kakshaal Too, the highest part of the Tian Shan and located southeast of lake Issyk Kul. Jengish Chokusu is considered the most northerly 7,000-metre mountain in the world by geologists; the actual rock summit of Khan Tengri, the Tian Shan's third highest peak, is 6,995m above sea level, though a thick layer of ice adds another 15m to its altitude, such that mountaineers classify it as 7,000m peak."
KY-2012-6#-00000003,1.0,The City of Yining borders on Huocheng County in the west and the Yining County in the east; across the river in the south is Qapqal Xibe Autonomous County.
KY-2012-6#-00000003,1.0,"Three major mountain ranges of Altai, Dzungar () and Tianshan with year-round ice and snow stand from north to south."
