DHSID_EA,relevance_score,most_relevant_sentences
LS-2014-7#-00000292,1.0,It aims at attracting independent power producers (IPPs) to invest in renewable power generation in the country.
LS-2004-4#-00000301,1.0,"Another group drawn to the city for money was prostitutes, from a wide variety of ethnicities who could be found in bars and saloons. In practice this process has been one of upward mobility by those who could afford the more costly options, while by far the majority of Black people remain in the townships where poverty levels are high. Economy Kimberley was the initial hub of industrialisation in South Africa in the late nineteenth century, which transformed the country's agrarian economy into one more dependent on its mineral wealth. A key feature of the new economic arrangement was migrant labour, with the demand for African labour in the mines of Kimberley (and later on the gold fields) drawing workers in growing numbers from throughout the subcontinent. Education  Education is a major sector in Kimberley's social and economic life. ""Given the rich heritage of Kimberley and the Northern Cape in general,"" Zuma said, ""it is envisaged that Sol Plaatje will specialise in heritage studies, including interconnected academic fields such as museum management, archaeology, indigenous languages, and restoration architecture. It houses a rich collection of artefacts and information from the early days of the city. When gold and other minerals were later discovered to the north, there were already Kimberley men of vision and enterprise with the capital and technology to develop the new resources."" Miscellany   The Kimberley Process Certification Scheme (KPCS) is an initiative for preventing trade in ""conflict diamonds"" used to finance the undermining of legitimate governments."
LS-2009-6#-00000014,2.0,"This stemmed from the Wits Council being dominated by ""highly conservative members representing mining and financial interests"", and was compounded by the fact that the mining industry provided major financial support for the university."
LS-2009-6#-00000250,1.0,"Miller won $500,000 out of total prize money of $1,000,000. Total prize money remained at $1,000,000 with $300,000 for the winner and $50,000 for the 10th player."
LS-2004-4#-00000301,1.0,"In view of these functions, NIA (the Domestic Branch) is responsible for the following:   To fulfil a proactive, anticipatory or early warning role of scanning and assessing the total (economic, social, political and environmental) domestic security situation to identify and report to the policy maker or executive departments any signs or warning signals of threats or potential threats to the constitutional order and the safety of the people  To perform a reactive monitoring role of tracking events when a threat/crime has been identified or a crisis has already arisen, without duplication of the role of the other executive departments. In 2003, he was one of three former intelligence operatives who advised the Minister of Intelligence Lindiwe Sisulu on conditions of employment in the intelligence community. In October 1998, police would arrest two members of the NIA after they attempted to cash stolen share certificates worth more than R180 million and the two were also linked to a financial brokerage which had accepted three illegal promissory notes from the Mpumalanga Parks Board, which had been used to secure a R340 million offshore loan. It was said the two members of the NIA had been laundering money through the brokerage and had claimed it was part of a NIA operation to against foreign exchange control violations. The NIA handler and his unit would later be suspended based on allegations of fraud, misuse of state resources and death threats. Project Avani initially involved no targeting of individuals but was to evaluate potential threats occurring from the succession battle for the Presidency as well as any foreign interference in it, Zuma's corruption trial, problems from poor service delivery in the townships and lastly the security and stability in the country. During June 2006, he was part of a delegation including the Intelligence Minister Ronnie Kasrils and the SASS, that visited Zimbabwe and President Robert Mugabe with the aim of kick-starting the South African diplomatic effort to resolve the economic and political issues occurring in that country. In January 2008, Manzini, the NIA, the President Thabo Mbeki and the South African Police Service became involved in preventing National Police Commissioner Jackie Selebi from being charged for corruption by the Scorpions and the National Prosecuting Authority (NPA). Further investigations by the Mail and Guardian in November 2008 would find that Manzini had conducted business undertakings and a dodgy property deal with Tania Volschenk, Glenn Agliotti's landlady and fixer. Selebi was later found guilty of corruption on 2 July 2010, but not guilty of further charges of perverting the course of justice. The review recommended significant reforms to the South African intelligence services and called for an end to the vague mandate the National Intelligence Agency (NIA) had to gather domestic political and economic intelligence, which has been open to abuse. DA Shadow Deputy Minister of State Security David Maynier MP expressed concern at the loss of experienced intelligence officials while Thulani Dhlomo, Deputy Director Counter Intelligence was retained despite serious allegations of corruption against him."
LS-2009-6#-00000250,1.0,"The majority of people in the region 20 years after the fall of apartheid still live in abject poverty despite the massive profits yielded by the platinum royalties. During this conference, professor Willie Jonker of the University of Stellenbosch made this confession on behalf of the entire DRC: ""[I] confess before you and before the Lord, not only my own sin and guilt, and my personal responsibility for the political, social, economic and structural wrongs that have been done to many of you and the results [from] which you and our whole country are still suffering, but vicariously I dare also to do that in the name of the NGK [the white DRC], of which I am a member, and for the Afrikaans people as a whole."" The golf club has improved its revenue tremendously by improving its Courses and adding many other amenities such as, Park run, Put Put, Indoor trampoline park, many restaurants and a 4 star event and conference centre. The secondary GDP contributors are, by a considerable margin, finance (9%) and retail (8%). Rustenburg Rapid Transport Project (RRT)  As at the end of the 2017/18 financial year, the Rustenburg Metropolitan had spent about R2.7 billion on the upgrading of old and the construction of new public transport infrastructure in and around the city."
LS-2009-6#-00000014,2.0,"Bribery and corruption On 28 May 2015, media covering the 2015 FIFA corruption case reported that high-ranking officials from the South African bid committee had secured the right to host the World Cup by paying US$10 million in bribes to then-FIFA Vice President Jack Warner and to other FIFA Executive Committee members. Prize money The total prize money on offer for the tournament was confirmed by FIFA as US$420 million (including payments of US$40 million to domestic clubs), a 60 percent increase on the 2006 tournament. FIFA president Sepp Blatter declared the event ""a huge financial success for everybody, for Africa, for South Africa and for FIFA,"" with revenue to FIFA of £2.24 billion (€2 billion)."
LS-2009-6#-00000014,1.0,"The Highveld is also exceedingly rich in diamonds, coal, vanadium, and manganese."
LS-2009-6#-00000014,1.0,"Excavations continue to this day, and finds now total some 500 hominids, making Sterkfontein one of the richest sites in the world for early hominids."
LS-2009-6#-00000014,1.0,"Sharpeville had a high rate of unemployment as well as high crime rates. Pass laws intended to control and direct their movement and employment were updated in the 1950s. Individuals over sixteen were required to carry passbooks, which contained an identity card, employment and influx authorisation from a labour bureau, name of employer and address, and details of personal history."
