DHSID_EA,relevance_score,most_relevant_sentences
LS-2009-6#-00000014,2.0,"Industrial and Mining Water Research Unit (IMWaRU) The Industrial and Mining Water Research Unit comprises several researchers in chemical engineering, microbiology and other disciplines, investigating acid mine drainage (AMD),Sheridan, C, 2013."
LS-2009-6#-00000227,1.0,"AngloGold Ashanti management had proceeded with the evacuation after their temporarily interrupted power supply was mostly restored, mine management had contacted the mine crew underground by telephone and mine engineers had ensured that the shaft infrastructure was in working order. AngloGold Ashanti denied responsibility for the earthquake, saying it occurred away from its mining infrastructure. Mahumapelo said that counselling, social relief and temporary accommodation were being provided, and that the buildings and infrastructure damaged in the earthquake might take years to repair."
LS-2009-6#-00000226,1.0,The main water drop is .
LS-2009-6#-00000014,1.0,"Gandhi slept in an attic room which he entered via a ladder, but he and Kallenbach shared the same kitchen and entertained their guests in the living room."
LS-2014-7#-00000127,1.0,"Potchefstroom Dam is a water reservoir (dam) on the Mooi River, on the northern boundary of Potchefstroom, North-West, South Africa."
LS-2009-6#-00000014,2.0,"191  Internally, each dwelling had a customized kitchen, bathroom and built in fittings.Hannah le Roux 16.04.2014 Clever space planning created compact living areas that were also spacious due to the use of built in fittings."
LS-2014-7#-00000223,2.0,Poor hygiene practices that result from a lack of clean water can cause cases of typhoid and diarrhea. Lack of available water also indirectly leads to an increased risk for women and girls who collect water for household consumption as they must spend more time and travel long distances while running the risk of being physically or sexually assaulted.
LS-2009-6#-00000211,1.0,"Lesotho covers an area of around , of which a negligible percentage is covered with water. It is the 141st largest country in the world, with a total land area of , of which a negligible percentage is covered with water. Even though very little of Lesotho is covered in water, the rivers that run across the country are an important part of Lesotho's economy. Much of the country's export income comes from water, and much of its power comes from hydroelectricity. Economically the most important resource is water. The Lesotho Highlands Water Project allows exporting water from the Malibamatso, Matsoku, Senqu and Senqunyane rivers to South Africa, while also generating hydroelectric power for Lesotho's needs."
LS-2014-7#-00000184,1.0,"The material in the skull can not have been washed out or replaced by water flowing down the gully because  ""the force required to scour the inner-most sediments would certainly have resulted in substantial damage"" of the skull, and the skull did not appear to the dating team to have been damaged that much."
LS-2009-6#-00000207,2.0,The department also authorized plans to upgrade the storm-water drainage system and retaining walls along the route to reduce sand and gravel erosion.
