DHSID_EA,relevance_score,most_relevant_sentences
LS-2009-6#-00000014,1.0,"These mathematical models are then used as the basis for energy and water optimization in multipurpose batch facilities. On the other hand, work on Continuous Process Integration is focused on Utilities Debottlenecking for energy and water optimization. The Chair's recent studies have also addressed systems that exhibit the water-energy nexus, as traditionally encountered in integrated water and membrane networks. constructed wetlands, water footprinting, life-cycle assessmentHarding, KG, 2014."
LS-2009-6#-00000226,1.0,The main water drop is .
LS-2009-6#-00000014,1.0,"The original five-hectare park was elaborately laid out with lawns, statuary, shrubberies, a 'Ladies Mile' for riding a lake big enough for boating."
LS-2014-7#-00000127,3.0,"Potchefstroom Dam is a water reservoir (dam) on the Mooi River, on the northern boundary of Potchefstroom, North-West, South Africa."
LS-2014-7#-00000223,2.0,Lack of available water also indirectly leads to an increased risk for women and girls who collect water for household consumption as they must spend more time and travel long distances while running the risk of being physically or sexually assaulted.
LS-2009-6#-00000211,1.0,"Lesotho covers an area of around , of which a negligible percentage is covered with water. It is the 141st largest country in the world, with a total land area of , of which a negligible percentage is covered with water. The nearest major shipping port is Durban.Uprety 2005, p. 9  Physical geography  thumb|left|Malealea village in the highlands of Lesotho Lesotho can be roughly divided into three geographic regions: the lowlands, following the southern banks of the Caledon River, and in the Senqu river valley; the highlands formed by the Drakensberg and Maloti mountain ranges in the east and central parts of the country; and the foothills that form a divide between the lowlands and the highlands. Even though very little of Lesotho is covered in water, the rivers that run across the country are an important part of Lesotho's economy. Much of the country's export income comes from water, and much of its power comes from hydroelectricity. Economically the most important resource is water. The Lesotho Highlands Water Project allows exporting water from the Malibamatso, Matsoku, Senqu and Senqunyane rivers to South Africa, while also generating hydroelectric power for Lesotho's needs."
LS-2014-7#-00000184,1.0,"The material in the skull can not have been washed out or replaced by water flowing down the gully because  ""the force required to scour the inner-most sediments would certainly have resulted in substantial damage"" of the skull, and the skull did not appear to the dating team to have been damaged that much."
LS-2014-7#-00000292,1.0,"The sediments were formed by depositions in river channels, floodplains and swamps. The nearby town of East London is the largest in the region and is South Africa's only river port."
LS-2009-6#-00000207,1.0,"The steep gravel road has gradients up to 1:3, which can be difficult to drive in bad weather and may be covered with snow and ice in winter. The department also authorized plans to upgrade the storm-water drainage system and retaining walls along the route to reduce sand and gravel erosion."
LS-2014-7#-00000250,1.0,"The pass is 7.9 km long, with the last stage being extremely dangerous in winter due to patches of ice."
LS-2014-7#-00000041,1.0,This is followed by continuing up the river and with a combination of short paths and boulder hopping.
LS-2009-6#-00000207,1.0,"The adjacent coastline of KwaZulu-Natal has a humid subtropical climate with summer rainfall, and the freshwater and riverine sedimentary discharge into the region is significant and affects turbidity and plankton blooms."
LS-2004-4#-00000301,1.0,"Methuen planned to advance along the Western Railway from the Orange River to Kimberley, both in order to remain close to his supply line due to a lack of fresh water in the region and pack animals, and to utilize the railway to evacuate all civilians from Kimberley as ordered by Buller."
LS-2009-6#-00000207,1.0,"Though cut off from the Gerrit Maritz laager, he participated in its defence, but was unable to prevent the death of George, who was further inland at the Blaauwekrans river. With a following of 1,500 Zulus who deserted from Dingane, they crossed the Tugela river near its mouth and proceeded to uMgungundlovu. Recognition  Ndongeni received a farm at the Mzimkulu river and King a farm at Isipingo for their services."
LS-2009-6#-00000014,1.0,The reactor was shut down for repairs in 1988 after a water leak was detected in the pool.
LS-2009-6#-00000207,1.0,The swimming pool is 25m long and is used extensively by the school swimming and water polo teams.
LS-2009-6#-00000207,1.0,"The school tries its best to recognise learners' achievements in fields that the school cannot offer, for example ice skating, horse-riding or ballet, and the awards policy is fluid and ever-changing to accommodate this."
LS-2009-6#-00000207,1.0,"Extramural activities  Pinetown Boys’ High School offers a wide range of sporting activities, including athletics, badminton, basketball, chess, cricket, cross country, hockey, rugby union, soccer, swimming, tennis, volleyball, and water polo."
LS-2014-7#-00000292,2.0,"The Mgwali is a tributary of the Mbhashe, a main river that drains into the Indian Ocean through an estuary located near the lighthouse at Bashee, south of Mhlanganisweni."
LS-2014-7#-00000120,1.0,"The second division is taken from the municipal coat-of-arms, symbolizing water and gold."
LS-2009-6#-00000207,2.0,1968 - Durban Heights water reservoir begins operating.
LS-2014-7#-00000292,5.0,Design   The series of twists and turns that the Mbhashe River takes through the Collywobbles means that at one point on the river where it twists close together a concrete dam in the northern bend allowed the impounding of the river to create a lake from which water is diverted via a 1.4 km long by 4.6 m diameter dual lined tunnel operating at 14 bars to the powerhouse on the southern bend.
LS-2004-4#-00000301,1.0,"In 1886, before the construction of the irrigation scheme, Cecil John Rhodes wanted to divert the water from the Harts River to the diamond fields at Kimberley. The idea was to re-direct water from the Vaal and Harts rivers into a series of canals and breathe life into the notoriously dry landscape."
LS-2004-4#-00000301,2.0,In 2015 the school had to design a water model for a water distribution network.
LS-2004-4#-00000301,1.0,Frank Templeton Prince -  British Poet  John Briscoe – An engineer (water) and received the Stockholm Water Prize.
LS-2014-7#-00000144,1.0,"The Klip River owona  mfula owumthelela omkhulu we Tugela river eKwaZulu Natal, Eningizimu afrika."
LS-2004-4#-00000176,2.0,"The lake drains northward toward the headwaters of the Umzimkulu River, playing a major role in the water supply and conservation methods of the communities downstream."
LS-2009-6#-00000207,1.0,An environmental history of the Mgeni River estuary: a study of human and natural impacts over time.
LS-2014-7#-00000292,1.0,"As soon as possible after his arrival Bishop Armstrong visited Umhalla, of whom Bishop Gray had written on his visitation in 1850:  ""I have undertaken to found a mission in Umhalla's country midway between King William's Town and the Kei river. During Bishop Armstrong's second journey in 1855, he visited Sandile, who at once consented to have Church missions in his land, and offered a site near his kraal on the Kabusie river."
LS-2004-4#-00000301,2.0,"On 12 October, the Jacobsdal Commando severed the railway line at the bridge over the Modder River south of Kimberley,Wilson, p. 53 whereafter the Boers entrenched themselves in the hills at Spytfontein.Spytfontein is located immediately south of Kimberley at   Meanwhile, the Boshof Commando severed the railway line  north of the town at Riverton Road, then shut off the primary water supply at Riverton on the Vaal River.Riverton is located north of Kimberley on the Vaal River at  For the first time, water in the mines became more precious than the diamonds in them."
LS-2004-4#-00000301,2.0,"This feature was submerged for a time as water levels rose in 2012]]  One of Kimberley's famous features is Kamfers Dam, a large pan north of the city, which is an important wetland supporting a breeding colony of lesser flamingos."
LS-2004-4#-00000301,1.0,Agliotti would later recant his affidavit against the Scorpions saying he had been drinking before making the statement and police crime intelligence boss Mulangi Mphego was later arrested and charged  with defeating the ends of justice in obtaining the affidavit.
LS-2009-6#-00000250,4.0,"The township is in a geographical area which bears the brunt of the catchment area of the toxic effects of the mining industry coupled with a very poor quality of water supply from the local Bospoort Dam, the water from which was for decades considered too toxic for human consumption until water shortages in the nineties compelled the purification and supply to Boitekong."
LS-2014-7#-00000140,1.0,"On the 18th British mounted troops under the Earl of Dundonald enterprisingly reached the extreme Boer right flank, from where there was little to stop them riding to Ladysmith, but Warren recalled them to guard the force's baggage.Kruger, p. 183 Once all his force had crossed the river, Warren sent part of the 2nd Division under Lieutenant-General Francis Clery against the Boer right flank positions on a plateau named Tabanyama. At 14:30, Thorneycroft sent Warren a plea for reinforcements and water. After sixteen hours on the kop doing the job of a brigadier-general in total absence of instructions from Warren, he ordered an unauthorised withdrawal from Spion Kop after reporting that the soldiers had no water and ammunition was running short. Once across the river, Buller managed to rally his troops. Medical assistance, water and ammunition were also tardy in arriving."
LS-2009-6#-00000014,1.0,"The Vaal River and its tributaries form the main water drainage system of the Highveld. The pollution in this region is also very high principally due to coal thermal power stations producing nitrogen oxide and sulfur dioxide. The peat base of the grassland acts as a natural filter, providing sources of clean water."
LS-2004-4#-00000309,3.0,"Other endemic species include three frogs found in the mountain streams, Drakensberg river frog (Amietia dracomontana), Phofung river frog (Amietia vertebralis), and Maluti river frog (Amietia umbraculata)."
LS-2009-6#-00000227,1.0,"The literal translation is ""Twee buffels"" = ""Two buffaloes"", ""met een skoot"" = ""with one shot""; """" = ""stone dead""; """" = ""shot""; """" = ""spring (river source)"" or ""fountain""."
LS-2009-6#-00000014,1.0,"Water & Health Research Centre: The Water and Health Research Centre consists of a Water Research Group based in the Department of Civil Engineering Science, which forms part of the Faculty of Engineering and the Build Environment, and various other water-related groups in the university, like the Water and Health Research Unit. The Water and Health Group involves various researchers working on water research from several faculties at the University of Johannesburg and from other universities as well. Centre for Nanomaterials Sciences Research: The Centre for Nanomaterials Sciences Research (CNSR) was established in 2007 and was founded on four key aspects: nanomaterials for water treatment, nanomaterials for catalysis applications, bio-nanomaterials, and nanomaterials for sensors and photovoltaic applications. Engineering and the Built Environment The faculty of Engineering and the Built Environment's research focus areas include civil engineering materials research, chromium steels, control and image processing, industrial electronics technology, manufacturing, mineral processing and technology, optical communications, process optimization of thermodynamic systems, small-scale mining and minerals, speech and signal processing, telecommunications, unmanned aerial vehicles, water research. The decision was seen to affect projects in biotechnology and water purification.University of Johannesburg votes to sever ties with BGU Jerusalem Post, 24 March 2011  However, two days later, Ihron Rensburg, vice-chancellor and principal of the university issued a statement saying that ""UJ is not part of an academic boycott of Israel...It has never been UJ's intention to sever all ties with BGU, although it may have been the intention of some UJ staff members.""U."
LS-2009-6#-00000352,1.0,"The Sehlabathebe National Park, home of the Sehlabathebe water lily, is about 2.5 hours away by gravel road."
LS-2004-4#-00000301,2.0,"A further 2,000 Imperial soldiers died or were invalided at Paardeberg from illness, mostly due to drinking the water of the Modder River, downstream from where the Boer were throwing horse and cattle corpses killed by the artillery fire."
LS-2009-6#-00000207,1.0,"Gold medal winner at the 2002 World Championships David Hibberd - SA sailor and Olympian at the 1996 Atlanta Games Chad Ho – SA open water swimmer and Olympian at the 2008 Olympics in Beijing and 2016 Olympics in Rio de Janeiro Keith Horne – golfer, 5 times winner on the Sunshine Tour, and silver medalist at the 1993 World Games Calvyn Justus – SA swimmer and Olympian at 2016 Games in Rio de Janeiro Jeremy Kark - Member of the National Israel Cricket Team and record holder Alan Koch - Head Coach of FC Cincinnati soccer team (2017–present)  Robbie Koenig – SA tennis player and US Open Doubles finalist George Koumantarakis – SA footballer and participant in 2002 FIFA World Cup) Waylon Murray –  and Springbok Rugby Union Player Shaun Payne – Springbok Rugby 7's and Munster rugby player Ryan Pretorius – American football place kicker with the Ohio State Buckeyes Leith Shankland – SA swimmer and Olympian at the 2012 London Olympics Errol Stewart – SA ODI cricketer & Natal rugby player; SA National Cricket selector Trevor Strydom – SA fencer and modern pentathlete, and Olympian at 1992 Games in Barcelona Myles Wakefield - SA Davis Cup player Zane Weir - Italian shot put athlete and Olympian at the 2020 Tokyo Games Peter Wetzlar - Zimbabwean swimmer and Olympian at the 2020 Tokyo Games Khaya Zondo – SA ODI cricket  References  External links Official website Westville Old Boys’ Association  Aerial and school pictures  Category:Schools in KwaZulu-Natal Category:Educational institutions established in 1955 Category:Boys' schools in South Africa Category:1955 establishments in South Africa"
LS-2014-7#-00000140,1.0,"As the British troops concentrated in Ladysmith now constituted a balanced ""field force"" of all arms, White also rejected the option of leaving an infantry garrison in Ladysmith while sending the bulk of the mounted troops and artillery south of the river."
LS-2014-7#-00000199,1.0,But there was not enough water in the Western Transvaal to employ the blockhouse system.
LS-2004-4#-00000338,3.0,"A section of the Sterkfontein Dam reservoir is isolated after the construction of Driekloof Dam, this small reservoir has a capacity of ., together with the Kilburn Dam almost  lower, Driekloof forms part of Eskom's Drakensberg Pumped Storage Scheme and Tugela-Vaal Water Project, and provides for up to  of electricity storage in the form of  of water."
LS-2009-6#-00000250,1.0,The camp had good water supply and a nearby mountain allowed communication by heliograph with Major General Robert Broadwood at Rustenburg.
LS-2014-7#-00000144,2.0,"While their main defences were north of the river, the Boers also held a number of ridges south of the river and east of Colenso. To capture Hlangwane, Buller realised that he would first have to rout the Boers from all their positions south of the river, but even with the south bank in his possession, Buller would still have to fight through the Boer-held hills to the north on the river."
LS-2009-6#-00000014,1.0,"The venue forms part of a multi-sport events complex which was designed so that sporting codes that require access to open land and open water can also be staged at this venue, and the events that have taken place include Road Running, Cross County Running, Triathlon, Duathlon, Mountain Biking, Off-road Triathlon, Road Cycling and model aeroplanes."
LS-2004-4#-00000338,1.0,"The municipality itself has been in substantial debt for decades, and owes a considerable debt to both the regional water and electrical utilities (R3,769 million).http://www.eskom.co.za/IR2019/Documents/Eskom_2019_integrated_report.pdf   Municipal services  The failure to deliver adequate municipal services has been a chronic problem since at least 2000."
LS-2014-7#-00000144,1.0,The name means a current in the sea where air movement causes ripples on top of the water surface and ends up influencing the nearby climatic conditions through its breeze.
LS-2009-6#-00000207,1.0,"The Mdloti River headspring, Hazelmere Dam, Mvoti River are the primary water source for the North Coast and, are situated in uMshwathi."
LS-2009-6#-00000087,1.0,"The two countries are connected by a border post at the Maseru Bridge, which crosses the river."
LS-2004-4#-00000309,1.0,The municipality is situated nearer the mouth of the river.
LS-2004-4#-00000301,2.0,"The largest of the rivers is the Tugela, portion of whose waters are pumped over the escarpment on to the Highveld to supplement the water supply to the large industrial cities of Gauteng. Note that the Benguela current does not originate from Antarctic waters in the South Atlantic Ocean, but from upwelling of water from the cold depths of the Atlantic Ocean against the west coast of the continent."
LS-2014-7#-00000223,2.0,Lack of available water also indirectly leads to an increased risk for women and girls who collect water for household consumption as they must spend more time and travel long distances while running the risk of being physically or sexually assaulted.
LS-2009-6#-00000211,1.0,"Lesotho covers an area of around , of which a negligible percentage is covered with water. It is the 141st largest country in the world, with a total land area of , of which a negligible percentage is covered with water. The nearest major shipping port is Durban.Uprety 2005, p. 9  Physical geography  thumb|left|Malealea village in the highlands of Lesotho Lesotho can be roughly divided into three geographic regions: the lowlands, following the southern banks of the Caledon River, and in the Senqu river valley; the highlands formed by the Drakensberg and Maloti mountain ranges in the east and central parts of the country; and the foothills that form a divide between the lowlands and the highlands. Even though very little of Lesotho is covered in water, the rivers that run across the country are an important part of Lesotho's economy. Much of the country's export income comes from water, and much of its power comes from hydroelectricity. Economically the most important resource is water. The Lesotho Highlands Water Project allows exporting water from the Malibamatso, Matsoku, Senqu and Senqunyane rivers to South Africa, while also generating hydroelectric power for Lesotho's needs."
LS-2014-7#-00000184,1.0,"The material in the skull can not have been washed out or replaced by water flowing down the gully because  ""the force required to scour the inner-most sediments would certainly have resulted in substantial damage"" of the skull, and the skull did not appear to the dating team to have been damaged that much."
LS-2014-7#-00000292,1.0,"The sediments were formed by depositions in river channels, floodplains and swamps. The nearby town of East London is the largest in the region and is South Africa's only river port."
LS-2009-6#-00000207,1.0,"The steep gravel road has gradients up to 1:3, which can be difficult to drive in bad weather and may be covered with snow and ice in winter. The department also authorized plans to upgrade the storm-water drainage system and retaining walls along the route to reduce sand and gravel erosion."
LS-2014-7#-00000250,1.0,"The pass is 7.9 km long, with the last stage being extremely dangerous in winter due to patches of ice."
LS-2014-7#-00000041,1.0,This is followed by continuing up the river and with a combination of short paths and boulder hopping.
