DHSID_EA,relevance_score,most_relevant_sentences
MA-2003-4#-00000237,2.0,"He enlisted an Andalusian engineer, Ibn al-Hajj from Seville, to help create a vast garden to the north of Fes el-Jdid, along with the water distribution infrastructure required to maintain it."
MA-2003-4#-00000237,1.0,The dark rectangular opening in the upper part of the tower is where the water aqueduct for the Mosara Gardens once passed through the tower. The gardens were enclosed by their own walls and were supplied with water via a raised aqueduct that ran between Bab Dekkakin and Bab Segma.
MA-2003-4#-00000002,1.0,"The water pumped from the ocean would feed hydraulic turbines before reaching the Sebkha Tah 55 meters below. Part of the energy produced by wind turbines, when available, would be used to power pumps returning the water stored in the basin to the ocean."
MA-2003-4#-00000373,2.0,"Highlights in the exhibition include a collection of objects of Jewish worship, a ""ceramic kitchen"" (complete kitchen equipped with ceramic objects) and a small Sephardic-style courtyard."
MA-2003-4#-00000373,1.0,"The tour ends in a room dedicated entirely to the Water Synagogue in Úbeda (Jaén), with a recreation of its ritual bath (Mikveh)."
MA-2003-4#-00000237,1.0,"The district was first known as Hims, but also by the name Mellah ( or 'saline area') due to either a saline water source in the area or to the former presence of a salt warehouse."
MA-2003-4#-00000223,2.0,"Architecture and operation  As with some other hammams in the city, the Saffarin Hammam is situated next to a well or natural spring which provides some of its water and is built in a sloped area which made drainage easier. The heated water was then carried and poured into a large water basin (called a burma) in the middle of the hot room."
MA-2003-4#-00000265,1.0,"Its basin has an area of 36,540 km2 with an average annual water inflow of 4,054 hm³."
MA-2003-4#-00000204,1.0,The latter is a rectangular building centered around a courtyard with a rectangular water basin at its center. Around it are 13 latrine rooms accessed by small horseshoe-arch doorways.
MA-2003-4#-00000472,1.0,"The drenching of the bodies, the accumulation of water in the surroundings, and the lack of maintenance of the enclosure caused it to become ruined in the 1850s."
MA-2003-4#-00000001,1.0,Altitudinal change in needle water relations of the Canary pine (Pinus Canariensis) and possible evidence of a drought-induced alpine timberline on Mt.
MA-2003-4#-00000001,2.0,"It also mentions that the depth of the water surrounding Cape Bojador is deceptively shallow, and the color of the sand underneath the water is a ""fearful sight""."
