DHSID_EA,relevance_score,most_relevant_sentences
MB-2005-5#-00000055,1.0,"The Umanka (Ukrainian: Уманка) is a  river in Cherkasy Oblast, Ukraine."
MB-2005-5#-00000400,2.0,"This flows into a well, and the water is annually blessed for holy water."
MB-2005-5#-00000361,1.0,"Its old name was replaced by a new one, Bender, meaning ""river port, berth""."
MB-2005-5#-00000399,1.0,"Architecture thumb|Back view 200px|thumb|The aghiasmatar (holy water basin) pavilion in front of the Cathedral The building resembles a very large and elaborate mausoleum, and was built in the Byzantine architectural style, with arabesques. A spring of clear water, named after Manole, is said to mark the spot where he fell."
MB-2005-5#-00000237,1.0,"The largest rivers are the Dnister (290 km, in the Oblast), Prut (128 km, in the Oblast) and Siret (113 km, in the Oblast).About Oblast  Chernivtsi Oblast State Administration   The oblast covers three geographic zones: a forest steppe region between Prut and Dnister rivers, a foothill region between the Carpathian Mountains and Prut river, and a mountain region known as the Bukovinian part of the Carpathian Mountains."
MB-2005-5#-00000373,2.0,"The city did not have a drinking water system until 1924, when a 55.3 km (34.4 mi) system was laid underground."
MB-2005-5#-00000400,2.0,"width=""30"" | % |- | Western Balkan Mountains|| align=""right"" | 4 196,9 || align=""right"" | 36.19 || align=""right"" | 849 || align=""right"" | – || align=""right"" | – || align=""right"" | 907.1 || align=""right"" | 21.61 || align=""right"" | 2 074,9 || align=""right"" | 49.44 || align=""right"" | 1 139,6 || align=""right"" | 27.15 || align=""right"" | 75.3 || align=""right"" | 1.79 |- | Central Balkan Mountains || align=""right"" | 3 400,9 || align=""right"" | 29.33 || align=""right"" | 961 || align=""right"" | – || align=""right"" | – || align=""right"" | 549.8 || align=""right"" | 16.17 || align=""right"" | 1 512,7 || align=""right"" | 44.48 || align=""right"" | 1 076,7 || align=""right"" | 31.66 || align=""right"" | 261.7 || align=""right"" | 7.70 |- | Eastern Balkan Mountains || align=""right"" | 3 998,6 || align=""right"" | 34.48 || align=""right"" | 385 || align=""right"" | 560 || align=""right"" | 14.00 || align=""right"" | 2 798,9 || align=""right"" | 70.00 || align=""right"" | 624.1 || align=""right"" | 15.61 || align=""right"" | 15.6 || align=""right"" | 0.39 || align=""right"" | – || align=""right"" | — |- | Total' || align=""right"" | 11 596,4 || align=""right"" | 100 || align=""right"" | 722 || align=""right"" | 560 || align=""right"" | 4.83 || align=""right"" | 4 255,8 || align=""right"" | 36.70 || align=""right"" | 4 211,7 || align=""right"" | 36.32 || align=""right"" | 2 231,9 || align=""right"" | 19.25 || align=""right"" | 337 || align=""right"" | 2.91 |}   Hydrology  thumb|A view of the Balkan Mountains [[File:Shipka-monument-bg.jpg|thumb|right|The monument on Shipka]] thumb|right|Central Balkan Mountains thumb|Rosomačka river, Serbia thumb|Horses at the Balkan Mountains, Serbia  [[File:Staraplanina-krassiu.jpg|thumb|View from Ray Resthouse towards the Central Balkan Mountains with Raysko Praskalo waterfall in the middle]] [[File:Белоградчишки скали 07.JPG|thumb|Belogradchik Rocks]] thumb|Kozya Stena Reserve In their central and eastern sections, the mountains form a water divide between the rivers flowing to the Danube in the north and those flowing to the Aegean Sea in the south."
MB-2005-5#-00000273,2.0,"One of the greatest dams in Romania, the Bicaz Dam is built along the Bistrița River, forming the Bicaz Lake; the water of the lake is used for electricity production at Bicaz-Stejaru Hydroelectric Power Station."
MB-2005-5#-00000361,1.0,"Transnistria, officially the Pridnestrovian Moldavian Republic (PMR), is an unrecognised breakaway state located in the narrow strip of land between the river Dniester and the Moldovan–Ukrainian border that is internationally recognised as part of Moldova. As part of that agreement, a three-party (Russia, Moldova, Transnistria) Joint Control Commission supervises the security arrangements in the demilitarised zone, comprising 20 localities on both sides of the river. It is a narrow valley stretching north–south along the bank of the Dniester river, which forms a natural boundary along most of the de facto border with Moldova. On the west bank, in Bessarabia, the city of Bender and four communes (containing six villages) to its east, south-east, and south, on the opposite bank of the river Dniester from the city of Tiraspol (Proteagailovca, Gîsca, Chițcani, and Cremenciug) are controlled by the PMR."
MB-2005-5#-00000237,2.0,"To distinguish Mykolaiv from the much larger southern city, the former is sometimes called Mykolaiv on Dniester (, Mykolaiv nad Dnistrom) after the major river it situated on (while the latter is located on the Southern Buh, another  major river)."
MB-2005-5#-00000237,1.0,"History  [[File:Hrubieszów - budynek (03).jpg|thumb|left|250px|Browar Sulewski - local brewery]]  The origins of the town go back to the early Middle Ages, when a Ruthenian defensive gord existed on the Huczwa river island."
MB-2005-5#-00000400,2.0,"For example, a 4 kilometre-long canal fed a large brick cistern that moved water from the Kriva river to the Inner Town via ceramic pipes."
MB-2005-5#-00000373,2.0,"For the end of 2011 in Zmiinyi Island coastal waters 58 fish species (12 of which are included into the Red Book of Ukraine)Snigirov S, Goncharov O, Sylantyev S. The fish community in Zmiinyi Island waters: structure and determinants."
MB-2005-5#-00000237,4.0,"200px|thumbnail|Leakage from the Lake Solina thumb|200px|Midsummer fire (Sobótka) at San river The San (;  Sian; ) is a river in southeastern Poland and western Ukraine, a tributary of the river Vistula, with a length of 458 km (it is the 6th-longest Polish river) and a basin area of 16,877 km2 (14,426 km2 of it in Poland).Statistical Yearbook of the Republic of Poland 2017, Statistics Poland, p. 85-86  Etymology San in proto-Indoeuropean languages means ""speed"" or ""rapid stream""."
MB-2005-5#-00000276,1.0,"Sport [[File:Ukraine Basketball SuperLeague final Budivelnyk-Khimik 29-04-2017.jpg|thumb|2016–17 Ukrainian Basketball SuperLeague final, Budivelynk vs. Khimik (April 2017)]] The hall hosts ice hockey, basketball and boxing competitions. The home teams have included the ice hockey club HK Sokol Kyiv and the basketball clubs BC Kyiv and BC Budivelnyk."
MB-2005-5#-00000237,1.0,"The Bug river divided this land into two parts, and since the 10th century, Chelm was contested by Poland and Rus."
MB-2005-5#-00000400,1.0,"It was opened on 19 November 1979 as part of the first line of the Bucharest metro, between Semanatoarea and Timpuri Noi, on the right bank of the Dâmboviţa River, in what was then the Izvor neighbourhood (the entire area on the right bank of the Dâmboviţa river was demolished four years later during Nicolae Ceauşescu's systematization plans in order to make way for the Palace of the Parliament)."
MB-2005-5#-00000400,3.0,"At 4:00, when the water level reached the maximum extent, the engineers decided to demolish a cofferdam further down on the river (located near the Mărășești underpass), in order to allow the water to flow freely and to reduce the flooding."
MB-2005-5#-00000398,1.0,Amongst other attractions in Poiana Brașov visitors can find traditional mulled wine and a pepper spiced alcoholic drink known as țuică as well as other traditional Romanian fare.
MB-2005-5#-00000400,1.0,"The tower had an observation deck open for tourists at a height of 107 metres, which offered a panoramic view of Rousse, the Danube river, the neighbouring city of Giurgiu, Romania, and as far as the Carpathian Mountains."
MB-2005-5#-00000237,1.0,"Two chapels are incorporated in the side toward the Olt River and their Byzantine cupolas are reflected in the water, creating one of the most iconic cultural - natural landmarks in Romania."
MB-2005-5#-00000237,1.0,"In the eastern part of Cluj County, east of the river alignment Valea Florilor–Maraloiu–Someșul Mic, is located a part of the Hilly Plain of Transylvania, a special unit of relief, with mountainous character, partially overlapped by some gas-condensate domes. The deep waters are less represented and are characterized by high mineralization."
MB-2005-5#-00000397,1.0,"From Smârdan (on the opposite side from Brăila) to Pătlăgeanca (close to Tulcea), the Danube has only one big flow of water, around which there are an immense number of lakes and small channels."
MB-2005-5#-00000237,1.0,"The county is named after the river Sălaj, which gets its name from Hungarian Szilágy ""elm creek"", composed from szil, ""elm"" and ágy ""riverbed"". Religion  People  Percentage Orthodox  138,032  64.4% Reformed  42,128  19.6% Pentecostal  10,358  4.8% Baptist  8,293  3.9% Greek Catholic  5,726  2.7% Roman Catholic  5,340  2.5%   Economy    Industry  Sălaj County has rich natural resources of raw materials, concentrated in the following areas:  brown coal – Cristolțel;  lignite – Ip and Sărmășag;  carbonaceous slate – Zimbor;  gypsum – Treznea;  alabaster – Gălășeni and Stâna;  diorite – Moigrad;  mica-schist – Marca;  chalk – Cuciulat, Glod, Prodănești and Răstoci;  clay – Crasna, Cuciulat, Nușfalău and Zalău;  kaolin sand – Jac and Var;  silica sand – Jac, Creaca, Surduc and Var;  quartz sand – Var;  kaolin – Ruginoasa;  tuff – Mirșid;  river aggregates – Benesat, Var, Rona, Almașu, Băbeni, Cuciulat, Glod, Gâlgău, Ileanda, Românași, Rus, Someș-Odorhei, Surduc and Tihău."
MB-2005-5#-00000400,1.0,The main river is the eponymous Prahova River.
MB-2005-5#-00000290,2.0,"Harghita's spectacular natural scenery includes Sfânta Ana Lake, a volcanic crater lake near the town of Băile Tușnad; Lacul Roșu a mountain lake in the northeast near the town of Gheorgheni, and Cheile Bicazului, a dramatic, narrow canyon formed by the Bicaz stream."
MB-2005-5#-00000237,1.0,The main river crossing in the county is the Mureș River.
MB-2005-5#-00000276,2.0,"It was created as an entertainment complex with mainly water activities: beaches, boating, water attractions."
MB-2005-5#-00000400,2.0,"Ruse is on the right bank of the river Danube, which is the high bank, having two underwater terraces and three river terraces at , , and . The highest temperature recorded was 44.0 C and the lowest was −22.8 C.   History  left|thumb|250px|An inscription from the Sexaginta Prista fortress   Etymology  Scholars suggest that the city on the river bank derived its present name from the Finnish root ruskea meaning ""blonde"", or *ru- (""river"", ""stream"") or from the Cherven fortress, meaning ""red,"" through the root rous, which is present in many Slavic languages. After the opening of the Rhine–Main–Danube Canal which covers  and connects 13 European countries with Asia via the Black Sea, the river becomes the longest inland waterway on the planet."
MB-2005-5#-00000373,1.0,"The Alma (; , ) is a small river in Crimea that flows from the Crimean Mountains in a broadly west-north-west direction to the Black Sea. History During the Crimean War of 1853–1856, in the Battle of the Alma near the lower reaches of the Alma river, the allied British, French, and Ottoman armies defeated the Russians under Prince Aleksandr Sergeevich Menshikov on 20 September 1854."
MB-2005-5#-00000399,1.0,The hostel does not have electricity and running water.
MB-2005-5#-00000237,2.0,"In 2006, the first ice hotel in Eastern Europe was built in the vicinity of the lake."
MB-2005-5#-00000373,1.0,"In 1955 a dam was constructed on the Dnieper, creating the Kakhovka Reservoir. This submerged part of the village along with several islands and fishing waters."
MB-2005-5#-00000398,2.0,"Vidraru Lake is a reservoir lake created in 1965 on the Arges River for Hydroelectricity production. The only road to access the lake Vidraru is the spectacular Transfagarasan (DN7C), running from Curtea de Arges to Cartisoara, and passing in front of the hydro power plant, on the Vidraru dam, and around Vidraru Lake."
MB-2005-5#-00000399,2.0,"The dam's height is 166 metres, the arch length 305 meters and it can store 465 million cubic metres of water. Background [[Image:LakeVidraru PowerMen.JPG|thumb|left|200px|Prometheus statue near the dam]] Situated between Frunţii Mountains and Ghiţu mountains, the lake collects the Capra, Buda and some other smaller rivers (Râul Doamnei, Cernatu and Vâlsan, Topolog, Valea lui Stan and Limpedea), with a total flow of about 5.5 million L /s."
MB-2005-5#-00000237,1.0,"In 1366, King Casimir the Great confirmed his rule over the upper Bug river, capturing Wlodzimierz Wolynski."
MB-2005-5#-00000055,2.0,Climate  thumb|left|View from Hill of Glory on the Rose Valley and water reservoir.
MB-2005-5#-00000400,2.0,"The reservoir ranks third in size in Bulgaria with water service of 17300 decameters. It has warm waters, and is used for water supply and irrigation."
MB-2005-5#-00000400,2.0,"The reservoir is located in the territory of Elena municipality, and supplies water to Veliko Tarnovo, Gorna Oryahovitsa, Lyaskovets, Strazhitsa, Zlataritsa, Elena, Gabrovo and Dryanovo."
MB-2005-5#-00000237,1.0,"A high altitude lake is located in Rakhiv Raion, which is the highest in the region. It is called Nesamovyte.Nesamovyte Lake profile  The lake is located in the Hoverla preserve on the slopes of Turkul mountain. The lake's area is  and it is located  above sea level."
MB-2005-5#-00000006,1.0,The extreme south of the oblast has a surface with canyon-like river valleys. The largest reservoir in the oblast is the Dniester Reservoir.
MB-2005-5#-00000241,2.0,"The main water artery of the region is river Horyn, while northwestern area also reaches Prypiat."
MB-2005-5#-00000015,2.0,"A number of medicinal mineral water springs have been found in the oblast, they function as well as radon's water springs in the town of Khmilnyk."
MB-2005-5#-00000237,1.0,"It is located  from Cluj-Napoca on the river Someșul Mic, and has a population of 20,203."
MB-2005-5#-00000237,1.0,"Mountain ranges thumb|Moldoveanu peak (2544 m) is the highest in Romania and one of the highest peaks of the Carpathians thumb|Lake Bucura in the Retezat Mountains  From east to west, four mountain groups can be identified, separated by different river valleys."
MB-2005-5#-00000237,1.0,"The main river was the Dniestr, which also marked border with the Tarnopol Voivodeship."
MB-2005-5#-00000373,1.0,"German planners assumed the area would be captured in mopping-up operations once the bulk of the Red Army was destroyed west of the Dnieper river. Although Bulgaria was not technically at war with the Soviet Union, its naval staff worked closely with the Wehrmacht, and despite not being committed to combat, they provided bases for the Axis naval command (Admiral Schwarzes Meer, Admiral of the Black Sea) to operate in the waters of the Black Sea.Hayward 1998, pp. He ordered the German 50th Infantry Division to probe the center of the Soviet line east of the Chernaya river. However, Oktyabrsky ordered its retirement south towards Sevastopol, abandoning Mamaschai and forming a new front north of Belbek city and the Belbek river. Oil, electricity, water pumps, harbor facilities, and submarine bases were attacked by StG 77 Ju 87s. Situated on the northeast edge of the city, they struck along the lines of least resistance, across the Belbek river while the German XXX and Romanian Mountain Corps conducted holding attacks in the south and center, respectively. Nevertheless, the 132nd Infantry Division was able to work its way up to the river. The brigade held most of its forces in reserve, while committing only a single company to cover the hilly terrain on the Belbek river front. He was worried that the 132nd Infantry Division, locked in combat with the 79th Naval Brigade and 95th and 172nd Rifle Divisions north of the city on the Belbek river front, was ""approaching the end of its strength"". The 18th Infantry, 1st, and 4th Mountain Divisions, supported by 100 guns, gradually advanced up the Chernaya River towards the mouth of the river and Severnaya Bay."
MB-2005-5#-00000237,1.0,"Zygmunt Gloger in his monumental book Historical Geography of the Lands of Old Poland gives a detailed description of the voivodeship:  “Belz, on the Zaloka river, was one of the oldest gords of the Czerwien Land."
MB-2005-5#-00000015,1.0,"Its western boundary was marked by the Murachwa river, and in the southeast, it was separated from Wallachia by the Dniestr. The commission marked northern border of the voivodeship along the Black Tatar Trail, and to settle arguments between Braclaw and Kijow Voivodeships, King Stefan Batory in 1584 stated that boundary line was to be marked by the Uhorski Tykicz river (...)  In the late 16th century, most of Braclaw Voivodeship was a depopulated wild field. miles, in northwestern corner of the voivodeship, along the Boh river. The district of Zwinogrod covered the desert of the Blue Waters (see also Battle of Blue Waters), but due to destruction of the Zwinogrod Castle, it did not emerge as a separate county (...) In 1584, Stefan Batory divided this area between Braclaw and Kijow Voivodeship, along the Uhorski Tykicz river (...)  In 1569, first voivode of Braclaw was Prince Roman Sanguszko, while first castellan was Knyaz Jedrzej Kapusta."
MB-2005-5#-00000276,1.0,"He extended his control from Novgorod south along the Dnieper river valley to protect trade from Khazar incursions from the east, and moved his capital to the more strategic Kiev. In 880–82, Oleg led a military force south along the Dnieper river, capturing Smolensk and Lyubech before reaching Kiev, where he deposed and killed Askold and Dir, proclaimed himself prince, and declared Kiev the ""mother of Rus' cities. The Byzantines also helped the Khazars build a fortress at Sarkel on the Don river to protect their northwest frontier against incursions by the Turkic migrants and the Rus', and to control caravan trade routes and the portage between the Don and Volga rivers.Kevin Alan Brook, The Jews of Khazaria (2006), pp. The migration of the Magyars allowed Rus' access to the Black Sea,Vernadsky (1976), p. 28. and they soon launched excursions into Khazar territory along the sea coast, up the Don river, and into the lower Volga region. Constantine Porphyrogenitus described the annual course of the princes of Kiev, collecting tribute from client tribes, assembling the product into a flotilla of hundreds of boats, conducting them down the Dnieper to the Black Sea, and sailing to the estuary of the Dniester, the Danube delta, and on to Constantinople.Vernadsky (1976), pp.28–31. Liutprand of Cremona wrote that ""the Rus', seeing the flames, jumped overboard, preferring water to fire. Novgorod had a sewage system and wood paving not often found in other cities at the time. Some speculation exists that the Pechenegs drove off the Tivertsi and the Ulichs to the regions of the upper Dniester river in Bukovina."
MB-2005-5#-00000237,2.0,"Ternopil Lake (Ukrainian: Тернопільський став, known as Komsomol Lake before 1992, non-official Ternopil Lake) is a large artificial pond, a reservoir set in the center of Ternopil created in the place of swamps on the river Seret. A new dam was built resulting in a higher water level than before."
MB-2005-5#-00000237,3.0,"Concurrently in the valley of Seret river a levee and dam with a bridge crossing were constructed, resulting in the stream pooling, thus filling a new lake."
MB-2005-5#-00000071,1.0,"It has high wall with buttress, on river stone tied with mortar."
MB-2005-5#-00000314,1.0,"Geography  Poduri sits in the central-western part of the county, on the right bank of Tazlăul Sărat river."
MB-2005-5#-00000237,1.0,The castle is perched on a hilltop which is enclosed on three sides by a river.
MB-2005-5#-00000400,1.0,"Lake Băneasa () is a reservoir on the Colentina River at Băneasa in Sector 1 of Bucharest, Romania. The lake has a length of , a width between  and , a surface area of 40 hectares (0.40 km2), a depth between  and , a volume of  and a debit of 2.5 m/s."
MB-2005-5#-00000237,1.0,There have been fatalities from people falling into the water onto rocks near the waterfall.
MB-2005-5#-00000276,1.0,"In the early morning, protesters in central Kyiv continued supplying molotov cocktails and advanced on police cordons while fortifying barricades to their rear as police continuously used water cannons, fired rubber bullets, and jammed cell phone signals. Police were now able to block roads to restrict access to the city, and allowed the use of water cannons against rioters regardless of air temperature (−10 C at the time of the announcement). In an incident of cruel and unusual punishment, riot police detained two protesters, stripped them naked, doused them in water, and made them run back to Maidan on foot in the sub-freezing temperatures, while they were fired upon with rubber bullets. On 28 January, 52-year-old Bohdan Kalyniak died in hospital of pneumonia as a result of police water cannons being used against protestors in sub-freezing temperatures during clashes on Hrushevskoho Street. Meanwhile, the Interior Ministry stated that they reserved the right to use even greater force, defending their use of rubber ammunition, and outright denied the use of water canons on protesters."
MB-2005-5#-00000373,1.0,"Safyany () is a lake in the south-western Ukraine, in the delta of the Dniester River."
MB-2005-5#-00000373,2.0,"Lake Pohorile (, means 'burn lake') is a lake in the south-western Ukraine, in the delta of the Dniester River. The water source of the waterbody gets from several small canals, which connect the lake with the Turunchuk River. The oxygen content of the lake waters is 96.4-96.5%, with its concentration of 9.6-11.5 mg/l."
MB-2005-5#-00000373,2.0,"Lake Bile (, means 'white lake') is a lake in the south-western Ukraine, in the delta of the Dniester River. The white water lily (Nymphaea alba), water caltrop (Trapa natans), brandy-bottle (Nuphar lutea), and mint (Mentha sp.)"
MB-2005-5#-00000237,1.0,"It is located on the banks of the river Luchka,  from Kolomyia."
MB-2005-5#-00000400,1.0,"Lake Văcărești is a lake in the south of Bucharest, Sector 4. The lake has a surface of . History The lake was formed from an old bifurcation of the Dâmbovița River and was previously known as Balta Văcărești."
MB-2005-5#-00000276,1.0,"There were reports of police using water cannons to break through. Attack on Maidan Following the warning, the police advanced on thousands of protesters on Maidan Nezalezhnosti (Independence Square) with guns, a water cannon, and an armored personnel carrier."
MB-2005-5#-00000276,1.0,"History   Some historians trace the origins of the town to the town Nosov on the river Rud, mentioned in ancient Russian chronicles of about 1148 CE."
MB-2005-5#-00000276,2.0,"The Kyiv Reservoir serves as the lower reservoir and the upper reservoir is located  above the lower. During periods of low demand, such as night time, the pump-generators push water from the lower reservoir to the upper for use during peak hours. Specifications  The building of the pumped-storage power plant is connected with the upper basin by 6 pressure reinforced concrete and metal pipelines with a diameter of 3.8 m.  Upper basin created at a height of 70 m above the level of the Kiev reservoir with a useful volume - 3700000 cubic meters, where during the night decrease in energy consumption in the power system water is pumped. Response depth - 6,7 m. The reservoir on the Dnieper River serves as the lower reservoir of the pumped storage power plant."
MB-2005-5#-00000373,1.0,"Kakhovka is a port city located on the reservoir's southern bank. The primary purpose of the dam is hydroelectric power generation, irrigation and navigation. It is the 6th and the last dam in the Dnieper cascade. Dam The dam has an associated lock and a power station with an installed capacity of 357 MW. Construction on the dam began in September 1950 and the last generator was commissioned in October 1956."
MB-2005-5#-00000276,4.0,"The hydro-unit also includes the right-bank and left-bank dam, the protective dam of the right bank, the dam - the insert between the gateway and the building of the hydroelectric power station, the dam-wave separation, channel rowing and pressureless dam of the left bank and the Kiev navigable gateway (which today belongs to the State Enterprise ""Ukrvodshlyah"")."
MB-2005-5#-00000304,1.0,Geography The river of Yahorlyk divided the district into two parts: the western and eastern.
MB-2005-5#-00000373,1.0,"Wells were dug for water, which proved however to be extremely brackish."
MB-2005-5#-00000237,1.0,The western part of the castle yard housed a water well eliminated later in 19th century.
MB-2005-5#-00000237,1.0,"Lake Tarnița (, ) is a reservoir located in Cluj County, Romania, between the communes of Râșca, Mărișel and Gilău, west of Cluj-Napoca. Water from the Someșul Cald River flows into the reservoir. A 97 m high dam was completed in 1974."
MB-2005-5#-00000276,1.0,"The estate is over  and is situated on the banks of the Dnieper river (Kyiv Reservoir)Ukraine elections marked by curses, threats and brutality, The Guardian (26 October 2012) in the village of Novi Petrivtsi, Vyshhorod Raion. Accessed February 15, 2014 The length of the ""palace on the water"" is around ."
MB-2005-5#-00000373,1.0,"The bay of Sevastopol stretches from the open sea eastward to the Inkerman Cave Monastery at the end, narrowing down and finishing at the mouth of the Chorna river. Covering a large expanse of water, the harbor serves as a comfortable anchorage for a fleet."
MB-2005-5#-00000237,2.0,It was vital to prevent the spread of flames because at that time the city did not dispose of much water; it was necessary in fact to dig for 35m to find a source of water.
MB-2005-5#-00000373,1.0,"The fortress controlled the Dniester estuary. This segment is located outside the castle walls very close to the estuary and has been preserved till nowadays. The hardest siege was in August 1484, when a 300,000-man army of the Ottoman sultan Bayezid II and 50,000 troops of the Crimean Khan Meñli I Giray supported by over 100 large ships besieged the castle on the coast and estuary. According to the agreement between the Russia and Ottoman Empire, the river Dniester was their border."
