DHSID_EA,relevance_score,most_relevant_sentences
MB-2005-5#-00000276,1.0,"States across the world The Foreign Minister of Austria, Sebastian Kurz, said after learning of the killings on 21 January that ""it is shocking that young demonstrators had to pay with their lives today, simply because they demanded more democracy and expressed their annoyance about the government's refusal to enter into dialogue. The Slovak Minister of Foreign Affairs, Miroslav Lajčák, said on 24 January that ""when blood was shed, a red line was crossed...This is not an academic issue for us."
MB-2005-5#-00000400,1.0,"His body is near his wife, Zeyneb, in Constanta Muslim Central Cemetery at: 44.173046, 28.622309."
MB-2005-5#-00000373,1.0,"It covers an area of 0.25 hectares and consists of large and small kenesa buildings (meetinghouses), building religious schools (Midrash), charity dining, household courtyards and multiple courtyards (grape, marble, waiting for the prayer Ritual, Memorial)."
MB-2005-5#-00000237,1.0,"Maksymilian Nowicki (1826–90) was a Polish zoology professor and pioneer conservationist in Galicia and father of the poet Franciszek Nowicki. Anne Werzberg, mother of French mime Marcel Marceau (born Marcel Mangel)   Museums  Museum ""Wooden Sculpture""   Places of interest  Yablonov Jewish Cemetery  References   External links  Yablonov Jewish Cemetery fully documented at Jewish Galicia and Bukovina ORG  Category:Urban-type settlements in Ivano-Frankivsk Oblast Category:Holocaust locations in Ukraine"
MB-2005-5#-00000276,1.0,"On 19 February, the authorities instituted police checkpoints, restrictions on public transportation, and school closures in Kyiv, which the media referred to as a de facto state of emergency. The Maidan People's Union also urged all concerned citizens to take part in the ""peace offensive"", which student unions had agreed to join as well."
MB-2005-5#-00000237,1.0,"The death of last male member of Wiśniowiecki family caused palace and estate in the city of Vyshnivets ownership being transferred by female line to Mniszech family under their care and supervision of whom castle had revealed all of its beauty adding another facet to the palettes of European palace and park recreation art. In the mid-1920s, the main building of Vyshnivets Palace accommodated a museum collection, while the remaining space was utilized as a school of craftsmanship. Only in 1963 Vyshnivets Palace recognized by authorities as monument of architectural art, although it still was being utilized for various business transactions and occupied as a club, a library, an apparel factory, and a school of craftsmanship."
MB-2005-5#-00000400,3.0,"__NOTOC__  Romanian name Translation Sculptor Year Material Coordinates Notes Nimfă adormită Sleeping nymph Filip MarinAdministrația Monumentelor și Patrimoniului Turistic: Nimfă adormită  1906 (1960) marble   Historic monument (B-III-m-A-21039) Hercule doborând centaurul Hercule knocking down the centaur Ion Jalea 1925 marble  Historic monument (B-III-m-B-19984) Prometeu Prometheus Jef LambeauxAdministrația Monumentelor și Patrimoniului Turistic: Prometeu  (2001) marble  Historic monument (B-III-m-B-19985) Monumentul Fondatorilor Uniunii Europene European Union Founders' Monument Ionel StoicescuAdministrația Monumentelor și Patrimoniului Turistic: Monumentul Fondatorilor Uniunii Europene  2006 bronze  Jean Monnet, Robert Schuman, Altiero Spinelli, Alcide de Gasperi, Konrad Adenauer, Walter Hallstein, Paul Henri Spaak, Jean Rey, Johan Willem Beyen, Sicco Mansholt, Joseph Bech, Pierre Werner Aleea Cariatidelor Caryatid Alley Constantin Baraschi (Ionel Stoicescu)Administrația Monumentelor și Patrimoniului Turistic: Aleea Cariatidelor (Replică Ansamblu Statuar Constantin Baraschi) 1939 (2005) composite  20 Romanian peasant women bearing pitchers on their heads Fântâna Modura Modura Fountain Constantin BaraschiAdministrația Monumentelor și Patrimoniului Turistic: Fântâna Modura 1939 (2006) stone/composite   Pescărușii Gulls Gabriela Manole-AdocAdministrația Monumentelor și Patrimoniului Turistic: Pescărușii  1965 stainless steel  Copii jucându-se Children Playing Neculai EneaAdministrația Monumentelor și Patrimoniului Turistic: Copii jucându-se  stone   Ion Creangă cu copiii Ion Creangă with the children Ion VlasiuAdministrația Monumentelor și Patrimoniului Turistic: Ion Creangă cu copiii  stone   Arhitectură Architecture Iulia OnițăAdministrația Monumentelor și Patrimoniului Turistic: Arhitectură 1965 stone and gypsum   Coloana The Column Eugen CiucăColoana 1973 stone   ObeliscAdministrația Monumentelor și Patrimoniului Turistic: Obelisc  Obelisk  1990 stone   Tânără fată la baie (Venus) Young girl bathing (Venus)  2007 cast iron    Statues of animals  Romanian name Translation Sculptor Year Material Coordinates Notes CăprioaraAdministrația Monumentelor și Patrimoniului Turistic: Căprioara Deer   bronze   UrsAdministrația Monumentelor și Patrimoniului Turistic: Urs  Bear   stone   CurcanulAdministrația Monumentelor și Patrimoniului Turistic: Curcanul The turkey Oscar Han 1960 bronze   Gâscanul The goose Vasiliu Falti 1960 bronze    Statues of people  Name Sculptor Year Material Coordinates Notes Theodor Aman Olga Porumbaru 1953 stone   Béla Bartók Gyarmathy Janos 2003 stone   Ludwig van Beethoven Constantin Baraschi 1953 stone   Nicolae Bălcescu Constantin Baraschi 1953 stone   Hristo Botev I. Vlad, C. Grosu 1953 stone   Constantin Brâncuși Ion Irimescu 1967 stone   Ion Luca Caragiale Zoe Băicoianu 1953 stone   Anton Pavlovich Chekhov Alexandru Mircea HancAdministrația Monumentelor și Patrimoniului Turistic: Anton Pavlovici Cehov 2005 marble  a previous statue of Chekhov in Herăstrău was destroyed by Russophobic vandals after the Romanian Revolution Frédéric Chopin Lelia Zuaf, A. OstropAdministrația Monumentelor și Patrimoniului Turistic: Frédéric Chopin  1956 stone   George Coșbuc Constantin Baraschi 1953 stone   Charles Darwin Vasiliu Falti 1953 stone   Mihai Eminescu Mihai Onofrei 1953 stone   Ady Endre Iosif Mathé 1953 stone   Naim Frashëri Odise Paskali 2006 bronze   Charles de Gaulle Mircea Spătaru 2006 bronze   Mikhail Ivanovich Glinka Mihai Onofrei 1953 stone   Johann Wolfgang von Goethe D. Lazăr, M. Coșan 1953 stone   Nicolae Grigorescu Zoe Băicoianu 1953 stone   Victor Hugo M. Sulman, Vasiliu Falti 1953 stone   Vasil Levski Jeko Spiridonov 2001 bronze   Ștefan Luchian Constantin LucaciAdministrația Monumentelor și Patrimoniului Turistic: Ștefan Luchian  1968 stone   Sándor Petőfi A. Sobotka 1953 stone   Ciprian Porumbescu Gheorghe Anghel 1953 stone   Mihail Sadoveanu Romul LadeaAdministrația Monumentelor și Patrimoniului Turistic: Mihail Sadoveanu  1966 (2008) bronze   William Shakespeare Oscar Han 1953 stone   Taras Shevchenko Gennadiy Yershov 1999 granite   Rabindranath Tagore      Pyotr Ilyich Tchaikovsky Ion Jalea 1953    Mark Twain Iosif Fékete 1953 stone   Lev Tolstoi Alexandru Mircea Hanc 2004 stone   Leonardo da Vinci Constanța Buzdugan  stone   Grigore Vieru Răzvan Paul Mihăescu 2010 stone   Alexandru Vlahuță Oscar Han 1953 stone    Romanian myths and stories  Romanian name Translation Sculptor Year Material Coordinates Notes Fata babei și fata moșului Old woman's daughter and the old man's daughter Constantin FoameteAdministrația Monumentelor și Patrimoniului Turistic: Fata babei și fata moșului  stone   Dochia Dochia Gheorghe Iliescu-CălineștiAdministrația Monumentelor și Patrimoniului Turistic: Dochia  stone   Meșterul Manole Meșterul Manole Silvia RaduAdministrația Monumentelor și Patrimoniului Turistic: Dochia   stone   Toma Alimoș Toma Alimoș Mara BâscăAdministrația Monumentelor și Patrimoniului Turistic: Toma Alimoș   stone   Miorița Miorița Ioana KassargianAdministrația Monumentelor și Patrimoniului Turistic: Miorița   stone   Făt-Frumos Făt-Frumos Ion Lucian MurnuAdministrația Monumentelor și Patrimoniului Turistic: Făt-Frumos 1965 stone 44.468477°N 26.082003°E   References  Herastrau Category:Parks in Bucharest Herastrau Category:Bucharest-related lists Herastrau"
MB-2005-5#-00000400,1.0,"Matei Basarab National College () is a high school in Bucharest, Romania. It opened in November 1860, one of two secondary schools to open that year in the Romanian capital, the other being Gheorghe Lazăr Gymnasium, in order to supplement the older Saint Sava High School.București, materiale de istorie şi muzeografie, vol.5, p.306. Editura Alma, Craiova, 2000, ISBN 973- 99262-2-3   Former faculty include Emanoil Bacaloglu, George Călinescu, Mitiță Constantinescu, Eugen Lovinescu, Constantin Moisil, Gheorghe Munteanu-Murgoci, Dumitru Panaitescu-Perspessicius, Dimitrie D. Pătrășcanu, Ion Popescu-Voitești, Constantin F. Robescu, Ioan Slavici, Theodor Speranția, and G. Dem. Notes  External links  Official site  Category:High schools in Bucharest Category:1860 establishments in Romania Category:Educational institutions established in 1860 Category:National Colleges in Romania"
MB-2005-5#-00000400,3.0,"In 1929 he founded Selim Abdulakim Muslim Cultural Fund, a cultural association aimed at helping Muslim students from secondary schools and higher education, which had its office located in Constanta, at the corner of Ferdinand Avenue and Mircea cel Batran Street."
MB-2005-5#-00000400,1.0,"He is resting near his wife in Constanta Muslim Central Cemetery at: 44.173102, 28.622218."
