DHSID_EA,most_relevant_sentences
ML-2018-7Z-00000347,"Mali faces numerous environmental challenges, including desertification, deforestation, soil erosion, and inadequate supplies of potable water. Health Mali faces numerous health challenges related to poverty, malnutrition, and inadequate hygiene and sanitation. CIA World Factbook In 2000, 62–65% of the population was estimated to have access to safe drinking water and only 69% to sanitation services of some kind"
ML-1996-3#-00000238,"This work had included drainage and paving around the mosque, re-rendering walls in bad condition and in one zone of the roof, replacing around 50% of the beams, above which was a heavy build-up of mud plaster"
ML-1996-3#-00000238,"While the community has kept Sidi Yahya better maintained than the two other main mosques in Timbuktu, years of erosion, wear on the foundation, and ineffective drainage threatened the structure"
ML-2001-4#-00000290,"During high water stages of the river, the delta formed by lakes, creeks, and backwaters form part of Lake Débo. It is integral to the wide river channel with its size fluctuating with variation of the water level in the lake. It also provides confirmation of the nature of blocked water and also includes the Erg of Bara region. As it is a part of the Niger River, its size varies with the fluctuation in the water level. The lake has a vast expanse of water extending on all sides. The river that is formed at the outlet of the lake has a width of for a length of downstream, where after it narrows down, gets spilled into many channels; marshy islands are formed and depth of water is in the range of. Since 1962, even a extra flow from the lake could now cause increase of water level in the Niamey area by , rising to the level. Lake Débo during high flow season when it has the maximum dimensions of water spread, is from Mopti on its upstream, on the southern end, and from Timbuktu at its downstream, on the north-eastern end. the perennial grasses grown are edible and easily digestible with botanical names of Echinochloa stagnina (a perennial plant) and Vossia cuspidata, and which grow in varying depths of water (). Another plant species that acts as barrier to sand deposition is the Vetiveria nigritiana, when the water stages in the lake and the delta is high. The aquatic plants sustain varying levels of water in the lake and the soil types dictates the ecology of the region. Akkagoun and Dentaka are the forested areas surrounding the lake and the delta, which are home for many water birds. Algal blooms are also reported from the lake which could result in reduction of the water transparency. A sea side feeling is felt around the lake and the delta, as the air is filled with the sounds of water birds and gulls"
ML-2006-5#-00000359,"The capital will be located at Taoudénit, although the government is currently based in Timbuktu owing to the lack of infrastructure in Taoudénit"
ML-2015-7#-00000011,"3 billion m3 of water. The lake has created benefits as well: consistent navigation downstream of the dam, irrigation of surrounding land, and a source for commercial fishing"
ML-2006-5#-00000268,"Overview The Government of Mali is developing this renewable energy infrastructure project under the Build-Operate-Own-Transfer (BOOT) model, in this public private partnership (PPP) arrangement"
ML-2006-5#-00000398,River Niger and the annual flood The filling of Lake Faguibine with water from the Niger River is dependent on both the height of the annual flood and the free flow of water along the complex route linking the lake to the river
ML-2001-4#-00000290,"The rising water floods varying parts of the low-level delta area, with the water rise determined by the amount of rain fallen upstream"
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000274,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000361,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2018-7Z-00000347,"Mali faces numerous environmental challenges, including desertification, deforestation, soil erosion, and inadequate supplies of potable water. Health Mali faces numerous health challenges related to poverty, malnutrition, and inadequate hygiene and sanitation. CIA World Factbook In 2000, 62–65% of the population was estimated to have access to safe drinking water and only 69% to sanitation services of some kind"
ML-1996-3#-00000238,"This work had included drainage and paving around the mosque, re-rendering walls in bad condition and in one zone of the roof, replacing around 50% of the beams, above which was a heavy build-up of mud plaster"
ML-1996-3#-00000238,"While the community has kept Sidi Yahya better maintained than the two other main mosques in Timbuktu, years of erosion, wear on the foundation, and ineffective drainage threatened the structure"
ML-2001-4#-00000290,"During high water stages of the river, the delta formed by lakes, creeks, and backwaters form part of Lake Débo. It is integral to the wide river channel with its size fluctuating with variation of the water level in the lake. It also provides confirmation of the nature of blocked water and also includes the Erg of Bara region. As it is a part of the Niger River, its size varies with the fluctuation in the water level. The lake has a vast expanse of water extending on all sides. The river that is formed at the outlet of the lake has a width of for a length of downstream, where after it narrows down, gets spilled into many channels; marshy islands are formed and depth of water is in the range of. Since 1962, even a extra flow from the lake could now cause increase of water level in the Niamey area by , rising to the level. Lake Débo during high flow season when it has the maximum dimensions of water spread, is from Mopti on its upstream, on the southern end, and from Timbuktu at its downstream, on the north-eastern end. the perennial grasses grown are edible and easily digestible with botanical names of Echinochloa stagnina (a perennial plant) and Vossia cuspidata, and which grow in varying depths of water (). Another plant species that acts as barrier to sand deposition is the Vetiveria nigritiana, when the water stages in the lake and the delta is high. The aquatic plants sustain varying levels of water in the lake and the soil types dictates the ecology of the region. Akkagoun and Dentaka are the forested areas surrounding the lake and the delta, which are home for many water birds. Algal blooms are also reported from the lake which could result in reduction of the water transparency. A sea side feeling is felt around the lake and the delta, as the air is filled with the sounds of water birds and gulls"
ML-1996-3#-00000128,Ecological changes and water level variation in Sélingué Reservoir (Mali). Selingue Category:Guinea–Mali border Selingue Category:Bodies of water of Guinea
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000274,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000361,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000274,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000361,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2018-7Z-00000347,"Mali faces numerous environmental challenges, including desertification, deforestation, soil erosion, and inadequate supplies of potable water. Health Mali faces numerous health challenges related to poverty, malnutrition, and inadequate hygiene and sanitation. CIA World Factbook In 2000, 62–65% of the population was estimated to have access to safe drinking water and only 69% to sanitation services of some kind"
ML-1996-3#-00000238,"This work had included drainage and paving around the mosque, re-rendering walls in bad condition and in one zone of the roof, replacing around 50% of the beams, above which was a heavy build-up of mud plaster"
ML-1996-3#-00000238,"While the community has kept Sidi Yahya better maintained than the two other main mosques in Timbuktu, years of erosion, wear on the foundation, and ineffective drainage threatened the structure"
ML-2001-4#-00000290,"During high water stages of the river, the delta formed by lakes, creeks, and backwaters form part of Lake Débo. It is integral to the wide river channel with its size fluctuating with variation of the water level in the lake. It also provides confirmation of the nature of blocked water and also includes the Erg of Bara region. As it is a part of the Niger River, its size varies with the fluctuation in the water level. The lake has a vast expanse of water extending on all sides. The river that is formed at the outlet of the lake has a width of for a length of downstream, where after it narrows down, gets spilled into many channels; marshy islands are formed and depth of water is in the range of. Since 1962, even a extra flow from the lake could now cause increase of water level in the Niamey area by , rising to the level. Lake Débo during high flow season when it has the maximum dimensions of water spread, is from Mopti on its upstream, on the southern end, and from Timbuktu at its downstream, on the north-eastern end. the perennial grasses grown are edible and easily digestible with botanical names of Echinochloa stagnina (a perennial plant) and Vossia cuspidata, and which grow in varying depths of water (). Another plant species that acts as barrier to sand deposition is the Vetiveria nigritiana, when the water stages in the lake and the delta is high. The aquatic plants sustain varying levels of water in the lake and the soil types dictates the ecology of the region. Akkagoun and Dentaka are the forested areas surrounding the lake and the delta, which are home for many water birds. Algal blooms are also reported from the lake which could result in reduction of the water transparency. A sea side feeling is felt around the lake and the delta, as the air is filled with the sounds of water birds and gulls"
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000274,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000361,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2006-5#-00000268,"Overview The Government of Mali is developing this renewable energy infrastructure project under the Build-Operate-Own-Transfer (BOOT) model, in this public private partnership (PPP) arrangement"
ML-2006-5#-00000398,River Niger and the annual flood The filling of Lake Faguibine with water from the Niger River is dependent on both the height of the annual flood and the free flow of water along the complex route linking the lake to the river
ML-2001-4#-00000290,"The rising water floods varying parts of the low-level delta area, with the water rise determined by the amount of rain fallen upstream"
ML-2015-7#-00000011,"3 billion m3 of water. The lake has created benefits as well: consistent navigation downstream of the dam, irrigation of surrounding land, and a source for commercial fishing"
ML-2006-5#-00000359,"The capital will be located at Taoudénit, although the government is currently based in Timbuktu owing to the lack of infrastructure in Taoudénit"
ML-2006-5#-00000268,"Overview The Government of Mali is developing this renewable energy infrastructure project under the Build-Operate-Own-Transfer (BOOT) model, in this public private partnership (PPP) arrangement"
ML-2006-5#-00000324,See also Fana Solar Power Station Ségou Solar Power Station List of power stations in Mali References External links Project Profile Category:2020 establishments in Mali Category:Renewable energy power stations in Mali Category:Solar power stations in Mali Category:Energy infrastructure completed in 2020
ML-2018-7Z-00000347,"Mali faces numerous environmental challenges, including desertification, deforestation, soil erosion, and inadequate supplies of potable water. Health Mali faces numerous health challenges related to poverty, malnutrition, and inadequate hygiene and sanitation. CIA World Factbook In 2000, 62–65% of the population was estimated to have access to safe drinking water and only 69% to sanitation services of some kind"
ML-1996-3#-00000238,"This work had included drainage and paving around the mosque, re-rendering walls in bad condition and in one zone of the roof, replacing around 50% of the beams, above which was a heavy build-up of mud plaster"
ML-1996-3#-00000238,"While the community has kept Sidi Yahya better maintained than the two other main mosques in Timbuktu, years of erosion, wear on the foundation, and ineffective drainage threatened the structure"
ML-2001-4#-00000290,"During high water stages of the river, the delta formed by lakes, creeks, and backwaters form part of Lake Débo. It is integral to the wide river channel with its size fluctuating with variation of the water level in the lake. It also provides confirmation of the nature of blocked water and also includes the Erg of Bara region. As it is a part of the Niger River, its size varies with the fluctuation in the water level. The lake has a vast expanse of water extending on all sides. The river that is formed at the outlet of the lake has a width of for a length of downstream, where after it narrows down, gets spilled into many channels; marshy islands are formed and depth of water is in the range of. Since 1962, even a extra flow from the lake could now cause increase of water level in the Niamey area by , rising to the level. Lake Débo during high flow season when it has the maximum dimensions of water spread, is from Mopti on its upstream, on the southern end, and from Timbuktu at its downstream, on the north-eastern end. the perennial grasses grown are edible and easily digestible with botanical names of Echinochloa stagnina (a perennial plant) and Vossia cuspidata, and which grow in varying depths of water (). Another plant species that acts as barrier to sand deposition is the Vetiveria nigritiana, when the water stages in the lake and the delta is high. The aquatic plants sustain varying levels of water in the lake and the soil types dictates the ecology of the region. Akkagoun and Dentaka are the forested areas surrounding the lake and the delta, which are home for many water birds. Algal blooms are also reported from the lake which could result in reduction of the water transparency. A sea side feeling is felt around the lake and the delta, as the air is filled with the sounds of water birds and gulls"
ML-1996-3#-00000009,Between August and November the water flowing in the river generally exceeds this value allowing the plant to operate at full capacity and the excess water to pass over the weir
ML-2001-4#-00000009,A long weir just above the water fall will direct water into a channel which will feed the power house just downstream of the falls
ML-2018-7Z-00000347,"Mali faces numerous environmental challenges, including desertification, deforestation, soil erosion, and inadequate supplies of potable water. Health Mali faces numerous health challenges related to poverty, malnutrition, and inadequate hygiene and sanitation. CIA World Factbook In 2000, 62–65% of the population was estimated to have access to safe drinking water and only 69% to sanitation services of some kind"
ML-1996-3#-00000238,"This work had included drainage and paving around the mosque, re-rendering walls in bad condition and in one zone of the roof, replacing around 50% of the beams, above which was a heavy build-up of mud plaster"
ML-1996-3#-00000238,"While the community has kept Sidi Yahya better maintained than the two other main mosques in Timbuktu, years of erosion, wear on the foundation, and ineffective drainage threatened the structure"
ML-2006-5#-00000359,"The capital will be located at Taoudénit, although the government is currently based in Timbuktu owing to the lack of infrastructure in Taoudénit"
ML-2015-7#-00000011,"3 billion m3 of water. The lake has created benefits as well: consistent navigation downstream of the dam, irrigation of surrounding land, and a source for commercial fishing"
ML-2015-7#-00000161,"Mali, one of the world’s poorest nations, is greatly affected by poverty, malnutrition, epidemics, and inadequate hygiene and sanitation. This means that 12 million people in Mali do not have access to adequate sanitation and 4 million people do not have access to safe drinking water. Unsafe water drinking and poor sanitation causes over 4,000 children under age 5 to die per year from diarrhea. Regarding water development planning, research has shown that it is important to consult the women of Mali, as women are the predominant people gathering and using water"
ML-2006-5#-00000268,"Overview The Government of Mali is developing this renewable energy infrastructure project under the Build-Operate-Own-Transfer (BOOT) model, in this public private partnership (PPP) arrangement"
ML-2006-5#-00000398,River Niger and the annual flood The filling of Lake Faguibine with water from the Niger River is dependent on both the height of the annual flood and the free flow of water along the complex route linking the lake to the river
ML-2001-4#-00000290,"The rising water floods varying parts of the low-level delta area, with the water rise determined by the amount of rain fallen upstream"
ML-1996-3#-00000128,The water level has a maximum height of but varies throughout the year. When full the lake stores of water and has an area of. Category:Dams completed in 1982 Category:Energy infrastructure completed in 1982 Category:Hydroelectric power stations in Mali Category:Dams in Mali Category:Embankment dams Category:1982 establishments in Mali Category:Sikasso Region
ML-2015-7#-00000011,"The expected benefits included electricity generation, increased agricultural production through irrigation and improved river navigability. World Bank:Projects - Senegal : Regional Hydropower Development project, Implementation Completion Report, 7 January 2005 In the irrigated areas the incidence of water-borne diseases such as bilharzia increased substantially, while local fisheries declined sharply"
ML-1996-3#-00000162,"Climate The Ségou Region is characterized by a semi-arid climate (average yearly rainfall: 513 mm) and irrigated by two important waterways: the Niger and the Bani River, allowing irrigation for agriculture. Bozo people have a monopoly on the transport system because of their knowledge in the river by Niger, and are regarded as the masters of water. In the city center, the main landmark is the water tower"
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000009,"Because of the seasonal variation in the water level, navigation up to the falls was only possible for a few months after the rainy season. Over the period 1903-1980, of the water arriving at Félou each year, 13 km3 came from the Bafing, 4. The amount of water in the river during this period was highly seasonal with the highest flow rate in September and almost no flow between January and June. 3 km3 of water which is used to generate electricity during the dry season. The plant used of water (about one percent of the river) to drive a generator"
ML-1996-3#-00000009,"Because of the seasonal variation in the water level, navigation up to the falls was only possible for a few months after the rainy season. Over the period 1903-1980, of the water arriving at Félou each year, 13 km3 came from the Bafing, 4. The amount of water in the river during this period was highly seasonal with the highest flow rate in September and almost no flow between January and June. 3 km3 of water which is used to generate electricity during the dry season. The plant used of water (about one percent of the river) to drive a generator"
ML-2001-4#-00000305,Lake Banzena () in the commune of Bambara Maoudé serves as an important source of water for the elephants at the end of the dry season (April to June)
ML-2001-4#-00000305,"The commune includes Lake Banzena () which serves as an important source of water for the Gourma elephants at the end of the dry season (April to June). As a result, the World Bank is coordinating efforts to provide alternative sources of water for the cattle so that the elephants can have exclusive access to the lake"
ML-1996-3#-00000274,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2001-4#-00000361,"Prior to the 1950s, the only crossing of the Niger at Bamako was at the Sotuba Causeway, 8 kilometers downstream from the city, which is a low water crossing of cut stone at the location of a natural rapids"
ML-2006-5#-00000268,"Overview The Government of Mali is developing this renewable energy infrastructure project under the Build-Operate-Own-Transfer (BOOT) model, in this public private partnership (PPP) arrangement"
ML-2006-5#-00000398,River Niger and the annual flood The filling of Lake Faguibine with water from the Niger River is dependent on both the height of the annual flood and the free flow of water along the complex route linking the lake to the river
ML-2001-4#-00000290,"The rising water floods varying parts of the low-level delta area, with the water rise determined by the amount of rain fallen upstream"
