DHSID_EA,relevance_score,most_relevant_sentences
MM-2016-7#-00000377,1.0,"The average per capita income is more than 20,000 baht."
MM-2016-7#-00000374,2.0,"Pak Nam Krasae is a riverside community, The community is rich with natural resources and diverse in cultures."
MM-2016-7#-00000047,3.0,"1992) and  ""Global Biodiversity Hotspot,"" as a part of the Hengduan Mountain Ecosystem (Conservation International: Mittermeier and Mittermeier 1997)   Natural resources  A main source of wealth lies in its vast mineral resources; indeed, mining is the leading industry in Yunnan. Creating an adventure tourism sector would bring valuable economic resources to the economically struggling population, who had once relied on logging as income prior to it being banned due to deforestation."
MM-2016-7#-00000047,1.0,"Administrative divisions [[File:Dali Xiaguan 01.JPG|thumb|Dali's ""Xiaguan Town"", the rural county's large industrial settlement and economic, administrative, and transportation center.]]"
MM-2016-7#-00000275,1.0,"History  Prehistoric  Archaeological evidence that may have existed in prehistoric times has been found such as a polished stone ax, stone profit piece, remnants of bronze vessels that look like bowls and fragments of human bones at the archaeological site, Nai Jiw Boon Raksa at Ban Yang Subdistrict, Mueang Nakhon Pathom District. Dvaravati period  The ancient city of Nakhon Pathom began to have a settlement for at least around the 8th to 11th centuries, with great prosperity during the 13th-14th centuries and deteriorated in the 17th century."
MM-2016-7#-00000167,1.0,"Because the area of the province borders the Bay of Bangkok which is rich in plankton, they are regarded as the staple food of this fish species."
MM-2016-7#-00000393,1.0,"Chakra Phra is to invite Buddha image into a boat and paddle to various places on the water for prosperity. Local food Trang is another province rich with famous local food even receiving the nickname ""The Land of Food"" for example Mu yang (หมูย่าง), also known as Mu han (หมูหัน): a barbecue roasted piglet with crispy skin, regarded as a menu that has been influenced by Cantonese cuisine for over 100 years."
MM-2016-7#-00000167,1.0,"Every year there is a local tradition, the procession of Buddha by boat along Khlong Damnoen Saduak in late January to February from the first to the eighth milestione in Damnoen Saduak District for the waterfront community people to pay homage to the good fortune. They are considered the main income of the community. The emblem of sub-district municipality shows rowing boat of female greengrocer in Khlong Damnoen Saduak and the backdrop is Wat Lak Si Rat Samoson, that refers to ancient temple which is the foundation of culture, fruit and vegetable selling cruise means the abundance of crops and nature, while Khlong Damnoen Saduak represents the prosperity of water transportation that has been around for a long time."
MM-2016-7#-00000393,1.0,"The Thale Noi area is home to more than 5,000 families, almost all of whom rely on resource extraction or other land use within the area."
MM-2016-7#-00000374,1.0,"The provincial slogan is ""A province of ancient community, three pagodas pass, precious stones, River Kwae Bridge, minerals and waterfall resources""."
