DHSID_EA,relevance_score,most_relevant_sentences
MM-2016-7#-00000074,2.0,"It through the Longchuan county, as the major irrigation water source of the fields in the basin."
MM-2016-7#-00000302,2.0,"Whale Watching (ดูวาฬ) Duration from October to February coincides with the period of water compression (according to vernacular, ""water compression"" will take place during the time that tide in the Gulf of Thailand will spin out of Samut Songkhram and Phetchaburi Provinces."
MM-2016-7#-00000374,1.0,"Economy The province is Thailand's largest producer of water chestnuts (, ), grown mainly in Mueang Suphan Buri, Sam Chuk, and the Si Prachan Districts of the province. About half of the province's 3,000 rai of cultivated water chestnuts are found in Tambon Wang Yang of Si Prachan. The Thai dessert thapthim krop (), with water chestnuts as its main ingredient, was named one of the world's best 50 desserts in 2019 by CNN Travel."
MM-2016-7#-00000047,1.0,"The freshwater fish fauna is highly diverse with about 620 species, including more than 580 natives (the remaining are introduced). This equals almost 40% of the freshwater fish species in China. The annual water flow originating in the province is 200 cubic kilometres, three times that of the Yellow River. The rivers flowing into the province from outside add 160 cubic kilometres, which means there are more than ten thousand cubic metres of water for each person in the province. The rich water resources offer abundant hydro-energy. The poverty alleviation plan includes five large projects aimed at improving infrastructure facilities. They involve planned attempts at soil improvement, water conservation, electric power, roads, and ""green belt"" building. Upon the completion of the projects, the province hopes this will alleviate the shortages of grain, water, electric power and roads."
MM-2016-7#-00000377,1.0,Every household has electricity and water supply.
MM-2016-7#-00000377,1.0,"View of city of Nakhon Sawan seen from the temple|thumb|left|250px  Tourism Khao Kob is regarded as a viewpoint of Nakhon Sawan City, from this point, tourists can clearly see the whole city of Nakhon Sawan, including Bueng Boraphet, a largest freshwater lake in Thailand or several mountains in adjacent district Phayuha Khiri."
MM-2016-7#-00000374,1.0,"The two rivers, together with many canals (khlongs), provide enough water for rice farming. Symbols The provincial seal shows some golden ears of rice in a bowl of water."
MM-2016-7#-00000167,2.0,With several canals (khlong) the water of the river is spread through the province for irrigation.
MM-2016-7#-00000167,1.0,"Soil and water samples from the industrial area of Mueang District were found to be contaminated with high levels of arsenic, lead, cadmium, chromium, zinc, copper, and nickel. During the air pollution ""season"" of 2018–2019, PM2.5 levels exceeded the PCD's safe threshold of 50 μg/m3 for 41 days. Both refer to the old trading tradition as well as the local industries.The provincial flag is horizontally divided pink/light blue/pink (1:3:1) the provincial seal in the middle.The provincial brand is a picture of a white factory, a fishing boat, a fish and blue water and a green leaf.The provincial tree is commonly called blackboard tree or devil's tree (Alstonia scholaris)."
MM-2016-7#-00000393,1.0,Chakra Phra is to invite Buddha image into a boat and paddle to various places on the water for prosperity.
MM-2016-7#-00000167,1.0,"Geography The terrain is a drainage basin, about  to  above sea level. Administration Lak Ha was established as sukhaphiban (sanitation district) in 1956 during the government of Field Marshal Plaek Phibunsongkhram. The emblem of sub-district municipality shows rowing boat of female greengrocer in Khlong Damnoen Saduak and the backdrop is Wat Lak Si Rat Samoson, that refers to ancient temple which is the foundation of culture, fruit and vegetable selling cruise means the abundance of crops and nature, while Khlong Damnoen Saduak represents the prosperity of water transportation that has been around for a long time."
MM-2016-7#-00000280,1.0,"Geography Mueang Bang Khlang lies between two cities Si Satchanalai (upper side) and Sukhothai (lower side), it is a small town has a trapezium plan and stretches in the north to the south direction flanked by two water courses, Fa Kradan to the east and Khlong Yang that flows past in the west side."
MM-2016-7#-00000393,1.0,"Despite being called a lake, this water feature is actually a lagoon complex geologically. Here it contains brackish water about half the salinity of seawater. Just north of the very large Thale Luang (Lake Songkhla complex) in the south of the country, it is one of the few surviving intact freshwater wetland ecosystems in Thailand. ""Kuans"" are islands free of water for most of the year in the Melaleuca swamp forest. They are threatened with extinction by overfishing and pollution."
MM-2016-7#-00000388,1.0,"Renovations in 2012 and 2013 involved carefully cleaning the building, repainting the gold stencils, restoring damaged tiles and doors and windows, and repainting walls."
