DHSID_EA,relevance_score,most_relevant_sentences
MM-2016-7#-00000393,1.0,"Phuket Rajabhat University (PKRU; Thai: มหาวิทยาลัยราชภัฏภูเก็ต, pronounced: raj-cha-pat-pu-get) is a university in Thailand."
MM-2016-7#-00000047,8.0,"Literacy  By the end of 1998, among the province's population, 419,800 had received college education or above, 2.11 million, senior middle school education, 8.3 million, junior middle school education, 18.25 million, primary school education, and 8.25 million aged 15 or above, illiterate or semi-literate. As of 2000, there were 24 institutions of higher learning in Yunnan, with an enrollment of over 90,400 students and a faculty of 9,237; 2,562 secondary schools with an enrollment of more than 2,137,400 students and 120,461 teachers; and 22,151 primary schools with an enrollment of 4,720,600 pupils and a faculty of 210,507."
MM-2016-7#-00000377,5.0,"In education, Khao Kala consists of five child development centres, six primary schools, one secondary school, six public libraries, and one non-formal education centre."
MM-2016-7#-00000393,6.0,"Education  Secondary schools:  Wichienmatu School  วิเชียรมาตุ  Wichienmatu 2 School  วิเชียรมาตุ 2  Wichienmatu 3 School  วิเชียรมาตุ 3  Saparachinee School  สภาราชินี  Saparachinee 2 School  สภาราชินี 2  จุฬาภรณ์ราชวิทยาลัย  Sport School โรงเรียนกีฬาตรัง  Buranarumluk School  บูรณะรำลึก  Panyawit School ปัญญาวิทย์  Darunothai School  ดรุโณทัย  Trang vittaya School  ตรังวิทยา  Trangchristiensuksa  ตรังคริสเตียนศึกษา Wat Kaphang Surin School โรงเรียนวัดกระพังสุรินทร์ Pornsirikul School พรศิริกุล  Matayomsuksa Watkuanwisetmulaniti School มัธยมศึกษาวัดควนวิเศษ มูลนิธิ  Kantangpittayakorn School  กันตังพิทยากร  Kantangratsadasuksa School  กันตังรัษฎาศึกษา  Yantakhao Ratchanupatham School ย่านตาขาวรัฐชนูปถัมภ์  Palean padungsit School  ปะเหลียนผดุงศิษย์  Kantapittayakarn School  คันธพิทยาคาร  Sikao prachapadungvit School  สิเกาประชาผดุงวิทย์  Wangviset School  วังวิเศษ  Huayyot School  ห้วยยอด  Lampurareungvit School  ลำภูราเรืองวิทย์  Nampud School  น้ำผุด  Ratsada School  รัษฎา  Huaynang ratsadornbamrung School  ห้วยนางราษฎรบำรุง  Ratsadanupradit anusorn School  รัษฎานุประดิษย์อนุสรณ์  Nayong vittayakom School  นาโยงวิทยาคม  Sawatratanapimuk School  สวัสดิ์รัตนาภิมุข  Thungnonghang prachason School  ทุ่งหนองแห้งประชาสรรค์  Hatsumran vittayakom School  หาดสำราญวิทยาคม  Trang polytechnic School ตรังโปลีเทคนิค  Higher education:  Rajamangala University of Technology Srivijaya (Trang campus)  Prince of Songkla University (Trang campus)  Ramkhamhaeng University (Trang campus)  Suan Dusit Rajabhat University (Trang center)  Boromrajonane College of Nursing  Sirindhorn College of Public Health  Trang Technical College  Trang College of Agricultural and Technology  Trang Polytechnic College  Siam Commercial College  Healthcare  Trang Hospital (main hospital, public) Watanapat Hospital (private) Trang Ruampat Hospital (private)  Human achievement index 2017  Health Education Employment Income 95px 100px 100px 100px 57 36 62 59  Housing Family Transport Participation  100px  center|85px 100px 90px 63 56 13 54   Province Trang, with an HAI 2017 value of 0.5530 is ""low"", occupies place 63 in the ranking."
MM-2016-7#-00000167,1.0,"The emblem of sub-district municipality shows rowing boat of female greengrocer in Khlong Damnoen Saduak and the backdrop is Wat Lak Si Rat Samoson, that refers to ancient temple which is the foundation of culture, fruit and vegetable selling cruise means the abundance of crops and nature, while Khlong Damnoen Saduak represents the prosperity of water transportation that has been around for a long time. Population In December 2013, it had total population of 40,157 people (19,574 men, and 20,583 women) in 9,044 households."
MM-2016-7#-00000167,3.0,"20th century [[File:Pong Kham, Wan Yai District, Mukdahan 49150, Thailand - panoramio (3).jpg|thumb|Our Lady of Martyrs of Songkhon Basilica]] At the beginning of the 20th century, there were about 23,000 Catholic believers, 55 churches and chapels, representatives of such monastic orders, social and educational institutions (e.g., orphanages, schools and a seminary, college)."
MM-2016-7#-00000353,4.0,"Buddhist temples   Wat Phra That Doi Chom Thong,   Wat Phra Kaeo, Chiang Rai,   Wat Phra Sing, Chiang Rai,   Wat Doi Khao Khwai,   Wat Rong Khun, , a modern temple built since 1998 by Thai artist Chalermchai Kositpipat  Chedi Doi Trimoorati,  thumb|right|Chiang Rai Clock Tower in Wiang Mueang area  Education  Colleges and universities  Mae Fah Luang University  Chiang Rai Rajabhat University  Rajamangala University of Technology Lanna, Chiang Rai Campus  International schools  Chiang Rai International School  Chiang Rai International Christian School   High schools  Samakkhi Witthayakhom School   Damrongratsongkroh School Chiang Rai Witthayakhom School  Chiangrai municiplarity school 6  Chiang Rai International School  Primary schools  PSEP Bilingual School."
MM-2016-7#-00000388,1.0,"The Phra Bang has long been seen by devout Buddhists as a symbol of the right to rule Laos, as only a commendable and virtuous government deserves to be caretaker of such a sacred image."
MM-2016-7#-00000374,1.0,"See also  Mueang Kanchanaburi District  Beata Mundi Regina  Kanchanaburi Province  Kanchanaburi Rajabhat University  Visuttharangsi School, the provincial secondary school of Kanchanaburi  Siam–Burma Death Railway (film) (film)  Kanchanaburi War Cemetery  References  External links    Category:Populated places in Kanchanaburi Province Category:Cities and towns in Thailand"
MM-2016-7#-00000388,2.0,"Ke Shuxun remained in Xishuangbanna to govern with his ""13 Principles of Governing the Frontier"", which emphasized equality between Han and Dai in areas such as land ownership and taxation, allowed intermarriage between the ethnic groups and promoted education in secular and technical subjects, rather than Burmese-based monastic education."
