DHSID_EA,relevance_score,most_relevant_sentences
MW-2012-6Z-00000069,2.0,"There are many investment barriers in Malawi, which the government has failed to address, including high service costs and poor infrastructure for power, water, and telecommunications. In 2013, the Malawi Investment and Trade Centre put together an investment portfolio spanning 20 companies in the country's six major economic growth sectors, namely:  agriculture;  manufacturing;  energy (bio-energy, mobile electricity); tourism (ecolodges);  infrastructure (wastewater services, fiber optic cables, etc."
MW-2000-4#-00003053,1.0,"The lake is extremely shallow with an average depth of approximately eight feet, and during periods of dry weather the water level recedes and can even disappear."
MW-2015-7Z-00000379,1.0,"Mpatamanga HPP will differ from earlier hydro-power plants in Malawi, in that it will have a reservoir, which will allow Egenco to store water and allow for the expansion of Kapichira HPP. The reservoir will also facilitate the development of a planned irrigation scheme."
MW-2010-6#-00000236,2.0,Category:High-voltage transmission lines in Mozambique Category:High-voltage transmission lines in Malawi Category:Energy in Malawi Category:Proposed electric power transmission systems Category:Proposed electric power infrastructure in Malawi Category:Proposed electric power infrastructure in Mozambique
MW-2004-4Z-00000044,1.0,The development costs of the power station and related infrastructure is quoted as high as US$80 million. See also List of power stations in Malawi  References  External links  Malawi's Government Has Launched The Construction Of 60 Megawatts Solar Plant As It Seeks Solutions To Its Power Problems  Category:Solar power stations in Malawi Category:2021 establishments in Malawi Category:Energy infrastructure completed in 2021 Category:Renewable energy power stations in Malawi
MW-2010-6#-00000305,1.0,"Due to the water flow rates on this small river, only 1.65 megawatts could be extracted. See also   List of power stations in Malawi  References  External links Brief Description  Category:Dams in Malawi Category:Mulanje District Category:Southern Region, Malawi Category:Hydroelectric power stations in Malawi Category:2020 establishments in Malawi Category:Energy infrastructure completed in 2020 Category:Proposed renewable energy power stations in Malawi"
MW-2000-4#-00001090,3.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN."
MW-2012-6Z-00000069,2.0,"There are many investment barriers in Malawi, which the government has failed to address, including high service costs and poor infrastructure for power, water, and telecommunications. In 2013, the Malawi Investment and Trade Centre put together an investment portfolio spanning 20 companies in the country's six major economic growth sectors, namely:  agriculture;  manufacturing;  energy (bio-energy, mobile electricity); tourism (ecolodges);  infrastructure (wastewater services, fiber optic cables, etc."
MW-2000-4#-00003053,1.0,"The lake is extremely shallow with an average depth of approximately eight feet, and during periods of dry weather the water level recedes and can even disappear."
MW-2012-6Z-00000069,2.0,"There are many investment barriers in Malawi, which the government has failed to address, including high service costs and poor infrastructure for power, water, and telecommunications. In 2013, the Malawi Investment and Trade Centre put together an investment portfolio spanning 20 companies in the country's six major economic growth sectors, namely:  agriculture;  manufacturing;  energy (bio-energy, mobile electricity); tourism (ecolodges);  infrastructure (wastewater services, fiber optic cables, etc."
MW-2000-4#-00003053,1.0,"The lake is extremely shallow with an average depth of approximately eight feet, and during periods of dry weather the water level recedes and can even disappear."
MW-2000-4#-00001090,3.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN."
MW-2010-6#-00000305,1.0,"Due to the water flow rates on this small river, only 1.65 megawatts could be extracted. See also   List of power stations in Malawi  References  External links Brief Description  Category:Dams in Malawi Category:Mulanje District Category:Southern Region, Malawi Category:Hydroelectric power stations in Malawi Category:2020 establishments in Malawi Category:Energy infrastructure completed in 2020 Category:Proposed renewable energy power stations in Malawi"
MW-2015-7Z-00000379,1.0,"Mpatamanga HPP will differ from earlier hydro-power plants in Malawi, in that it will have a reservoir, which will allow Egenco to store water and allow for the expansion of Kapichira HPP. The reservoir will also facilitate the development of a planned irrigation scheme."
MW-2010-6#-00000236,2.0,Category:High-voltage transmission lines in Mozambique Category:High-voltage transmission lines in Malawi Category:Energy in Malawi Category:Proposed electric power transmission systems Category:Proposed electric power infrastructure in Malawi Category:Proposed electric power infrastructure in Mozambique
MW-2004-4Z-00000044,1.0,The development costs of the power station and related infrastructure is quoted as high as US$80 million. See also List of power stations in Malawi  References  External links  Malawi's Government Has Launched The Construction Of 60 Megawatts Solar Plant As It Seeks Solutions To Its Power Problems  Category:Solar power stations in Malawi Category:2021 establishments in Malawi Category:Energy infrastructure completed in 2021 Category:Renewable energy power stations in Malawi
MW-2012-6Z-00000069,2.0,"There are many investment barriers in Malawi, which the government has failed to address, including high service costs and poor infrastructure for power, water, and telecommunications. In 2013, the Malawi Investment and Trade Centre put together an investment portfolio spanning 20 companies in the country's six major economic growth sectors, namely:  agriculture;  manufacturing;  energy (bio-energy, mobile electricity); tourism (ecolodges);  infrastructure (wastewater services, fiber optic cables, etc."
MW-2000-4#-00003053,1.0,"The lake is extremely shallow with an average depth of approximately eight feet, and during periods of dry weather the water level recedes and can even disappear."
MW-2000-4#-00002126,1.0,"Recently, children have also been involved in briquette making and recycling projects."
MW-2012-6Z-00000069,2.0,"There are many investment barriers in Malawi, which the government has failed to address, including high service costs and poor infrastructure for power, water, and telecommunications. In 2013, the Malawi Investment and Trade Centre put together an investment portfolio spanning 20 companies in the country's six major economic growth sectors, namely:  agriculture;  manufacturing;  energy (bio-energy, mobile electricity); tourism (ecolodges);  infrastructure (wastewater services, fiber optic cables, etc."
MW-2010-6#-00000305,1.0,"Due to the water flow rates on this small river, only 1.65 megawatts could be extracted. See also   List of power stations in Malawi  References  External links Brief Description  Category:Dams in Malawi Category:Mulanje District Category:Southern Region, Malawi Category:Hydroelectric power stations in Malawi Category:2020 establishments in Malawi Category:Energy infrastructure completed in 2020 Category:Proposed renewable energy power stations in Malawi"
MW-2004-4Z-00000008,1.0,"The elevation of the mountain is high enough for it to disturb upper level air flow and induce rain clouds to form around it, making it an important source of rain water at the head of almost every river that runs through this part of Malawi."
MW-2000-4#-00001090,3.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN."
MW-2000-4#-00001090,3.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN."
MW-2010-6#-00000305,1.0,"Due to the water flow rates on this small river, only 1.65 megawatts could be extracted. See also   List of power stations in Malawi  References  External links Brief Description  Category:Dams in Malawi Category:Mulanje District Category:Southern Region, Malawi Category:Hydroelectric power stations in Malawi Category:2020 establishments in Malawi Category:Energy infrastructure completed in 2020 Category:Proposed renewable energy power stations in Malawi"
