DHSID_EA,relevance_score,most_relevant_sentences
MZ-2009-5#-00000140,2.0,"Division of Administration and Finance, which manages the basic administration, finance, and human resources, and public relations for the National Library."
MZ-2011-6#-00000477,1.0,"Remax Wildlife Properties, retrieved 15 October 2013  The area is rich in bird life, including waxbills, eagles, vultures and owls."
MZ-2009-5#-00000073,2.0,"Mozambique is endowed with rich and extensive natural resources. Many felt they had received too little opportunity or resources to upgrade their skills and improve their economic and social situation to a degree comparable to that of the Europeans. As part of their response to FRELIMO, the Portuguese government began to pay more attention to creating favourable conditions for social development and economic growth. Rebounding growth  The resettlement of civil war refugees and successful economic reform have led to a high growth rate: the country enjoyed a remarkable recovery, achieving an average annual rate of economic growth of 8% between 1996 and 2006 and between 6–7% from 2006 to 2011.World DataBank World Development Indicators Mozambique The World Bank (2013)."
MZ-2009-5#-00000073,2.0,"Facts  Area: total:  land: 786,380 km² water: 13,000 km²  Capital Maputo (Lourenço Marques)  Major Cities Matola Nampula Beira Chimoio Nacala Quelimane Tete Lichinga Pemba (Porto Amelia)  Other Cities Angoche (António Enes)  Land boundaries: total: 4,571 km border countries: Malawi 1,569 km, South Africa 491 km, Swaziland 105 km, Tanzania 756 km, Zambia 419 km, Zimbabwe 1,231 km  Coastline: 2,470 km  Maritime claims: territorial sea:  exclusive economic zone:  and   Elevation extremes: lowest point: Indian Ocean 0 m highest point: Monte Binga 2 436 m  Natural resources: coal, titanium, natural gas, hydropower, tantalum, graphite  Land use: arable land: 6.51% (2011), 5.43% (2005 est."
MZ-2015-7#-00000023,1.0,"It was only thanks to the end of the civil war, the numerous investments in the course of the gas and oil boom and the associated strong economic upturn in Mozambique that the Mozambican government was able to tackle the project. However, due to the country's massive financial and budgetary crisis, the commitment could not be fulfilled. In his opinion, the bridge would cost a seventh of the money if it were built in China. They complained about poor working conditions, wrong contracts and late salary payments."
MZ-2011-6#-00000108,1.0,"During the rectorship of Jorge Ferrão, the university acquired significant debt. The Business School offers three degrees: economics, business management, and accounting, taxation, and auditing."
MZ-2018-7Z-00000401,1.0,"In an agreement signed in August 2017 between the Diocese of Quelimane, the owner of the property, and the Bons Sinais Association, a local civic organization, it was intended for the building to be restored for Quelimane's 75-year anniversary as a city."
MZ-2015-7#-00000023,1.0,"A plaque commemorating the event was unveiled, and the president launched an campaign called ""O Património É Nosso"" (Portuguese: ""Our Heritage"") to promote the preservation of historic public assets."
MZ-2015-7#-00000203,1.0,"WHN also receives financial advice and funding assistance from Fieldstone Africa, in relation to this project. Fieldstone Africa is an independent investment bank and financial services provider in energy and infrastructure on the Continent."
MZ-2009-5#-00000111,1.0,"Lingbao B2B  China - Lingbao   168  360  2005  Thyr   Supplier: NR(Protection&Control), Extension project 2010:  Supplier: ABB;C-EPRI Electric Power Engineering Co.,Ltd  Lamar Co., Colorado B2B  USA - Lamar, CO  63.6  210  2005  Thyr  Supplier: Siemens; Combination of B2B HVDC & Grid Power Flow Controller (GPFC) Higashi-Shimuzu B2B  Japan - Shimuzu   125  300  2006  Thyr     Sharyland B2B  USA - Mission, TX   21  150  2007  Thyr     Al Fadhili B2B  Saudi Arabia - Al Fadhili   222  3x600  2008  Thyr Used mainly for Dynamic Reserve Power Sharing rather than economic energy transfer."
MZ-2015-7#-00000203,1.0,"WHN also receives financial advice and funding assistance from Fieldstone Africa, in relation to this project. Fieldstone Africa is an independent investment bank and financial services provider in energy and infrastructure on the Continent."
MZ-2011-6#-00000115,1.0,"Being a coastal island its main source of income was the illegal shipment of slaves, which allowed for the enrichment of the aristocratic classes of the Nyapakho clan."
MZ-2011-6#-00000253,1.0,"Mozambican authorities argued they had not guaranteed the debt and therefore should not be liable for the payments. Related economic activities Most of the electricity generated by Cahora Bassa, which is located on the Zambezi River in western Mozambique, is sold to nearby South Africa."
MZ-2011-6#-00000545,1.0,"The United States Trade and Development Agency (USTDA), granted funding to EleQtra to finance a feasibility study for this wind farm."
MZ-2011-6#-00000197,1.0,These activities have generated a wealth of local knowledge about the Mountain that is yet to be explored in association with the growing interest on Mabu. RADEZA created committees of natural resources management in the four communities mentioned and six more.
MZ-2009-5#-00000111,1.0,The evicted native people were not given compensation for their loss of property.
MZ-2011-6#-00000544,1.0,"Sparta was used as a hunting farm until 1971 when Charles Varty's two sons, Dave Varty and John Varty, shifted the focus of the property to ecotourism and photographic safaris instead of hunting. The property was renamed 'Londolozi,' a Zulu word meaning 'Protector of all living things'."
MZ-2011-6#-00000544,1.0,"thumb|180px|right|Ulusaba Private Game Reserve logo Ulusaba Private Game Reserve, owned by Sir Richard Branson as part of the Virgin Limited Edition luxury property portfolio, consists of about 13,500 ha of land set in the heart of the Sabi Sand Private Game Reserve."
MZ-2009-5#-00000073,2.0,"Mozambique is endowed with rich and extensive natural resources. Many felt they had received too little opportunity or resources to upgrade their skills and improve their economic and social situation to a degree comparable to that of the Europeans. As part of their response to FRELIMO, the Portuguese government began to pay more attention to creating favourable conditions for social development and economic growth. Rebounding growth  The resettlement of civil war refugees and successful economic reform have led to a high growth rate: the country enjoyed a remarkable recovery, achieving an average annual rate of economic growth of 8% between 1996 and 2006 and between 6–7% from 2006 to 2011.World DataBank World Development Indicators Mozambique The World Bank (2013)."
MZ-2009-5#-00000073,2.0,"Facts  Area: total:  land: 786,380 km² water: 13,000 km²  Capital Maputo (Lourenço Marques)  Major Cities Matola Nampula Beira Chimoio Nacala Quelimane Tete Lichinga Pemba (Porto Amelia)  Other Cities Angoche (António Enes)  Land boundaries: total: 4,571 km border countries: Malawi 1,569 km, South Africa 491 km, Swaziland 105 km, Tanzania 756 km, Zambia 419 km, Zimbabwe 1,231 km  Coastline: 2,470 km  Maritime claims: territorial sea:  exclusive economic zone:  and   Elevation extremes: lowest point: Indian Ocean 0 m highest point: Monte Binga 2 436 m  Natural resources: coal, titanium, natural gas, hydropower, tantalum, graphite  Land use: arable land: 6.51% (2011), 5.43% (2005 est."
MZ-2011-6#-00000003,1.0,"Airlines and destinations  Accidents and incidents On 8 January 1974, Douglas VC-47B 6161 of the Força Aérea Portuguesa crashed at Vila Cabral Airport and was damaged beyond economic repair."
MZ-2015-7#-00000036,1.0,"Airlines and destinations  Accidents and incidents On 21 April 1988, Douglas C-47A N47FE of African Air Carriers was damaged beyond economic repair in a take-off accident."
MZ-2011-6#-00000115,1.0,"It is also worth mentioning the importance of coconut and cashew trees in the coastal zone's production system, either as a product that guarantees food security or as a source of income for rural families. Fishing in the district is more focused on shrimp, to the detriment of other species and valuable resources consisting of lobster, squid, octopus and crab. Mineral Resources  Like other districts in the country, Angoche has enormous potential in different types of mineral resources, among others."
MZ-2015-7#-00000084,2.0,Angónia is a plateau and relatively rich in agricultural and animal resources with very arable soils.
MZ-2009-5#-00000032,2.0,Most people have small subsistence farms because they receive irregular salaries.
MZ-2018-7Z-00000210,1.0,It is regarded as the economic capital of Gaza Province.
MZ-2018-7Z-00000505,1.0,"Edison 15:04, 24 April 2007 (UTC)  Well, a keeper also has the desireable property that it shunts the external magnetic field (so the magnet in your pocket doesn't suck any nearby screwdrivers into your thighs or other important co-located anatomical bits). So the question is: Is the position in space and time of an object a property of that object? In the semantic or database sense, the position at a point in time is a property of an object."
MZ-2018-7Z-00000505,1.0,"The caldera is largely composed of carbonatites, rich in both blue and yellow fluorite."
MZ-2011-6#-00000197,1.0,These activities have generated a wealth of local knowledge about the Mountain that is yet to be explored in association with the growing interest on Mabu. RADEZA created committees of natural resources management in the four communities mentioned and six more.
MZ-2009-5#-00000111,1.0,The evicted native people were not given compensation for their loss of property.
MZ-2011-6#-00000544,1.0,"Sparta was used as a hunting farm until 1971 when Charles Varty's two sons, Dave Varty and John Varty, shifted the focus of the property to ecotourism and photographic safaris instead of hunting. The property was renamed 'Londolozi,' a Zulu word meaning 'Protector of all living things'."
