DHSID_EA,relevance_score,most_relevant_sentences
MZ-2015-7#-00000042,3.0,"In addition, 10 have university teaching posts (five male and five female)."
MZ-2011-6#-00000551,3.0,"As of 2015, the university consists of around 40,000 students, of which around 3,300 are pursuing postgraduate courses   Notable alumni   Mari Alkatiri, The first Prime Minister of Timor Leste  U. Aswathanarayana, Honorary Director of the Mahadevan International Centre for Water Resources Management, India  Mia Couto, Mozambican author, poet, journalist, and biologist  See also Education in Mozambique  References  External links   Enrollment Data Southern African Regional Universities Association    Category:Education in Maputo Category:Forestry education Category:Educational institutions established in 1962 Category:1962 establishments in Mozambique Category:Association of African Universities"
MZ-2015-7#-00000304,2.0,"The school follows the International Baccalaureate (IB) Learner's programme, including both the Primary and Middle Year Programmes, and the IB Diploma programme, which is offered to students in grades 11 and 12 in preparation for universities worldwide. As of 2015 the school has almost 600 students from almost 52 countries, with 20% each from the U.S. and Mozambique and the remainder from other countries. Retrieved on May 3, 2015.  Notable alumni Jannah Sonnenschein (born 1996) - Dutch–Mozambican swimmer  References  External links   American International School of Mozambique  Category:Schools in Maputo Category:International schools in Mozambique Category:American international schools in Africa"
MZ-2015-7#-00000304,2.0,The tree roots represent the school's educational philosophy and are a reference to some verses from works of Luís de Camões.
MZ-2015-7#-00000304,2.0,"The school follows the International Baccalaureate (IB) Learner's programme, including both the Primary and Middle Year Programmes, and the IB Diploma programme, which is offered to students in grades 11 and 12 in preparation for universities worldwide. As of 2015 the school has almost 600 students from almost 52 countries, with 20% each from the U.S. and Mozambique and the remainder from other countries. Retrieved on May 3, 2015.  Notable alumni Jannah Sonnenschein (born 1996) - Dutch–Mozambican swimmer  References  External links   American International School of Mozambique  Category:Schools in Maputo Category:International schools in Mozambique Category:American international schools in Africa"
MZ-2015-7#-00000304,2.0,The tree roots represent the school's educational philosophy and are a reference to some verses from works of Luís de Camões.
MZ-2011-6#-00000548,3.0,The school teacher Pfeffer and Tregardt’s wife Martha were first to perish from malaria.
MZ-2015-7#-00000042,3.0,"In addition, 10 have university teaching posts (five male and five female)."
MZ-2011-6#-00000108,3.0,"Lúrio offers degree programs in 21 disciplines, enrolling 1,430 total students, including both undergraduate and postgraduate students. By 2013, the university had 192 professors and 1,430 students. As of 2008, the university had 43 faculty, of which 46.5% were women, and a student-to-faculty ratio of 17:1. The university is aiming to reach 80% of its faculty having a master's degree or higher, and its ideal is to have 70% of the faculty with master's degrees and 30% with doctorates."
MZ-2018-7Z-00000401,1.0,"Per the agreement, the Catholic diocese would retain ownership of the cathedral, which would become a cultural and educational center."
MZ-2009-5#-00000073,3.0,"There are also institutes that give more vocational training, specialising in agricultural, technical or pedagogical studies, which students may attend after grade 10 in lieu of a pre-university school."
