DHSID_EA,relevance_score,most_relevant_sentences
NG-2018-7Z-00000528,2.0,"During the 2016 edition celebrated in a 'lowkey', the Kaduna State government promised a partnership with the Gworok community in development tourism in the area, in a bid to opening up avenues for income generation and employment creation."
NG-2013-6Z-00000575,1.0,"They further recommended that a provisional council be established to ""draw upon the technical and consultative resources available throughout the world for help in planning the institution"". The provisional council, authorised by the Eastern Nigeria Legislature, was appointed by the Governor in Council in April 1959, and given necessary financial and administrative powers to build a sound university. Most of the projects are nearing completion, but it is pertinent to note that some too, have fallen short of completion due to lack of finances and the Government's reluctance to fund private research."
NG-2008-5#-00000814,1.0,"The capital city is Asaba, located at the northern end of the state, with an estimated area of , while Warri is the economic nerve center of the state and also the most populated. Past & present administrations 300px|thumb|Legislative house Ifeanyi Okowa - 29 May 2015 to date (PDP) Emmanuel Uduaghan - 29 May 2007 to 29 May 2015 (PDP) James Ibori - 29 May 1999 to 29 May 2007 (PDP) Walter Feghabo - 12 August 1998 to 29 May 1999 (Military) John Dungs - 22 August 1996 to 12 August 1998 (Military) Ibrahim Kefas - 26 September 1994 to 22 August 1996 (Military) Bassey Asuquo - 10 December 1993 to 26 September 1994 (Military) Abdulkadir Shehu - 17 November 1993 - 10 December 1993 (Military) Luke Chijiuba Ochulor - 28 August 1991 - January 1992 (Military) Felix Ibru - January 1992 - November 1993 (SDP)  Local Government Areas  Delta State consists of 25 Local Government Areas (shown with 2006 population figures):   Delta Central Senatorial District  1,575,738   Delta North Senatorial District  1,293,074   Delta South Senatorial District  1,229,282 Ethiope East  200,942    Aniocha North 104,062   Bomadi  86,016 Ethiope West  202,712    Aniocha South  142,045    Burutu  207,977 Okpe  128,398    Ika North East  182,819    Isoko North  143,559 Sapele  174,273    Ika South  167,060    Isoko South  235,147 Udu  142,480    Ndokwa East  103,224    Patani  67,391 Ughelli North  320,687    Ndokwa West  150,024    Warri North  136,149 Ughelli South  212,638    Oshimili North  118,540    Warri South  311,970 Uvwie  188,728    Oshimili South  150,032    Warri South West  116,538       Ukwuani  119,034       Local Governments/languages Languages of Delta State listed by LGA:   LGA  Languages Aniocha North   Igbo Aniocha South  Igbo Burutu  Izon Bomadi  Izon Ethiope East  Urhobo, Ethiope West  Urhobo Ika North  Ika Ika South  Ika Isoko North  Isoko Isoko South  Isoko Ndokwa East  Ukwuani Isoko Ndokwa West  Ukwuani Oshimili North  Igbo Oshimili South  Igbo Okpe  Urhobo Patani  Izon, Urhobo Sapele  Urhobo,  Udu  Urhobo, Ughelli North  Urhobo Ughelli South  Urhobo Ukwuani  Ukwuani Uvwie  Urhobo,  Warri North  Itsekiri, Izon Warri South  Urhobo, Itsekiri,Izon Warri South West  Izon, Itsekiri   Natural resources   There are various solid mineral deposits within the state - industrial clay, silica, lignite, kaolin, tar sand, decorative rocks, limestone, etc. Godwin Emefiele present CBN Governor Olorogun O'tega Emerhor, Nigerian financial industry leader and politician."
NG-2008-5#-00000251,2.0,"Staff salaries were reduced rapidly in cost-of-living terms, and funding for facilities, library acquisitions, and other necessary resources was abruptly curtailed."
NG-2010-6#-00000101,2.0,His wealth is owed to Kano's commercial prosperity during this period. The city maintains its economy and business even in the 21st century with it producing the richest man in Africa—Aliko Dangote—whose great grand father Alhassan Dantata was the richest West African in the mid 20th century.
NG-2018-7Z-00000957,2.0,"They are reputed for their resourcefulness and highly mobilized for economic development and political integration within the State and the Nigerian federation...  Culture Abak's rich cultural heritage is reflected through traditional dances such as Ekpe, Ekpo, Idiongitals, etc, though majority are of the Christian faith."
NG-2008-5#-00000321,1.0,It was believed that the closure of the airport would cause hardship for international and local air travellers alike.
NG-2003-4Z-00000123,1.0,"The student population has risen from 88 students in 2000 to about 15,000 students.the chancellor is Aliko Dangote   Courses and programs   Agricultural Economics and Extension Agricultural Engineering   Agricultural and Science Education  Animal Science   Architecture  Automotive Engineering   Biochemistry   Biology  Chemistry  Civic Engineering  Computer Science Crop Science   Education and Biology  Education and Chemistry  Education and Geography   Education and Mathematics   Education and Physics   Electrical Engineering   Environment Engineering  Forestry, Fisheries and Wildlife   Food Science and Technology  Geography  Geology  Health Education  Information and Communication Technology  Library and Information Science  Mathematics  Mechanical Engineering   Mechatronics Engineering   Microbiology   Physics  Science Libratory Technology  Statistics  Soil Science    Urban and Regional Planning  Water resources and Environment engineeringKUST Courses My school list."
NG-2010-6#-00000205,1.0,"The first attempt at privatising Egbin Power plant was in May 2007 when KEPCO Energy Resources offered to pay $280 million to acquire 51 per cent shares of the company. In early March 2016, the plant's management warned that it may have to close due to financial strains."
NG-2008-5#-00000493,1.0,"The Polytechnic Ibadan is also well known for its unique slogan written in Yoruba language as ""Ise loogun Ise"" which means 'Work (is) the medicine for poverty', a classical Yoruba adage  which stresses that hard work is the way out of poverty.thumb|Polyibadan   Curriculum  The institution offers a wide range of specialized short courses for the purpose of improving the vocational capabilities of technical and commercial workers."
NG-2013-6Z-00000830,1.0,"After the conquest of wild animals with greater security of life, farming activities expanded and Olipakala settlement enjoyed period of peace and prosperity. They were consulted on the matter of war and for the general prosperity of the town. The person of Ologere was regarded as the fountain of honour conferred chieftaincies and other honours on worthy sons and daughters of Ogere who must have made substantial contributions towards the economic, social and political growth of the community or have distinguished themselves in their respective professions that the Oba can be proud of them."
NG-2013-6Z-00000425,1.0,"Pre-colonial history Illo was one of the Northern Borgu Kingdoms, small but wealthy, and it fought a number of wars with its neighbors in the nineteenth century including the Samba War and conflicts with Gwandu of the Sokoto Caliphate.Adekunle, Julius."
NG-2018-7Z-00001224,1.0,CEO of NSIA also remarked that the Cancer Treatment Centre would service LUTH by improving “economic potential of healthcare investments in Nigeria” and it would “increase private sector participation”.
NG-2013-6Z-00000744,1.0,"Its main function is to advise the government on important policy issues, particularly those relating to the economic development of the state. Tamunopriye Nnah, Research Officer Mrs. Ruth C. Boms, Principal Confidential Secretary  References  External links Official website  Category:Government agencies established in 2007 Category:2007 establishments in Nigeria Category:2000s establishments in Rivers State Category:Organizations based in Port Harcourt Category:Economy of Rivers State Economic Advisory Council Category:Think tanks based in Nigeria Category:Political and economic think tanks based in Africa"
NG-2008-5#-00000378,2.0,"The Zambarama people (mostly traders) are frequent in  the market center every week and The district is largely rural, with approximately 90% of the population engaged in local agriculture hence subsistence agriculture is the economic norm in the Tatale Sangule district."
NG-2003-4Z-00000332,1.0,"The Rivers State Ministry of Water Resources and Rural Development (RSMWRRD) is a government ministry of Rivers State, Nigeria entrusted with the management of water resources and promotion of socio-economic development of rural areas in the state. Mandate To formulate water resource policies and monitor the implementation of such policies in the state. To source, analyse, store and disseminate information on the water resource data in the state. To set standards, regulate, supervise and control the use of all water resources in the state."
NG-2003-4Z-00000332,1.0,"The Rivers State Ministry of Commerce and Industry is a government ministry of Rivers State, Nigeria that is charged with the responsibility of dealing with matters that have to do with commerce, industry and cooperative, as well as to accelerate the economic and commercial development of the state."
NG-2003-4Z-00000332,1.0,"The Rivers State Ministry of Culture and Tourism is a government ministry of Rivers State, Nigeria entrusted with the formulation and implementation of policies to promote culture and tourism with a view to stimulating economic growth in the state. Vision The Ministry of Culture and Tourism states that its vision (and mission) is:  To promote the diverse cultural heritage of Rivers’ people and to identify and develop the tourism potentials of the State as a means of  job creation, wealth generation as well inculcating pride and dignity in our local art work and cultural values. To reawaken interest and active participation of all stakeholders in the development of Rivers State culture towards economic well being of the people."
NG-2003-4Z-00000332,1.0,"The Rivers State Ministry of Energy and Natural Resources is a government ministry of Rivers State, Nigeria in charge of monitoring, controlling and regulating activities related to energy and natural resources in the state. See also  List of government ministries of Rivers State  Energy and Natural Resources Rivers State Category:Ministries established in 2003 Category:2003 establishments in Nigeria Category:2000s establishments in Rivers State Category:Natural resources ministries Category:Energy in Rivers State"
