DHSID_EA,relevance_score,most_relevant_sentences
NP-2006-5#-00003601,1.0,"The river has a long historical background and is seen as a sign of love and affection as well as the barrier to brotherhood. Dudhpokhari is the symbolic lake of peace in Nepali history which had played vital role to stop a fight between two brothers, the kings of Lamjung and Gorkha."
NP-2016-7Z-00000117,1.0,"It is a popular belief that the water spring that fills the ponds originates all the way from Gosainkunda, which is located 43 kilometers north of Kathmandu. One day he struck his wooden pole into the ground and discovered a water source. Lalit showed the king where he found the water source and the king pronounced that a hiti (हिटी) (meaning tap) should be placed there. Another story tells of a man who lost his water vessel on a pilgrimage who found it again at the Kumbheshwar. The word Kumbha in Kumbheshwar means ""water vessel"". The fact that there is a water source from the Himalayan mountains (Gosainkunda) at Kumbheshwar may yet be another contributing factor."
NP-2006-5#-00004201,1.0,"It is about 20 mins walk south from Marpha town on the Annapurna trekking route from Pokhara to Jomsom in the Dhaulagiri zone, on the left bank of the Kali Gandaki river reached by a small footbridge from the main road south of Marpha, and about 1.5hours walk north of Tukuche village, signposted to Chimang.. Religious art  The original wall paintings in both chapels are blackened with dirt and smoke from centuries of burning butter lamps and incense and have also suffered significant damage from water seepage."
NP-2006-5#-00004201,1.0,The left wing was found submerged in the river.
NP-2016-7Z-00000324,1.0,"Geology The region is high mountains, cut into by glaciers and deep, precipitous river valleys."
NP-2006-5#-00002701,1.0,"There is a beautiful water tap complete with decorative statue in the area, which dates back to the fourth century."
NP-2001-4#-00001103,1.0,"thumb|Everest Base Trek Route Map from Nepal side|right|350px From Lukla, climbers trek upward to the Sherpa capital of Namche Bazaar, , following the valley of the Dudh Kosi river."
NP-2016-7Z-00000123,3.0,"People have been using bottled mineral water, water from tank trucks and from the ancient dhunge dharas () for all the purposes related to water."
NP-2016-7Z-00000207,2.0,"In the other direction, it is divided into three major river systems, east to west: Koshi, Gandaki/Narayani and Karnali (including the Mahakali along the western border), all tributaries of the Ganges river. Water for irrigation is especially compelling because the Indian Terai is suspected to have entered a food bubble where dry season crops are dependent on water from tube wells that in the aggregate are unsustainably ""mining"" groundwater. cit.|url=http://www.ipcs.org/pdf_file/issue/SR95.pdf}}</ref>   Area   Total:   Land:   Water:    Coastline  0 km (landlocked)    Elevation extremes  Lowest point: Kechana Kawal, jhapa district 59 m  Highest point: Sagarmatha (Mount Everest) 8,848 m   Resources and land use   Natural resources Quartz, water, timber, hydropower, scenic beauty, small deposits of lignite, copper, cobalt, iron ore  Land use  Arable land: 16.0%  Permanent crops: 0.8%  Other: 83.2% (2001)  Irrigated land  11,680 km² (2003) Nearly 50% of arable land  Total renewable water resources  210.2 km3 (2011)   Land cover  alt=Land cover map of 2010|thumb|450px|A land cover map of Nepal using Landsat 30 m (2010) data."
NP-2006-5#-00006201,3.0,"7, 04125, 2005 Past the dam, the waters of the lake plunge over a  tall waterfall."
NP-2001-4#-00002203,1.0,"It is on the slope below the China–Nepal Friendship Highway and above the Matsang river in Nyalam County, Tibet.Dorje (1999), p. 304."
NP-2011-6#-00000907,1.0,"From the Arun river valley in the southeast, located at altitudes of , elevation gains about  to the peak of Makalu. The region above  comprises mainly rock and ice with little vegetation."
NP-2001-4#-00002703,2.0,"The kalasha rests on a stone base which covers an underground natural water spring, from which water oozes out from the edges of the base. The water which flows from the spring in the well of the temple is believed to be vaginal discharge, likely amniotic fluid, or waters of Vajravarahi."
NP-2016-7Z-00000158,2.0,"Some of Nepal's urban areas now experience inadequate drinking water supply, haphazard disposal of solid waste and human waste, and uncontrolled urban development.Tara Goan Development. Other programs include, the development of recreational trails, development of settlements, improved foot trails, development of drinking water and irrigation facilities, establishing an international school of tourism and training local youths regarding cultural heritage."
NP-2001-4#-00003003,1.0,"Etymology The word besi in the Nepali language means lowlands in the river basin, the reason many people settled here. It is a small town along the banks of two rivers, Arun Khola and Thopal Khola (Khola means a small river in Nepali)."
NP-2001-4#-00002703,1.0,"This ""extensive Hindu temple precinct"" is a ""sprawling collection of temples, ashrams, images and inscriptions raised over the centuries along the banks of the sacred Bagmati river"" and is included as one of the seven monument groups in UNESCO's designation of Kathmandu Valley. Legend says that Lord Shiva and Parvati once took the form of an antelope and sported unknown in the forest on the Bagmati river's east bank. More complications ensued, but ultimately Lord Shiva announced that, since he had lived by the Bagmati river in a deer's form, he would now be known as Pashupatinath, Lord of all animals. Facing West, North, East, South and Zenith respectively representing five primary elements namely earth, water, air, light and ether.Encyclopaedia of Saivism , Swami P. Anand, Swami Parmeshwaranand, Publisher Sarup & Sons, , , page 206 Each face has tiny protruding hands holding rudraksha mala on right hand and a kamandalu on the other. Entry thumb|The western entrance of main temple courtyard thumb|Pandra Shivalaya and ghat (viewpoint for tourist from adjacent side of river Bagmati, East of the main temple) The temple courtyard has four entrances in the cardinal directions. Others can look at the main temple from the adjacent side of the river and have to pay a nominal fee of $10 (1000 Nepali rupees) for visiting the hundreds of small temples located in the external premises of the temple complex."
NP-2006-5#-00004201,1.0,Geography  Kora La is situated on the drainage divide between the Yarlung Tsangpo and Ganges river basins.
NP-2011-6#-00000607,2.0,"It comprises extensive mudflats, reed beds, and freshwater marshes in the floodplain of the Sapta Kosi River, and ranges in elevation from 75 to 81 m (246 to 266 ft). It hosts Nepal's last remaining herd of the wild water buffalo (Bubalus arnee)   Amha Wetland  The Amha Wetland (अम्हा शिम्सर ) is natural pond (small lake) situated in Barahakshetra 3."
NP-2001-4#-00003502,1.0,"White water rafting is the main attraction in the area. Trishuli River, which is one of the famous river for White Water Rafting in the country, flows in between Dhusha (Dhading District) and Ghyalchowk VDC (Gorkha District)."
NP-2016-7Z-00000271,3.0,"[[File:Rapti River Bridge Dang.jpg|thumb|254x254px|West Rapti river (ancient Achirvati river), one of the five sacred river of Buddhism, has its source near Rukumkot in the Mahabharata range]] Among many lakes, Rukmini Lake has been the centerpeice in the district."
NP-2006-5#-00004301,2.0,They were faced with an ice plateau leading to a snow ridge and then an  cliff of mixed ice and rock rising up to the top of the mountain.
NP-2016-7Z-00000320,1.0,"This places is located in the confluence of Loohre and Karnali river, at the level of 544 meters from the sea level. This campusphere is located near the Karnali highway in Karnali river and Larkakhola's turbulence. Even though his health condition was weak, despite of the continuation, in 1935, he met a saint named Sagar Giri on the banks of Karnali river."
NP-2011-6#-00006003,1.0,"Previously, as Shirsthan and Nabhisthan, there used to be flame over water."
