DHSID_EA,relevance_score,most_relevant_sentences
NP-2001-4#-00003205,1.0,"Demographics  According to normal population and housing census 2011,the total population of this village is 4949.male population is 2616 and female population is 2333."
NP-2006-5#-00001002,1.0,One of the first schools of Nepal was established in this region in 1879 AD. One of the first schools of Nepal was established in this region in 1879 AD.
NP-2011-6#-00002204,1.0,"The community is served by a high school named ""Shree Kshetrawati Higher Secondary School"" at Peepal Daada, Majhgaun."
NP-2016-7Z-00000033,2.0,"Education alt=one of praivet school of rajgadh|thumb|Gyan Jyoti Higher Secondary School Rajgadh's literacy rate is average, compared to other VDCs."
NP-2006-5#-00002708,2.0,"The patron of the institute is Madhav Prasad Baral, who is also the academic in charge and similarly vice principal is Pranita Sharma Baral.The school offers science and management courses, primarily focusing on science. The institute is a part of a larger NIST Foundation which has multiple other branches which offer education from the secondary level up to the graduate levels."
NP-2001-4#-00005102,1.0,"Passengers and crew According to Civil Aviation Authority of Nepal official Ram Hari Sharma, everybody on board, except for one Danish passenger, was Nepalese, including a child."
NP-2006-5#-00004201,3.0,"From summer 2012 to autumn 2013 attended mainstream education at the primary school of the adjacent Tibetan camp, learning Nepali, Tibetan and English."
NP-2016-7Z-00000358,1.0,"After exacting his vengeance, Mahadev started to mourn his wife."
NP-2016-7Z-00000136,1.0,"He also opened a shedra, a monastic college in February 2010."
NP-2016-7Z-00000123,2.0,"Trichandra College (the first college of Nepal), Durbar High School (the first modern school of Nepal), and Bir Hospital (the first hospital of Nepal) were built in Kathmandu during this era. Kumari, or Kumari Devi, is the tradition of worshipping young pre-pubescent girls as manifestations of the divine female energy or devi in South Asian countries. Education   The oldest modern school in Nepal, the Durbar High School, and the oldest college, the Tri-Chandra College, are both in Kathmandu. The largest (according to number of students and colleges), the oldest and most distinguished university in Nepal the Tribhuvan University, located in Kirtipur. Every year thousands of students from all over Nepal arrive at Kathmandu to get admission in the various schools and colleges. The reason for such an outflux range from perceived low quality of education, political instability, fewer opportunities in the job market, opportunities for earning while learning abroad and better job prospects with an international degree. Medical colleges   Institute of Medicine, the central college of Tribhuvan University is the first medical college of Nepal and is in Maharajgunj, Kathmandu."
NP-2001-4#-00001103,1.0,"It was the Rongbuk Lama who gave Namgyal Wangdi the name Ngawang Tenzin Norbu, or Tenzing Norgay, as a young child."
NP-2016-7Z-00000207,1.0,"Nepali is taught in schools and often spoken in government offices, however, the local population mostly uses Maithali, Bhojpuri and Tharu languages. Clearing for resettlement and agriculture expansion also causes deforestation as does urban expansion, building infrastructure such as schools, hospitals, electric transmission lines, water tanks, police and army barracks, temples and picnic areas."
NP-2016-7Z-00000128,1.0,"According to the reports, about 93 people died including two police officers and a 12-year-old child in the stampede. Major sports events  1997 SAFF Football Championship (4–13 September 1997)  1999 South Asian Games  2012 AFC Challenge Cup (8–19 March 2012)  2013 SAFF U-16 Championship (20–30 July 2013)  2013 SAFF Championship (31 August – 11 September 2013)  2019 South Asian Games (1 – 10 December)  Major music and cultural events  Bryan Adams – live in concert by JPR events (19 February 2011)  Atif Aslam – live in concert (2013)  See also All Nepal Football Association Nepal national football team Nepal women's national football team Nepal national under-17 football team Nepal national under-20 football team Nepal Super League  References  Category:Football venues in Nepal Category:Athletics (track and field) venues in Nepal Category:Multi-purpose stadiums in Nepal Category:Sports venues in Kathmandu Category:Sports venues completed in 1956 Category:1956 establishments in Nepal Category:Taekwondo venues"
NP-2001-4#-00002203,1.0,"In the cave is an impression in the rock attributed to Milarepa's sitting meditation posture and a handprint said to have been created when Milarepa helped Rechungpa (1083/4–1161 CE), his student, use a boulder to prop up the ceiling."
NP-2016-7Z-00000271,1.0,"Shibalaya, a temple to Shiva on the northern shore of Rukmini Taal, was built by Purna Kumari, the wife of a Prime Minister of the Rana Dynasty."
NP-2011-6#-00000907,1.0,"This area has been designated as a Strict Nature Reserve, the first in Nepal, in order to protect natural ecosystems and processes in an undisturbed state for scientific study, environmental monitoring, education and the maintenance of genetic resources."
NP-2001-4#-00003002,1.0,"The ascent was most notable for the presence of a woman, Claude Kogan, in the summit party, which was very rare at the time."
NP-2001-4#-00002703,1.0,"When Shiva was insulted by his father in law (i.e., Daksha), his wife Sati Devi was so angry that she jumped into the flames of  the yagya (a ritual involving offerings to a sacred fire)."
NP-2016-7Z-00000158,1.0,"A team consisting of a priest, a woman, and a porter crosses the bridge over the Punyamati River to worship the Gods. This cleansing of the old town through a vast number of networks, allowed to initiate the creation of many new schools. Other programs include, the development of recreational trails, development of settlements, improved foot trails, development of drinking water and irrigation facilities, establishing an international school of tourism and training local youths regarding cultural heritage."
NP-2006-5#-00006601,1.0,"In 1935, a Viennese student, Herbert Tichy, disguised as an Indian pilgrim, made a trip to the holy mountain Kailash."
NP-2006-5#-00000303,2.0,"There are other institute which provides higher education such as Adarhsa HSS, Modern Campus, Ilam Technical college, Heritage National Academy, Ilam Vidya Mandir etc. Green Valley Academy which provides secondary level education is regarded as one of the best school in eastern Nepal due to its high-ranking SLC result."
NP-2016-7Z-00000118,3.0,"Undergraduate programs  The undergraduate programs offered in Pulchowk Campus are:   Bachelor of Civil Engineering   Bachelor of Computer Engineering  Bachelor of Mechanical Engineering  Bachelor of Aerospace Engineering   Bachelor of Electronics, Communication and Information Engineering  Bachelor of Electrical Engineering  Bachelor of Chemical Engineering  Bachelor of Architecture   Bachelor of Civil Engineering (BCE) (192 Seats)  The Civil Department is the oldest department at Pulchowk Campus, and is the largest department by number of students and faculty members."
NP-2001-4#-00002703,1.0,"Bhatta or Bhatt are the one who performs the daily ritual and can touch the lingam, whereas Bhandaris are the helper and temple caretaker priests who are not qualified to perform pooja rituals or to touch the deity. They can have little or no Vedic knowledge but still qualify as assistant priests if they belong from the same family lineage and undergo some basic criteria like caste, gotra, lineage purity, educational qualification, etc. It is celebrated by Hindu Nepali women for long life, happiness of their husband. It is believed that taking fasting at that day will make strong bond between the husband and wife."
NP-2016-7Z-00000224,3.0,"Library studies form a part of the school curriculum, in the course of which all students learn the positive use and exploitation of the library and its materials."
NP-2006-5#-00001601,1.0,"It is one of the big market of siraha district where people from different place comes here for buying clothes, goods, house making equipments, banking services, education and soon."
