DHSID_EA,relevance_score,most_relevant_sentences
PE-2009-5Z-00000241,2.0,"Demographics  Despite being located in a department that holds a large portion of Peru's mineral wealth, seventy percent of the population of Puña live in poverty, with the majority of households earning less than $100 USD monthly in 2021."
PE-2009-5Z-00000954,2.0,"The main economic activity of the approximately 800 families on the island is farming, with fishing and tourism augmenting the subsistence economy."
PE-2009-5Z-00000682,1.0,"In the 19th century, it was a very fashionable beach resort for the Limeño aristocracy, and many people used to spend the summer here and in neighboring Chorrillos."
PE-2009-5Z-00000217,1.0,This equates to nearly half a billion dollars in today's money.
PE-2000-4#-00000518,1.0,"A study of the lines using hydrogeology and tectonics shows that many of the lines are utilitarian features born out of the need to harness and manage freshwater resources in a desert environment, and reflect the general movement of surface water downslope.http://impacttectonics.org/2020/2020%20Nazca%20Tectonics%20and%20Hydrogeology.html  Alternative explanations right|thumb|Satellite picture of an area containing lines: north is to the right (coordinates: ) Other theories were that the geometric lines could indicate water flow or irrigation schemes, or be a part of rituals to ""summon"" water. Pitluga never laid out the criteria for selecting the lines she chose to measure, nor did she pay much attention to the archaeological data Clarkson and Silverman had unearthed."
PE-2000-4#-00001161,1.0,It is the economic powerhouse of the region.
PE-2000-4#-00000115,1.0,Attractions Abancay is the capital and most important economic and political center.
PE-2009-5Z-00000551,1.0,Lambayeque () is a department and region in northwestern Peru known for its rich Moche and Chimú historical past.
PE-2000-4#-00000939,1.0,"Since the region was very rich in rubber and it became so expensive, it turned into the center of attention and ambitions in the world."
PE-2000-4#-00000982,1.0,"Economy, natural resources and environment Madre de Dios depends heavily on natural products and raw materials for its economy. The local population is integrated into conservation initiatives as well as economic cycles."
PE-2009-5Z-00000831,1.0,"High quality alfalfa as well as fruits, especially grapes, are produced here, due to a good climate and a rich soil. The illiteracy rate in the region is 10%."
PE-2009-5Z-00000900,1.0,"Natural resources and wildlife  Piura is a land of unique algarrobo trees, a variety of mesquite similar to the carob, and it is the region with the most equatorial tropical dry forests in the whole Pacific. Piura also produces bananas, coconuts, rice and other fruits as local income. Like many Peruvians, they enjoy drinking chicha de jora, pisco or beer and many of them have a tendency towards creativity and art as their source of income."
PE-2000-4#-00001189,1.0,"The water resources are taken from the Lake Titicaca, 50 lagoons and more than 300 rivers."
PE-2009-5Z-00001040,2.0,"Provinces The provinces, with their capitals in parenthesis, are:  Candarave (Candarave)  Jorge Basadre (Locumba)  Tacna (Tacna)  Tarata (Tarata)  Economy Tacna's primary income earner is copper mining."
PE-2009-5Z-00001085,1.0,"Despite its small area— it is the second-smallest region in Peru—  Tumbes has a great variety of ecosystems: mangroves, Tumbes–Piura dry forests, the only coastal tropical forests in Peru, and a rich and warm sea."
PE-2009-5Z-00001131,1.0,"The illiteracy rate in the region is 14.2%  Political division The department is divided into 4 provinces (, singular: provincia), which are composed of 14 districts (distritos, singular: distrito)."
PE-2000-4#-00000055,2.0,Its coast is rich in fishing resources and it is the most productive fishing region of Peru (Peru is the world's largest exporter of fish meal).
PE-2009-5Z-00000943,1.0,"The economy is based on fishing, terraced farming horticulture based on potato cultivation and tourist-generated income from the approximately 40,000 tourists who visit each year."
PE-2009-5Z-00000971,1.0,"One small group people, descendants of Armenians, Jews, and Germans have the higher education and economic rate in the city; many of their members emigrated from Moyobamba to other areas and are very active in politics, economy, trade and education in largest cities of Peru (like Lima, Trujillo, Arequipa, Ica and Chiclayo)."
PE-2000-4#-00001343,1.0,"The area between the Guayas River and the Estero Salado forms a maze of islands, some of which have been transformed into slums."
PE-2000-4#-00000756,1.0,"During the day, Shining Path forces in Lima conducted attacks against police stations and smaller financial institutions in order to disperse the police and clear the way for the main attack."
PE-2000-4#-00001343,1.0,It was constructed between 1915 and 1965.  thumb|upright=1.2|A converted bus serving as a self-propelled passenger car The railway used to be of general economic significance for many decades.
