DHSID_EA,relevance_score,most_relevant_sentences
PE-2000-4#-00000398,2.0,"The mine is owned by the Doe Run Peru S.R.L.. On 10 July 2019, the mine was the site of a tailings dam breach of 67,488 cubic metres of water."
PE-2009-5Z-00000954,3.0,"Lake Titicaca (;  ; ) is a large, deep, freshwater lake in the Andes on the border of Bolivia and Peru, often called the ""highest navigable lake"" in the world. This drop is caused by shortened rainy seasons and the melting of glaciers feeding the tributaries of the lake.Carlos Valdez: Lake Titicaca at dangerously low level – website of the Sydney Morning Herald (accessed 2009-11-28)Lake Titicaca evaporating away (video) – report by al Jazeera (accessed 2009-11-28) Water pollution is also an increasing concern because cities in the Titicaca watershed grow, sometimes outpacing solid waste and sewage treatment infrastructure. Ecology [[File:Lake Titicaca Frog 1.JPG|thumb|left|Two Telmatobius species occur in the lake, the smaller, more coastal marbled water frog (pictured, at Isla del Sol) and the larger, more deep-water Titicaca water frog.Cossel, Lindquist, Craig, and Luthman (2014)."
PE-2000-4#-00000094,1.0,"1970 earthquake  thumb|right|Photograph taken after the 1970 avalanche showing the buried towns of Yungay and Ranrahirca  On 31 May 1970, the Ancash earthquake caused a substantial part of the north side of the mountain to collapse in an avalanche with an estimated  of ice, mud and rock, measured about . It advanced about  at an average speed of , burying the towns of Yungay and Ranrahirca under ice and rock, killing more than 20,000 people."
PE-2000-4#-00001343,1.0,"Like Everest, Chimborazo is also known for climbing; its climb demands skill and is often on black ice, so crampons and other high-tech climbing equipment are required. Glaciers thumb|290px|Chimborazo from the south The top of Chimborazo is completely covered by glaciers, with some north-eastern glacier arms flowing down to 4,600 m. Its glacier is the source of water for the population of the Bolivar and Chimborazo provinces of Ecuador. Chimborazo glacier's ice mass has decreased over the past decades, which is thought by some to be due to the combined influences of global warming, ash covers from recent volcanic activity of Tungurahua, and the El Niño phenomenon. As on other glaciated Ecuadorian mountains, Chimborazo's glacial ice is mined by locals (the so-called Hieleros from Spanish Hielo for Ice) to be sold in the markets of Guaranda and Riobamba. In earlier days, the people transported ice for cooling uses down to coastal towns such as Babahoyo or Vinces. It temporarily dammed the Río Chambo, causing an ephemeral lake. In many dialects of Quichua or Quechua, ""chimba"" means ""on the other side"" as in ""on the other side of the river"" or ""on the opposite bank."" Also, ""razu"" means ""ice"" or ""snow."" The climb is often on black ice, so crampons and other technical climbing equipment are required."
PE-2000-4#-00000518,5.0,"A study of the lines using hydrogeology and tectonics shows that many of the lines are utilitarian features born out of the need to harness and manage freshwater resources in a desert environment, and reflect the general movement of surface water downslope.http://impacttectonics.org/2020/2020%20Nazca%20Tectonics%20and%20Hydrogeology.html  Alternative explanations right|thumb|Satellite picture of an area containing lines: north is to the right (coordinates: ) Other theories were that the geometric lines could indicate water flow or irrigation schemes, or be a part of rituals to ""summon"" water."
PE-2000-4#-00001161,1.0,"Its capital is the city of Puno, which is located at the edge of Lake Titicaca, the world's highest navigable lake."
PE-2000-4#-00000089,3.0,"Alpamayo (possibly from Quechua allpa earth, mayu river,Teofilo Laime Ajacopa, Diccionario Bilingüe Iskay simipi yuyayk'ancha, La Paz, 2007 (Quechua-Spanish dictionary) ""earth river"") or Shuyturaju (possibly from Ancash Quechua huytu, shuytu oblong, slim and long, Quechua rahu snow, ice, mountain covered in snow)homepage.ntlworld.com/robert_beer  Robert Beér, Armando Muyolema, Dr. Hernán S. Aguilar, Vocabulario comparativo, quechua ecuatoriano - quechua ancashino - castellano - English, Brighton 2006 is one of the most conspicuous peaks in the Cordillera Blanca of the Peruvian Andes."
PE-2000-4#-00000115,1.0,"Also, there are cockfights and the traditional ride to the lake Paqucha, for good trout fishing. The whole town of Antabamba is invited to dance, drink, eat or to the bullfights and horse racing."
PE-2000-4#-00000207,1.0,"From a hydrographic point of view, the rivers draining its territory belong mainly to the Pacific watershed."
PE-2000-4#-00000559,1.0,"Lake Junin, the largest lake entirely within Peru, is located in the region, except for its northernmost tip which belongs to the Pasco Region."
