DHSID_EA,relevance_score,most_relevant_sentences
PE-2009-5Z-00000954,1.0,"A few small stores sell basic goods, and a health clinic and six schools are found. Guests typically take food staples (cooking oil, rice, etc., but no sugar products, as they have no dental facilities) as a gift, or school supplies for the children on the island. The women exclusively make yarn and weave."
PE-2000-4#-00000175,2.0,"Early efforts to gather funds were largely organized by the university, which organized several fund-raisers by giving volunteering students lottery tickets to sell throughout the city."
PE-2009-5Z-00000176,1.0,"The San Cristóbal of Huamanga National University (in Spanish, Universidad Nacional de San Cristóbal de Huamanga) is a public university located in the city of Ayacucho (formerly known as Huamanga) in southern Peru. The university was established in 1677 by Cristóbal de Castilla y Zamora, the Catholic archbishop of La Plata o Charcas. The government of Perú reopened it in 1959 as a national university. In the 1960s, the university became a breeding ground for communist organizations, including the Shining Path. This group, led by philosophy professor Abimael Guzmán, started there before growing into a violent guerrilla movement that conducted a bloody campaign against the government of Perú and against rival leftists groups. The rector of the university is Homero Ango Aguilar, a biologist."
PE-2000-4#-00000518,1.0,"In March 2012, the university announced that it would open a new research center at the site in September 2012, related to a longterm project to study the area for the next 15 years."
PE-2000-4#-00000115,1.0,"+Religion in Apurímac Religion   PercentageNumberCatholicism77.9%256,430Evangelical17.7%58,404Other2.4%7,798Irreligious2%6,525   Literacy  80.8% (324,938) of the population is literate and 19.2% (77,347) of the population is illiterate. In Andahuaylas, women and men dance in groups day and night."
PE-2000-4#-00000207,1.0,"+Religion in Arequipa (2017) ReligionPercentageNumberCatholicism83.3%983,652Evangelical6.3%74,582Other6.1%72,330Irreligious4.3%50,278   Literacy  In 2017, 91.5% (1,274,358) of the population was literate and 8.5% (118,691) of the population was illiterate."
PE-2000-4#-00000384,1.0,"The following table shows the results concerning the language learnt first in the department of Huancavelica by province:inei.gob.pe  INEI, Peru, Censos Nacionales 2007   Province Quechua Aymara Asháninka Another native language Spanish Foreign language Deaf or mute TotalAcobamba51,3384911108,261 -7859,747Angaraes40,669  627710,922   -5651,723Castrovirreyna4,093141314,168   -7318,352Churcampa33,025274198,542 312741,747Huancavelica73,340117281359,544 4157133,203Huaytara5,670134316,218 22821,938Tayacaja63,95091231533,900 124298,222Total272,0853737870151,55510761424,932%64.030.090.020.0235.670.000.18100.00  Education  The National University of Huancavelica is the only university in the region and it has branches in Pampas, Lircay, Acobamba and Castrovirreyna. Notable natives  Lina Medina, world's youngest mother   Authorities   Governor: Rubén Alva Ochoa (2015–2018)   See also   Aknuqucha  Chunta mountain range  Chuqlluqucha  Inka Wasi  Urququcha  Warmiqucha   Sources    External links   Official regional site Official municipal site    Huancavelica"
PE-2000-4#-00000939,1.0,"Demographics  Loreto is home to many Amazonian indigenous peoples such as the Amhuacas and the Urarina.Dean, Bartholomew 2009 Urarina Society, Cosmology, and History in Peruvian Amazonia, Gainesville: University Press of Florida     Languages  According to the 2007 Peru Census, the mother tongue of most of the residents was Spanish (92.51%). The following table shows the mother tongue of the people of the Loreto Region by province:inei.gob.pe INEI, Peru, Censos Nacionales 2007   Province Quechua Aymara Asháninka Another native language Spanish Foreign language Deaf or mute TotalAlto Amazonas367161512,81181,9287 	14695,290Datem del Marañón1,73613820,01422,3291 	4344,144Loreto548984,618 	50,7951 	7956,058 	M. Ramón Castilla49730134,41144,08338 	4449,116Maynas2,612140804,466446,809266 	427454,800Requena296161,44957,561- 	6459,125Ucayali10115245,74849,835 	5 	5555,783Total5,89022916453,517	753,340 	318 	858814,316		%0.72 	0.020.036.5792.510.040.11100.00  Local customs Festivities  First week of January."
PE-2009-5Z-00000831,3.0,"Education  Secondary education has been attended by 33.3% of the population and 5.5% also have graduated from non-university higher education, while 4.3% have complete university studies."
PE-2009-5Z-00001040,1.0,"A singular and moving civic patriotic act in which the women of Tacna carry the red and white Peruvian flag through the streets of the city. Later, various associations, groups of students, and the armed and police forces take part in a parade that ends in the main square, where the Arch of the Heroes is located."
PE-2009-5Z-00001085,3.0,"Secondary education has been completed by 31.8% of the population and 4.5% also have graduated from non-university higher education, while 2.3% have complete university studies."
PE-2009-5Z-00001131,3.0,"Education Secondary education has been attended by 29% of the population and 2.3% also have graduated from non-university higher education, while 1.7% have complete university studies."
PE-2009-5Z-00001046,1.0,"Geography and demography According to the 2002 census by the National Statistics Institute (INE), the province spans an area of  and had a population of 186,488 inhabitants (92,487 men and 94,001 women), giving it a population density of ."
PE-2000-4#-00000055,1.0,"As archaeologist Julio C. Tello put it, ""Chavín was the mother of all the cultures that later bloomed in the old Peru."" +Ethnicity in Ancash (2017) EthnicityPercentageNumberMestizo54.9%478,312Quechua35.3%307,965White5.9%51,268Afro-Peruvian3.2%27,953Other0.7%5,671AymaraNegligible852   Religion  +Religion in Ancash (2017) ReligionPercentageNumberCatholicism76.9%686,511Evangelical15.5%138,659Irreligious4.6%41,411Other3%26,641   Literacy  As of 2017, 85.3% (923,542) of the population is literate and 14.7% (158,839) of the population is illiterate."
PE-2009-5Z-00000943,1.0,"The mother earth (Pachamama), the principal Andean deity, directly controls harvesting and fertility; the island is home to four Apus, Andean mountaintop deities."
PE-2009-5Z-00000971,2.0,"One small group people, descendants of Armenians, Jews, and Germans have the higher education and economic rate in the city; many of their members emigrated from Moyobamba to other areas and are very active in politics, economy, trade and education in largest cities of Peru (like Lima, Trujillo, Arequipa, Ica and Chiclayo)."
PE-2000-4#-00000756,2.0,"This attack was used as a justification for the La Cantuta massacre two days later on 18 July, in which nine students and one teacher at the National University of Education Enrique Guzmán y Valle, Shining Path suspects, were kidnapped and disappeared during the night by members of the Grupo Colina death squad."
PE-2009-5Z-00001046,2.0,The university was created in 1981 from the former campus of the University of Chile in Iquique.
PE-2009-5Z-00001046,1.0,"University of Tarapacá () is a university in Arica, Chile. It is a derivative university part of the Chilean Traditional Universities. The university publishes Revista Chungará a journal on anthropology and archaeology."
