DHSID_EA,relevance_score,most_relevant_sentences
PH-2017-7#-00000435,1.0,"The building was then converted into Yeh Shih-tao Literature Memorial Hall which was opened on 11 August 2012 by the Bureau of Cultural Affairs of the city government to commemorate and pay tribute to Yeh Shih-tao, a Tainan-born Taiwanese literature legend and writer."
PH-2017-7#-00000585,1.0,"Proposed marine park The marine areas surrounding Capones Island as well as portions of the adjacent coastline of barangays Pundaquit and San Miguel rich in fish and coral reefs currently has no special protection. It is also the aim of the program to provide alternative sources of livelihood to local fishermen, such as tourism."
PH-2017-7#-00000435,1.0,"Libraries and digital resources In 2014, the academy library joined the Taiwan Academic E-book and Database Consortium."
PH-2017-7#-00000435,1.0,"Due to its location at the southern tip of Qimei Island, the lighthouse is used not only for navigation, but also for fishery resources."
PH-2017-7#-00000435,1.0,History Chen Jhong-he was a rose to prominence during the end of Qing Dynasty and early Japanese rule of Taiwan which made him one of the most important entrepreneur and wealthy businessman.
PH-2008-5#-00000052,1.0,"History  Edsa Shangri-La, Manila opened on August 28, 1992; it was the first Shangri-La property in the Philippines."
PH-2017-7#-00000435,1.0,"CRM failure Among the plausible explanations of the cause of the crash is a failure in crew resource management (CRM) A steep trans-cockpit authority gradient may have meant that the First Officer did not challenge, intervene, or correct the Captain's mistakes."
PH-2003-4#-00000564,1.0,"Official declaration Section 3 of “The Cultural Properties Preservation and Protection Act” states that a “National Cultural Treasure is a unique object found locally, possessing outstanding historical, cultural, artistic and/or scientific value which is significant and important to this country and nation.” This prestigious recognition marks the first ever inclusion of an educational institution among the ranks of National Cultural Treasures, with the majority of structures being churches and the rest being terrestrial landmarks, intangible cultural property and movable objects."""
PH-2003-4#-00000564,1.0,"Official Declaration Section 3 of “The Cultural Properties Preservation and Protection Act” states that a “National Cultural Treasure is a unique object found locally, possessing outstanding historical, cultural, artistic and/or scientific value which is significant and important to this country and nation.” This prestigious recognition marks the first ever inclusion of an educational institution among the ranks of National Cultural Treasures, with the majority of structures being churches and the rest being terrestrial landmarks, intangible cultural property and movable objects.” As heritage sites, they will be accorded protection and recognition, giving importance to their witness of 400 years of tumultuous Philippine history."
PH-2008-5#-00000594,1.0,"The clashes caused the displacement of more than 100,000 people, the occupation of several barangays (villages) by the MNLF, the deaths of several civilians, the closure of the Zamboanga International Airport, and a reduction of economic activity in the city."
PH-2008-5#-00000319,2.0,"First was to acquire the 5-hectare property at the University of the Philippines in Diliman, which would substantiate the seminary's relationship with the university (which was also founded by the Presbyterians).The second option was to purchase a property in a nearby province south of Manila."
PH-2017-7#-00000435,2.0,"In October 1988, the land of the old mosque were sold and the money they received was used to finance the construction of the new mosque."
PH-2003-4#-00000625,1.0,"In January 2017, Petron announced that it plans to establish a public market in a property within the site of the former oil depot."
PH-2017-7#-00000435,1.0,"However, due to financial difficulties, the construction was temporarily halted until May 1989 before it proceeded again until its completion in August 1990."
PH-2017-7#-00000435,1.0,"After confirming the location at the building, Kaohsiung Mayor Frank Hsieh and his team searched for financial support and subsidy from the Executive Yuan and finally obtained subsidy from the Ministry of the Interior and Council for Cultural Affairs."
PH-2017-7#-00000416,1.0,"It was named after its location within barangay Poro and is the site of Poro Point Freeport Zone, a special economic zone established since 1993."
PH-2008-5#-00000010,1.0,"The forged documents they sell include IDs, receipts, driver's licenses, diplomas, employment references, and even theses, pilot's licenses, and seaman's certificates."
PH-2008-5#-00000106,1.0,"He and his brothers also raised money for the Jews' transport to Manila and established shelters and schools. The programs which Mashav prioritize today include poverty alleviation, empowerment of women, education services, assistance in agricultural methods, and other humanitarian projects."
PH-2003-4#-00000576,1.0,"It was later renamed in recognition of the World Health Organization, a United Nations agency, whose building was built in 1959 in the former University of the Philippines property located at its southwest corner with Taft Avenue."
PH-2008-5#-00000365,1.0,Climbers register and pay the fee at the barangay hall where guides are also available for hire. Villagers make their livelihood by manufacturing bamboo products.
PH-2017-7#-00000435,1.0,"Geography The reservoir can contain 9,790,000 m3 of water as the main water resource of Chiayi City."
PH-2003-4#-00000564,1.0,Among the measures undertaken at this period of uncertainty was the introduction of two-year technical courses to supplement the regular courses being offered and in anticipation of an economic recovery. An example is the functional literacy program for non-literate adults and semi-literate which include basic literacy training and livelihood training skills.
PH-2017-7#-00000818,1.0,"""Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century."
PH-2017-7#-00000435,1.0,"Exhibitions The museum houses the private collections of the school president and comprises approximately 4,000 pieces of ancient Chinese coins and paper money."
PH-2017-7#-00000435,2.0,"Exhibitions  Gallery A This gallery represents Penghu's marine ecology and resources with selected themes, such as the history of Penghu's marine culture, the evolution of marine lives, an introduction to Penghu's coral resources, the geology and topology of Penghu and the representation of Penghu's tidal flat."
PH-2017-7#-00000302,1.0,"In the scene, a Filipina woman, Marta, was being chased by two policemen from the Manila Police District until she reaches a dead end: a narrow alleyway in a nearby slum."
PH-2008-5#-00000460,2.0,"East of the islands is the Visayan Sea, which is a rich fishing ground and source of livelihood for people living in the region."
PH-2017-7#-00000606,1.0,Hacienda de San Juan de Imus The early fathers were preoccupied with not just religious matters but also of economic concerns. The friars gradually bought parcels of land while some of these lands were donated by rich families. Citizens of Imus were required to pay rent to live and tilled the lands of Imus.
PH-2017-7#-00000853,1.0,"The IT complex has been certified as an information technology park by the Philippine Economic Zone Authority (PEZA), granting locators perks such as tax holidays and duty-free importation of equipment among others.http://www.abs-cbnnews.com/business/05/06/11/megaworld-builds-iloilo-business-park  Megaworld is setting aside a 9.7-hectare lot for the boutique hotel and commercial district which is being offered to interested business owners."
