DHSID_EA,relevance_score,most_relevant_sentences
PH-2003-4#-00000290,1.0,"History The name Calagnaan comes from dagna or lagna, which is the Visayan word for water springs several of which can be found on the island."
PH-2017-7#-00000435,1.0,Its water is clear and unpolluted.
PH-2017-7#-00000435,1.0,History The water tower was constructed in the 1960s. The existing water piping is painted and transformed into installation art to accentuate the theme of the park.
PH-2017-7#-00000435,1.0,"The Farglory Ocean Park () or Hualien Ocean Park is a water theme park in Yanliao Village, Shoufeng Township, Hualien, Taiwan."
PH-2003-4#-00000579,1.0,The fountain was installed in a  diameter pool and the 222 RGB LED lamps light up the water in various colors.
PH-2017-7#-00000271,1.0,The mall has its disaster resilient features which include expansion joints for mitigating earthquake damage and rainwater catchment basin for prevention of flood within its perimeter and surrounding community.
PH-2008-5#-00000594,1.0,"They have also seized 5 water vessels, one motor launch and four jungkungs (motorboat)."
PH-2017-7#-00000435,1.0,"The third floor is the guest room, youth activity center, office and kitchen."
PH-2017-7#-00000435,1.0,"In 1919, the Japanese colonial government constructed a dam to generate hydroelectric power, causing the lake's water level to rise."
PH-2017-7#-00000308,1.0,"The rectory had a kitchen, two brick chimneys, four rooms and offices. Over time, the painting had developed some discolorations and acquired dirt and insect excrement."
PH-2003-4#-00000625,1.0,"In July 2010, the leak of the underground pipeline of the First Philippine Industrial Corporation (FPIC), which carries oil from the oil refineries in the province of Batangas to Pandacan, caused the contamination of water bed table at the basement of West Tower Condominium in Bangkal in Makati."
PH-2008-5#-00000106,1.0,"The government also reconstructed buildings, restored water supply, and set up a field hospital to provide immediate medical response such as delivery of babies, perform surgeries and treatment of more than 2,800 victims."
PH-2017-7#-00000435,1.0,The lake has water all year round but it changes levels according to the seasons.
PH-2017-7#-00000435,2.0,"Geography The reservoir can contain 9,790,000 m3 of water as the main water resource of Chiayi City."
PH-2017-7#-00001154,1.0,The falls are cascades of cold water that plunges into a natural pool.
PH-2017-7#-00000302,1.0,"Government investment has focused largely on infrastructure improvements, with the circle last being renovated in 2006, and a bike lane connecting it to the Paraiso ng Batang Maynila opening in 2012."
PH-2017-7#-00000435,1.0,"Water Square offers 20-minute-long ""water dances"" several times a day."
PH-2017-7#-00000435,1.0,"thumb|SWCB Nantou Branch  The Soil and Water Conservation Bureau (SWCB; ) is the agency of the Council of Agriculture of the Taiwan (ROC) with the main tasks of soil and water conservation, watershed management and erosion control."
PH-2017-7#-00000435,3.0,"Unit 1 was operating at full power on 25 March 2005 when the reactor tripped on low-low water level in steam generator C. Prior to the trip, the high water level alarm in steam generator C was triggered when the water level kept rising and the main feedwater control valve did not respond to manual intervention."
PH-2017-7#-00000302,1.0,Replacement of main water tank with 2 new tanks in Assumption Building.
PH-2017-7#-00000435,1.0,Design The layout of the storage trenches was designed to the surrounding topography and ground water table. See also   List of power stations in Taiwan  Nuclear power in Taiwan  References  Category:1980 establishments in Taiwan Category:Buildings and structures in Taitung County Category:Energy infrastructure completed in 1980 Category:Nuclear power in Taiwan Category:Radioactive waste repositories
PH-2003-4#-00000141,1.0,"It overlooks four bodies of water – Taal Lake, Balayan Bay, Laguna de Bay and Manila Bay."
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  List of coal power stations  Electricity sector in Taiwan   References   Category:2002 establishments in Taiwan Category:Buildings and structures in Hualien County Category:Coal-fired power stations in Taiwan Category:Energy infrastructure completed in 2002
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  List of coal power stations  Electricity sector in Taiwan  References  Category:1982 establishments in Taiwan Category:Buildings and structures in Kaohsiung Category:Coal-fired power stations in Taiwan Category:Energy infrastructure completed in 1982
PH-2017-7#-00000435,1.0,"The cooling system for the plant comes directly from the sea water with a total usage amount of 200,000 tons per day. See also   List of power stations in Taiwan  List of coal power stations  Electricity sector in Taiwan  References  Category:1999 establishments in Taiwan Category:Buildings and structures in Yunlin County Category:Coal-fired power stations in Taiwan Category:Energy infrastructure completed in 1999"
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  Electricity sector in Taiwan  References  External links   Talin power station at SourceWatch  Category:1969 establishments in Taiwan Category:Buildings and structures in Kaohsiung Category:Coal-fired power stations in Taiwan Category:Energy infrastructure completed in 1969
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  List of natural gas power stations  Electricity sector in Taiwan  References  Category:1983 establishments in Taiwan Category:Buildings and structures in Miaoli County Category:Energy infrastructure completed in 1983 Category:Natural gas-fired power stations in Taiwan Category:Oil-fired power stations in Taiwan
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  Electricity sector in Taiwan  References  Category:2003 establishments in Taiwan Category:Buildings and structures in Chiayi County Category:Energy infrastructure completed in 2003 Category:Natural gas-fired power stations in Taiwan
PH-2017-7#-00000435,4.0,"Awards The power plant won the 2006 Water Conservation Outstanding Performance Awards for its effort in implementing water saving at the plant, especially in the recycling and reusing of boiler drain water and waste water."
PH-2017-7#-00000435,1.0,The installed capacity of the power plant is 980 MW.http://www.tepco.co.jp/en/press/corp-com/release/betu04_e/images/040329e1.pdf   See also    List of power stations in Taiwan  Electricity sector in Taiwan   References   Category:2004 establishments in Taiwan Category:Buildings and structures in Tainan Category:Energy infrastructure completed in 2004 Category:Natural gas-fired power stations in Taiwan
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  Electricity sector in Taiwan  References  Category:1982 establishments in Taiwan Category:Buildings and structures in Taitung County Category:Energy infrastructure completed in 1982 Category:Oil-fired power stations in Taiwan
PH-2017-7#-00000435,1.0,See also    List of power stations in Taiwan  Electricity sector in Taiwan   References   Category:2009 establishments in Taiwan Category:Buildings and structures in Changhua County Category:Energy infrastructure completed in 2009 Category:Natural gas-fired power stations in Taiwan
PH-2017-7#-00000435,1.0,See also   List of power stations in Taiwan  Electricity sector in Taiwan  References  Category:2004 establishments in Taiwan Category:Buildings and structures in Changhua County Category:Energy infrastructure completed in 2004 Category:Natural gas-fired power stations in Taiwan
PH-2017-7#-00000435,1.0,See also    List of power stations in Taiwan  Electricity sector in Taiwan   References   Category:2000 establishments in Taiwan Category:Buildings and structures in Penghu County Category:Energy infrastructure completed in 2000 Category:Oil-fired power stations in Taiwan
PH-2008-5#-00000018,1.0,"The mall is characterized by alfresco areas punctuated with water features and landscaping. These water features flow into pools at the Trinoma Park, a green area that sits atop the mall. The Park also houses a stage, surrounded by pools of water, for performances and shows."
PH-2003-4#-00000232,1.0,"Powerful secondary explosions followed immediately, and by 06:00 Maya was dead in the water and listing heavily to port. Wreck On 19 April 2019, researchers aboard  announced they had located the wreck of Maya in around  of water."
