DHSID_EA,relevance_score,most_relevant_sentences
PH-2003-4#-00000290,1.0,"History The name Calagnaan comes from dagna or lagna, which is the Visayan word for water springs several of which can be found on the island."
PH-2008-5#-00000547,1.0,"Aquaculture  The main and only cash crop for the locals living on the islet is guso (Eucheuma cottonii) which is a seaweed, which is grown in the shallow waters of the Danajon Bank, upon which the islet sits."
PH-2017-7#-00000435,2.0,"Geography The lake is the largest alpine lake in Taiwan, located at an altitude of 1,900 meters."
PH-2017-7#-00000435,1.0,"The Meihua Lake or Plum Blossom Lake () is a lake in Dongshan Township, Yilan County, Taiwan. History The lake was originally named Dapi Lake. Geography There is a small island sits at the center of the lake with a suspension bridge connecting to the circular trail. The lake also has a cycling trail around its perimeter."
PH-2017-7#-00000435,1.0,History The water tower was constructed in the 1960s. The existing water piping is painted and transformed into installation art to accentuate the theme of the park.
PH-2017-7#-00000435,1.0,"The Farglory Ocean Park () or Hualien Ocean Park is a water theme park in Yanliao Village, Shoufeng Township, Hualien, Taiwan."
PH-2003-4#-00000579,1.0,The fountain was installed in a  diameter pool and the 222 RGB LED lamps light up the water in various colors.
PH-2017-7#-00000271,1.0,The mall has its disaster resilient features which include expansion joints for mitigating earthquake damage and rainwater catchment basin for prevention of flood within its perimeter and surrounding community.
PH-2008-5#-00000594,1.0,"They have also seized 5 water vessels, one motor launch and four jungkungs (motorboat)."
PH-2017-7#-00000435,3.0,"In 1919, the Japanese colonial government constructed a dam to generate hydroelectric power, causing the lake's water level to rise."
PH-2017-7#-00000435,1.0,The lake is the habitat for aquatic animals and plants.
PH-2003-4#-00000625,1.0,"In July 2010, the leak of the underground pipeline of the First Philippine Industrial Corporation (FPIC), which carries oil from the oil refineries in the province of Batangas to Pandacan, caused the contamination of water bed table at the basement of West Tower Condominium in Bangkal in Makati."
PH-2017-7#-00000416,1.0,"The southern side of the peninsula contains the 65.5-hectare Greek-inspired Thunderbird Resort with white-sand beaches, a nine-hole golf course and an artificial lake completed in 2008."
PH-2008-5#-00000106,1.0,"The government also reconstructed buildings, restored water supply, and set up a field hospital to provide immediate medical response such as delivery of babies, perform surgeries and treatment of more than 2,800 victims."
PH-2017-7#-00000435,2.0,The lake has water all year round but it changes levels according to the seasons.
PH-2008-5#-00000365,2.0,"Mount Tagapo, also known as Susong Dalaga mountain, is a conical peak on the lake island of Talim on Laguna de Bay, the largest lake in the Philippines."
PH-2017-7#-00000435,3.0,"Geography The reservoir can contain 9,790,000 m3 of water as the main water resource of Chiayi City."
PH-2017-7#-00001154,1.0,The falls are cascades of cold water that plunges into a natural pool.
PH-2017-7#-00000435,1.0,"Gallery B This gallery represents the development of local fisheries with several featured themes, including traditional fishing outfits, life in a fishing village, the development of fishing vessels, types of Penghu's fisheries, the distribution and harvest methods of the economic aquatic products in the waters around Penghu, and what it is like under the sea."
PH-2008-5#-00000111,1.0,The road gradually pulls away from the river at this point as it continues on a straight path to Chino Roces Avenue and A.P.
