DHSID_EA,relevance_score,most_relevant_sentences
PK-2006-5#-00000358,1.0,"Barani Foundation  The Board of Governors (BoG) of the Barani Foundation has constituted an Executive Committee to make and implement policies concerning academic, financial and operational matters."
PK-2017-7#-00000512,1.0,"However the Hunzas went on strike asking for more food, clothes and pay and a reduction in their loads from  to . They were dismissed and, indeed, five of them left without pay. Ertl took a photograph of Buhl showing the hardship he had suffered ""This famous portrait, arguably one of the most iconic in mountaineering history, was taken as Buhl made his descent""."
PK-2006-5#-00000229,1.0,"PVI is committed for the development of livestock in the province and this sector is passing through a process of changing in accordance with the dynamics of production, healthcare, food security, human resource development and trainings of farmer’s community."
PK-2006-5#-00000498,1.0,"However, due to malpractices by college administration in later years, many sons of rich landlords availed this opportunity as they were unable to get in through competitive examinations."
PK-2017-7#-00000032,1.0,"The population in 1901 was 5,578 and the income and expenditure during the ten years ending 1902–3 averaged Rs. In 1903-04 the income and expenditure were Rs."
PK-2006-5#-00000006,3.0,"Kholian Bala Kot Najeebullah Kotehrra Kundi Lalogali Landarmang Mankrai Maqsood Najafpur Nara Amaz Pandak Panian Pind Hasham Khan Pind Kamal Khan Pharhari Qazipur Rehana Sarai Saleh Serai Niamat Khan Sikandarpur Sirikot Sarian Bajwala Sirya Tarbela Tofkian   Provincial Assembly   Member of Provincial Assembly  Party Affiliation  Constituency  Year Akbar Ayub Khan Pakistan Tehreek-e-Insaf PK-40 Haripur-I2018 Arshad Ayub Khan Pakistan Tehreek-e-InsafPK-41 Haripur-II 2018 Faisal ZamanIndependentPK-42 Haripur-III 2018  Natural resources The area is rich in natural resources and contains two reservoirs, the Tarbela Dam and Khanpur Dam."
PK-2017-7#-00000431,1.0,History NUST was established in 1991 by merging military and civil educational resources. The concept of establishing NBC is to help the Government and people of Balochistan in the development of human resources by producing a quality workforce in the fields of Civil engineering and computer sciences.
PK-2006-5#-00000885,1.0,"Should there be rain in the higher parts of the mountains, the stream at times comes down in an almost perpendicular volume, without warning, and sweeping all before it, as a friend of mine experienced, when he saw a party of men, horses, and camels, and all his property, borne down by it; when himself and some few men with him escaped by climbing up the nearly perpendicular side of the hill."
PK-2006-5#-00000468,1.0,"Choosing the former, Chandpuri ensured that all his assets were correctly deployed, and made the most use of his strong defensive position, as well as weaknesses created by errors in enemy tactics."
PK-2017-7#-00000512,1.0,"The book attempts to narrate what went wrong on the expedition, set against mountaineering history of the early twentieth century, the background of German politics in the 1930s, and the hardship and passion of life in the Sherpa valleys."
PK-2006-5#-00000665,1.0,This may be an allusion to the relative prosperity of the region at the time.
PK-2006-5#-00000838,1.0,"Quaid-e-Azam who became lifelong honorary member of the Khyber Union ICP in 1936 made the College one of the heirs of his property in 1939:  ""All my residuary estate including the corpus that may fall after the lapse of life interest or otherwise to be divided into three parts - and I bequeath one part to Aligarh University - one part to Islamia College Peshawar and one part to Sindh Madrassa of Karachi ... Quaid-e-Azam's Will, Bombay, May 30, 1939 Addressing the students of the college on April 12, 1948, he said: “Let me tell you that nothing is nearer to my heart than to have a great center of culture and learning in a place like Peshawar, a place from where the rays of knowledge and culture can spread throughout the Middle East and Central Asia.”  Endowment thumb|Commemorative coin issued by the State Bank of Pakistan on the Centenary Celebrations of Islamia College Peshawar thumb|Islamia College on 1000 PKR Note thumb|Postal Stamps depicting Islamia College Peshawar According to the Board of Trustees, the college, which is spread over 300 acres of land, has 1089 Jaribs cultivable land in Harichand, Rai Killi and Tarnab, (District Charsadda)."
PK-2017-7#-00000094,1.0,"Jinnah Road is the center of economic activity in the town, with tourist shops, banks, hotels, and restaurants."
PK-2006-5#-00000092,1.0,"Suburban districts were rapidly laid, including Satellite Town in 1950, which was designed mostly to house wealthy and upper-middle-class refugees. Much of the growth has been unplanned due to poor enforcement of development guidelines and lax enforcement of property laws. Gujranwala, along with the nearby industrial cities of Sialkot and Gujrat City, form what is sometimes referred to as the Golden Triangle in reference to their relative prosperity and export-oriented industrial base. The Gujranwala Development Authority was established in 1989 to oversee economic and infrastructure development in the city."
PK-2006-5#-00000400,2.0,"Sialkot is wealthy relative to other cities in South Asia, with an estimated 2014 per capita income of $2800 (nominal). As a result of the city's prosperity, large numbers of migrants from Kashmir came to the city in search of employment. Economy  Sialkot is a wealthy city relative to the rest of Pakistan, with a per capita income in 2014 estimated at $2800."
PK-2006-5#-00000067,2.0,"In 1981, Faisalabad was among four districts in Punjab, which included Gujranwala, Jhelum and Gujrat, that were experiencing low literacy rates, due primarily to either a lack of resources or family pressure; the latter of which may also be attributable to illiteracy."
PK-2006-5#-00000019,1.0,"The Nawabs left a rich architectural legacy, and Bahawalpur is now known for its monuments dating from that period. The Second World War  At the outbreak of World War II in 1939, Bahawalpur's Nawab was the first ruler of a princely state to offer his full support and resources of the state towards the crown's war efforts."
PK-2006-5#-00000214,1.0,"Explaining his resignation he cited the President's broken promises, political corruption and blackmailing, the undemocratic system, institutional inabilities, failures of accountability, the sabotage of National Assembly, global issues including Pakistan-US relations, international terrorism and US global domination, Israeli aggression, the Iraq war, Islamabad-Delhi relations including the Kashmir dispute and Pakistan-Afghanistan relations."
PK-2017-7#-00000134,1.0,The income during the ten years ending 1902-3 averaged Rs. In 1903-4 the income was Rs.
PK-2006-5#-00000741,1.0,"Diwan Lakhi Mal appointed the city's Kardar ruler, though the Nawabs of the city from the Durrani order were allowed to maintain their title and some income. As part of the 2015 China-Pakistan Economic Corridor, it was announced that D. I. Khan would be the terminus of the Hakla–Dera Ismail Khan Motorway — a four-lane controlled access motorway, 280 km in length, that is to begin at the M1 near Islamabad and serve as part of the Western Alignment of the economic corridor."
PK-2006-5#-00000925,1.0,"74% of rural households reported either agriculture or livestock to be their main source of income and 24% reported that trade and service (including non-farm labor) to their main source of income.WFP, http://www.foodsecurityatlas.org/afg/country/provincial-Profile/Farah   Transportation  The Farah Airport is located next to the city of Farah and as of May 2014 had regularly scheduled flights to Herat."
