DHSID_EA,relevance_score,most_relevant_sentences
PK-2006-5#-00000786,1.0,"Osakai has some historical places (e.g., Kafir Kot, Sroo Manroo (Red Fort) and also many picnic spots (e.g., Osakai waterfall, Khan Baba, Bar Charhay, and small water dams). They can also be used for sewage systems."
PK-2006-5#-00000229,1.0,"PVI is committed for the development of livestock in the province and this sector is passing through a process of changing in accordance with the dynamics of production, healthcare, food security, human resource development and trainings of farmer’s community."
PK-2006-5#-00000128,1.0,"According to official records dating back to 1893, a fair was held each year at a pond near the site called ""Ram Kund"" to commemorate that Ram and his family had once sipped water from it."
PK-2006-5#-00000164,1.0,The old channels of the UBDC in Pakistan continue to be used with water from the BRB canal and other link canals.
PK-2006-5#-00000498,3.0,"The campus is practically a small township with its own electricity, water supply, sewerage, security and other infrastructure."
PK-2006-5#-00000151,2.0,"The name of the city is derived from the words Jal (pure water) and Ham (snow), as the water that flows through the river originates in the Himalayas."
PK-2017-7#-00000095,1.0,"He had his ears pierced here, following the tradition of Guru Goraknath's followers.The social space of language: vernacular culture in British colonial Punjab, Farina Mir, University of California Press, 2010, , ... A fourth locale, Tilla Jogian, is the location of Gorakhnath's dera (monastery) and the site of Ranjha's transformation into a yogi ...  Site layout Tilla Jogian comprises a complex of Hindu Hindu temples housing at least three baths and a network of waterworks with at least two minor dams."
PK-2006-5#-00000158,1.0,"British During the British Raj, the irrigation canals were built that irrigated large areas of the Kasur District. Riots erupted following the Jallianwala Bagh massacre on 12 April 1919, leading to the destruction of civic infrastructure, including the city's railway station. Water logging and salinity has effected a large area of the district making the underground water brackish."
PK-2006-5#-00000665,1.0,"[[File:Sukkur Barrage in daylight.jpg|thumb|The Sukkur Barrage, completed in 1932, forms part of one of the world's largest irrigation projects.]] Sukkur Barrage (formerly called Lloyd Barrage), built under the British Raj on the Indus River, controls one of the largest irrigation systems in the world. The  long barrage is made of yellow stone and steel and can water nearly 10 million acres (40,000 km2) of farmland through its seven large canals."
PK-2006-5#-00000863,1.0,Nature here is just amazing especially stunning view of mountains I never ever seen a reflected water like this. The lake is predominantly blue with a hint of green which is highlighted by the sunlight filtering through the water surface.
PK-2006-5#-00000001,1.0,"For facilities and infrastructure, the district is ranked 17 out of 146."
PK-2006-5#-00000092,1.0,"One local narrative suggests that the town was named after a Gujjar, Choudhry Gujjar, owner of the town's Persian wheel that supplied water to the town. The city is the centre for manufacture and export of sanitary fittings and wares in Pakistan, with over 200 producers based in Gujranwala. The Gujranwala Development Authority was established in 1989 to oversee economic and infrastructure development in the city."
PK-2006-5#-00000400,1.0,"Much of the city's infrastructure was paid for by local taxes, and the city was one of the few in British India to have its own electric utility company. The province lead infrastructure projects in the area, and allotted abandoned properties to newly arrived refugees. Despite the city's overall prosperity, the local government has failed to meet Sialkot's basic infrastructure needs. Sialkot's business community has joined with the local government to maintain the city's infrastructure, as the local government has limited capacity to fund such maintenance. Sialkot's infrastructure was paid for by local taxes on industry, and the city was one of the few in British India to have its own electric utility company. Modern Sialkot's business community has assumed responsibility for developing infrastructure when the civic administration is unable to deliver requested services."
PK-2006-5#-00000067,3.0,"The functions of the TMA include preparation of the spatial and land use plans, management of these development plans and exercise of control over land use, land sub-division, land development and zoning by public and private sectors, enforcement of municipal laws, rules and by-laws, provision and management of water, drainage waste and sanitation along with allied municipal services. The FDA works with the Water and Sanitation Agency (WASA) to control and maintain the water supply, sewerage and drainage."
