DHSID_EA,relevance_score,most_relevant_sentences
PK-2006-5#-00000076,3.0,"Chak 234 GB PanjPulla  also called Chak 234 GB PATIALA is located in between of  Chak 235 GB Partab Garh and Chak 233 GB Kot Barseer in Tehsil Jaranwala district Faisalabad, Pakistan.https://open.punjab.gov.pk/schools/home/school_visit_detail/595722 There is one primary school for girls and a middle school for boys in the village."
PK-2006-5#-00000014,1.0,The lake was created by Kapila Muni for the liberation of his mother.
PK-2006-5#-00000358,1.0,"Upon the successful completion  of their studies, students are awarded with the degrees by Pir Mehr Ali Shah Arid Agriculture University, Rawalpindi. Barani Foundation  The Board of Governors (BoG) of the Barani Foundation has constituted an Executive Committee to make and implement policies concerning academic, financial and operational matters. Academic Programs  Following academic programs are offered at Barani Institute of Sciences:   Management Sciences    Bachelor of Business Administration   Social Sciences    Bachelor of Science in Economics  Master of Sciences in Economics   Computer Sciences    Bachelor of Science in Computer Science  Bachelor of Science in Information Technology  Master of Computer Science  Master of Science in Information Technology   Other    Master of Science in Statistics  Master of Science in Mathematics  References  Category:Universities and colleges in Punjab, Pakistan Category:Universities and colleges in Sahiwal District Category:2014 establishments in Pakistan Category:Educational institutions established in 2014"
PK-2006-5#-00000083,1.0,There is one government high school in Jhamrah.
PK-2017-7#-00000512,1.0,Time on the voyage was spent learning Urdu. After about 30 minutes he took a small stone from the summit for his wife and started to descend using his ski poles but he soon regretted leaving his ice axe behind.
PK-2017-7#-00000113,2.0,https://lgcd.punjab.gov.pk/system/files/Town_Committee_Makuana.pdf Makuana has high school for boys and girls.
PK-2006-5#-00000076,3.0,There is one primary school for girls and a middle school for boys in the village.
PK-2006-5#-00000156,2.0,The university aims to inspire individuals through an all-encompassing curriculum design and program which enables them to achieve moral excellence and become global thought leaders.
PK-2006-5#-00000786,3.0,"Osakai has a hospital unit, a government high school for girls and also a government high school for boys."
PK-2006-5#-00000229,1.0,"The college was established in 2019 as an initiative for para veterinary under special considerations. This campus has a covered area of 10 acres where various components (administration block, hostel, outdoor veterinary dispensary, experimental animal shed, laboratory, computer lab, class rooms, residential colony for employees, beautiful parks/lawns, roads) are being established. Short training course on Wildlife Keeping/Handling  See also  Pakistan Veterinary Medical Council  University of Veterinary and Animal Sciences, Lahore  Cholistan University of Veterinary and Animal Sciences, Bahawalpur  University of Veterinary and Animal Sciences (Ravi Campus)  College of Veterinary and Animal Sciences, Jhang  References  External links  PVI official website  Category:Veterinary schools in Pakistan Category:Universities and colleges in Jhang District Category:University of Veterinary and Animal Sciences"
PK-2006-5#-00000073,2.0,It was established as private school and in 1972 it was nationalized by Government of Pakistan.it is located near Jaranwala–Nankana Road many students from Chak 236 GB Kilanwala  study here.
PK-2006-5#-00000498,5.0,"He is an ex-cadet of the same college with kit no: 200-2051 (L)  The college is staffed by 41 teachers (professors, assistant professors and lecturers) who have at least a master's degree."
PK-2006-5#-00000151,4.0,"Education Jhelum has six degree colleges for women, six degree colleges for men, six co-education colleges, six commerce colleges, one law college, numerous higher secondary schools and over 150 high schools."
PK-2006-5#-00000006,4.0,"The female literacy rate is only 37.4% compared to male literacy of 63.6%, and urban literacy rate of 69.7% is significantly higher than the rural rate of 51.4%."
PK-2017-7#-00000431,4.0,"The student body consists of 7,000+ students, including 102 international students and 884 postgraduate students. A large number of sponsored students and faculty members, doing their PhD abroad, are scheduled to return to NUST from 2008 onwards which will further increase the number of PhD professors in the faculty. Karachi [[File:PNEC.jpg|thumb|right|NUST PNEC campus in Karachi]] Pakistan Navy Engineering College (PNEC)  The college campus is spread over an area of about  comprising the administration block, four academic blocks, postgraduate studies center, labs and workshops, professional development center, an auditorium, a mosque, a dispensary, hostel and dining facilities."
PK-2017-7#-00000095,1.0,"When riots erupted after Partition, Samandnath Jogi reportedly appointed a local village official as caretaker of the site, and instructed him to approach the deputy commissioner to auction off the temple's belongings if the Jogi did not return from India within 6 months."
PK-2006-5#-00000158,1.0,"In January 2018, two protestors were killed in rioting over the rape and murder of Zainab Ansari, a seven-year-old girl. Aseff Ahmad Ali, former Foreign Minister  Naveed Anwar  Baba Lal Dayal, a saint  Tahir Aslam Gora, a Canadian editor and publisher  Abdul Hamid, former Auditor General of Pakistan  Irshad Ahmed Haqqani, journalist, writer  Jagga Jatt, 20th century rebel of Punjab  Noor Jehan, singer and actress  Maharani Datar Kaur, Wife of Maharajah Ranjit Singh  Rana Muhammad Iqbal Khan former speaker Punjab assembly  Phool Muhammad Khan, politician  Ahmad Raza Khan Kasuri, former member of National Assembly of Pakistan  Khurshid Mahmud Kasuri, former Foreign Minister  Malik Meraj Khalid former Speaker of National Assembly of Pakistan, former Prime Minister of Pakistan  Sardar Tufail Ahmad Khan, former MPA and MNA,  Parliamentary   Bade Ghulam Ali Khan, a Hindustani classical vocalist  Barkat Ali Khan, a Hindustani classical vocalist  Hafiz Ghulam Murtaza, teacher of Bulleh Shah and Waris Shah  Sardar Arif Nakai, former Chief Minister of Punjab  Sardar Muhammad Asif Nakai, Member of the Punjab Provincial Assembly  Sardar Talib Hassan Nakai, Member of National Assembly Of Pakistan   Najam Sethi, journalist, writer, Pakistan Cricket Board chairman  Bulleh Shah, a Sufi saint and spiritual poet  Pran Kumar Sharma, an Indian cartoonist  Basit Jehangir Sheikh, Politician, Youngest Founder Member Pakistan Peoples Party (P.P.P)   Fateh Muhammad Sial, first Ahmadi missionary sent from India   References   External links   Hasan Saeed  Kasur Safe City Project   Minister inspects progress on Kasur Safe City Project  July 27, 2019  Kasur Safe City Project: PSCA connects CCTV cameras with IC3 Lahore June 26, 2019                CM inaugurates three mega projects in Kasur  July 26, 2019  Failsal Saeed  Punjab govt all set to launch safe city project in yet another district <small>April 16, 2019  Category:Populated places in Kasur District Category:Kasur District Category:Places in the Ramayana Category:Populated places in Punjab, Pakistan Category:Cities in Punjab (Pakistan)"
PK-2017-7#-00000512,1.0,"In 1984, the French climber Lilliane Barrard became the first woman to climb Nanga Parbat, along with her husband Maurice Barrard. Also in 1985, a Polish women's team climbed the peak via the 1962 German Diamir Face route. On July 12, 2009, after reaching the summit, South Korean climber Go Mi-Young fell off a cliff on the descent in bad weather in her race to be the first woman to climb all 14 eight-thousanders."
PK-2017-7#-00000494,1.0,"In the same year, French Marie-José Valençot is the first woman who reaches the summit."
PK-2006-5#-00000665,2.0,[[File:Sukkur IBA University - academic block I (2).jpg|thumb|The Sukkur IBA University is one of Pakistan's business schools.]]
PK-2017-7#-00000494,1.0,"1983 First ascent by a woman, Krystyna Palmowska."
PK-2006-5#-00000838,4.0,"Quaid-e-Azam who became lifelong honorary member of the Khyber Union ICP in 1936 made the College one of the heirs of his property in 1939:  ""All my residuary estate including the corpus that may fall after the lapse of life interest or otherwise to be divided into three parts - and I bequeath one part to Aligarh University - one part to Islamia College Peshawar and one part to Sindh Madrassa of Karachi ... Quaid-e-Azam's Will, Bombay, May 30, 1939 Addressing the students of the college on April 12, 1948, he said: “Let me tell you that nothing is nearer to my heart than to have a great center of culture and learning in a place like Peshawar, a place from where the rays of knowledge and culture can spread throughout the Middle East and Central Asia.”  Endowment thumb|Commemorative coin issued by the State Bank of Pakistan on the Centenary Celebrations of Islamia College Peshawar thumb|Islamia College on 1000 PKR Note thumb|Postal Stamps depicting Islamia College Peshawar According to the Board of Trustees, the college, which is spread over 300 acres of land, has 1089 Jaribs cultivable land in Harichand, Rai Killi and Tarnab, (District Charsadda)."
PK-2017-7#-00000492,1.0,"Others have noted that ""Masha"" means lady, and ""Masherbrum"" is the ""Queen of Peaks"". Masherbrum was reconnoitered in 1911 by Dr. William H. Workman and his wife Mrs. Fanny Bullock Workman."
PK-2017-7#-00000094,1.0,"The town is considered by some of its locals Jesus In India: How the film came to be and by adherents of the Ahmadiyya movementTracing the Post-Crucifixion Footsteps of Jesus Christ reviewofreligions.org website to be the final resting place of Mary, mother of Jesus. Localities and Union Councils of the Murree area:  Rawalpindi District Circle Bakote  Kohati Kakrahi Mukeshpuri Abbottabad Ayubia Bhurban Birote Dewal Sharif Darya Gali Changla Gali Dunga Gali Gulehra Gali  Uc Ghel  Bochal Kakrahi Ghora Gali  Bansara Gali Jhika Gali Khaira Gali Mohra Sharif Nathia Gali Potha Sharif  Aliot, Murree Sehr Bagla Patriata Thandiani Karore Phagwari  Las Kothar Numbal  Mussiyari  Military For administrative purposes, the military areas of Murree are divided into two separate cantonments, Murree Gali Cantonment and Murree Hills Cantonment.Murree Hills Cantonment GlobalSecurity.org website, Retrieved 16 October 2021 Murree houses the headquarters of the 12th Infantry Division of the Pakistan Army, several educational and training institutions, and a combined military hospital established to serve Murree and adjoining garrisons. The Pakistan Air Force also maintains a base at Lower Topa, near Patriata, with its own military boarding school for boys, PAF Public School Lower Topa."
PK-2006-5#-00000107,1.0,"Education [[File:University of Gujrat garden.jpg|thumb|University of Gujrat garden]]  [[File:Punjab College Gujrat.jpg|thumb|Punjab College of Science, Gujrat Campus]] Some of the notable educational institutes of Gujrat include: University of Gujrat Nawaz Sharif Medical College University of Lahore University of Central Punjab Punjab College of Science, Gujrat Campus The Superior College, Gujrat Campus Pakistan International Public School, Gujrat Campus Beaconhouse School System The Educators Lahore Grammar School Dar-e-Arqam Schools  Twin towns and sister cities  Piranshahr, Iran (since 2018)  Notable persons  Chaudhry Hussain Elahi, Member of the National Assembly of Pakistan; son of Chaudhry Wajahat Hussain  Chaudhry Pervaiz Elahi, former Deputy Prime Minister of Pakistan, former Chief Minister of Punjab, Speaker of the Provincial Assembly of Punjab, August 2018–present, previously 1997–1999; former Chairman of District Council, Gujrat; former Provincial Minister for Local Government and Rural Development Chaudhry Zahoor Elahi (Shaheed), Member of the National Assembly of Pakistan in 1962 and 1970; Deputy Opposition Leader in the National Assembly of Pakistan 1972–1977; Federal Minister for Manpower, Labor, Local Government & Rural Development 1978–1979 Moonis Elahi, Member of the National Assembly of Pakistan, twice elected as the member of the Provincial Assembly of Punjab, 2008–2013 and 2013–2018 Nawabzada Ghazanfar Ali Gul, former Federal Minister of Pakistan Chaudhry Shujaat Hussain, former Prime Minister of Pakistan, Member Pakistan Majlis-e-Shura; re-elected five times as Member of the National Assembly of Pakistan; re-elected twice as Member of the Senate of Pakistan; former Federal Minister for Interior, Information, Industries & Production; ""Honorary Consul General"" of the Republic of Korea Chaudhry Wajahat Hussain, former Federal Minister for Overseas Pakistanis; Federal Minister for Labour and Manpower and Federal Minister for Human Resource Development; three times MPA and two times MNA Saleem Sarwar Jaura, Member of the Provincial Assembly of Punjab Mian Imran Masood, former MPA of Gujrat and Minister of Education Punjab Ahmad Mukhtar, former Minister for Defence, Government of Pakistan Shujaat Nawaz, Member of the Provincial Assembly of Punjab Yasmin Qureshi, British MP Muhammad Abdullah Warraich, Member of the Provincial Assembly of Punjab Raja Aziz Bhatti, Recipient of Nishan-E-Haider Iftikhar Ahmad Shakir, President Markazi Anjuman e Tajiran, President Sarawafa & Jewels, Former administrator to Gujrat, President Weight lifting association]]  References    Category:Populated places in Gujrat District Category:Populated places in Punjab, Pakistan Category:Cities in Punjab (Pakistan)"
